Nest_ID,Treatment,Status,Tortoise_ID,Tank,Notch,ExpDay_measure1,Measure_01,Mass_01,Measure_10_Before,CL_10,Mass_10,ExpDay_measure10_Before,DaysBTW1-10_Before,Mass_m10-m1_Before,Growth_rate_Before,Measure_15_During,CL_15,Mass_15,ExpDay_measure15_During,DaysBTW10-15_During,Mass_m15-m10_During,Growth_rate_During,Measure_16_3_Weeks_Post,CL_16,Mass_16,ExpDay_measure16_3_Weeks_Post,DaysBTW15-16_3_Weeks_Post,Mass_m16-m15_3_Weeks_Post,Growth_rate_3_Weeks_Post,Measure_19_3_Months_Post,CL_19,Mass_19,ExpDay_measure19_3_Months_Post,DaysBTW16-19_3_Months_Post,Mass_m19-m16_3_Months_Post,Growth_rate_3_Months_Post,Measure_20_1_Year_Post,CL_20,Mass_20,ExpDay_measure20_1_Year_Post,DaysBTW19-20_1_Year_Post,Mass_m20-m19_1_Year_Post,Growth_rate_1.5_Year_Post
GT2023_N01,NA,Not_Viable,Not_Viable,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT2023_N02,NA,Not_Viable,Not_Viable,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT2023_N02,Cold dormancy,Hatched,GT2023_N02.02,3,304,6,8/19/23,33.14,11/24/23,64.2,66.11,103,97,32.97,0.339896907,2/27/24,68.2,74.4,198,95,8.29,0.087263158,3/17/24,70.6,84.8,217,19,10.4,0.547368421,6/16/24,85.4,156.1,308,91,71.3,0.783516484,7/11/25,94,171,698,390,14.9,0.038205128
GT2023_N02,Cold dormancy,Hatched,GT2023_N02.03,4,311,8,8/21/23,29.27,11/24/23,62.2,58.3,103,95,29.03,0.305578947,2/27/24,64.1,60.5,198,95,2.2,0.023157895,3/17/24,66.8,72.4,217,19,11.9,0.626315789,6/16/24,79.1,114.3,308,91,41.9,0.46043956,,,,,,,
GT2023_N02,Constant heat,Hatched,GT2023_N02.04,5,314,9,8/22/23,31.12,11/24/23,64.2,69.11,103,94,37.99,0.404148936,2/17/24,84.7,136.9,198,95,67.79,0.713578947,3/17/24,87.7,156.6,217,19,19.7,1.036842105,6/16/24,95.5,225.5,308,91,68.9,0.757142857,7/10/25,105,247.3,697,389,21.8,0.056041131
GT2023_N03,Cold dormancy,Hatched,GT2023_N03.01,6,321,11,8/24/23,29.23,11/24/23,68.8,76.07,103,92,46.84,0.509130435,2/27/24,73.5,82.6,198,95,6.53,0.068736842,3/17/24,75.7,97.6,217,19,15,0.789473684,6/16/24,91.6,182.1,308,91,84.5,0.928571429,7/13/25,109,242.2,700,392,60.1,0.153316327
GT2023_N03,Cold dormancy,Hatched,GT2023_N03.02,7,326,12,8/25/23,29.25,11/24/23,68.8,67.72,103,91,38.47,0.422747253,2/27/24,73.7,78.6,198,95,10.88,0.114526316,3/17/24,75.7,87.7,217,19,9.1,0.478947368,6/16/24,91.6,158.1,308,91,70.4,0.773626374,,,,,,,
GT2023_N03,Constant heat,Hatched,GT2023_N03.03,8,315,9,8/22/23,27.83,11/24/23,61.4,52.57,103,94,24.74,0.263191489,2/17/24,79.9,106.8,198,95,54.23,0.570842105,3/17/24,84.6,127.2,217,19,20.4,1.073684211,6/16/24,89.9,147.9,308,91,20.7,0.227472527,,,,,,,
GT2023_N03,Cold dormancy,Hatched,GT2023_N03.04,9,320,10,8/23/23,28.19,11/24/23,64,66.21,103,93,38.02,0.408817204,2/27/24,70,76.1,198,95,9.89,0.104105263,3/17/24,71.9,85.6,217,19,9.5,0.5,6/16/24,83,130.5,308,91,44.9,0.493406593,,,,,,,
GT2023_N04,NA,Not_Viable,Not_Viable,NA,,,,,,,,103,103,0,0,,,,198,95,0,0,,,,217,19,0,0,,,,308,91,0,0,,,,,,,
GT2023_N04,NA,Not_Viable,Not_Viable,NA,,,,,,,,103,103,0,0,,,,198,95,0,0,,,,217,19,0,0,,,,308,91,0,0,,,,,,,
GT2023_N04,NA,Not_Viable,Not_Viable,NA,,,,,,,,103,103,0,0,,,,198,95,0,0,,,,217,19,0,0,,,,308,91,0,0,,,,,,,
GT2023_N04,NA,Not_Viable,Not_Viable,NA,,,,,,,,103,103,0,0,,,,198,95,0,0,,,,217,19,0,0,,,,308,91,0,0,,,,,,,
GT2023_N05,Constant heat,Hatched,GT2023_N05.01,10,332,14,8/27/23,36.22,11/24/23,66.6,72.57,103,89,36.35,0.408426966,2/17/24,93.6,173.6,198,95,101.03,1.063473684,3/17/24,98.9,221.5,217,19,47.9,2.521052632,6/16/24,121.5,364.4,308,91,142.9,1.57032967,,,,,,,
GT2023_N05,Cold dormancy,Hatched,GT2023_N05.02,11,346,17,8/30/23,39.12,11/24/23,67.3,73.48,103,86,34.36,0.399534884,2/27/24,71.2,85.6,198,95,12.12,0.127578947,3/17/24,74,94.8,217,19,9.2,0.484210526,6/16/24,93,192.2,308,91,97.4,1.07032967,7/10/25,108,377.7,697,389,185.5,0.476863753
GT2023_N05,Constant heat,Hatched,GT2023_N05.03,12,345,17,8/30/23,38.36,11/24/23,74.7,96.85,103,86,58.49,0.680116279,2/17/24,103.4,252.7,198,95,155.85,1.640526316,3/17/24,108.7,307.8,217,19,55.1,2.9,6/16/24,143.2,534.3,308,91,226.5,2.489010989,7/16/25,143,561.7,703,395,27.4,0.069367089
GT2023_N05,Cold dormancy,Hatched,GT2023_N05.04,1,336,15,8/28/23,40.51,11/24/23,70,73,103,88,32.49,0.369204545,2/27/24,70.7,75.1,198,95,2.1,0.022105263,3/17/24,75,90.9,217,19,15.8,0.831578947,6/16/24,91.9,180.4,308,91,89.5,0.983516484,,,,,,,
