Clutch_ID,Nest_ID,Burrow_ID,Mother_ID,Location,Collection_date,Location_InNest,Egg_mass,Egg_diameter,Status,Tortoise_ID,Date_Pip,Date_Emerge,Date_Functional,ExpDay_measure1,Measure_1_Date,Mass_1,Carapace_1,Plastron_1,Notch,Tank,Measure_2_Date,Mass_2,Measure_3,Mass_3,Measure_4,Mass_4,Measure_5,Mass_5,Measure_6,Mass_6,Measure_7,Mass_7,Measure_8,Mass_8,Measure_9,Mass_9,Measure_10,Mass_10,Max allowed blood volume (uL),Measure_11,Mass_11,Carapace_10,Plastron_10,Measure_12,Mass_12,Carapace_12,Plastron_12,Measure_13,Mass_13,Measure_14,Mass_14,Carapace_14,Plastron_14,Measure_15,Mass_15,Carapace_15,Plastron_15,Measure_16,Mass_16,Carapace_16,Plastron_16,Measure_17,Mass_17,Carapace_17,Plastron_17,Measure_18,Mass_18,Carapace_18,Plastron_18,Measure_19,Mass_19,Carapace_19,Plastron_19,ExpDay_measure10,DaysBTW1-10,Mass_m10-m1,Growth_rate1-10,ExpDay_measure13,DaysBTW1-13,Mass_m13-m1,Growth_rate1-13
1.1,GT2023_N01,408,285,GWA,8/14/23,Top,39.11,45.2,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,GT2023_N02,414,unk,GWA,8/14/23,Top,41.45,42.5,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2,GT2023_N02,414,unk,GWA,8/14/23,Middle,42.07,43.4,Hatched,GT2023_N02.02,8/16/23,8/16/23,8/19/23,6,8/19/23,33.14,47.4,48.4,304,3,8/28/23,34.13,9/4/23,37.18,9/11/23,37.18,9/18/23,44.77,9/25/23,44.82,10/13/23,51.57,10/27/23,55.12,11/10/23,58.75,11/24/23,66.11,551.2,12/10/23,75.38,64.2,61.9,12/21/23,79.3,67.7,65.4,1/7/24,74.4,1/20/24,73.8,67,65.3,2/27/24,74.4,68.2,65.2,3/17/24,84.8,70.6,67.3,4/14/24,106.5,75.7,74,5/16/24,128.9,75.7,74.7,6/16/24,156.1,85.4,84.9,103,97,32.97,0.339896907,147,141,41.26,0.292624113
2.3,GT2023_N02,414,unk,GWA,8/14/23,Bottom,41.43,42.3,Hatched,GT2023_N02.03,8/16/23,8/16/23,8/21/23,8,8/21/21,29.27,47.7,49.2,311,4,8/29/23,33.34,9/5/23,35.88,9/12/23,39.84,9/19/23,41.64,9/28/23,44.31,10/13/23,49.81,10/27/23,52.85,11/10/23,57.55,11/24/23,58.3,528.5,12/10/23,63.27,62.2,60.7,12/21/23,65,64.4,62.8,1/7/24,66.3,1/20/24,64.1,64.2,62.7,2/27/24,60.5,64.1,62.8,3/17/24,72.4,66.8,65.5,4/14/24,88,71.3,69.9,5/16/24,100,76.4,74.8,6/16/24,114.3,79.1,78.4,103,95,29.03,0.305578947,147,139,37.03,0.266402878
2.4,GT2023_N02,414,unk,GWA,8/14/23,Bottom,41.63,42.6,Hatched,GT2023_N02.04,8/19/23,8/20/23,8/22/23,9,8/22/23,31.12,47.2,47.4,314,5,8/29/23,32.4,9/5/23,36.69,9/12/23,38.16,9/19/23,42.06,9/26/23,44.33,10/13/23,51.91,10/27/23,55.24,11/10/23,62,11/24/23,69.11,552.4,12/10/23,78.8,64.2,62.6,12/21/23,87.6,71.9,68,1/7/24,104.4,1/20/24,116.6,79.1,76,2/17/24,136.9,84.7,81,3/17/24,156.6,87.7,86.1,4/14/24,179.2,89.9,89.6,5/16/24,201.2,94.8,93.8,6/16/24,225.5,95.5,96.7,103,94,37.99,0.404148936,147,138,73.28,0.531014493
3.1,GT2023_N03,388,222,GWA,8/14/23,Top/same level,37.73,40.5,Hatched,GT2023_N03.01,8/22/23,8/23/23,8/24/23,11,8/24/23,29.23,47.7,47.4,321,6,8/29/23,32.69,9/5/23,37.78,9/12/23,42.55,9/19/23,45.53,9/26/23,47.71,10/13/23,55.14,10/27/23,59.6,11/10/23,64.45,11/24/23,76.07,596,12/10/23,88.02,68.8,66.5,12/21/23,87.1,72.8,70.4,1/7/24,87.1,1/20/24,84,72.9,70.9,2/27/24,82.6,73.5,70.3,3/17/24,97.6,75.7,73.5,4/14/24,119.5,80.8,79.1,5/16/24,142.5,81.8,80.2,6/16/24,182.1,91.6,90.1,103,92,46.84,0.509130435,147,136,57.87,0.425514706
3.2,GT2023_N03,388,222,GWA,8/14/23,Top/same level,37.24,41.8,Hatched,GT2023_N03.02,8/23/23,8/24/23,8/25/23,12,8/25/23,29.25,48.7,46.5,326,7,8/30/23,27.81,9/6/23,31.39,9/13/23,34.65,9/20/23,37.59,9/25/23,40.41,10/13/23,46.1,10/27/23,54.36,11/10/23,61.03,11/24/23,67.72,543.6,12/10/23,79.91,68.8,63.3,12/21/23,80,73.6,67.9,1/7/24,85.2,1/20/24,82.3,74.8,68.5,2/27/24,78.6,73.7,68.3,3/17/24,87.7,75.7,70.1,4/14/24,108.4,79.1,74.2,5/16/24,130.8,82.6,76.6,6/16/24,158.1,91.6,86.5,103,91,38.47,0.422747253,147,135,55.95,0.414444444
3.3,GT2023_N03,388,222,GWA,8/14/23,Top/same level,34.38,39.1,Hatched,GT2023_N03.03,8/20/23,8/20/23,8/22/23,9,8/22/23,27.83,47.6,45.1,315,8,8/30/23,29.96,9/6/23,33.64,9/13/23,35.54,9/20/23,35.72,9/27/23,37.66,10/13/23,41.93,10/27/23,44.37,11/10/23,48.8,11/24/23,52.57,443.7,12/10/23,58.2,61.4,57,12/21/23,67.3,68,62.6,1/7/24,78.1,1/20/24,90,75,69.8,2/17/24,106.8,79.9,73.5,3/17/24,127.2,84.6,79.5,4/14/24,136.4,86,81.1,5/16/24,138.4,87.1,82.5,6/16/24,147.9,89.9,84.2,103,94,24.74,0.263191489,147,138,50.27,0.364275362
3.4,GT2023_N03,388,222,GWA,8/14/23,Top/same level,36,39.7,Hatched,GT2023_N03.04,8/20/23,8/22/23,8/23/23,10,8/23/23,28.19,45.1,45.5,320,9,8/30/23,31.19,9/6/23,36.82,9/13/23,39.82,9/20/23,41.26,9/27/23,45.21,10/13/23,50.82,10/27/23,54.4,11/10/23,58.27,11/24/23,66.21,544,12/10/23,74.9,64,61.1,12/21/23,76.7,69.1,65.2,1/7/24,80.8,1/20/24,77.8,70,65.9,2/27/24,76.1,70,65.7,3/17/24,85.6,71.9,68,4/14/24,98.3,75,71.3,5/16/24,116,79.7,76.2,6/16/24,130.5,83,79.3,103,93,38.02,0.408817204,147,137,52.61,0.384014599
4.1,GT2023_N04,348,unk,GWA,8/14/23,Top,38.01,40.4,Not_Viable,Not_Viable,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
