Clutch_ID,Nest_ID,Burrow_ID,Mother_ID,Location,Collection_date,Location_InNest,Egg_mass,Egg_diameter,Status,Tortoise_ID,Date_Pip,Date_Emerge,Date_Functional,ExpDay_measure1,Measure_1_Date,Mass_1,Carapace_1,Plastron_1,Notch,Tank.x,Measure_2_Date,Mass_2,Measure_3,Mass_3,Measure_4,Mass_4,Measure_5,Mass_5,Measure_6,Mass_6,Measure_7,Mass_7,Measure_8,Mass_8,Measure_9,Mass_9,Measure_10,Mass_10,Max.allowed.blood.volume..uL.,Measure_11,Mass_11,Carapace_10,Plastron_10,Measure_12,Mass_12,Carapace_12,Plastron_12,Measure_13,Mass_13,Measure_14,Mass_14,Carapace_14,Plastron_14,Measure_15,Mass_15,Carapace_15,Plastron_15,Measure_16,Mass_16,Carapace_16,Plastron_16,Measure_17,Mass_17,Carapace_17,Plastron_17,Measure_18,Mass_18,Carapace_18,Plastron_18,Measure_19,Mass_19,Carapace_19,Plastron_19,ExpDay_measure10,DaysBTW1.10,Mass_m10.m1,Growth_rate1.10,ExpDay_measure13,DaysBTW1.13,Mass_m13.m1,Growth_rate1.13,Rack,Tank.y,Total_bleed_time,Glucose,Date,Tortoise_Mass,treatment,timepoint
2.2,GT2023_N02,414,unk,GWA,8/14/2023,Middle,42.07,43.4,Hatched,GT2023_N02.02,8/16/2023,8/16/2023,8/19/2023,6,8/19/2023,33.14,47.4,48.4,304,3,8/28/2023,34.13,9/4/2023,37.18,9/11/2023,37.18,9/18/2023,44.77,9/25/2023,44.82,10/13/2023,51.57,10/27/2023,55.12,11/10/2023,58.75,11/24/2023,66.11,551.2,12/10/2023,75.38,64.2,61.9,12/21/2023,79.3,67.7,65.4,1/7/2024,74.4,1/20/2024,73.8,67,65.3,2/27/2024,74.4,68.2,65.2,3/17/2024,84.8,70.6,67.3,4/14/2024,106.5,75.7,74,5/16/2024,128.9,75.7,74.7,6/16/2024,156.1,85.4,84.9,103,97,32.97,0.339896907,147,141,41.26,0.292624113,1,3,12:10,110,11/5/2023,NA,Cold Dormancy,Pre-Hibernation
2.2,GT2023_N02,414,unk,GWA,8/14/2023,Middle,42.07,43.4,Hatched,GT2023_N02.02,8/16/2023,8/16/2023,8/19/2023,6,8/19/2023,33.14,47.4,48.4,304,3,8/28/2023,34.13,9/4/2023,37.18,9/11/2023,37.18,9/18/2023,44.77,9/25/2023,44.82,10/13/2023,51.57,10/27/2023,55.12,11/10/2023,58.75,11/24/2023,66.11,551.2,12/10/2023,75.38,64.2,61.9,12/21/2023,79.3,67.7,65.4,1/7/2024,74.4,1/20/2024,73.8,67,65.3,2/27/2024,74.4,68.2,65.2,3/17/2024,84.8,70.6,67.3,4/14/2024,106.5,75.7,74,5/16/2024,128.9,75.7,74.7,6/16/2024,156.1,85.4,84.9,103,97,32.97,0.339896907,147,141,41.26,0.292624113,1,3,3:30,36,2/27/2024,NA,Cold Dormancy,Dormancy
2.2,GT2023_N02,414,unk,GWA,8/14/2023,Middle,42.07,43.4,Hatched,GT2023_N02.02,8/16/2023,8/16/2023,8/19/2023,6,8/19/2023,33.14,47.4,48.4,304,3,8/28/2023,34.13,9/4/2023,37.18,9/11/2023,37.18,9/18/2023,44.77,9/25/2023,44.82,10/13/2023,51.57,10/27/2023,55.12,11/10/2023,58.75,11/24/2023,66.11,551.2,12/10/2023,75.38,64.2,61.9,12/21/2023,79.3,67.7,65.4,1/7/2024,74.4,1/20/2024,73.8,67,65.3,2/27/2024,74.4,68.2,65.2,3/17/2024,84.8,70.6,67.3,4/14/2024,106.5,75.7,74,5/16/2024,128.9,75.7,74.7,6/16/2024,156.1,85.4,84.9,103,97,32.97,0.339896907,147,141,41.26,0.292624113,1,3,2:37,112,3/19/2024,84.8,Cold Dormancy,3 weeks-Post
2.2,GT2023_N02,414,unk,GWA,8/14/2023,Middle,42.07,43.4,Hatched,GT2023_N02.02,8/16/2023,8/16/2023,8/19/2023,6,8/19/2023,33.14,47.4,48.4,304,3,8/28/2023,34.13,9/4/2023,37.18,9/11/2023,37.18,9/18/2023,44.77,9/25/2023,44.82,10/13/2023,51.57,10/27/2023,55.12,11/10/2023,58.75,11/24/2023,66.11,551.2,12/10/2023,75.38,64.2,61.9,12/21/2023,79.3,67.7,65.4,1/7/2024,74.4,1/20/2024,73.8,67,65.3,2/27/2024,74.4,68.2,65.2,3/17/2024,84.8,70.6,67.3,4/14/2024,106.5,75.7,74,5/16/2024,128.9,75.7,74.7,6/16/2024,156.1,85.4,84.9,103,97,32.97,0.339896907,147,141,41.26,0.292624113,1,3,4,111,6/10/2024,128.9,Cold Dormancy,3 months-Post
2.3,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.43,42.3,Hatched,GT2023_N02.03,8/16/2023,8/16/2023,8/21/2023,8,8/21/2021,29.27,47.7,49.2,311,4,8/29/2023,33.34,9/5/2023,35.88,9/12/2023,39.84,9/19/2023,41.64,9/28/2023,44.31,10/13/2023,49.81,10/27/2023,52.85,11/10/2023,57.55,11/24/2023,58.3,528.5,12/10/2023,63.27,62.2,60.7,12/21/2023,65,64.4,62.8,1/7/2024,66.3,1/20/2024,64.1,64.2,62.7,2/27/2024,60.5,64.1,62.8,3/17/2024,72.4,66.8,65.5,4/14/2024,88,71.3,69.9,5/16/2024,100,76.4,74.8,6/16/2024,114.3,79.1,78.4,103,95,29.03,0.305578947,147,139,37.03,0.266402878,4,11,5:13,119,11/5/2023,NA,Cold Dormancy,Pre-Hibernation
2.3,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.43,42.3,Hatched,GT2023_N02.03,8/16/2023,8/16/2023,8/21/2023,8,8/21/2021,29.27,47.7,49.2,311,4,8/29/2023,33.34,9/5/2023,35.88,9/12/2023,39.84,9/19/2023,41.64,9/28/2023,44.31,10/13/2023,49.81,10/27/2023,52.85,11/10/2023,57.55,11/24/2023,58.3,528.5,12/10/2023,63.27,62.2,60.7,12/21/2023,65,64.4,62.8,1/7/2024,66.3,1/20/2024,64.1,64.2,62.7,2/27/2024,60.5,64.1,62.8,3/17/2024,72.4,66.8,65.5,4/14/2024,88,71.3,69.9,5/16/2024,100,76.4,74.8,6/16/2024,114.3,79.1,78.4,103,95,29.03,0.305578947,147,139,37.03,0.266402878,4,11,2:05,45,2/27/2024,NA,Cold Dormancy,Dormancy
2.3,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.43,42.3,Hatched,GT2023_N02.03,8/16/2023,8/16/2023,8/21/2023,8,8/21/2021,29.27,47.7,49.2,311,4,8/29/2023,33.34,9/5/2023,35.88,9/12/2023,39.84,9/19/2023,41.64,9/28/2023,44.31,10/13/2023,49.81,10/27/2023,52.85,11/10/2023,57.55,11/24/2023,58.3,528.5,12/10/2023,63.27,62.2,60.7,12/21/2023,65,64.4,62.8,1/7/2024,66.3,1/20/2024,64.1,64.2,62.7,2/27/2024,60.5,64.1,62.8,3/17/2024,72.4,66.8,65.5,4/14/2024,88,71.3,69.9,5/16/2024,100,76.4,74.8,6/16/2024,114.3,79.1,78.4,103,95,29.03,0.305578947,147,139,37.03,0.266402878,4,11,1:58,94,3/19/2024,72.4,Cold Dormancy,3 weeks-Post
2.3,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.43,42.3,Hatched,GT2023_N02.03,8/16/2023,8/16/2023,8/21/2023,8,8/21/2021,29.27,47.7,49.2,311,4,8/29/2023,33.34,9/5/2023,35.88,9/12/2023,39.84,9/19/2023,41.64,9/28/2023,44.31,10/13/2023,49.81,10/27/2023,52.85,11/10/2023,57.55,11/24/2023,58.3,528.5,12/10/2023,63.27,62.2,60.7,12/21/2023,65,64.4,62.8,1/7/2024,66.3,1/20/2024,64.1,64.2,62.7,2/27/2024,60.5,64.1,62.8,3/17/2024,72.4,66.8,65.5,4/14/2024,88,71.3,69.9,5/16/2024,100,76.4,74.8,6/16/2024,114.3,79.1,78.4,103,95,29.03,0.305578947,147,139,37.03,0.266402878,4,11,3,120,6/10/2024,100,Cold Dormancy,3 months-Post
2.4,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.63,42.6,Hatched,GT2023_N02.04,8/19/2023,8/20/2023,8/22/2023,9,8/22/2023,31.12,47.2,47.4,314,5,8/29/2023,32.4,9/5/2023,36.69,9/12/2023,38.16,9/19/2023,42.06,9/26/2023,44.33,10/13/2023,51.91,10/27/2023,55.24,11/10/2023,62,11/24/2023,69.11,552.4,12/10/2023,78.8,64.2,62.6,12/21/2023,87.6,71.9,68,1/7/2024,104.4,1/20/2024,116.6,79.1,76,2/17/2024,136.9,84.7,81,3/17/2024,156.6,87.7,86.1,4/14/2024,179.2,89.9,89.6,5/16/2024,201.2,94.8,93.8,6/16/2024,225.5,95.5,96.7,103,94,37.99,0.404148936,147,138,73.28,0.531014493,2,5,3:39,147,11/5/2023,NA,Constant Growth,Pre-Hibernation
2.4,GT2023_N02,414,unk,GWA,8/14/2023,Bottom,41.63,42.6,Hatched,GT2023_N02.04,8/19/2023,8/20/2023,8/22/2023,9,8/22/2023,31.12,47.2,47.4,314,5,8/29/2023,32.4,9/5/2023,36.69,9/12/2023,38.16,9/19/2023,42.06,9/26/2023,44.33,10/13/2023,51.91,10/27/2023,55.24,11/10/2023,62,11/24/2023,69.11,552.4,12/10/2023,78.8,64.2,62.6,12/21/2023,87.6,71.9,68,1/7/2024,104.4,1/20/2024,116.6,79.1,76,2/17/2024,136.9,84.7,81,3/17/2024,156.6,87.7,86.1,4/14/2024,179.2,89.9,89.6,5/16/2024,201.2,94.8,93.8,6/16/2024,225.5,95.5,96.7,103,94,37.99,0.404148936,147,138,73.28,0.531014493,3,5,6:00,90,2/28/2024,NA,Constant Growth,Dormancy
