Rack,Tank,Clutch_ID,Max_allowed_blood_volume,Collected_Blood_Volume,Bleed_Finish,Total_bleed_time,Whole_Blood_for_RNA,Whole_Blood_for_DNA,Plasma_(P1),Plasma_(P2),Plasma_(P3),RBC_(plasma_removed),Glucose,Date,Bleeder; Notes (LN=liquid nitrogen); time in hour:minutes
1,1,13.1,932,440,10:44,1:52,Yes,Yes,No,No,No,WB,27,2/27/2024,"Tonia, 10:54; no plasma since WB was put in LN instead of ice"
4,11,7.3,617,400,11:37,4:25,Yes,Yes,No,No,No,WB,35,2/27/2024,"Anet, 11:46; no plasma since WB was put in LN instead of ice"
1,3,5.6,800,300,10:21,4:42,Yes,Yes,No,No,No,WB,32,2/27/2024,"Anet, 10:25; no plasma since WB was put in LN instead of ice"
3,5,9.2,1111,370,10:42,9:00,Yes,Yes,Yes,Yes,Yes (90),Yes,116,2/28/2024,"Tona, 10:50; Blood was clotted; plasma lysed"
2,12,14.4,1108,250,10:51,6:00,Yes,Yes,Yes,Yes,Yes (60),Yes,119,2/28/2024,"Anet, 10:54; some RBC in P3"
1,3,2.2,738,350,11:14,3:30,Yes,Yes,No,No,No,WB,36,2/27/2024,"Anet, 11:23; no plasma since WB was put in LN instead of ice"
1,1,7.5,727,400,11:06,4:32,Yes,Yes,No,No,No,WB,30,2/27/2024,"Tonia, 11:14; blood clotted; no plasma since WB was put in LN instead of ice"
3,10,12.6,1085,500,12:25,2:55,Yes,Yes,Yes,Yes,Yes (100),Yes,116,2/28/2024,"Tonia, 12:30; plasma very viscous"
2,8,9.5,1340,400,10:23,4:24,Yes,Yes,Yes,Yes,Yes (150),Yes,84,2/28/2024,"Anet, 10:30"
3,10,5.1,1736,500,10:33,4:40,Yes,Yes,Yes,Yes,Yes (180),Yes,81,2/28/2024,"Anet, 10:38"
2,8,11.4,1253,450,12:03,2:45,Yes,Yes,Yes,Yes,Yes (180),Yes,111,2/28/2024,"Tonia, 12:07"
1,3,13.3,684,200,10:59,4:52,Yes,Yes,No,No,No,WB,47,2/27/2024,"Tonia, 11:11; no plasma since WB was put in LN instead of ice"
3,2,7.4,972,200,11:14,6:00,Yes,Yes,Yes,Yes (5),No,Yes,148,2/27/2024,"Anet, 11:19; blood clotted; handled at 10:51; plasma lysed"
1,6,12.4,818,420,10:38,3:26,Yes,Yes,No,No,No,WB,44,2/27/2024,"Tonia, 10:46; no plasma since WB was put in LN instead of ice"
3,10,17.5,1122,580,12:38,4:23,Yes,Yes,Yes,Yes,Yes (180 (60),Yes,120,2/28/2024,"Ali, 12:41"
2,12,6.1,,,,,,,,,,,,2/28/2024,excluded from experiment so no blood was taken
1,6,17.2,905,500,11:45,2:00,Yes,Yes,No,No,No,WB,46,2/27/2024,"Tonia, 11:53; no plasma since WB was put in LN instead of ice"
1,6,9.3,847,360,10:52,4:50,Yes,Yes,No,No,No,WB,41,2/27/2024,"Tonia,11:08; no plasma since WB was put in LN instead of ice"
2,8,3.3,1068,400,11:15,5:49,Yes,Yes,Yes,Yes,Yes (180),Yes,127,2/28/2024,"Ali, 11:25"
2,12,15.1,1044,500,10:40,3:30,Yes,Yes,Yes,Yes,Yes (180),Yes,73,2/28/2024,"Anet, 10:45"
1,1,10.4,648,390,11:14,3:40,Yes,Yes,No,No,No,WB,46,2/27/2024,"Tonia, 12:01; no plasma since WB was put in LN instead of ice"
1,1,15.2,775,100,11:59,9:50,Yes,Yes,No,No,No,WB,48,2/27/2024,"Anet, 11:54; no plasma since WB was put in LN instead of ice"
4,9,3.4,778,350,11:19,3:00,Yes,Yes,No,No,No,WB,43,2/27/2024,"Tonia, 11:27; no plasma since WB was put in LN instead of ice"
4,11,14.5,835,100,11:09,9:25,Yes,Yes,No,No,No,WB,42,2/27/2024,"Anet, 11:17; no plasma since WB was put in LN instead of ice"
2,8,17.3,1600,300,11:57,4:35,Yes,Yes,Yes,Yes,Yes (60),Yes,98,2/28/2024,"Anet, 12:00; handled for 1 min at 11:45"
4,9,9.6,808,420,10:32,3:40,Yes,Yes,No,No,No,WB,46,2/27/2024,"Anet, 10:44; no plasma since WB was put in LN instead of ice"
1,6,6.3,831,220,11:24,5:40,Yes,Yes,No,No,No,WB,56,2/27/2024,"Anet, 11:30; no plasma since WB was put in LN instead of ice"
1,3,8.2,861,380,10:26,3:05,Yes,Yes,No,No,No,WB,45,2/27/2024,"Anet, 10:33; no plasma since WB was put in LN instead of ice"
1,1,5.4,759,460,11:31,2:11,Yes,Yes,No,No,No,WB,41,2/27/2024,"Tonia, 11:40; no plasma since WB was put in LN instead of ice"
4,9,7.1,600,450,11:50,2:00,Yes,Yes,No,No,No,WB,28,2/27/2024,"Tonia, 11:57; no plasma since WB was put in LN instead of ice"
3,5,2.4,1369,440,12:27,6:00,Yes,Yes,Yes,Yes,Yes (150),Yes,90,2/28/2024,"Ali, 12:34; tortoise was handled for 10 min prior to blood collection"
2,8,6.5,1300,200,11:50,5:00,Yes,Yes,Yes,Yes,Yes (5),Yes,149,2/28/2024,"Anet, 11:58"
1,3,10.6,706,300,11:36,2:35,Yes,Yes,No,No,No,WB,45,2/27/2024,"Tonia, 11:43; no plasma since WB was put in LN instead of ice"
1,1,3.2,823,460,11:41,2:00,Yes,Yes,No,No,No,WB,42,2/27/2024,"Tonia, 11:48; no plasma since WB was put in LN instead of ice"
4,11,5.2,850,400,11:30,4:06,Yes,Yes,No,No,No,WB,30,2/27/2024,"Anet, 11:38; no plasma since WB was put in LN instead of ice"
3,2,13.2,1256,120,11:07,8:12,Yes,Yes,Yes, Yes (5),No,Yes,93,2/28/2024,"Anet, 11:10"
4,11,12.5,649,300,11:55,4:00,Yes,Yes,No,No,No,WB,46,2/27/2024,"Tonia, 11:59; no plasma since WB was put in LN instead of ice"
3,10,7.2,1070,470,11:24,7:00,Yes,Yes,Yes,Yes,Yes (180),Yes,78,2/28/2024,"Anet, 11:29; blood clotted"
4,11,10.2,546,440,10:31,2:56,Yes,Yes,No,No,No,WB,35,2/27/2024,"Tonia, 10:36, no plasma since WB was put in LN instead of ice"
3,2,15.3,1289,210,11:40,6:19,Yes,Yes,Yes,Yes,Yes (60),Yes,81,2/28/2024,"Ali, 11:43"
1,3,15.4,723,510,10:47,4:54,Yes,Yes,No,No,No,WB,25,2/27/2024,"Anet, 10:59; no plasma since WB was put in LN instead of ice"
4,9,17.4,770,550,11:46,6:00,Yes,Yes,No,No,No,WB,42,2/27/2024,"Anet, 11:54; no plasma since WB was put in LN instead of ice"
3,2,5.5,1419,420,11:54,2:00,Yes,Yes,Yes,Yes,Yes (180),Yes,76,2/28/2024,"Tonia, 12:05"
2,12,10.3,876,450,10:47,2:30,Yes,Yes,Yes,Yes,Yes (180),Yes,109,2/28/2024,"Tonia, 10:52"
2,12,9.1,1341,390,12:38,4:50,Yes,Yes,Yes,Yes,Yes (180),Yes,97,2/28/2024,"Tonia, 12:39"
4,9,6.4,788,400,10:56,6:07,Yes,Yes,No,No,No,WB,42,2/27/2024,"Anet, 11:05; no plasma since WB was put in LN instead of ice"
2,8,12.2,1035,500,11:36,3:07,Yes,Yes,Yes,Yes,Yes (180),Yes,106,2/28/2024,"Anet, 11:39"
3,5,11.2,1172,400,10:56,4:30,Yes,Yes,Yes,Yes,Yes (120),Yes,146,2/28/2024,"Anet, 11:00"
1,6,3.1,840,290,10:18,3:09,Yes,Yes,No,No,No,WB,52,2/27/2024,"Tonia,10:21; no plasma since WB was put in LN instead of ice"
2,12,5.3,2527,500,12:09,4:00,Yes,Yes,Yes,Yes,Yes (180),Yes,77,2/28/2024,"Ali, 12:15"
3,10,9.4,1070,450,10:54,4:20,Yes,Yes,Yes,Yes,Yes (180),Yes,103,2/28/2024,"Tonia, 10:58"
4,9,11.1,821,200,10:40,4:34,Yes,Yes,No,No,No,WB,49,2/27/2024,"Anet, 10:49; no plasma since WB was put in LN instead of ice"
3,5,13.4,1256,320,12:37,2:00,Yes,Yes,Yes,Yes,Yes (90),Yes,102,2/28/2024,"Tonia, 12:44"
3,2,10.5,1110,480,12:08,2:00,Yes,Yes,Yes,Yes,Yes (180),Yes,138,2/28/2024,"Tonia, 12:12"
3,5,6.2,1293,380,10:31,2:20,Yes,Yes,Yes,Yes,Yes (180),Yes,142,2/28/2024,"Tonia, 10:34"
3,2,8.1,1210,340,11:28,4:55,Yes,Yes,Yes,Yes,Yes (150),Yes,86,2/28/2024,"Ali, 11:32"
1,6,11.3,783,450,11:26,5:00,Yes,Yes,No,No,No,WB,51,2/27/2024,"Tonia, 11:30; no plasma since WB was put in LN instead of ice"
3,10,10.1,1158,410,11:49,2:47,Yes,Yes,Yes,Yes,Yes (150),Yes,141,2/28/2024,"Tonia, 11:51"
4,11,2.3,641,380,10:25,2:05,Yes,Yes,No,No,No,WB,45,2/27/2024,"Tonia, 10:29, no plasma since WB was put in LN instead of ice"
3,5,15.5,882,250,12:22,8:00,Yes,Yes,Yes,Yes,Yes (30) ,Yes,86,2/28/2024,Tonia; in P3 there is some RBC
