Rack,Tank,Clutch_ID,Tortoise_Mass,Max_allowed_blood_volume,Collected_Blood_Volume,Time_start_(time_of_day)_since_animal_caught,Time_ends_(time_of_day)_when_bleed_is_finished,Total_bleed_time,Whole_Blood_for_RNA,Whole_Blood_for_DNA,Plasma_(P1),Plasma_(P2),Plasma_(P3),RBC_(plasma_removed),Glucose,Date,Notes (LN=liquid nitrogen); time in hour:minutes
1,1,15.2,120.9,1209,300,10:20,10:23,3,Yes,Yes,Yes,Yes,Yes,Yes,101,6/10/2024,Tubes in LN: 10:25
1,1,3.2,130.8,1308,300,10:30,10:33,3,Yes,Yes,Yes,Yes,Yes,Yes,152,6/10/2024,Tubes in LN: 10:35
1,1,13.1,170,1700,300,10:33,10:35,2,Yes,Yes,Yes,Yes,Yes,Yes,123,6/10/2024,Tubes in LN: 10:36
1,1,10.4,106.1,1061,270,10:27,10:30,3,Yes,Yes,Yes,Yes,Yes,Yes,139,6/10/2024,Tubes in LN: 10:32
1,1,5.4,140,1400,200,10:35,10:37,2,Yes,Yes,Yes,Yes,No,Yes,124,6/10/2024,Tubes in LN: 10:39
1,1,7.5,130,1300,300,10:23,10:27,4,Yes,Yes,Yes,Yes,Yes,Yes,93,6/10/2024,Tubes in LN: 10:29
3,2,8.1,183.1,1831,350,11:10,11:16,6,Yes,Yes,Yes,Yes,No,Yes,180,6/10/2024,Tubes in LN: 11:18
3,2,7.4,134.7,1347,300,11:09,11:10,1,Yes,Yes,Yes,Yes,Yes,Yes,99,6/10/2024,Tubes in LN: 11:15
3,2,10.5,139.1,1391,300,10:56,10:59,3,Yes,Yes,Yes,Yes,Yes,Yes,120,6/10/2024,Tubes in LN: 11:04
3,2,5.5,212.5,2125,200,10:53,10:56,3,Yes,Yes,Yes,Yes,Yes,Yes,90,6/10/2024,Tubes in LN: 11:02; slightly orange plasma
3,2,15.3,172.4,1724,320,11:06,11:09,3,Yes,Yes,Yes,Yes,No,Yes,91,6/10/2024,Tubes in LN: 11:11; slightly orange plasma in P2
3,2,13.2,208.6,2086,200,10:50,10:53,3,Yes,Yes,Yes,Yes,Yes,Yes,141,6/10/2024,Tubes in LN: 10:55
1,3,10.6,133.2,1332,300,10:40,10:43,3,Yes,Yes,Yes,Yes,Yes,Yes,113,6/10/2024,Tubes in LN: 10:45
1,3,2.2,128.9,1289,300,10:45,10:49,4,Yes,Yes,Yes,Yes,Yes,Yes,111,6/10/2024,Tubes in LN: 10:52
1,3,5.6,110,1100,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6/10/2024,Blood was not obtained--> individual with weak legs
1,3,8.2,161.4,1614,300,10:37,10:40,3,Yes,Yes,Yes,Yes,Yes,Yes,141,6/10/2024,Tubes in LN: 10:42
1,3,13.3,131,1310,200,10:43,10:46,3,Yes,Yes,Yes,Yes,Yes,Yes,73,6/10/2024,Tubes in LN: 10:49
1,3,15.4,98.3,983,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6/10/2024,Blood was not obtained--> individual with weak legs
3,5,13.4,185.6,1856,350,12:35,12:36,1,Yes,Yes,Yes,Yes,Yes,Yes,118,6/10/2024,Tubes in LN: 12:39
3,5,9.2,154.1,1541,150,12:29,12:33,4,Yes,Yes,Yes,Yes,No,Yes,77,6/10/2024,Tubes in LN: 12:33; P2 has <10 uL
3,5,11.2,199,1990,250,12:37,12:39,2,Yes,Yes,Yes,Yes,Yes,Yes,146,6/10/2024,Tubes in LN: 12:41; plasma slighly orange
3,5,2.4,201.2,2012,320,12:40,12:41,1,Yes,Yes,Yes,Yes,Yes,Yes,102,6/10/2024,Tubes in LN: 12:43
3,5,15.5,112.6,1126,220,12:41,12:42,1,Yes,Yes,Yes,Yes,No,Yes,95,6/10/2024,Tubes in LN: 12:45; plasma slighly red/orange
3,5,6.2,205.8,2058,350,12:34,12:35,1,Yes,Yes,Yes,Yes,Yes,Yes,118,6/10/2024,Tubes in LN: 12:36
1,6,3.1,142.5,1425,300,11:36,1:38,2,Yes,Yes,Yes,Yes,Yes,Yes,80,6/10/2024,Tubes in LN: 11:45; plasma slightly orange
1,6,6.3,153,1530,300,11:39,11:42,3,Yes,Yes,Yes,Yes,Yes,Yes,140,6/10/2024,Tubes in LN: 10:48
1,6,9.3,142.8,1428,300,11:32,11:34,2,Yes,Yes,Yes,Yes,Yes,Yes,147,6/10/2024,Tubes in LN: 11:40
1,6,11.3,115.8,1158,300,11:34,11:36,2,Yes,Yes,Yes,Yes,Yes,Yes,130,6/10/2024,Tubes in LN: 10:43; a lot of lymph
1,6,17.2,156.3,1563,300,11:30,11:32,2,Yes,Yes,Yes,Yes,Yes,Yes,140,6/10/2024,Tubes in LN: 11:37
1,6,12.4,143.1,1431,300,11:44,11:45,1,Yes,Yes,Yes,Yes,Yes,Yes,116,6/10/2024,Tubes in LN: 11:50
2,8,6.5,232.4,2324,220,11:58,11:59,1,Yes,Yes,Yes,Yes,Yes,Yes,145,6/10/2024,Tubes in LN: 12:02
2,8,11.4,203.8,2038,140,11:47,11:50,3,Yes,Yes,Yes,No,No,Yes,105,6/10/2024,Tubes in LN: 11:55
2,8,3.3,138.4,1384,300,12:03,12:04,1,Yes,Yes,Yes,Yes,Yes,Yes,76,6/10/2024,Tubes in LN: 12:08
2,8,17.3,281.5,2815,500,12:00,12:02,2,Yes,Yes,Yes,Yes,Yes,Yes,151,6/10/2024,Tubes in LN: 12:05
2,8,9.5,230,2300,400,11:53,11:57,4,Yes,Yes,Yes,Yes,Yes,Yes,70,6/10/2024,Tubes in LN: 12:00
2,8,12.2,181.5,1815,400,11:51,11:53,2,Yes,Yes,Yes,Yes,Yes,Yes,103,6/10/2024,Tubes in LN: 11:58
4,9,11.1,133.8,1338,300,12:21,12:22,1,Yes,Yes,Yes,Yes,Yes,Yes,128,6/10/2024,Tubes in LN: 12:24
4,9,6.4,142.7,1427,300,12:05,12:06,1,Yes,Yes,Yes,Yes,Yes,Yes,60,6/10/2024,Tubes in LN: 12:10
4,9,7.1,105.6,1056,300,12:16,12:20,4,Yes,Yes,Yes,Yes,Yes,Yes,112,6/10/2024,Tubes in LN: 12:21
4,9,17.4,126.9,1269,200,12:23,12:27,4,Yes,Yes,Yes,Yes,Yes,Yes,116,6/10/2024,Tubes in LN: 12:28
4,9,9.6,121,1210,300,12:06,12:10,4,Yes,Yes,Yes,Yes,Yes,Yes,146,6/10/2024,Tubes in LN: 12:12
4,9,3.4,116,1160,350,12:10,12:13,3,Yes,Yes,Yes,Yes,Yes,Yes,115,6/10/2024,Tubes in LN: 12:15; check on-front right limb
3,10,10.1,181.4,1814,350,11:14,11:16,2,Yes,Yes,Yes,Yes,Yes,Yes,83,6/10/2024,Tubes in LN: 11:24
3,10,5.1,311.5,3115,400,11:26,11:28,2,Yes,Yes,Yes,Yes,Yes,Yes,134,6/10/2024,Tubes in LN: 11:33
3,10,17.5,166.5,1665,300,11:18,11:23,5,Yes,Yes,Yes,Yes,Yes,Yes,113,6/10/2024,Tubes in LN: 11:28; plasma orange
3,10,12.6,166.2,1662,300,11:28,11:30,2,Yes,Yes,Yes,Yes,Yes,Yes,107,6/10/2024,Tubes in LN: 11:34
3,10,7.2,150.9,1509,300,11:16,11:18,2,Yes,Yes,Yes,Yes,Yes,Yes,130,6/10/2024,Tubes in LN: 11:22
3,10,9.4,168.6,1686,300,11:23,11:26,3,Yes,Yes,Yes,Yes,Yes,Yes,125,6/10/2024,Tubes in LN: 11:30
4,11,5.2,154.6,1546,300,12:52,12:54,2,Yes,Yes,Yes,Yes,Yes,Yes,127,6/10/2024,Tubes in LN: 12:58
4,11,2.3,100,1000,130,12:55,12:58,3,Yes,Yes,Yes,Yes,No,Yes,120,6/10/2024,Tubes in LN: 13:00
4,11,10.2,90,900,220,12:50,12:52,2,Yes,Yes,Yes,Yes,Yes,Yes,113,6/10/2024,Tubes in LN: 12:55
4,11,12.5,111.5,1115,300,12:48,12:50,2,Yes,Yes,Yes,Yes,Yes,Yes,216,6/10/2024,Tubes in LN: 12:52
4,11,7.3,120,1200,300,12:42,12:45,3,Yes,Yes,Yes,Yes,Yes,Yes,123,6/10/2024,Tubes in LN: 12:47
4,11,14.5,149.1,1491,200,12:45,12:47,2,Yes,Yes,Yes,Yes,Yes,Yes,110,6/10/2024,Tubes in LN: 12:49
2,12,9.1,210,2100,150,13:02,13:05,3,Yes,Yes,Yes,Yes,Yes,Yes,115,6/10/2024,Tubes in LN: 13:08
2,12,5.3,460.9,4609,400,13:07,13:10,3,Yes,Yes,Yes,Yes,Yes,Yes,135,6/10/2024,Tubes in LN: 13:14; white blob in blood
2,12,14.4,182,1820,250,13:10,13:12,2,Yes,Yes,Yes,Yes,Yes,Yes,77,6/10/2024,Tubes in LN: 13:17
2,12,6.1,93.2,932,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6/10/2024,Excluded from experiment; congenital problems
2,12,15.1,209.3,2093,350,12:59,13:01,2,Yes,Yes,Yes,Yes,Yes,Yes,93,6/10/2024,Tubes in LN: 13:02
2,12,10.3,120.7,1207,220,13:03,13:07,4,Yes,Yes,Yes,Yes,Yes,Yes,78,6/10/2024,Tubes in LN: 13:10
