Rack,Tank,Clutch_ID,Tortoise_Mass,Max_allowed_blood_volume,Collected_Blood_Volume,Total_bleed_time,Bleed_Finish_Time,Whole_Blood_for_RNA,Whole_Blood_for_DNA,Plasma_(P1),Plasma_(P2),Plasma_(P3),RBC_(plasma_removed),Glucose,Date,Notes (LN=liquid nitrogen); time in hour:minutes
1,1,13.1,103.8,1038,300,3:22,10:40,Yes,Yes,Yes,Yes,Yes,Yes,93,3/19/2024,did not catch the volume before it was deposited into RBC tube but it was >300 and within limits
1,1,7.5,81.1,811,220,6:29,10:35,Yes,Yes,Yes,Yes,Yes,Yes,85,3/19/2024,
1,1,10.4,72.2,722,500,9:21,10:38,Yes,Yes,Yes,Yes,Yes,Yes,147,3/19/2024,
1,1,15.2,86.2,862,340,4:00,10:47,Yes,Yes,Yes,Yes,Yes,Yes,133,3/19/2024,"RBC lysed, slightly red in P1, P2, P3"
1,1,5.4,90.9,909,450,2:11,10:41,Yes,Yes,Yes,Yes,Yes,Yes,91,3/19/2024,
1,1,3.2,87.7,877,220,7:50,10:49,Yes,Yes,Yes,Yes,Yes,Yes,136,3/19/2024,
3,2,7.4,111.5,1115,280,4:15,10:56,Yes,Yes,Yes,Yes,Yes,Yes,129,3/19/2024,
3,2,13.2,148.1,1481,550,2:22,10:53,Yes,Yes,Yes,Yes,Yes,Yes,94,3/19/2024,
3,2,15.3,141.4,1414,400,5:00,11:00,Yes,Yes,Yes,Yes,Yes,Yes,107,3/19/2024,
3,2,5.5,168.1,1681,500,3:30,10:55,Yes,Yes,Yes,Yes,Yes,Yes,77,3/19/2024,
3,2,10.5,120,1200,350,5:37,11:02,Yes,Yes,Yes,Yes,Yes,Yes,127,3/19/2024,
3,2,8.1,139.4,1394,100,8:20,11:05,Yes,Yes,No,No,No,WB,154,3/19/2024,not enough blood; WB was snap-frozen
1,3,5.6,88.7,887,600,2:30,11:11,Yes,Yes,Yes,Yes,Yes,Yes,130,3/19/2024,"slightly red, lysed in P1, P2, P3"
1,3,2.2,84.8,848,500,2:37,11:07,Yes,Yes,Yes,Yes,Yes,Yes,112,3/19/2024,
1,3,13.3,75.7,757,300,2:00,11:07,Yes,Yes,Yes,Yes,Yes,Yes,87,3/19/2024,
1,3,8.2,100,1000,210,7:40,11:17,Yes,Yes,Yes,Yes,Yes,Yes,128,3/19/2024,P1 and P2 slightly red (lysed); very little plasma in P3
1,3,10.6,81,810,380,4:25,11:16,Yes,Yes,Yes,Yes,Yes,Yes,92,3/19/2024,
1,3,15.4,81.3,813,110,9:45,11:19,Yes,Yes,Yes,No,No,Yes,82,3/19/2024,lysed RBC after centrifuged; plasma was red
3,5,9.2,122.3,1223,200,6:40,11:28,Yes,Yes,Yes,Yes,Yes,Yes,110,3/19/2024,P3 was red; RBC lysed
3,5,2.4,156.6,1566,500,2:45,11:27,Yes,Yes,Yes,Yes,Yes,Yes,117,3/19/2024,
3,5,11.2,136.1,1361,500,3:05,11:29,Yes,Yes,Yes,Yes,Yes,Yes,118,3/19/2024,
3,5,13.4,143,1430,300,3:33,11:31,Yes,Yes,Yes,Yes,No,Yes,108,3/19/2024,very clotted; less plasma; RBC lysed
3,5,6.2,155,1550,490,2:28,11:24,Yes,Yes,Yes,Yes,No,Yes,85,3/19/2024,
