Clutch_ID,TRIG,CV,Treatment ,OutsideCurve,Date,Plate,Plasma Appearance,Notes
GH_Pool,144.1428571,3.376106648,POOL,N,11/27/2024,2,U,
12.5 (A),78.42857143,4.465937565,Cold-Dormancy,N,11/27/2024,2,U,
6.3 (A),2,3.178008005,Cold-Dormancy,N,11/27/2024,2,U,
13.1 (D),82.71428571,7.289760631,Cold-Dormancy,N,11/27/2024,2,U,
3.3 (A),23.42857143,1.359820733,Constant-Warmth,N,11/27/2024,2,U,
14.4 (D),38.42857143,0.617560508,Constant-Warmth,N,11/27/2024,2,U,
5.1 (A),97.71428571,1.813094311,Constant-Warmth,N,11/27/2024,2,U,
10.4 (A),34.14285714,36.14805967,Cold-Dormancy,N,11/27/2024,2,U,
3.1 (D),199.8571429,2.175713173,Cold-Dormancy,N,11/27/2024,2,U,
12.2 (A),-0.857142857,0,Constant-Warmth,Y,11/27/2024,2,U,
13.3 (A),114.1428571,16.46397879,Cold-Dormancy,N,11/27/2024,2,U,
3.3 (D),116.2857143,11.71537862,Constant-Warmth,N,11/27/2024,2,U,
12.2 (C),7.714285714,1.520659744,Constant-Warmth,N,11/27/2024,2,U,
5.1 (C),171.2857143,9.200907514,Constant-Warmth,N,11/27/2024,2,U,
17.4 (C),24.14285714,2.029971621,Cold-Dormancy,N,11/27/2024,2,U,
9.4 (A),15.57142857,3.589374524,Constant-Warmth,N,11/27/2024,2,U,
6.4 (C) ,7.714285714,0,Cold-Dormancy,N,11/27/2024,2,Slightly reddish,Goopy
17.4 (A),69.14285714,4.159451654,Cold-Dormancy,N,11/27/2024,2,U,
17.2 (A),192.7142857,0.953402402,Constant-Warmth,N,11/27/2024,2,U,
14.4 (C),-36.57142857,2.280989617,Constant-Warmth,Y,11/27/2024,2,U,
15.5 (D),3.428571429,1.571348403,Constant-Warmth,N,11/27/2024,2,Slightly lysed,
15.1 (A),-3,4.135127375,Constant-Warmth,N,11/27/2024,2,U,
9.4 (D),72.71428571,6.637103361,Constant-Warmth,N,11/27/2024,2,U,
2.2 (A),60.57142857,7.614996105,POOL,N,11/27/2024,2,U,
6.4 (A) ,-33.71428571,2.209708691,Cold-Dormancy,Y,11/27/2024,2,Slightly reddish,Goopy
3.1 (A),8.428571429,0.756263937,Cold-Dormancy,N,11/27/2024,2,U,
15.5 (C),-33,3.28886875,Constant-Warmth,Y,11/27/2024,2,U,
3.3 (C),142,9.075167245,Constant-Warmth,N,11/27/2024,2,U,
6.3 (D),14.14285714,0.725237724,Cold-Dormancy,N,11/27/2024,2,U,
10.4 (C),12,13.25825215,Cold-Dormancy,N,11/27/2024,2,U,
11.1 (C),89.85714286,1.409515178,Cold-Dormancy,N,11/27/2024,2,Slightly reddish,
5.1 (D),220.5714286,4.675086157,Constant-Warmth,N,11/27/2024,2,U,
10.4 (D),58.42857143,11.55583067,Cold-Dormancy,N,11/27/2024,2,U,
