Nest_ID,Treatment,Tortoise_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post
GT2023_N01,NA,Not_Viable,NA,,,
GT2023_N02,NA,Not_Viable,NA,,,
GT2023_N02,Cold-Dormancy,GT2023_N02.02,3,0.087263158,0.547368421,0.783516484
GT2023_N02,Cold-Dormancy,GT2023_N02.03,11,0.023157895,0.626315789,0.46043956
GT2023_N02,Constant-Warmth,GT2023_N02.04,5,0.713578947,1.036842105,0.757142857
GT2023_N03,Cold-Dormancy,GT2023_N03.01,6,0.068736842,0.789473684,0.928571429
GT2023_N03,Cold-Dormancy,GT2023_N03.02,1,0.114526316,0.478947368,0.773626374
GT2023_N03,Constant-Warmth,GT2023_N03.03,8,0.570842105,1.073684211,0.227472527
GT2023_N03,Cold-Dormancy,GT2023_N03.04,9,0.104105263,0.5,0.493406593
GT2023_N04,NA,Not_Viable,NA,0,0,0
GT2023_N04,NA,Not_Viable,NA,0,0,0
GT2023_N04,NA,Not_Viable,NA,0,0,0
GT2023_N04,NA,Not_Viable,NA,0,0,0
GT2023_N05,Constant-Warmth,GT2023_N05.01,10,1.063473684,2.521052632,1.57032967
GT2023_N05,Cold-Dormancy,GT2023_N05.02,11,0.127578947,0.484210526,1.07032967
GT2023_N05,Constant-Warmth,GT2023_N05.03,12,1.640526316,2.9,2.489010989
GT2023_N05,Cold-Dormancy,GT2023_N05.04,1,0.022105263,0.831578947,0.983516484
GT2023_N05,Constant-Warmth,GT2023_N05.05,2,0.665789474,1.378947368,0.915384615
GT2023_N05,Cold-Dormancy,GT2023_N05.06,3,0.030842105,0.442105263,0.1
GT2023_N06,Constant-Warmth,GT2023_N06.01,12,0.310315789,0.321052632,-0.001098901
GT2023_N06,Constant-Warmth,GT2023_N06.02,5,0.663578947,1.352631579,0.88021978
GT2023_N06,Cold-Dormancy,GT2023_N06.03,6,0.127789474,0.505263158,1.040659341
GT2023_N06,Cold-Dormancy,GT2023_N06.04,9,0.091894737,0.694736842,0.825274725
GT2023_N06,Constant-Warmth,GT2023_N06.05,8,0.700315789,2.015789474,0.995604396
GT2023_N07,Cold-Dormancy,GT2023_N07.01,9,-0.007473684,0.605263158,0.584615385
GT2023_N07,Constant-Warmth,GT2023_N07.02,10,0.582105263,0.878947368,0.664835165
GT2023_N07,Cold-Dormancy,GT2023_N07.03,11,0.057157895,0.4,0.873626374
GT2023_N07,Constant-Warmth,GT2023_N07.04,2,0.412210526,0.752631579,0.385714286
GT2023_N07,Cold-Dormancy,GT2023_N07.05,1,0.115263158,0.326315789,0.773626374
GT2023_N08,Constant-Warmth,GT2023_N08.01,2,0.488736842,0.968421053,0.785714286
GT2023_N08,Cold-Dormancy,GT2023_N08.02,3,0.055789474,1,1.098901099
GT2023_N08,NA,Not_Viable,NA,0,0,0
GT2023_N09,Constant-Warmth,GT2023_N09.01,12,0.782421053,1.052631579,1.132967033
GT2023_N09,Constant-Warmth,GT2023_N09.02,5,0.594736842,0.589473684,0.474725275
GT2023_N09,Cold-Dormancy,GT2023_N09.03,6,0.089473684,0.984210526,0.912087912
GT2023_N09,Constant-Warmth,GT2023_N09.04,10,0.578105263,1.178947368,0.687912088
GT2023_N09,Constant-Warmth,GT2023_N09.05,8,0.731052632,1.752631579,1.373626374
GT2023_N09,Cold-Dormancy,GT2023_N09.06,9,0.097894737,0.552631579,0.595604396
GT2023_N10,Constant-Warmth,GT2023_N10.01,10,0.566842105,1.578947368,0.428571429
GT2023_N10,Cold-Dormancy,GT2023_N10.02,11,0.035684211,0.357894737,0.513186813
GT2023_N10,Constant-Warmth,GT2023_N10.03,12,0.392105263,1.284210526,0.104395604
GT2023_N10,Cold-Dormancy,GT2023_N10.04,1,0.033684211,0.557894737,0.692307692
GT2023_N10,Constant-Warmth,GT2023_N10.05,2,0.504315789,0.473684211,0.373626374
GT2023_N10,Cold-Dormancy,GT2023_N10.06,3,0.029157895,0.657894737,0.882417582
GT2023_N11,Cold-Dormancy,GT2023_N11.01,9,0.071368421,0.689473684,0.614285714
GT2023_N11,Constant-Warmth,GT2023_N11.02,5,0.59,0.994736842,1.118681319
GT2023_N11,Cold-Dormancy,GT2023_N11.03,6,0.048,0.689473684,0.378021978
GT2023_N11,Constant-Warmth,GT2023_N11.04,8,0.648421053,1.263157895,0.93956044
GT2023_N12,NA,Not_Viable,NA,0,0,0
GT2023_N12,Constant-Warmth,GT2023_N12.02,8,0.576421053,1.463157895,1.402197802
GT2023_N12,NA,Not_Viable,NA,0,0,0
GT2023_N12,Cold-Dormancy,GT2023_N12.04,6,0.102105263,0.731578947,0.958241758
GT2023_N12,Cold-Dormancy,GT2023_N12.05,11,0.054526316,0.684210526,0.656043956
GT2023_N12,Constant-Warmth,GT2023_N12.06,10,0.607263158,0.810526316,0.748351648
GT2023_N13,Cold-Dormancy,GT2023_N13.01,1,0.144421053,0.642105263,1.184615385
GT2023_N13,Constant-Warmth,GT2023_N13.02,2,0.608105263,1.184210526,1.168131868
GT2023_N13,Cold-Dormancy,GT2023_N13.03,3,0.055894737,0.6,0.826373626
GT2023_N13,Constant-Warmth,GT2023_N13.04,5,0.629263158,0.915789474,0.901098901
GT2023_N13,NA,Not_Viable,NA,0,0,0
GT2023_N13,NA,Not_Viable,NA,0,0,0
GT2023_N14,NA,Not_Viable,NA,0,0,0
GT2023_N14,NA,Not_Viable,NA,0,0,0
GT2023_N14,NA,Not_Viable,NA,0,0,0
GT2023_N14,Constant-Warmth,GT2023_N14.04,12,0.610421053,1.063157895,0.964835165
GT2023_N14,Cold-Dormancy,GT2023_N14.05,11,0.045894737,0.857894737,1.031868132
GT2023_N15,Constant-Warmth,GT2023_N15.01,12,0.494526316,1.505263158,1.089010989
GT2023_N15,Cold-Dormancy,GT2023_N15.02,1,0.096,0.484210526,0.651648352
GT2023_N15,Constant-Warmth,GT2023_N15.03,2,0.570526316,0.657894737,0.883516484
GT2023_N15,Cold-Dormancy,GT2023_N15.04,3,0.039368421,0.594736842,0.205494505
GT2023_N15,Constant-Warmth,GT2023_N15.05,5,0.290105263,0.978947368,0.093406593
GT2023_N16,NA,Not_Viable,NA,0,0,0
GT2023_N16,NA,Not_Viable,NA,0,0,0
GT2023_N17,NA,Not_Viable,NA,0,0,0
GT2023_N17,Cold-Dormancy,GT2023_N17.02,6,0.228421053,0.757894737,0.875824176
GT2023_N17,Constant-Warmth,GT2023_N17.03,8,1.010421053,2.468421053,1.321978022
GT2023_N17,Cold-Dormancy,GT2023_N17.04,9,0.074842105,0.768421053,0.671428571
GT2023_N17,Constant-Warmth,GT2023_N17.05,10,0.665263158,1.352631579,0.531868132
