Nest_ID,Treatment,Tortoise_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,mtDNA_change_A_to_B,mtDNA_change_B_to_C,mtDNA_change_C_to_D,Telomeres_change_A_to_B,Telomeres_change_B_to_C,Telomeres_change_C_to_D
GT2023_N02,Cold-Dormancy,GT2023_N02.02,3,0.087263158,0.547368421,0.783516484,NA,-0.04878156162479996,1.684501398380899,NA,-218070.53920115996,3444919.1358753103
GT2023_N02,Cold-Dormancy,GT2023_N02.03,11,0.023157895,0.626315789,0.46043956,3.866214836709702,4.154538857711,-11.8173993659217,1294401.1406199206,4807094.843986829,-4789559.979240479
GT2023_N02,Constant-Warmth,GT2023_N02.04,5,0.713578947,1.036842105,0.757142857,7.7620694911528,-0.5016012475452989,-8.1827518122645,10911175.2914648,-7388456.81383696,-3434307.2509192703
GT2023_N03,Cold-Dormancy,GT2023_N03.01,6,0.068736842,0.789473684,0.928571429,13.3368111589222,-3.8620990998247,-8.954266075791,1012247.5646314798,2294942.42666363,-991151.7007166902
GT2023_N03,Cold-Dormancy,GT2023_N03.02,1,0.114526316,0.478947368,0.773626374,5.2814995006852,-8.192439064932,-1.2551168920283011,10159347.11813024,-9819580.95492246,162335.59194249008
GT2023_N03,Constant-Warmth,GT2023_N03.03,8,0.570842105,1.073684211,0.227472527,2.072332359926799,0.3884425496383024,-3.549521204505801,2314379.2847081996,2656277.0234021805,-3854787.1199169103
GT2023_N03,Cold-Dormancy,GT2023_N03.04,9,0.104105263,0.5,0.493406593,-7.1329524508416995,8.209601359281997,-5.000625194876299,112682.25375028,5092737.10290006,-4316073.3684725
GT2023_N05,Constant-Warmth,GT2023_N05.01,10,1.063473684,2.521052632,1.57032967,6.6811300178797985,-4.582775862710999,-5.8212138792563,-797588.7868038295,3273291.69948883,-2777419.6056995494
GT2023_N05,Cold-Dormancy,GT2023_N05.02,11,0.127578947,0.484210526,1.07032967,NA,1.6364320144002988,-0.06952048078920114,NA,2033902.6603626003,-3300673.4832142205
GT2023_N05,Constant-Warmth,GT2023_N05.03,12,1.640526316,2.9,2.489010989,15.2708797367972,-16.238032979396998,5.804248456396598,7248327.90886992,-3770253.08112786,2444465.5232091807
