Sample,Nest_ID,Treatment,Plate_ID,Time_Point,Tortoise_ID,Tank,SQ.Mean_SCNAG,SQ.Mean_mtDNA,mtDNA.Mean,Cq.Mean_SCNAG,SQ.Mean_Telomeres,Cq.Mean_Telomeres,Telomeres.per.cell
10.1_A,GT2023_N10,Constant-Warmth,Plate2,A,GT2023_N10.01,10,49222.96309,806594.7026,16.38655318,28.37543201,1.67E+11,18.36718651,3392725.458
10.1_B,GT2023_N10,Constant-Warmth,Plate5,B,GT2023_N10.01,10,56504.80349,1104546.169,19.54782781,27.38775364,1.84E+11,18.63406809,3261033.628
10.1_C,GT2023_N10,Constant-Warmth,Plate2,C,GT2023_N10.01,10,18988.78962,388949.6146,20.4831178,29.75873853,1.77E+11,18.28618599,9321289.223
10.1_D,GT2023_N10,Constant-Warmth,Plate4,D,GT2023_N10.01,10,55551.34193,851119.1082,15.32130599,27.40808924,2.52E+11,17.95606651,4533014.756
10.2_A,GT2023_N10,Cold-Dormancy,Plate3,A,GT2023_N10.02,11,45686.42706,1122234.382,24.56384651,27.30327242,2.38E+11,17.62271189,5217132.459
10.2_B,GT2023_N10,Cold-Dormancy,Plate3,B,GT2023_N10.02,11,53051.10586,1263676.189,23.81997827,27.08088612,2.70E+11,17.44522544,5091502.351
10.2_C,GT2023_N10,Cold-Dormancy,Plate6,C,GT2023_N10.02,11,46151.46957,1274230.689,27.6097533,27.76020748,2.94E+11,17.60231823,6365322.768
10.2_D,GT2023_N10,Cold-Dormancy,Plate3,D,GT2023_N10.02,11,88910.40739,1204352.494,13.54568637,26.33258103,3.96E+11,16.89064113,4455117.045
10.3_B,GT2023_N10,Constant-Warmth,Plate4,B,GT2023_N10.03,12,33829.43371,705412.7714,20.85204197,28.14272288,1.70E+11,18.55753464,5011066.949
10.3_C,GT2023_N10,Constant-Warmth,Plate6,C,GT2023_N10.03,12,53107.98238,691088.2487,13.01288842,27.55413916,2.20E+11,18.05428699,4140620.489
10.3_D,GT2023_N10,Constant-Warmth,Plate4,D,GT2023_N10.03,12,68142.85494,1024255.567,15.03100461,27.10580972,2.53E+11,17.94839369,3712233.959
10.4_A,GT2023_N10,Cold-Dormancy,Plate6,A,GT2023_N10.04,1,75338.94356,1180559.778,15.66998052,27.03985818,3.16E+11,17.49433385,4194284.988
10.4_B,GT2023_N10,Cold-Dormancy,Plate2,B,GT2023_N10.04,1,26721.71188,377264.9855,14.11829404,29.2604907,1.69E+11,18.369533,6324445.108
10.4_C,GT2023_N10,Cold-Dormancy,Plate2,C,GT2023_N10.04,1,21152.18797,465876.3617,22.02497266,29.59978165,1.81E+11,18.25321301,8557034.395
10.4_D,GT2023_N10,Cold-Dormancy,Plate1,D,GT2023_N10.04,1,22671.36539,445046.1704,19.63032057,28.66400258,1.80E+11,18.35019757,7939530.633
10.5_A,GT2023_N10,Constant-Warmth,Plate6,A,GT2023_N10.05,2,57119.062,1010607.35,17.69299625,27.44917873,3.48E+11,17.33872807,6085761.703
10.5_B,GT2023_N10,Constant-Warmth,Plate3,B,GT2023_N10.05,2,43104.66458,848739.7551,19.6902067,27.38974324,2.80E+11,17.39015345,6493903.691
10.5_C,GT2023_N10,Constant-Warmth,Plate6,C,GT2023_N10.05,2,91017.66735,1366951.579,15.01853013,26.76252078,3.97E+11,17.13195233,4361790.535
10.5_D,GT2023_N10,Constant-Warmth,Plate2,D,GT2023_N10.05,2,23048.78975,545638.6147,23.67320022,29.49786257,1.89E+11,18.18513101,8199996.704
10.6_A,GT2023_N10,Cold-Dormancy,Plate1,A,GT2023_N10.06,3,15656.00958,334561.9468,21.3695543,29.19663076,1.76E+11,18.38831288,11241689.6
10.6_B,GT2023_N10,Cold-Dormancy,Plate1,B,GT2023_N10.06,3,12816.70411,294290.4442,22.96147603,29.50372,1.35E+11,18.81697751,10533129.18
10.6_C,GT2023_N10,Cold-Dormancy,Plate5,C,GT2023_N10.06,3,38509.55931,670352.1719,17.40742257,27.94707704,1.90E+11,18.60540317,4923041.885
11.1_A,GT2023_N11,Cold-Dormancy,Plate4,A,GT2023_N11.01,9,49103.64667,1043951.731,21.26016706,27.59076058,1.84E+11,18.43045784,3744998.535
11.1_B,GT2023_N11,Cold-Dormancy,Plate4,B,GT2023_N11.01,9,59502.3591,773465.4587,12.99890408,27.30675223,2.31E+11,18.08623243,3879553.465
11.1_C,GT2023_N11,Cold-Dormancy,Plate5,C,GT2023_N11.01,9,61637.24942,727711.7831,11.80636368,27.26070926,1.99E+11,18.5126667,3229391.231
11.1_D,GT2023_N11,Cold-Dormancy,Plate5,D,GT2023_N11.01,9,23478.65824,354807.2393,15.11190442,28.67032867,1.28E+11,19.21366375,5438086.783
11.2_A,GT2023_N11,Constant-Warmth,Plate3,A,GT2023_N11.02,5,49628.06936,963060.3354,19.40555714,27.17906793,2.05E+11,17.84338531,4132428.519
11.2_B,GT2023_N11,Constant-Warmth,Plate5,B,GT2023_N11.02,5,58300.82574,1348203.305,23.12494356,27.3415724,2.54E+11,18.12655315,4365261.889
11.2_C,GT2023_N11,Constant-Warmth,Plate3,C,GT2023_N11.02,5,61750.45125,1129059.039,18.28422329,26.86123704,3.14E+11,17.22798302,5090008.128
11.2_D,GT2023_N11,Constant-Warmth,Plate2,D,GT2023_N11.02,5,27753.86364,337836.7411,12.17260218,29.20589938,1.07E+11,19.05526536,3855319.078
11.3_A,GT2023_N11,Cold-Dormancy,Plate1,A,GT2023_N11.03,6,36980.47775,560953.8437,15.16891825,27.94945224,2.19E+11,18.03927778,5922043.557
11.3_B,GT2023_N11,Cold-Dormancy,Plate2,B,GT2023_N11.03,6,14571.56987,323795.9556,22.22107559,30.13876718,1.69E+11,18.35178684,11597926.75
11.3_C,GT2023_N11,Cold-Dormancy,Plate6,C,GT2023_N11.03,6,80658.64034,1132284.645,14.03798329,26.93973334,3.45E+11,17.35004378,4277322.288
11.3_D,GT2023_N11,Cold-Dormancy,Plate4,D,GT2023_N11.03,6,26844.30921,475476.4488,17.71237416,28.48603693,1.65E+11,18.59696435,6132078.93
11.4_B,GT2023_N11,Constant-Warmth,Plate6,B,GT2023_N11.04,8,61678.0253,951586.2812,15.42828709,27.33389643,2.77E+11,17.70006811,4497144.626
11.4_C,GT2023_N11,Constant-Warmth,Plate4,C,GT2023_N11.04,8,48867.77785,624008.4746,12.76932372,27.59860957,1.88E+11,18.4017416,3837971.202
11.4_D,GT2023_N11,Constant-Warmth,Plate5,D,GT2023_N11.04,8,63427.76397,733588.0521,11.56572463,27.21773662,1.48E+11,18.98047559,2331287.067
12.2_B,GT2023_N12,Constant-Warmth,Plate3,B,GT2023_N12.02,8,47212.64067,831254.9421,17.60661828,27.25119613,2.28E+11,17.68688732,4823849.893
12.4_A,GT2023_N12,Cold-Dormancy,Plate1,A,GT2023_N12.04,6,23316.02608,523111.8914,22.43572252,28.62001912,1.64E+11,18.50903193,7033788.667
12.4_B,GT2023_N12,Cold-Dormancy,Plate5,B,GT2023_N12.04,6,47817.02992,661823.9882,13.84075902,27.6315204,1.32E+11,19.16165512,2755809.763
12.4_C,GT2023_N12,Cold-Dormancy,Plate6,C,GT2023_N12.04,6,99594.97405,1382493.772,13.88116002,26.67988699,3.96E+11,17.13364645,3979548.203
12.4_D,GT2023_N12,Cold-Dormancy,Plate4,D,GT2023_N12.04,6,77356.71322,1057498.449,13.67041598,26.91777656,2.25E+11,18.12837707,2903034.352
12.5_A,GT2023_N12,Cold-Dormancy,Plate5,A,GT2023_N12.05,11,50604.03229,1329634.887,26.27527544,27.5481702,2.02E+11,18.48913486,3993661.906
12.5_B,GT2023_N12,Cold-Dormancy,Plate2,B,GT2023_N12.05,11,28214.2945,550156.8808,19.49922515,29.18307974,1.71E+11,18.33894916,6060757.606
12.5_C,GT2023_N12,Cold-Dormancy,Plate4,C,GT2023_N12.05,11,42312.27743,840859.4389,19.87270575,27.8131379,2.15E+11,18.1973034,5069563.75
12.5_D,GT2023_N12,Cold-Dormancy,Plate6,D,GT2023_N12.05,11,66235.37992,1283686.647,19.38067915,27.22976942,2.86E+11,17.64479303,4313827.449
12.6_A,GT2023_N12,Constant-Warmth,Plate4,A,GT2023_N12.06,10,46993.67353,1236429.475,26.31055165,27.65633346,1.89E+11,18.3857435,4028205.735
12.6_B,GT2023_N12,Constant-Warmth,Plate4,B,GT2023_N12.06,10,30806.56517,839853.4021,27.26215654,28.28108006,1.71E+11,18.54580462,5534872.978
12.6_C,GT2023_N12,Constant-Warmth,Plate5,C,GT2023_N12.06,10,27329.51685,460471.8083,16.84888214,28.4484865,1.27E+11,19.2211044,4647005.671
12.6_D,GT2023_N12,Constant-Warmth,Plate4,D,GT2023_N12.06,10,30367.71813,782305.6141,25.76109311,28.30521629,2.00E+11,18.30729263,6569592.502
13.1_A,GT2023_N13,Cold-Dormancy,Plate3,A,GT2023_N13.01,1,48074.29044,1093607.759,22.74828706,27.22617964,1.51E+11,18.27646397,3146300.516
13.1_B,GT2023_N13,Cold-Dormancy,Plate6,B,GT2023_N13.01,1,74981.99807,1307896.786,17.44281053,27.04666312,2.56E+11,17.81655187,3414552.914
13.1_C,GT2023_N13,Cold-Dormancy,Plate3,C,GT2023_N13.01,1,56058.77161,1141706.614,20.36624388,27.00161963,2.48E+11,17.56799384,4423935.95
13.1_D,GT2023_N13,Cold-Dormancy,Plate4,D,GT2023_N13.01,1,49998.79749,794176.2728,15.88390747,27.56596823,1.32E+11,18.92853346,2643547.591
13.2_B,GT2023_N13,Constant-Warmth,Plate1,B,GT2023_N13.02,2,19519.40953,477617.2985,24.46883948,28.87731781,1.99E+11,18.19708469,10194980.52
13.2_C,GT2023_N13,Constant-Warmth,Plate2,C,GT2023_N13.02,2,25958.59873,286865.2045,11.05087403,29.30293232,1.69E+11,18.35412268,6510366.826
13.2_D,GT2023_N13,Constant-Warmth,Plate5,D,GT2023_N13.02,2,42865.03769,762818.7419,17.79582576,27.79174649,1.30E+11,19.18459482,3029981.951
13.3_A,GT2023_N13,Cold-Dormancy,Plate5,A,GT2023_N13.03,3,23093.32014,421888.5079,18.2688546,28.72292245,82408309894,19.90954167,3568491.208
13.3_B,GT2023_N13,Cold-Dormancy,Plate1,B,GT2023_N13.03,3,15419.72953,303341.6813,19.67230882,29.2316751,1.49E+11,18.65694014,9662945.106
13.3_C,GT2023_N13,Cold-Dormancy,Plate5,C,GT2023_N13.03,3,50402.21993,915369.9766,18.16130277,27.55423082,2.08E+11,18.4472175,4117557.144
13.3_D,GT2023_N13,Cold-Dormancy,Plate2,D,GT2023_N13.03,3,24454.36622,350202.0675,14.3206356,29.39388889,1.42E+11,18.61795903,5806734.009
13.4_A,GT2023_N13,Constant-Warmth,Plate3,A,GT2023_N13.04,5,46432.01573,922710.4281,19.87228884,27.27450149,1.94E+11,17.92174725,4175583.777
13.4_B,GT2023_N13,Constant-Warmth,Plate4,B,GT2023_N13.04,5,60065.41713,695214.9607,11.57429672,27.29269128,1.83E+11,18.44085553,3038650.923
13.4_C,GT2023_N13,Constant-Warmth,Plate3,C,GT2023_N13.04,5,67106.37971,851300.9879,12.68584286,26.74025671,3.38E+11,17.11724122,5042012.448
13.4_D,GT2023_N13,Constant-Warmth,Plate1,D,GT2023_N13.04,5,16829.40927,309979.1967,18.41889942,29.09180293,2.16E+11,18.05443023,12834675.09
14.5_A,GT2023_N14,Cold-Dormancy,Plate3,A,GT2023_N14.05,11,40289.7803,587356.0907,14.57828974,27.47951157,2.15E+11,17.77730136,5338407.137
14.5_B,GT2023_N14,Cold-Dormancy,Plate3,B,GT2023_N14.05,11,59389.71323,1008628.931,16.98322616,26.91717244,3.30E+11,17.15401606,5561475.53
