Well,Fluor,,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,,,Std-01,STD1,,17.57781525,17.4356419,0.201063489,3.00E+11,11.47712125,3.00E+11,0,60,
A02,SYBR,,,Std-01,STD1,,17.29346854,17.4356419,0.201063489,3.00E+11,11.47712125,3.00E+11,0,60,
A03,SYBR,,,Unkn-01,11.3_A,,18.15619944,18.03927778,0.165352202,2.03E+11,11.30790546,2.19E+11,22380598234,60,
A04,SYBR,,,Unkn-01,11.3_A,,17.92235612,18.03927778,0.165352202,2.35E+11,11.37077653,2.19E+11,22380598234,60,
A05,SYBR,,,Unkn-09,9.1_D,,18.08699946,18.04083161,0.065291191,2.12E+11,11.32651056,2.18E+11,8822232426,60,
A06,SYBR,,,Unkn-09,9.1_D,,17.99466377,18.04083161,0.065291191,2.25E+11,11.35133591,2.18E+11,8822232426,60,
A07,SYBR,,,Unkn-17,5.1_C,,18.77020761,18.75870722,0.016264008,1.39E+11,11.14282335,1.40E+11,1408925872,60,
A08,SYBR,,,Unkn-17,5.1_C,,18.74720683,18.75870722,0.016264008,1.41E+11,11.14900734,1.40E+11,1408925872,60,
A09,SYBR,,,Unkn-25,7.5_C,,18.58664226,18.51805896,0.096991435,1.56E+11,11.1921767,1.63E+11,9754867916,60,
A10,SYBR,,,Unkn-25,7.5_C,,18.44947566,18.51805896,0.096991435,1.69E+11,11.22905528,1.63E+11,9754867916,60,
A11,SYBR,,,Unkn-33,9.3_A,,18.10614121,18.11712802,0.015537698,2.10E+11,11.32136411,2.08E+11,2002358190,60,
A12,SYBR,,,Unkn-33,9.3_A,,18.12811483,18.11712802,0.015537698,2.07E+11,11.31545628,2.08E+11,2002358190,60,
B01,SYBR,,,Std-02,STD2,,21.23031303,21.13223468,0.138703731,30000000000,10.47712125,30000000000,0,60,
B02,SYBR,,,Std-02,STD2,,21.03415633,21.13223468,0.138703731,30000000000,10.47712125,30000000000,0,60,
B03,SYBR,,,Unkn-02,3.1_B,,18.15908214,18.2699677,0.156815865,2.03E+11,11.30713042,1.90E+11,18398835213,60,
B04,SYBR,,,Unkn-02,3.1_B,,18.38085326,18.2699677,0.156815865,1.77E+11,11.24750508,1.90E+11,18398835213,60,
B05,SYBR,,,Unkn-10,5.3_B,,18.08453122,18.08227107,0.003196346,2.12E+11,11.32717416,2.13E+11,420898482.1,60,
B06,SYBR,,,Unkn-10,5.3_B,,18.08001091,18.08227107,0.003196346,2.13E+11,11.3283895,2.13E+11,420898482.1,60,
B07,SYBR,,,Unkn-18,15.3_A,,18.83593845,18.8701184,0.048337745,1.33E+11,11.12515097,1.31E+11,3908604213,60,
B08,SYBR,,,Unkn-18,15.3_A,,18.90429835,18.8701184,0.048337745,1.28E+11,11.10677175,1.31E+11,3908604213,60,
B09,SYBR,,,Unkn-26,13.2_B,,18.32387762,18.19708469,0.179312279,1.83E+11,11.26282354,1.99E+11,22014585681,60,
B10,SYBR,,,Unkn-26,13.2_B,,18.07029176,18.19708469,0.179312279,2.14E+11,11.33100258,1.99E+11,22014585681,60,
B11,SYBR,,,Unkn-34,17.5_C,,18.23236004,18.20420154,0.039822134,1.94E+11,11.28742894,1.97E+11,4862814477,60,
B12,SYBR,,,Unkn-34,17.5_C,,18.17604304,18.20420154,0.039822134,2.01E+11,11.30257032,1.97E+11,4862814477,60,
C01,SYBR,,,Std-03,STD3,,25.52702211,25.4671464,0.084677053,3000000000,9.477121255,3000000000,0,60,
C02,SYBR,,,Std-03,STD3,,25.40727068,25.4671464,0.084677053,3000000000,9.477121255,3000000000,0,60,
