Well,Fluor,,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,,0,Std-01,STD1,,16.74004548,16.75035077,0.014573886,30000000,7.477121255,30000000,0,62,
A02,FAM,,0,Std-01,STD1,,16.76065607,16.75035077,0.014573886,30000000,7.477121255,30000000,0,62,
A03,FAM,,0,Unkn-01,15.3_D,,22.69482175,22.53411767,0.227269888,512537.0407,5.709725257,576716.8424,90763.94591,62,
A04,FAM,,0,Unkn-01,15.3_D,,22.37341359,22.53411767,0.227269888,640896.644,5.806787997,576716.8424,90763.94591,62,
A05,FAM,,0,Unkn-09,5.5_A,,22.76245763,22.78379138,0.030170482,488989.7449,5.689299751,481842.2863,10108.03281,62,
A06,FAM,,0,Unkn-09,5.5_A,,22.80512514,22.78379138,0.030170482,474694.8278,5.6764145,481842.2863,10108.03281,62,
A07,FAM,,0,Unkn-17,6.3_D,,23.16658866,23.25033994,0.118442196,369194.6105,5.567255353,348898.5671,28702.93983,62,
A08,FAM,,0,Unkn-17,6.3_D,,23.33409122,23.25033994,0.118442196,328602.5237,5.516670895,348898.5671,28702.93983,62,
A09,FAM,,0,Unkn-25,10.1_C,,23.12320829,23.09196581,0.044183526,380501.073,5.580355886,388949.6146,11948.04214,62,
A10,FAM,,0,Unkn-25,10.1_C,,23.06072334,23.09196581,0.044183526,397398.1562,5.599225848,388949.6146,11948.04214,62,
A11,FAM,,0,Unkn-33,15.1_C,,22.19692067,22.1710557,0.036578594,724581.887,5.860087473,737851.1028,18765.50494,62,
A12,FAM,,0,Unkn-33,15.1_C,,22.14519073,22.1710557,0.036578594,751120.3186,5.87570951,737851.1028,18765.50494,62,
B01,FAM,,0,Std-02,STD2,,20.25039438,20.24025352,0.014341347,3000000,6.477121255,3000000,0,62,
B02,FAM,,0,Std-02,STD2,,20.23011266,20.24025352,0.014341347,3000000,6.477121255,3000000,0,62,
B03,FAM,,0,Unkn-02,10.1_A,,22.0022749,22.04330353,0.058023256,829600.4312,5.918868969,806594.7026,32535.01352,62,
B04,FAM,,0,Unkn-02,10.1_A,,22.08433217,22.04330353,0.058023256,783588.9739,5.894088316,806594.7026,32535.01352,62,
B05,FAM,,0,Unkn-10,3.3_B,,22.60340294,22.56269062,0.057575917,546176.5102,5.737333018,562084.7833,22497.69554,62,
B06,FAM,,0,Unkn-10,3.3_B,,22.5219783,22.56269062,0.057575917,577993.0564,5.761922621,562084.7833,22497.69554,62,
B07,FAM,,0,Unkn-18,5.1_A,,22.37758704,22.35058221,0.038190594,639039.4194,5.805527649,651267.5811,17293.23207,62,
B08,FAM,,0,Unkn-18,5.1_A,,22.32357738,22.35058221,0.038190594,663495.7428,5.821838141,651267.5811,17293.23207,62,
B09,FAM,,0,Unkn-26,10.4_B,,23.1460273,23.13552965,0.014845907,374511.1254,5.573464724,377264.9855,3894.546288,62,
B10,FAM,,0,Unkn-26,10.4_B,,23.12503201,23.13552965,0.014845907,380018.8456,5.579805134,377264.9855,3894.546288,62,
B11,FAM,,0,Unkn-34,11.2_D,,23.2969798,23.29423855,0.003876722,337192.7687,5.527878252,337836.7411,910.7146021,62,
B12,FAM,,0,Unkn-34,11.2_D,,23.29149729,23.29423855,0.003876722,338480.7136,5.529533928,337836.7411,910.7146021,62,
C01,FAM,,0,Std-03,STD3,,23.38535358,23.38647342,0.001583684,300000,5.477121255,300000,0,62,
C02,FAM,,0,Std-03,STD3,,23.38759325,23.38647342,0.001583684,300000,5.477121255,300000,0,62,
C03,FAM,,0,Unkn-03,7.1_A,,22.121521,22.04251148,0.111736341,763585.3398,5.882857582,807928.5457,62710.7632,62,
C04,FAM,,0,Unkn-03,7.1_A,,21.96350195,22.04251148,0.111736341,852271.7516,5.930578094,807928.5457,62710.7632,62,
C05,FAM,,0,Unkn-11,14.5_C,,22.55572802,22.53292822,0.032243792,564586.476,5.751730471,573680.9269,12861.49584,62,
C06,FAM,,0,Unkn-11,14.5_C,,22.51012841,22.53292822,0.032243792,582775.3778,5.765501195,573680.9269,12861.49584,62,
C07,FAM,,0,Unkn-19,7.5_D,,23.00878198,23.03798928,0.041305351,412013.7697,5.614911731,403813.5805,11596.81868,62,
C08,FAM,,0,Unkn-19,7.5_D,,23.06719657,23.03798928,0.041305351,395613.3914,5.597270984,403813.5805,11596.81868,62,
C09,FAM,,0,Unkn-27,10.5_D,,22.922352,22.63361343,0.408337992,437535.1097,5.641012908,545638.6147,152881.4428,62,
C10,FAM,,0,Unkn-27,10.5_D,,22.34487487,22.63361343,0.408337992,653742.1196,5.815406467,545638.6147,152881.4428,62,
C11,FAM,,0,Unkn-35,5.3_A,,22.64371413,22.51321532,0.184553187,531079.2766,5.725159355,583921.7005,74730.47257,62,
C12,FAM,,0,Unkn-35,5.3_A,,22.38271651,22.51321532,0.184553187,636764.1244,5.803978587,583921.7005,74730.47257,62,
D01,FAM,,0,Std-04,STD4,,26.85869787,26.94003595,0.115029419,30000,4.477121255,30000,0,62,
D02,FAM,,0,Std-04,STD4,,27.02137403,26.94003595,0.115029419,30000,4.477121255,30000,0,62,
D03,FAM,,0,Unkn-04,13.3_D,,23.3665274,23.24746302,0.168382454,321273.8848,5.506875425,350202.0675,40910.6284,62,
D04,FAM,,0,Unkn-04,13.3_D,,23.12839865,23.24746302,0.168382454,379130.2503,5.578788438,350202.0675,40910.6284,62,
D05,FAM,,0,Unkn-12,12.2_D,,22.2321824,21.69174219,0.764297875,707031.4079,5.849438707,1103109.722,560139.3235,62,
D06,FAM,,0,Unkn-12,12.2_D,,21.15130198,21.69174219,0.764297875,1499188.036,6.175856108,1103109.722,560139.3235,62,
D07,FAM,,0,Unkn-20,3.4_C,,22.69281743,22.70092231,0.01146203,513251.8744,5.710330544,510375.5153,4067.786083,62,
D08,FAM,,0,Unkn-20,3.4_C,,22.70902719,22.70092231,0.01146203,507499.1562,5.705435324,510375.5153,4067.786083,62,
D09,FAM,,0,Unkn-28,10.4_C,,22.897559,22.83351762,0.090568187,445143.6675,5.6485002,465876.3617,29320.45732,62,
D10,FAM,,0,Unkn-28,10.4_C,,22.76947624,22.83351762,0.090568187,486609.0559,5.687180187,465876.3617,29320.45732,62,
D11,FAM,,0,Unkn-36,15.1_B,,21.90031475,21.88427584,0.022682452,890553.7398,5.949660132,900597.5641,14204.11246,62,
D12,FAM,,0,Unkn-36,15.1_B,,21.86823692,21.88427584,0.022682452,910641.3883,5.959347385,900597.5641,14204.11246,62,
E01,FAM,,0,Std-05,STD5,,30.18219682,30.11010179,0.101957781,3000,3.477121255,3000,0,62,
E02,FAM,,0,Std-05,STD5,,30.03800675,30.11010179,0.101957781,3000,3.477121255,3000,0,62,
E03,FAM,,0,Unkn-05,8.1_C,,23.15688715,22.91115562,0.347516861,371693.6433,5.570185134,447407.9025,107076.1321,62,
E04,FAM,,0,Unkn-05,8.1_C,,22.66542409,22.91115562,0.347516861,523122.1616,5.718603119,447407.9025,107076.1321,62,
E05,FAM,,0,Unkn-13,3.1_A,,22.61738361,22.50996917,0.151906964,540892.5082,5.733110966,584466.4704,61622.88825,62,
E06,FAM,,0,Unkn-13,3.1_A,,22.40255472,22.50996917,0.151906964,628040.4325,5.797987604,584466.4704,61622.88825,62,
E07,FAM,,0,Unkn-21,13.2_C,,23.44127632,23.53231725,0.12875132,305001.4036,5.484301838,286865.2045,25648.45863,62,
E08,FAM,,0,Unkn-21,13.2_C,,23.62335818,23.53231725,0.12875132,268729.0055,5.429314545,286865.2045,25648.45863,62,
E09,FAM,,0,Unkn-29,11.3_B,,23.3632334,23.35530395,0.011213939,322010.613,5.507870186,323795.9556,2524.855641,62,
E10,FAM,,0,Unkn-29,11.3_B,,23.3473745,23.35530395,0.011213939,325581.2981,5.51265945,323795.9556,2524.855641,62,
E11,FAM,,0,Unkn-37,15.3_B,,22.36915812,22.4105651,0.058558319,642795.9284,5.808073117,624810.8026,25434.80885,62,
E12,FAM,,0,Unkn-37,15.3_B,,22.45197208,22.4105651,0.058558319,606825.6768,5.783063949,624810.8026,25434.80885,62,
F01,FAM,,0,Std-06,STD6,,33.42588153,33.29713983,0.182068253,300,2.477121255,300,0,62,
F02,FAM,,0,Std-06,STD6,,33.16839814,33.29713983,0.182068253,300,2.477121255,300,0,62,
F03,FAM,,0,Unkn-06,5.3_D,,23.11254964,23.09290881,0.027776323,383331.6812,5.583574714,388639.1896,7505.950293,62,
F04,FAM,,0,Unkn-06,5.3_D,,23.07326798,23.09290881,0.027776323,393946.6979,5.595437465,388639.1896,7505.950293,62,
F05,FAM,,0,Unkn-14,6.4_C,,22.71813774,22.67986381,0.054127512,504294.2429,5.70268401,518079.2855,19494.99414,62,
F06,FAM,,0,Unkn-14,6.4_C,,22.64158988,22.67986381,0.054127512,531864.328,5.725800863,518079.2855,19494.99414,62,
F07,FAM,,0,Unkn-22,15.4_A,,22.51752199,22.5273935,0.013960421,579786.8907,5.763268391,575834.2662,5589.855111,62,
F08,FAM,,0,Unkn-22,15.4_A,,22.53726501,22.5273935,0.013960421,571881.6417,5.757306155,575834.2662,5589.855111,62,
F09,FAM,,0,Unkn-30,17.5_B,,22.60723615,22.66871605,0.086945704,544722.6329,5.73617542,522403.0679,31564.63159,62,
F10,FAM,,0,Unkn-30,17.5_B,,22.73019594,22.66871605,0.086945704,500083.5028,5.699042528,522403.0679,31564.63159,62,
F11,FAM,,0,Unkn-38,5.4_B,,22.11379379,22.11903274,0.007408987,767699.2893,5.885191139,764912.7501,3940.761548,62,
