,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,STD1,,17.1737571131858,17.0924393531651,0.115000679083026,300000000000,11.4771212547197,300000000000,0,60,
,A02,SYBR,,Std-01,STD1,,17.0111215931445,17.0924393531651,0.115000679083026,300000000000,11.4771212547197,300000000000,0,60,
,A03,SYBR,,Unkn-01,7.2_D,,17.8478237527198,17.9005507531383,0.0745672390950969,203652496305.416,11.3088897378938,196458793074.917,10173432672.2596,60,
,A04,SYBR,,Unkn-01,7.2_D,,17.9532777535568,17.9005507531383,0.0745672390950969,189265089844.417,11.2770705152522,196458793074.917,10173432672.2596,60,
,A05,SYBR,,Unkn-09,2.3_D,,17.6005043553681,17.5793692578646,0.0298895415315797,241832572805.873,11.3835147962647,245436317887.568,5096465169.86788,60,
,A06,SYBR,,Unkn-09,2.3_D,,17.5582341603611,17.5793692578646,0.0298895415315797,249040062969.262,11.3962692174849,245436317887.568,5096465169.86788,60,
,A07,SYBR,,Unkn-17,5.4_C,,17.7540564521961,17.9632778496886,0.295883737872542,217361522490.82,11.3371826674003,189943901000.852,38774372159.1245,60,
,A08,SYBR,,Unkn-17,5.4_C,,18.1724992471811,17.9632778496886,0.295883737872542,162526279510.884,11.2109235937691,189943901000.852,38774372159.1245,60,
,A09,SYBR,,Unkn-25,8.1_B,,17.3873815669445,17.3483559660225,0.055190534103696,280428094827.242,11.4478215214816,288241528627.335,11049864048.797,60,
,A10,SYBR,,Unkn-25,8.1_B,,17.3093303651004,17.3483559660225,0.055190534103696,296054962427.429,11.4713723450559,288241528627.335,11049864048.797,60,
,B01,SYBR,,Std-02,STD2,,20.6886831199136,20.667561135791,0.0298709964104067,30000000000,10.4771212547197,30000000000,0,60,
,B02,SYBR,,Std-02,STD2,,20.6464391516684,20.667561135791,0.0298709964104067,30000000000,10.4771212547197,30000000000,0,60,
,B03,SYBR,,Unkn-02,10.2_A,,17.6848862532234,17.6227118947433,0.0879278209942954,228062445300.466,11.3580537765456,238352141520.426,14551827946.9666,60,
,B04,SYBR,,Unkn-02,10.2_A,,17.5605375362633,17.6227118947433,0.0879278209942954,248641837740.386,11.3955742070531,238352141520.426,14551827946.9666,60,
,B05,SYBR,,Unkn-10,9.3_C,,17.3743865560619,17.3462406225319,0.0398043609239087,282971422786.243,11.4517425784469,288614561643.718,7980603506.59564,60,
,B06,SYBR,,Unkn-10,9.3_C,,17.3180946890018,17.3462406225319,0.0398043609239087,294257700501.193,11.4687278368219,288614561643.718,7980603506.59564,60,
,B07,SYBR,,Unkn-18,10.2_D,,16.8588483359876,16.8906411303393,0.0449618009579986,404854336179.674,11.6072987951345,396106271449.917,12371631785.3401,60,
,B08,SYBR,,Unkn-18,10.2_D,,16.9224339246911,16.8906411303393,0.0449618009579986,387358206720.16,11.5881127615304,396106271449.917,12371631785.3401,60,
,B09,SYBR,,Unkn-26,13.4_C,,17.1355802269658,17.1172412203666,0.0259352718530565,334040358684.95,11.5237989413484,338351201845.669,6096452863.15232,60,
,B10,SYBR,,Unkn-26,13.4_C,,17.0989022137674,17.1172412203666,0.0259352718530565,342662045006.388,11.5348660024247,338351201845.669,6096452863.15232,60,
,B11,SYBR,,Unkn-34,10.5_B,,17.3694406067869,17.3901534511598,0.029292385427559,283945471837.06,11.4532349472514,279917540392.759,5696355276.84012,60,
