,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,0,Std-01,STD1,,16.7158483892294,16.7661193151516,0.0710938252322693,30000000,7.47712125471966,30000000,0,62,
,A02,FAM,0,Std-01,STD1,,16.8163902410738,16.7661193151516,0.0710938252322693,30000000,7.47712125471966,30000000,0,62,
,A03,FAM,0,Unkn-01,7.1_B,,21.5595565375994,21.4683493271517,0.128986474001333,1130291.10394889,6.05319030946311,1204828.12010938,105411.259152982,62,
,A04,FAM,0,Unkn-01,7.1_B,,21.377142116704,21.4683493271517,0.128986474001333,1279365.13626986,6.10699451166846,1204828.12010938,105411.259152982,62,
,A05,FAM,0,Unkn-09,15.5_B,,21.9931523422789,21.990915470935,0.00316341379189752,841974.010992559,5.92529868644417,843255.079496305,1811.70445232702,62,
,A06,FAM,0,Unkn-09,15.5_B,,21.988678599591,21.990915470935,0.00316341379189752,844536.148000052,5.92661824306153,843255.079496305,1811.70445232702,62,
,A07,FAM,0,Unkn-17,17.2_D,,21.5448314169451,21.5825964063622,0.0534077602165071,1141651.54853551,6.05753357007426,1113108.24315307,40366.3295867945,62,
,A08,FAM,0,Unkn-17,17.2_D,,21.6203613957793,21.5825964063622,0.0534077602165071,1084564.93777064,6.03525556028857,1113108.24315307,40366.3295867945,62,
,A09,FAM,0,Unkn-25,8.2_A,,21.7080047792198,21.4540573440898,0.359135906890645,1021891.13316136,6.00940463084205,1232353.97989889,297639.412231864,62,
,A10,FAM,0,Unkn-25,8.2_A,,21.2001099089599,21.4540573440898,0.359135906890645,1442816.82663642,6.15921119857059,1232353.97989889,297639.412231864,62,
,A11,FAM,0,Unkn-33,15.3_C,,22.0485906796314,22.00090920018,0.0674317949140586,810861.768079971,5.90894682403002,837989.225948173,38364.0188299159,62,
,A12,FAM,0,Unkn-33,15.3_C,,21.9532277207287,22.00090920018,0.0674317949140586,865116.683816375,5.93707468748792,837989.225948173,38364.0188299159,62,
,B01,FAM,0,Std-02,STD2,,20.121287493275,20.1329929323118,0.0165539906393826,3000000,6.47712125471966,3000000,0,62,
,B02,FAM,0,Std-02,STD2,,20.1446983713486,20.1329929323118,0.0165539906393826,3000000,6.47712125471966,3000000,0,62,
,B03,FAM,0,Unkn-02,3.2_C,,21.7257447245612,21.6187967204066,0.151247317944267,1009652.97671544,6.00417213002562,1088583.37258318,111624.436319633,62,
,B04,FAM,0,Unkn-02,3.2_C,,21.5118487162519,21.6187967204066,0.151247317944267,1167513.76845092,6.06726201088868,1088583.37258318,111624.436319633,62,
,B05,FAM,0,Unkn-10,8.2_B,,21.8221695395158,21.9111609391945,0.125852844360206,945651.39140674,5.97573106590382,891816.026570595,76134.7030865795,62,
,B06,FAM,0,Unkn-10,8.2_B,,22.0001523388732,21.9111609391945,0.125852844360206,837980.66173445,5.92323399643586,891816.026570595,76134.7030865795,62,
,B07,FAM,0,Unkn-18,6.5_D,,22.2796720550592,22.2713651562931,0.0117477288962123,693087.423611803,5.84078801844665,697019.77324348,5561.18218111083,62,
,B08,FAM,0,Unkn-18,6.5_D,,22.2630582575271,22.2713651562931,0.0117477288962123,700952.122875158,5.84568835536863,697019.77324348,5561.18218111083,62,
,B09,FAM,0,Unkn-26,3.2_A,,21.1052258827662,21.1126038386313,0.0104340052469227,1538855.34742421,6.18719779801992,1531182.93017347,10850.4365321823,62,
,B10,FAM,0,Unkn-26,3.2_A,,21.1199817944963,21.1126038386313,0.0104340052469227,1523510.51292273,6.18284545540056,1531182.93017347,10850.4365321823,62,
,B11,FAM,0,Unkn-34,17.4_C,,21.2815199994246,21.2453165429935,0.051199419089647,1365207.97128753,6.13519881540801,1399614.7289006,48658.5032536823,62,
,B12,FAM,0,Unkn-34,17.4_C,,21.2091130865624,21.2453165429935,0.051199419089647,1434021.48651367,6.1565556585873,1399614.7289006,48658.5032536823,62,
,C01,FAM,0,Std-03,STD3,,23.4759151386872,23.4601228061409,0.0223337308685175,300000,5.47712125471966,300000,0,62,
,C02,FAM,0,Std-03,STD3,,23.4443304735945,23.4601228061409,0.0223337308685175,300000,5.47712125471966,300000,0,62,
,C05,FAM,0,Unkn-11,11.1_B,,22.1241500118733,22.1181249356997,0.00852074443909144,770300.458361088,5.88666015628472,773465.458678086,4475.98637321378,62,
,C06,FAM,0,Unkn-11,11.1_B,,22.112099859526,22.1181249356997,0.00852074443909144,776630.458995084,5.89021441932114,773465.458678086,4475.98637321378,62,
,C07,FAM,0,Unkn-19,9.6_C,,22.3762682136851,22.4048654489663,0.0404425979810302,649077.291882398,5.81229641550506,636712.535567955,17486.4060753234,62,
,C08,FAM,0,Unkn-19,9.6_C,,22.4334626842475,22.4048654489663,0.0404425979810302,624347.779253512,5.79542657131148,636712.535567955,17486.4060753234,62,
,C09,FAM,0,Unkn-27,6.4_B,,21.8303479418634,21.8091653944696,0.0299566458098941,940413.377117099,5.9733187982143,954139.016937371,19410.9859860773,62,
,C10,FAM,0,Unkn-27,6.4_B,,21.7879828470758,21.8091653944696,0.0299566458098941,967864.656757644,5.98581463113809,954139.016937371,19410.9859860773,62,
,C11,FAM,0,Unkn-35,12.6_D,,22.0796887115895,22.1015416792894,0.0309047632992667,793915.493292556,5.89977427730124,782305.614109823,16418.8485977333,62,
,C12,FAM,0,Unkn-35,12.6_D,,22.1233946469893,22.1015416792894,0.0309047632992667,770695.734927091,5.88688295558293,782305.614109823,16418.8485977333,62,
,D01,FAM,0,Std-04,STD4,,26.8674579626849,26.8684635952131,0.00142217916020391,30000,4.47712125471966,30000,0,62,
,D02,FAM,0,Std-04,STD4,,26.8694692277414,26.8684635952131,0.00142217916020391,30000,4.47712125471966,30000,0,62,
,D05,FAM,0,Unkn-12,10.3_B,,22.281423595324,22.2539738577441,0.0388197911691399,692263.432414718,5.84027139138329,705412.771410168,18595.973543607,62,
