"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.1_A",49222.96309,806594.7026,16.3865531850492,28.37543201,1.67e+11,18.36718651,3392725.45812926
"10.1_C",18988.78962,388949.6146,20.4831177965307,29.75873853,1.77e+11,18.28618599,9321289.22075024
"10.4_B",26721.71188,377264.9855,14.1182940372307,29.2604907,1.69e+11,18.369533,6324445.10886628
"10.4_C",21152.18797,465876.3617,22.0249726581831,29.59978165,1.81e+11,18.25321301,8557034.39552972
"10.5_D",23048.78975,545638.6147,23.6732002251875,29.49786257,1.89e+11,18.18513101,8199996.70481614
"11.2_D",27753.86364,337836.7411,12.1726021818849,29.20589938,1.07e+11,19.05526536,3855319.07873855
"11.3_B",14571.56987,323795.9556,22.2210755936896,30.13876718,1.69e+11,18.35178684,11597926.7510454
"12.5_B",28214.2945,550156.8808,19.4992251463172,29.18307974,1.71e+11,18.33894916,6060757.606397
"13.2_C",25958.59873,286865.2045,11.0508740276675,29.30293232,1.69e+11,18.35412268,6510366.82518186
"13.3_D",24454.36622,350202.0675,14.320635601408,29.39388889,1.42e+11,18.61795903,5806734.009073
"14.5_C",31594.74648,573680.9269,18.1574784043021,29.01766315,2.12e+11,18.00878699,6709976.29729992
"15.1_B",65226.77456,900597.5641,13.8071761201617,27.96763309,2.11e+11,18.02248657,3234867.9115799
"15.1_C",55963.5531,737851.1028,13.1844935127966,28.18951349,1.75e+11,18.3034822,3127035.19176662
"15.3_B",50802.1865,624810.8026,12.2988958870894,28.33085903,1.36e+11,18.6867994,2677050.13050964
"15.3_D",26414.20286,576716.8424,21.8335887498367,29.28734766,1.63e+11,18.40916598,6170922.54738593
"17.2_A",44183.14045,783370.0685,17.7300676348822,28.54142872,1.36e+11,18.70529723,3078097.17948648
"17.2_C",73065.57651,1009697.457,13.8190582382089,27.805053,1.78e+11,18.27367089,2436167.7345506
"17.5_B",26954.77288,522403.0679,19.3807260118899,29.24842235,1.88e+11,18.19018215,6974646.0427234
"2.2_B",67392.42696,1094034.182,16.2337851795922,27.92187659,2.13e+11,18.00594786,3160592.51177322
"2.2_D",13977.48426,249770.7251,17.8695050163483,30.20580523,89280357555,19.32774295,6387441.10844737
"3.1_A",53183.96719,584466.4704,10.9895237471095,28.26587178,1.35e+11,18.69216457,2538358.96667339
"3.3_B",33145.43436,562084.7833,16.9581359892609,28.94824026,1.68e+11,18.36448338,5068571.38076135
"3.4_C",20779.36429,510375.5153,24.5616520398373,29.6273446,1.7e+11,18.33972994,8181193.49694504
"5.1_A",36466.97944,651267.5811,17.8591040744558,28.81020551,1.87e+11,18.2071719,5127926.7674932
"5.3_A",45627.09039,583921.7005,12.7976974974494,28.4998256,1.19e+11,18.92134506,2608099.68338636
"5.3_D",22038.20572,388639.1896,17.6347927112462,29.54005197,1.88e+11,18.19409595,8530640.0343376
"5.4_B",64928.12907,764912.7501,11.7809146983942,27.97446211,1.71e+11,18.33763556,2633681.30961609
"5.5_A",35621.24152,481842.2863,13.5268246063087,28.8438392,1.67e+11,18.36906495,4688213.91040612
"5.5_B",18337.73851,434710.3954,23.7057800318694,29.80578195,1.55e+11,18.48789798,8452514.46439128
"6.3_D",18114.70937,348898.5671,19.2605114425857,29.82698921,1.26e+11,18.80578442,6955673.28331915
"6.4_A",25342.21729,290762.3035,11.4734358155288,29.33854078,1.35e+11,18.69485181,5327079.25495023
"6.4_C",27804.85685,518079.2855,18.632690263248,29.20269826,1.94e+11,18.13937892,6977198.30195781
"7.1_A",32906.99793,807928.5457,24.5518763947605,28.95980037,1.95e+11,18.13732643,5925791.23792469
"7.5_D",20151.49877,403813.5805,20.0388856982274,29.66903375,1.64e+11,18.3957586,8138352.48046912
"8.1_C",16487.63672,447407.9025,27.1359631521527,29.96124675,1.64e+11,18.39939333,9946847.0093754
"9.4_C",23097.54227,328087.3285,14.2044259369592,29.47328921,1.32e+11,18.73792512,5714893.75176712
"9.5_A",13599.10194,320574.7049,23.573226108194,30.2420582,1.27e+11,18.80531054,9338851.97422088
"9.6_D",25063.18715,395214.4719,15.7687236477425,29.35416805,1.77e+11,18.28131518,7062150.51344737
