Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N02.02,Cold-Dormancy,GT2023_N02,3,0.087263158,0.547368421,0.783516484,Early_Spring_2024,-218070.5392,0.547368421,0.02226607236633943,0.7671498972972104,FALSE
GT2023_N02.02,Cold-Dormancy,GT2023_N02,3,0.087263158,0.547368421,0.783516484,Late_Spring_2024,3444919.136,0.783516484,0.939629271027506,0.11294518044947363,FALSE
GT2023_N02.03,Cold-Dormancy,GT2023_N02,11,0.023157895,0.626315789,0.46043956,Winter_2023,1294401.141,0.023157895,0.03281212701879686,0.9706026977314685,FALSE
GT2023_N02.03,Cold-Dormancy,GT2023_N02,11,0.023157895,0.626315789,0.46043956,Early_Spring_2024,4807094.844,0.626315789,1.2326665544457476,0.622539375191561,FALSE
GT2023_N02.03,Cold-Dormancy,GT2023_N02,11,0.023157895,0.626315789,0.46043956,Late_Spring_2024,-4789559.979,0.46043956,1.4766582498003034,0.9562186949457557,FALSE
GT2023_N02.04,Constant-Warmth,GT2023_N02,5,0.713578947,1.036842105,0.757142857,Winter_2023,10911175.29,0.713578947,2.4617953051522536,0.9172154070911979,FALSE
GT2023_N02.04,Constant-Warmth,GT2023_N02,5,0.713578947,1.036842105,0.757142857,Early_Spring_2024,-7388456.814,1.036842105,1.7048490257215814,0.12943534415397692,FALSE
GT2023_N02.04,Constant-Warmth,GT2023_N02,5,0.713578947,1.036842105,0.757142857,Late_Spring_2024,-3434307.251,0.757142857,1.0789791484872573,0.1817838361323043,FALSE
GT2023_N03.01,Cold-Dormancy,GT2023_N03,6,0.068736842,0.789473684,0.928571429,Winter_2023,1012247.565,0.068736842,0.10600324046263611,0.8459761946778611,FALSE
GT2023_N03.01,Cold-Dormancy,GT2023_N03,6,0.068736842,0.789473684,0.928571429,Early_Spring_2024,2294942.427,0.789473684,0.6275699526981966,0.3236776274305874,FALSE
GT2023_N03.01,Cold-Dormancy,GT2023_N03,6,0.068736842,0.789473684,0.928571429,Late_Spring_2024,-991151.7007,0.928571429,0.36207086744280553,0.26566741667063193,FALSE
GT2023_N03.02,Cold-Dormancy,GT2023_N03,1,0.114526316,0.478947368,0.773626374,Winter_2023,10159347.12,0.114526316,2.2667698099561764,0.7207740477023272,FALSE
GT2023_N03.02,Cold-Dormancy,GT2023_N03,1,0.114526316,0.478947368,0.773626374,Early_Spring_2024,-9819580.955,0.478947368,2.2904285256717767,0.8924790177987112,FALSE
GT2023_N03.02,Cold-Dormancy,GT2023_N03,1,0.114526316,0.478947368,0.773626374,Late_Spring_2024,162335.5919,0.773626374,0.023596883646340973,0.13875967600426847,FALSE
GT2023_N03.03,Constant-Warmth,GT2023_N03,8,0.570842105,1.073684211,0.227472527,Winter_2023,2314379.285,0.570842105,0.23177192364636492,0.5269300967400118,FALSE
GT2023_N03.03,Constant-Warmth,GT2023_N03,8,0.570842105,1.073684211,0.227472527,Early_Spring_2024,2656277.023,1.073684211,0.7146038184198178,0.19692025617956432,FALSE
GT2023_N03.03,Constant-Warmth,GT2023_N03,8,0.570842105,1.073684211,0.227472527,Late_Spring_2024,-3854787.12,0.227472527,1.2023628192738232,1.5642934724550321,FALSE
GT2023_N03.04,Cold-Dormancy,GT2023_N03,9,0.104105263,0.5,0.493406593,Winter_2023,112682.2538,0.104105263,0.33935199923286596,0.7492683302386549,FALSE
GT2023_N03.04,Cold-Dormancy,GT2023_N03,9,0.104105263,0.5,0.493406593,Early_Spring_2024,5092737.103,0.5,1.3014685742064753,0.8539162109269468,FALSE
GT2023_N03.04,Cold-Dormancy,GT2023_N03,9,0.104105263,0.5,0.493406593,Late_Spring_2024,-4316073.368,0.493406593,1.3377205254511957,0.8701703772998167,FALSE
GT2023_N05.01,Constant-Warmth,GT2023_N05,10,1.063473684,2.521052632,1.57032967,Winter_2023,-797588.7868,1.063473684,0.5754778422638123,1.873932496434478,FALSE
GT2023_N05.01,Constant-Warmth,GT2023_N05,10,1.063473684,2.521052632,1.57032967,Early_Spring_2024,3273291.699,2.521052632,0.8632227800518605,2.848113175493095,FALSE
GT2023_N05.01,Constant-Warmth,GT2023_N05,10,1.063473684,2.521052632,1.57032967,Late_Spring_2024,-2777419.606,1.57032967,0.8862250717529856,1.940741329857394,FALSE
GT2023_N05.02,Cold-Dormancy,GT2023_N05,11,0.127578947,0.484210526,1.07032967,Early_Spring_2024,2033902.66,0.484210526,0.5646938808230271,0.8828383160807701,FALSE
GT2023_N05.02,Cold-Dormancy,GT2023_N05,11,0.127578947,0.484210526,1.07032967,Late_Spring_2024,-3300673.483,1.07032967,1.0397662727886106,0.6356751801990509,FALSE
GT2023_N05.03,Constant-Warmth,GT2023_N05,12,1.640526316,2.9,2.489010989,Winter_2023,7248327.909,1.640526316,1.511646517421701,3.4517673596233998,TRUE
GT2023_N05.03,Constant-Warmth,GT2023_N05,12,1.640526316,2.9,2.489010989,Early_Spring_2024,-3770253.081,2.9,0.833340287456755,3.542243684530986,TRUE
GT2023_N05.03,Constant-Warmth,GT2023_N05,12,1.640526316,2.9,2.489010989,Late_Spring_2024,2444465.523,2.489010989,0.6460607833917226,4.33862111335815,TRUE
GT2023_N05.04,Cold-Dormancy,GT2023_N05,1,0.022105263,0.831578947,0.983516484,Early_Spring_2024,5830525.469,0.831578947,1.47917802768327,0.24655201551879202,FALSE
GT2023_N05.04,Cold-Dormancy,GT2023_N05,1,0.022105263,0.831578947,0.983516484,Late_Spring_2024,1855190.342,0.983516484,0.47314659582761354,0.4090812794138638,FALSE
GT2023_N05.05,Constant-Warmth,GT2023_N05,2,0.665789474,1.378947368,0.915384615,Winter_2023,3764300.554,0.665789474,0.60788394600122,0.7865446633646088,FALSE
GT2023_N05.05,Constant-Warmth,GT2023_N05,2,0.665789474,1.378947368,0.915384615,Early_Spring_2024,-5348417.591,1.378947368,1.21346928581585,0.7560809429980136,FALSE
GT2023_N05.05,Constant-Warmth,GT2023_N05,2,0.665789474,1.378947368,0.915384615,Late_Spring_2024,2557536.888,0.915384615,0.6792399225208484,0.2312480875241505,FALSE
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Winter_2023,1715408.92,0.663578947,0.07639800084975008,0.7805004199573273,FALSE
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Early_Spring_2024,-935471.237,1.352631579,0.15053264852038847,0.7078774362400418,FALSE
GT2023_N06.02,Constant-Warmth,GT2023_N06,5,0.663578947,1.352631579,0.88021978,Late_Spring_2024,-655052.9457,0.88021978,0.26344760103693,0.1394632158905086,FALSE
GT2023_N06.03,Cold-Dormancy,GT2023_N06,6,0.127789474,0.505263158,1.040659341,Early_Spring_2024,104025.0638,0.505263158,0.09984852854783008,0.8442755092090057,FALSE
GT2023_N06.03,Cold-Dormancy,GT2023_N06,6,0.127789474,0.505263158,1.040659341,Late_Spring_2024,2844803.098,1.040659341,0.7635339924534675,0.5582316961447984,FALSE
GT2023_N06.04,Cold-Dormancy,GT2023_N06,9,0.091894737,0.694736842,0.825274725,Winter_2023,-823897.836,0.091894737,0.5823024539943996,0.7826555683384107,FALSE
GT2023_N06.04,Cold-Dormancy,GT2023_N06,9,0.091894737,0.694736842,0.825274725,Early_Spring_2024,2474016.883,0.694736842,0.6707032212260636,0.49721025469006025,FALSE
