Nest_ID,Sample,Plate_ID,Treatment ,Time_Point
GT2023_N11,11.3_A,Plate1,Cold-Dormancy,A
GT2023_N03,3.1_B,Plate1,Cold-Dormancy,B
GT2023_N09,9.1_C,Plate1,Constant-Warmth,C
GT2023_N08,8.1_A,Plate1,Constant-Warmth,A
GT2023_N12,12.2_A,Plate1,Constant-Warmth,A
GT2023_N15,15.5_A,Plate1,Constant-Warmth,A
GT2023_N03,3.1_C,Plate1,Cold-Dormancy,C
GT2023_N07,7.1_D,Plate1,Cold-Dormancy,D
GT2023_N09,9.1_D,Plate1,Constant-Warmth,D
GT2023_N05,5.3_B,Plate1,Constant-Warmth,B
GT2023_N15,15.2_C,Plate1,Cold-Dormancy,C
GT2023_N10,10.6_D,Plate1,Cold-Dormancy,D
GT2023_N09,9.2_C,Plate1,Constant-Warmth,C
GT2023_N14,14.5_D,Plate1,Cold-Dormancy,D
GT2023_N17,17.3_A,Plate1,Constant-Warmth,A
GT2023_N13,13.4_D,Plate1,Constant-Warmth,D
GT2023_N05,5.1_C,Plate1,Constant-Warmth,C
GT2023_N15,15.3_A,Plate1,Constant-Warmth,A
GT2023_N03,3.3_C,Plate1,Constant-Warmth,C
GT2023_N09,9.4_B,Plate1,Constant-Warmth,B
GT2023_N13,13.3_B,Plate1,Cold-Dormancy,B
GT2023_N15,15.2_A,Plate1,Cold-Dormancy,A
GT2023_N10,10.6_B,Plate1,Cold-Dormancy,B
GT2023_N17,17.2_B,Plate1,Cold-Dormancy,B
GT2023_N07,7.5_C,Plate1,Cold-Dormancy,C
GT2023_N13,13.2_B,Plate1,Constant-Warmth,B
GT2023_N10,10.6_A,Plate1,Cold-Dormancy,A
GT2023_N05,5.4_D,Plate1,Cold-Dormancy,D
GT2023_N02,2.3_C,Plate1,Cold-Dormancy,C
GT2023_N17,17.3_D,Plate1,Constant-Warmth,D
GT2023_N02,2.4_B,Plate1,Constant-Warmth,B
GT2023_N03,3.2_B,Plate1,Cold-Dormancy,B
GT2023_N09,9.3_A,Plate1,Cold-Dormancy,A
GT2023_N17,17.5_C,Plate1,Constant-Warmth,C
GT2023_N09,9.4_D,Plate1,Constant-Warmth,D
GT2023_N09,9.5_B,Plate1,Constant-Warmth,B
GT2023_N10,10.4_D,Plate1,Cold-Dormancy,D
GT2023_N05,5.2_C,Plate1,Cold-Dormancy,C
GT2023_N12,12.4_A,Plate1,Cold-Dormancy,A
GT2023_N07,7.4_D,Plate1,Constant-Warmth,D
GT2023_N15,15.3_D,Plate2,Constant-Warmth,D
GT2023_N10,10.1_A,Plate2,Constant-Warmth,A
GT2023_N07,7.1_A,Plate2,Cold-Dormancy,A
GT2023_N13,13.3_D,Plate2,Cold-Dormancy,D
GT2023_N08,8.1_C,Plate2,Constant-Warmth,C
GT2023_N05,5.3_D,Plate2,Constant-Warmth,D
GT2023_N09,9.6_D,Plate2,Cold-Dormancy,D
GT2023_N02,2.2_D,Plate2,Cold-Dormancy,D
GT2023_N05,5.5_A,Plate2,Constant-Warmth,A
GT2023_N03,3.3_B,Plate2,Constant-Warmth,B
GT2023_N14,14.5_C,Plate2,Cold-Dormancy,C
GT2023_N12,12.2_D,Plate2,Constant-Warmth,D
GT2023_N03,3.1_A,Plate2,Cold-Dormancy,A
GT2023_N06,6.4_C,Plate2,Cold-Dormancy,C
GT2023_N09,9.4_C,Plate2,Constant-Warmth,C
GT2023_N12,12.5_B,Plate2,Cold-Dormancy,B
GT2023_N06,6.3_D,Plate2,Cold-Dormancy,D
GT2023_N05,5.1_A,Plate2,Constant-Warmth,A
GT2023_N07,7.5_D,Plate2,Cold-Dormancy,D
GT2023_N03,3.4_C,Plate2,Cold-Dormancy,C
GT2023_N13,13.2_C,Plate2,Constant-Warmth,C
GT2023_N15,15.4_A,Plate2,Cold-Dormancy,A
GT2023_N05,5.5_B,Plate2,Constant-Warmth,B
GT2023_N09,9.5_A,Plate2,Constant-Warmth,A
GT2023_N10,10.1_C,Plate2,Constant-Warmth,C
GT2023_N10,10.4_B,Plate2,Cold-Dormancy,B
GT2023_N10,10.5_D,Plate2,Constant-Warmth,D
GT2023_N10,10.4_C,Plate2,Cold-Dormancy,C
GT2023_N11,11.3_B,Plate2,Cold-Dormancy,B
GT2023_N17,17.5_B,Plate2,Constant-Warmth,B
GT2023_N06,6.4_A,Plate2,Cold-Dormancy,A
GT2023_N17,17.2_A,Plate2,Cold-Dormancy,A
GT2023_N15,15.1_C,Plate2,Constant-Warmth,C
GT2023_N11,11.2_D,Plate2,Constant-Warmth,D
GT2023_N05,5.3_A,Plate2,Constant-Warmth,A
GT2023_N15,15.1_B,Plate2,Constant-Warmth,B
GT2023_N15,15.3_B,Plate2,Constant-Warmth,B
GT2023_N05,5.4_B,Plate2,Cold-Dormancy,B
GT2023_N02,2.2_B,Plate2,Cold-Dormancy,B
GT2023_N17,17.2_C,Plate2,Cold-Dormancy,C
GT2023_N07,7.2_D,Plate3,Constant-Warmth,D
GT2023_N10,10.2_A,Plate3,Cold-Dormancy,A
GT2023_N07,7.5_A,Plate3,Cold-Dormancy,A
GT2023_N13,13.1_A,Plate3,Cold-Dormancy,A
GT2023_N17,17.4_D,Plate3,Cold-Dormancy,D
GT2023_N07,7.4_A,Plate3,Constant-Warmth,A
GT2023_N03,3.1_D,Plate3,Cold-Dormancy,D
GT2023_N17,17.3_C,Plate3,Constant-Warmth,C
GT2023_N02,2.3_D,Plate3,Cold-Dormancy,D
GT2023_N09,9.3_C,Plate3,Cold-Dormancy,C
GT2023_N10,10.2_B,Plate3,Cold-Dormancy,B
GT2023_N17,17.5_D,Plate3,Constant-Warmth,D
GT2023_N14,14.5_A,Plate3,Cold-Dormancy,A
GT2023_N05,5.6_C,Plate3,Cold-Dormancy,C
GT2023_N13,13.4_A,Plate3,Constant-Warmth,A
GT2023_N15,15.2_D,Plate3,Cold-Dormancy,D
GT2023_N05,5.4_C,Plate3,Cold-Dormancy,C
GT2023_N10,10.2_D,Plate3,Cold-Dormancy,D
GT2023_N07,7.2_B,Plate3,Constant-Warmth,B
GT2023_N06,6.2_A,Plate3,Constant-Warmth,A
GT2023_N15,15.1_D,Plate3,Constant-Warmth,D
GT2023_N07,7.3_B,Plate3,Cold-Dormancy,B
GT2023_N12,12.2_B,Plate3,Constant-Warmth,B
GT2023_N06,6.2_C,Plate3,Constant-Warmth,C
GT2023_N08,8.1_B,Plate3,Constant-Warmth,B
GT2023_N13,13.4_C,Plate3,Constant-Warmth,C
GT2023_N14,14.5_B,Plate3,Cold-Dormancy,B
GT2023_N05,5.5_D,Plate3,Constant-Warmth,D
GT2023_N05,5.1_D,Plate3,Constant-Warmth,D
GT2023_N05,5.3_C,Plate3,Constant-Warmth,C
GT2023_N13,13.1_C,Plate3,Cold-Dormancy,C
GT2023_N05,5.2_B,Plate3,Cold-Dormancy,B
GT2023_N02,2.2_A,Plate3,Cold-Dormancy,A
GT2023_N10,10.5_B,Plate3,Constant-Warmth,B
GT2023_N11,11.2_C,Plate3,Constant-Warmth,C
GT2023_N11,11.2_A,Plate3,Constant-Warmth,A
GT2023_N17,17.3_B,Plate3,Constant-Warmth,B
GT2023_N17,17.5_A,Plate3,Constant-Warmth,A
GT2023_N08,8.2_C,Plate3,Cold-Dormancy,C
GT2023_N15,15.2_B,Plate3,Cold-Dormancy,B
GT2023_N07,7.1_B,Plate4,Cold-Dormancy,B
GT2023_N03,3.2_C,Plate4,Cold-Dormancy,C
GT2023_N10,10.3_A,Plate4,Constant-Warmth,A
GT2023_N15,15.4_B,Plate4,Cold-Dormancy,B
GT2023_N02,2.3_A,Plate4,Cold-Dormancy,A
GT2023_N11,11.4_C,Plate4,Constant-Warmth,C
GT2023_N09,9.2_A,Plate4,Constant-Warmth,A
GT2023_N13,13.4_B,Plate4,Constant-Warmth,B
GT2023_N15,15.5_B,Plate4,Constant-Warmth,B
GT2023_N08,8.2_B,Plate4,Cold-Dormancy,B
GT2023_N11,11.1_B,Plate4,Cold-Dormancy,B
GT2023_N10,10.3_B,Plate4,Constant-Warmth,B
GT2023_N09,9.4_A,Plate4,Constant-Warmth,A
GT2023_N02,2.4_A,Plate4,Constant-Warmth,A
GT2023_N11,11.3_D,Plate4,Cold-Dormancy,D
GT2023_N13,13.1_D,Plate4,Cold-Dormancy,D
GT2023_N17,17.2_D,Plate4,Cold-Dormancy,D
GT2023_N06,6.5_D,Plate4,Constant-Warmth,D
GT2023_N09,9.6_C,Plate4,Cold-Dormancy,C
GT2023_N02,2.4_C,Plate4,Constant-Warmth,C
GT2023_N06,6.2_B,Plate4,Constant-Warmth,B
GT2023_N03,3.4_A,Plate4,Cold-Dormancy,A
GT2023_N12,12.5_C,Plate4,Cold-Dormancy,C
GT2023_N11,11.1_A,Plate4,Cold-Dormancy,A
GT2023_N08,8.2_A,Plate4,Cold-Dormancy,A
GT2023_N03,3.2_A,Plate4,Cold-Dormancy,A
GT2023_N06,6.4_B,Plate4,Cold-Dormancy,B
GT2023_N10,10.1_D,Plate4,Constant-Warmth,D
GT2023_N10,10.3_D,Plate4,Constant-Warmth,D
GT2023_N12,12.4_D,Plate4,Cold-Dormancy,D
GT2023_N12,12.6_B,Plate4,Constant-Warmth,B
GT2023_N12,12.6_A,Plate4,Constant-Warmth,A
GT2023_N15,15.3_C,Plate4,Constant-Warmth,C
GT2023_N17,17.4_C,Plate4,Cold-Dormancy,C
GT2023_N12,12.6_D,Plate4,Constant-Warmth,D
GT2023_N12,12.2_C,Plate4,Constant-Warmth,C
GT2023_N03,3.3_D,Plate4,Constant-Warmth,D
GT2023_N07,7.1_C,Plate4,Cold-Dormancy,C
GT2023_N06,6.4_D,Plate4,Cold-Dormancy,D
GT2023_N07,7.2_C,Plate4,Constant-Warmth,C
GT2023_N12,12.4_B,Plate5,Cold-Dormancy,B
GT2023_N11,11.1_D,Plate5,Cold-Dormancy,D
GT2023_N10,10.6_C,Plate5,Cold-Dormancy,C
GT2023_N07,7.3_C,Plate5,Cold-Dormancy,C
GT2023_N15,15.4_D,Plate5,Cold-Dormancy,D
GT2023_N03,3.4_B,Plate5,Cold-Dormancy,B
GT2023_N14,14.4_C,Plate5,Constant-Warmth,C
GT2023_N05,5.5_C,Plate5,Constant-Warmth,C
GT2023_N05,5.1_B,Plate5,Constant-Warmth,B
GT2023_N09,9.1_A,Plate5,Constant-Warmth,A
GT2023_N14,14.4_B,Plate5,Constant-Warmth,B
GT2023_N11,11.2_B,Plate5,Constant-Warmth,B
GT2023_N06,6.3_B,Plate5,Cold-Dormancy,B
GT2023_N07,7.3_A,Plate5,Cold-Dormancy,A
GT2023_N03,3.2_D,Plate5,Cold-Dormancy,D
GT2023_N02,2.2_C,Plate5,Cold-Dormancy,C
GT2023_N07,7.4_C,Plate5,Constant-Warmth,C
GT2023_N11,11.1_C,Plate5,Cold-Dormancy,C
GT2023_N09,9.6_B,Plate5,Cold-Dormancy,B
GT2023_N11,11.4_D,Plate5,Constant-Warmth,D
GT2023_N07,7.3_D,Plate5,Cold-Dormancy,D
GT2023_N13,13.3_A,Plate5,Cold-Dormancy,A
GT2023_N10,10.1_B,Plate5,Constant-Warmth,B
GT2023_N12,12.5_A,Plate5,Cold-Dormancy,A
GT2023_N09,9.1_B,Plate5,Constant-Warmth,B
GT2023_N17,17.4_B,Plate5,Cold-Dormancy,B
GT2023_N06,6.5_A,Plate5,Constant-Warmth,A
GT2023_N03,3.3_A,Plate5,Constant-Warmth,A
GT2023_N17,17.4_A,Plate5,Cold-Dormancy,A
GT2023_N02,2.4_D,Plate5,Constant-Warmth,D
GT2023_N12,12.6_C,Plate5,Constant-Warmth,C
GT2023_N08,8.2_D,Plate5,Cold-Dormancy,D
GT2023_N14,11.4_A,Plate5,Constant-Warmth,A
GT2023_N14,14.4_A,Plate5,Constant-Warmth,A
GT2023_N13,13.3_C,Plate5,Cold-Dormancy,C
GT2023_N09,9.6_A,Plate5,Cold-Dormancy,A
GT2023_N08,8.1_D,Plate5,Constant-Warmth,D
GT2023_N09,9.5_D,Plate5,Constant-Warmth,D
GT2023_N09,9.5_C,Plate5,Constant-Warmth,C
GT2023_N13,13.2_D,Plate5,Constant-Warmth,D
GT2023_N06,6.1_B,Plate6,Constant-Warmth (excluded from experiment),B
GT2023_N15,15.1_A,Plate6,Constant-Warmth,A
GT2023_N15,15.4_C,Plate6,Cold-Dormancy,C
GT2023_N09,9.3_D,Plate6,Cold-Dormancy,D
GT2023_N12,12.5_D,Plate6,Cold-Dormancy,D
GT2023_N05,5.2_A,Plate6,Cold-Dormancy,A
GT2023_N06,6.3_A,Plate6,Cold-Dormancy,A
GT2023_N09,9.3_B,Plate6,Cold-Dormancy,B
GT2023_N14,14.4_D,Plate6,Constant-Warmth,D
GT2023_N10,10.5_C,Plate6,Constant-Warmth,C
GT2023_N15,15.5_C,Plate6,Constant-Warmth,C
GT2023_N10,10.2_C,Plate6,Cold-Dormancy,C
GT2023_N06,6.5_C,Plate6,Constant-Warmth,C
GT2023_N05,5.4_A,Plate6,Cold-Dormancy,A
GT2023_N02,2.3_B,Plate6,Cold-Dormancy,B
GT2023_N07,7.4_B,Plate6,Constant-Warmth,B
GT2023_N09,9.2_B,Plate6,Constant-Warmth,B
GT2023_N07,7.5_B,Plate6,Cold-Dormancy,B
GT2023_N06,6.5_B,Plate6,Constant-Warmth,B
GT2023_N06,6.1_C,Plate6,Constant-Warmth (excluded from experiment),C
GT2023_N03,3.4_D,Plate6,Cold-Dormancy,D
GT2023_N13,13.1_B,Plate6,Cold-Dormancy,B
GT2023_N12,12.4_C,Plate6,Cold-Dormancy,C
GT2023_N05,5.6_D,Plate6,Cold-Dormancy,D
GT2023_N10,10.3_C,Plate6,Constant-Warmth,C
GT2023_N11,11.3_C,Plate6,Cold-Dormancy,C
GT2023_N06,6.1_A,Plate6,Constant-Warmth (excluded from experiment),A
GT2023_N06,6.1_D,Plate6,Constant-Warmth (excluded from experiment),D
GT2023_N10,10.5_A,Plate6,Constant-Warmth,A
GT2023_N06,6.2_D,Plate6,Constant-Warmth,D
GT2023_N05,5.2_D,Plate6,Cold-Dormancy,D
GT2023_N06,6.3_C,Plate6,Cold-Dormancy,C
GT2023_N11,11.4_B,Plate6,Constant-Warmth,B
GT2023_N10,10.4_A,Plate6,Cold-Dormancy,A
GT2023_N07,7.2_A,Plate6,Constant-Warmth,A
GT2023_N05,5.6_B,Plate6,Cold-Dormancy,B
GT2023_N09,9.2_D,Plate6,Constant-Warmth,D
GT2023_N13,13.2_A,Plate6,Constant-Warmth,A
GT2023_N05,5.6_A,Plate6,Cold-Dormancy,A
GT2023_N15,15.5_D,Plate6,Constant-Warmth,D
