"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","Plate_ID","Treatment","Time_Point"
"10.1_A",49222.9630889806,806594.702559691,16.3865531845697,28.3754320124351,1.67e+11,18.36718651,3392725.45819952,"Plate2","Constant-Warmth","A"
"10.1_B",56504.8034906822,1104546.1688939,19.5478278068172,27.38775363976,184264064307.366,18.6340680860648,3261033.62765878,"Plate5","Constant-Warmth","B"
"10.1_C",18988.7896160149,388949.614590834,20.4831178003467,29.758738533765,1.77e+11,18.28618599,9321289.22270646,"Plate2","Constant-Warmth","C"
"10.1_D",55551.3419331412,851119.108154412,15.3213059943498,27.4080892379619,251815052690.111,17.9560665138176,4533014.75584843,"Plate4","Constant-Warmth","D"
"10.2_A",45686.4270561861,1122234.38198974,24.5638465141867,27.3032724224535,238352141520.426,17.6227118947433,5217132.45877809,"Plate3","Cold-Dormancy","A"
"10.2_B",53051.105860083,1263676.18867938,23.819978267978,27.0808861214764,270109830220.859,17.4452254418947,5091502.35120917,"Plate3","Cold-Dormancy","B"
"10.2_C",46151.4695666065,1274230.68937764,27.6097533045757,27.7602074814163,2.93769e+11,17.60231823,6365322.76780543,"Plate6","Cold-Dormancy","C"
"10.2_D",88910.4073921223,1204352.49378455,13.5456863724961,26.3325810336253,396106271449.917,16.8906411303393,4455117.04499302,"Plate3","Cold-Dormancy","D"
"10.3_B",33829.433709251,705412.771410168,20.8520419665572,28.1427228774769,169521557162.866,18.5575346436008,5011066.94897197,"Plate4","Constant-Warmth","B"
"10.3_C",53107.9823809394,691088.248694586,13.0128884154827,27.5541391586939,2.199e+11,18.05428699,4140620.4894525,"Plate6","Constant-Warmth","C"
"10.3_D",68142.8549433871,1024255.56696745,15.0310046125657,27.1058097223666,252962220161.234,17.9483936885358,3712233.95866514,"Plate4","Constant-Warmth","D"
"10.4_A",75338.943559629,1180559.77805756,15.6699805210724,27.0398581807011,3.15993e+11,17.49433385,4194284.98821329,"Plate6","Cold-Dormancy","A"
"10.4_B",26721.7118846205,377264.985516417,14.1182940354038,29.2604907049995,1.69e+11,18.369533,6324445.10777271,"Plate2","Cold-Dormancy","B"
"10.4_C",21152.1879724001,465876.361719103,22.0249726565871,29.5997816520697,1.81e+11,18.25321301,8557034.39455877,"Plate2","Cold-Dormancy","C"
"10.4_D",22671.36539,445046.1704,19.6303205715304,28.66400258,1.8e+11,18.35019757,7939530.63274236,"Plate1","Cold-Dormancy","D"
