,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,STD1,,17.7086505224611,17.5995307342101,0.154318684467825,300000000000,11.4771212547197,300000000000,0,60,
,A02,SYBR,,Std-01,STD1,,17.4904109459591,17.5995307342101,0.154318684467825,300000000000,11.4771212547197,300000000000,0,60,
,A03,SYBR,,Unkn-01,12.4_B,,19.1909027914243,19.1616551241039,0.041362447792278,129324412529.788,11.1116805142557,131774637912.784,3465141967.50308,60,
,A04,SYBR,,Unkn-01,12.4_B,,19.1324074567835,19.1616551241039,0.041362447792278,134224863295.779,11.1278329703189,131774637912.784,3465141967.50308,60,
,A05,SYBR,,Unkn-09,5.1_B,,18.9340208765107,18.932881903772,0.00161075069426711,152269853253.245,11.1826139291947,152380203886.829,156059362.630719,60,
,A06,SYBR,,Unkn-09,5.1_B,,18.9317429310333,18.932881903772,0.00161075069426711,152490554520.413,11.1832429437044,152380203886.829,156059362.630719,60,
,A07,SYBR,,Unkn-17,7.4_C,,18.8190975227819,18.809759213913,0.0132063630520648,163812858432.375,11.2143479885541,164791289899.086,1383711050.07519,60,
,A08,SYBR,,Unkn-17,7.4_C,,18.8004209050441,18.809759213913,0.0132063630520648,165769721365.797,11.2195052074892,164791289899.086,1383711050.07519,60,
,A09,SYBR,,Unkn-25,9.1_B,,18.6903060016431,18.6821026389736,0.0116013067443395,177791706319.394,11.249911498008,178723894561.034,1318313254.01243,60,
,A10,SYBR,,Unkn-25,9.1_B,,18.673899276304,18.6821026389736,0.0116013067443395,179656082802.675,11.2544419261492,178723894561.034,1318313254.01243,60,
,B01,SYBR,,Std-02,STD2,,21.9493930215434,21.7306768612069,0.309311360258158,30000000000,10.4771212547197,30000000000,0,60,
,B02,SYBR,,Std-02,STD2,,21.5119607008703,21.7306768612069,0.309311360258158,30000000000,10.4771212547197,30000000000,0,60,
,B03,SYBR,,Unkn-02,11.1_D,,19.1228275028181,19.213663749316,0.128461851752462,135044936759.154,11.1304783058224,127678981071.269,10417034433.647,60,
,B04,SYBR,,Unkn-02,11.1_D,,19.304499995814,19.213663749316,0.128461851752462,120313025383.383,11.0803126476716,127678981071.269,10417034433.647,60,
,B07,SYBR,,Unkn-18,11.1_C,,18.5149313635704,18.5126666997354,0.00320271830975029,198764176851.789,11.2983381144803,199050792820.703,405336190.430433,60,
,B08,SYBR,,Unkn-18,11.1_C,,18.5104020359003,18.5126666997354,0.00320271830975029,199337408789.616,11.2995888085166,199050792820.703,405336190.430433,60,
