Sample,Plate_ID,Treatment ,Time_Point
11.3_A,Plate1,Cold-Dormancy,A
3.1_B,Plate1,Cold-Dormancy,B
9.1_C,Plate1,Constant-Warmth,C
8.1_A,Plate1,Constant-Warmth,A
12.2_A,Plate1,Constant-Warmth,A
15.5_A,Plate1,Constant-Warmth,A
3.1_C,Plate1,Cold-Dormancy,C
7.1_D,Plate1,Cold-Dormancy,D
9.1_D,Plate1,Constant-Warmth,D
5.3_B,Plate1,Constant-Warmth,B
15.2_C,Plate1,Cold-Dormancy,C
10.6_D,Plate1,Cold-Dormancy,D
9.2_C,Plate1,Constant-Warmth,C
14.5_D,Plate1,Cold-Dormancy,D
17.3_A,Plate1,Constant-Warmth,A
13.4_D,Plate1,Constant-Warmth,D
5.1_C,Plate1,Constant-Warmth,C
15.3_A,Plate1,Constant-Warmth,A
3.3_C,Plate1,Constant-Warmth,C
9.4_B,Plate1,Constant-Warmth,B
13.3_B,Plate1,Cold-Dormancy,B
15.2_A,Plate1,Cold-Dormancy,A
10.6_B,Plate1,Cold-Dormancy,B
17.2_B,Plate1,Cold-Dormancy,B
7.5_C,Plate1,Cold-Dormancy,C
13.2_B,Plate1,Constant-Warmth,B
10.6_A,Plate1,Cold-Dormancy,A
5.4_D,Plate1,Cold-Dormancy,D
2.3_C,Plate1,Cold-Dormancy,C
17.3_D,Plate1,Constant-Warmth,D
2.4_B,Plate1,Constant-Warmth,B
3.2_B,Plate1,Cold-Dormancy,B
9.3_A,Plate1,Cold-Dormancy,A
17.5_C,Plate1,Constant-Warmth,C
9.4_D,Plate1,Constant-Warmth,D
9.5_B,Plate1,Constant-Warmth,B
10.4_D,Plate1,Cold-Dormancy,D
5.2_C,Plate1,Cold-Dormancy,C
12.4_A,Plate1,Cold-Dormancy,A
7.4_D,Plate1,Constant-Warmth,D
15.3_D,Plate2,Constant-Warmth,D
10.1_A,Plate2,Constant-Warmth,A
7.1_A,Plate2,Cold-Dormancy,A
13.3_D,Plate2,Cold-Dormancy,D
8.1_C,Plate2,Constant-Warmth,C
5.3_D,Plate2,Constant-Warmth,D
9.6_D,Plate2,Cold-Dormancy,D
2.2_D,Plate2,Cold-Dormancy,D
5.5_A,Plate2,Constant-Warmth,A
3.3_B,Plate2,Constant-Warmth,B
14.5_C,Plate2,Cold-Dormancy,C
12.2_D,Plate2,Constant-Warmth,D
3.1_A,Plate2,Cold-Dormancy,A
6.4_C,Plate2,Cold-Dormancy,C
9.4_C,Plate2,Constant-Warmth,C
12.5_B,Plate2,Cold-Dormancy,B
6.3_D,Plate2,Cold-Dormancy,D
5.1_A,Plate2,Constant-Warmth,A
7.5_D,Plate2,Cold-Dormancy,D
3.4_C,Plate2,Cold-Dormancy,C
13.2_C,Plate2,Constant-Warmth,C
15.4_A,Plate2,Cold-Dormancy,A
5.5_B,Plate2,Constant-Warmth,B
9.5_A,Plate2,Constant-Warmth,A
10.1_C,Plate2,Constant-Warmth,C
10.4_B,Plate2,Cold-Dormancy,B
10.5_D,Plate2,Constant-Warmth,D
10.4_C,Plate2,Cold-Dormancy,C
11.3_B,Plate2,Cold-Dormancy,B
17.5_B,Plate2,Constant-Warmth,B
6.4_A,Plate2,Cold-Dormancy,A
17.2_A,Plate2,Cold-Dormancy,A
15.1_C,Plate2,Constant-Warmth,C
11.2_D,Plate2,Constant-Warmth,D
5.3_A,Plate2,Constant-Warmth,A
15.1_B,Plate2,Constant-Warmth,B
15.3_B,Plate2,Constant-Warmth,B
5.4_B,Plate2,Cold-Dormancy,B
2.2_B,Plate2,Cold-Dormancy,B
17.2_C,Plate2,Cold-Dormancy,C
7.2_D,Plate3,Constant-Warmth,D
10.2_A,Plate3,Cold-Dormancy,A
7.5_A,Plate3,Cold-Dormancy,A
13.1_A,Plate3,Cold-Dormancy,A
17.4_D,Plate3,Cold-Dormancy,D
7.4_A,Plate3,Constant-Warmth,A
3.1_D,Plate3,Cold-Dormancy,D
17.3_C,Plate3,Constant-Warmth,C
2.3_D,Plate3,Cold-Dormancy,D
9.3_C,Plate3,Cold-Dormancy,C
10.2_B,Plate3,Cold-Dormancy,B
