,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,VIC,,Std-01,STD1,5211.56337694322,,Standard,Unassigned,False
,A02,VIC,,Std-01,STD1,5356.06204572737,,Standard,Unassigned,False
,A03,VIC,,Unkn-01,11.3_A,3168.45078948682,,Unknown,Unassigned,False
,A04,VIC,,Unkn-01,11.3_A,3496.44890394773,,Unknown,Unassigned,False
,A05,VIC,,Unkn-09,9.1_D,3515.03533053819,,Unknown,Unassigned,False
,A06,VIC,,Unkn-09,9.1_D,3512.64998524026,,Unknown,Unassigned,False
,A07,VIC,,Unkn-17,5.1_C,3341.17701382577,,Unknown,Unassigned,False
,A08,VIC,,Unkn-17,5.1_C,3182.52743123023,,Unknown,Unassigned,False
,A09,VIC,,Unkn-25,7.5_C,3269.11474941959,,Unknown,Unassigned,False
,A10,VIC,,Unkn-25,7.5_C,3296.2179865077,,Unknown,Unassigned,False
,A11,VIC,,Unkn-33,9.3_A,3696.20899616526,,Unknown,Unassigned,False
,A12,VIC,,Unkn-33,9.3_A,3708.77254999527,,Unknown,Unassigned,False
,B01,VIC,,Std-02,STD2,4921.47997305432,,Standard,Unassigned,False
,B02,VIC,,Std-02,STD2,5271.78327853271,,Standard,Unassigned,False
,B03,VIC,,Unkn-02,3.1_B,3409.27490672891,,Unknown,Unassigned,False
,B04,VIC,,Unkn-02,3.1_B,3722.26333444536,,Unknown,Unassigned,False
,B05,VIC,,Unkn-10,5.3_B,3370.17840648714,,Unknown,Unassigned,False
,B06,VIC,,Unkn-10,5.3_B,3343.15047454152,,Unknown,Unassigned,False
,B07,VIC,,Unkn-18,15.3_A,3213.15057934542,,Unknown,Unassigned,False
,B08,VIC,,Unkn-18,15.3_A,3371.65343307423,,Unknown,Unassigned,False
,B09,VIC,,Unkn-26,13.2_B,3205.46401601018,,Unknown,Unassigned,False
,B10,VIC,,Unkn-26,13.2_B,3471.32560912993,,Unknown,Unassigned,False
,B11,VIC,,Unkn-34,17.5_C,4125.99082428354,,Unknown,Unassigned,False
,B12,VIC,,Unkn-34,17.5_C,4109.19160531127,,Unknown,Unassigned,False
,C01,VIC,,Std-03,STD3,4786.63202377851,,Standard,Unassigned,False
,C02,VIC,,Std-03,STD3,4605.31695908342,,Standard,Unassigned,False
,C03,VIC,,Unkn-03,9.1_C,3940.38293009049,,Unknown,Unassigned,False
,C04,VIC,,Unkn-03,9.1_C,4059.90746788605,,Unknown,Unassigned,False
,C05,VIC,,Unkn-11,15.2_C,3128.31254068344,,Unknown,Unassigned,False
,C06,VIC,,Unkn-11,15.2_C,3219.83493883355,,Unknown,Unassigned,False
,C07,VIC,,Unkn-19,3.3_C,3250.56715332889,,Unknown,Unassigned,False
,C08,VIC,,Unkn-19,3.3_C,3205.71495825306,,Unknown,Unassigned,False
,C09,VIC,,Unkn-27,10.6_A,3630.03197039247,,Unknown,Unassigned,False
,C10,VIC,,Unkn-27,10.6_A,3660.89372490017,,Unknown,Unassigned,False
,C11,VIC,,Unkn-35,9.4_D,3086.86848617541,,Unknown,Unassigned,False
,C12,VIC,,Unkn-35,9.4_D,3263.83906857404,,Unknown,Unassigned,False
,D01,VIC,,Std-04,STD4,4184.56592878931,,Standard,Unassigned,False
,D02,VIC,,Std-04,STD4,4076.3423103969,,Standard,Unassigned,False
,D03,VIC,,Unkn-04,8.1_A,3414.04199981737,,Unknown,Unassigned,False
,D04,VIC,,Unkn-04,8.1_A,3549.71695593012,,Unknown,Unassigned,False
,D05,VIC,,Unkn-12,10.6_D,3358.00079214472,,Unknown,Unassigned,False
,D06,VIC,,Unkn-12,10.6_D,3810.46926310321,,Unknown,Unassigned,False
,D07,VIC,,Unkn-20,9.4_B,3304.01666411127,,Unknown,Unassigned,False
,D08,VIC,,Unkn-20,9.4_B,3074.40841647318,,Unknown,Unassigned,False
,D09,VIC,,Unkn-28,5.4_D,3573.52682914261,,Unknown,Unassigned,False
,D10,VIC,,Unkn-28,5.4_D,3283.23979408726,,Unknown,Unassigned,False
,D11,VIC,,Unkn-36,9.5_B,3107.98724325854,,Unknown,Unassigned,False
,D12,VIC,,Unkn-36,9.5_B,3219.82642658616,,Unknown,Unassigned,False
,E01,VIC,,Std-05,STD5,3396.6078562681,,Standard,Unassigned,False
,E02,VIC,,Std-05,STD5,3451.31136787404,,Standard,Unassigned,False
,E03,VIC,,Unkn-05,12.2_A,3426.11333008235,,Unknown,Unassigned,False
,E04,VIC,,Unkn-05,12.2_A,3603.40936203551,,Unknown,Unassigned,False
,E05,VIC,,Unkn-13,9.2_C,3576.78254220615,,Unknown,Unassigned,False
,E06,VIC,,Unkn-13,9.2_C,3406.63684395792,,Unknown,Unassigned,False
,E07,VIC,,Unkn-21,13.3_B,3486.38418548602,,Unknown,Unassigned,False
,E08,VIC,,Unkn-21,13.3_B,3222.67969614315,,Unknown,Unassigned,False
,E09,VIC,,Unkn-29,2.3_C,3448.60261723434,,Unknown,Unassigned,False
,E10,VIC,,Unkn-29,2.3_C,3438.86237374508,,Unknown,Unassigned,False
,E11,VIC,,Unkn-37,10.4_D,3989.7371425086,,Unknown,Unassigned,False
,E12,VIC,,Unkn-37,10.4_D,3614.74290636824,,Unknown,Unassigned,False
,F01,VIC,,Std-06,STD6,2524.4350306073,,Standard,Unassigned,False
,F02,VIC,,Std-06,STD6,2039.66177396723,,Standard,Unassigned,False
,F03,VIC,,Unkn-06,15.5_A,3633.06181342104,,Unknown,Unassigned,False
,F04,VIC,,Unkn-06,15.5_A,3861.34276024099,,Unknown,Unassigned,False
,F05,VIC,,Unkn-14,14.5_D,3381.57716233173,,Unknown,Unassigned,False
,F06,VIC,,Unkn-14,14.5_D,3432.61944166057,,Unknown,Unassigned,False
,F07,VIC,,Unkn-22,15.2_A,3236.58500278741,,Unknown,Unassigned,False
,F08,VIC,,Unkn-22,15.2_A,3357.50392148146,,Unknown,Unassigned,False
,F09,VIC,,Unkn-30,17.3_D,3916.37249326279,,Unknown,Unassigned,False
,F10,VIC,,Unkn-30,17.3_D,3560.65483543578,,Unknown,Unassigned,False
,F11,VIC,,Unkn-38,5.2_C,3430.74216596411,,Unknown,Unassigned,False
,F12,VIC,,Unkn-38,5.2_C,3364.70032937967,,Unknown,Unassigned,False
,G03,VIC,,Unkn-07,3.1_C,3153.15514296819,,Unknown,Unassigned,False
,G04,VIC,,Unkn-07,3.1_C,3413.85336335229,,Unknown,Unassigned,False
,G05,VIC,,Unkn-15,17.3_A,3737.08687927056,,Unknown,Unassigned,False
,G06,VIC,,Unkn-15,17.3_A,3822.7067580421,,Unknown,Unassigned,False
,G07,VIC,,Unkn-23,10.6_B,3438.46965571216,,Unknown,Unassigned,False
,G08,VIC,,Unkn-23,10.6_B,3688.33018156236,,Unknown,Unassigned,False
,G09,VIC,,Unkn-31,2.4_B,3161.73806041043,,Unknown,Unassigned,False
,G10,VIC,,Unkn-31,2.4_B,3276.1858212823,,Unknown,Unassigned,False
,G11,VIC,,Unkn-39,12.4_A,3390.58508281439,,Unknown,Unassigned,False
,G12,VIC,,Unkn-39,12.4_A,3045.26776500329,,Unknown,Unassigned,False
,H01,VIC,,NTC-01,NEG,1465.19859639044,,NTC,Unassigned,False
,H02,VIC,,NTC-01,NEG,961.554378516966,,NTC,Unassigned,False
,H03,VIC,,Unkn-08,7.1_D,2901.79877079983,,Unknown,Unassigned,False
,H04,VIC,,Unkn-08,7.1_D,3190.51498971612,,Unknown,Unassigned,False
,H05,VIC,,Unkn-16,13.4_D,3040.30319181106,,Unknown,Unassigned,False
,H06,VIC,,Unkn-16,13.4_D,2865.93834706925,,Unknown,Unassigned,False
,H07,VIC,,Unkn-24,17.2_B,3117.26801524841,,Unknown,Unassigned,False
,H08,VIC,,Unkn-24,17.2_B,3065.16866218861,,Unknown,Unassigned,False
,H09,VIC,,Unkn-32,3.2_B,2849.45211995755,,Unknown,Unassigned,False
,H10,VIC,,Unkn-32,3.2_B,3054.00043212235,,Unknown,Unassigned,False
,H11,VIC,,Unkn-40,7.4_D,3290.24888744964,,Unknown,Unassigned,False
,H12,VIC,,Unkn-40,7.4_D,3036.06528735907,,Unknown,Unassigned,False
