,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,11.3_A,11.3_A,9.1_D,9.1_D,5.1_C,5.1_C,7.5_C,7.5_C,9.3_A,9.3_A
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.1_B,3.1_B,5.3_B,5.3_B,15.3_A,15.3_A,13.2_B,13.2_B,17.5_C,17.5_C
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,9.1_C,9.1_C,15.2_C,15.2_C,3.3_C,3.3_C,10.6_A,10.6_A,9.4_D,9.4_D
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,8.1_A,8.1_A,10.6_D,10.6_D,9.4_B,9.4_B,5.4_D,5.4_D,9.5_B,9.5_B
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,12.2_A,12.2_A,9.2_C,9.2_C,13.3_B,13.3_B,2.3_C,2.3_C,10.4_D,10.4_D
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,15.5_A,15.5_A,14.5_D,14.5_D,15.2_A,15.2_A,17.3_D,17.3_D,5.2_C,5.2_C
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,3.1_C,3.1_C,17.3_A,17.3_A,10.6_B,10.6_B,2.4_B,2.4_B,12.4_A,12.4_A
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,7.1_D,7.1_D,13.4_D,13.4_D,17.2_B,17.2_B,3.2_B,3.2_B,7.4_D,7.4_D
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
