,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,-25.2167793269264,-1.92432325977916,-3.3911268505899,-2.06371444318984,-9.06533129291438,-3.37555767957383,-7.24631399229384,-3.70905535819111,-5.14481414494367,-4.98775441940052,-32.7326967490035,-79.8936504155654,-4.41132684864488,15.5811155385427,15.089247695013,6.06098236460321,2.85183164307227,11.1276093224233,9.05471323866095,4.30396259706595,9.3185315634887,6.95617968474699,16.5936474994342,2.86626627755186,-2.5269412196526,16.0222827137859,10.8248513707777,9.6362629824448,7.44363648899707,7.60926830094786,5.28175987912527,2.51464225054679,11.4189053472878,8.78280339103412,-18.9527003898907,-15.4584216980047,-4.5717865584661,9.08292360709765,13.8342274043771,3.15437070277949,8.99146344488008,13.8953997336957,9.99235843651286,6.01310133356765,12.3983853617788,4.87658176774721,6.64123995483305,-2.58805669753519,-8.78018346096451,14.0596443800437,11.6240312897485,8.20992537779966,13.3388298828868,7.42940363186744,4.46045607063388,11.8856704890718,11.9775263345859,6.62542418869907,6.4375208110414,-0.398590710530698,-16.5491543764165,7.77513573143733,16.458570251345,8.34932946649087,9.66547136904774,9.81257674686276,11.275977946545,5.89660617239133,7.90301978591242,3.64739036355695,11.9667283484687,-0.063616544445722,12.0259242576813,10.1374446727268,8.11954368119086,6.368580289281,6.29963748109594,5.86458614377671,4.64981500906106,7.16921935745995,3.67537709539602,0.430511904887226,-20.1462783166257,-0.878676122420984,4.36623912749337,8.24772274195084,5.79415197551498,0.109775478825213,3.26351725654104,6.65112887043188,12.3261916318197,6.85035410773025,9.49859293492545,-14.3821870107704
,2,-2.02126973250824,5.63315089379648,-3.35318676468523,-0.268324438261971,0.873012797252159,-0.514451754016591,-1.68166106814215,-1.79995905913529,-1.4065834598955,0.0696208915369425,-17.9517772473432,-17.4729638337935,4.12912270247716,5.71725914680746,5.43108919771475,4.64043433688084,1.89013407373295,1.37555436777848,1.28063091890363,-0.912999664057679,5.17316071887763,3.21827830899338,9.13726142772066,6.53591598328649,2.46523032165942,9.47108039167142,1.43284391480165,8.63022737277606,1.34074037925075,-0.633232599348958,2.9665300143929,1.85649574705303,6.46150912640178,-1.34325533757374,-16.5571742075063,0.30254493983648,0.877218007129159,2.4878534319414,5.8546914731246,6.00976228891614,2.52614874917117,3.77260534278048,4.42689472977054,0.591658813415961,3.56239300564448,2.7805823963904,1.2960055082558,-1.23596160912939,-2.96244333193044,6.66536322948423,7.67433916377422,6.58920459559386,5.96267349997606,0.309274891130826,-3.13201142706475,6.45025584762425,3.50029145244434,4.44973522520559,4.00353923391003,4.29168568005798,-6.89512629049159,-2.45003971614415,7.26475152203693,4.023761649682,3.38881237322994,4.83949826690605,3.84946319614164,1.48660542125253,0.417809229898467,1.38882750452876,5.43622739884222,2.80440289402441,6.68439465024994,-0.972773871520985,4.61049172074536,-0.431743348706732,3.91917786388103,1.05870021568444,3.74863809161116,-0.396200057462011,1.20445486989001,2.39860975469901,-5.85074173980729,-3.58694127780745,0.58235955477403,2.43420418428968,-0.535029124209359,-3.62467855553177,0.753059728694097,3.12378656996771,1.78873826045401,6.46371808923323,2.27809709023177,2.14500627795132
,3,8.015904466954,7.76742699479337,1.22292965430961,2.49569436119828,2.16707676196984,2.64848092505781,2.57507099313079,6.79538295469092,1.3846258102094,3.07832438559171,-7.86400868859619,0.0574096717350585,1.06067589669328,5.25012522534871,5.13835431874077,0.806623328925525,-3.58538733453497,0.935159918884892,3.61749748492139,-0.692804614564466,1.97065772401447,-0.973445078388067,5.02980080901125,-0.397419979184178,8.49213280600998,7.172602345006,3.58175850255384,-0.206999036966863,3.62061560099346,-1.35640738219399,-1.5765261904171,3.51871531552251,2.78459662135674,2.42581786047458,-12.2621191932571,5.11638659870141,0.739639866874768,0.472395584802598,4.57522667958256,1.35840618300199,0.603071889552211,9.00838126218969,-0.89035936690334,-1.14873474222804,5.05714633440584,-0.106796210005541,4.18166481596245,1.49834683338531,2.69081662594681,4.0611458610033,5.77729064533196,4.08723302705812,1.28534137412544,0.844946431849166,2.47579646322811,2.40657444730778,7.1414894469749,4.40080604561081,6.27057361659126,0.287020096719971,-1.44509514715992,1.75461087919803,5.21466102568274,2.28391522032871,0.709321739668667,-0.343150723740109,3.29182194597161,1.79211245462966,5.37880296298727,6.31976832526698,2.25340252414117,1.57073548806648,1.12047837059708,1.67264467621362,3.18446111757021,2.76805689554158,-2.05222011954857,1.79321901751518,6.7268103396791,1.12722151936123,-4.30447495125645,0.0990192113854391,2.24779552373684,-0.35506645589885,0.790884298554374,1.65897811311424,-0.614104285699341,-2.39945173640217,0.902281339234833,1.42834793356315,-2.85240519573244,0.0275816919097451,6.76502829348556,1.37394585739185
,4,5.33364028071719,6.61629381924968,-2.80365848939164,1.90149345592545,1.11536316461388,1.47082945362081,1.26861050818889,4.70617163212864,3.5975072728229,6.24729186586956,-9.89297538182564,1.31496380050521,7.26806577503021,5.45938503427851,6.4997844860527,3.94128346567823,2.52714267395959,2.70216228765548,-0.155378050509626,1.67428053951198,-0.186179813388208,2.27257925475487,2.44285423626934,5.52899608452344,5.37154506117713,3.03822399925411,2.2221113671817,2.54283138761321,-0.546613024418548,1.23799897486333,0.83125912139576,0.32771328265153,1.88817706253894,3.17473619763314,-8.45195730796786,6.76575282055137,6.71448328578526,1.78875095231524,5.58179509183492,1.72797723969143,0.976238959653529,2.25645816091674,3.54508558280349,0.415341945085856,3.06657224088758,2.61169879168938,0.772899583670096,-0.475674055599939,-0.320889053988594,3.3010220759611,1.52980804211165,-0.820344038917938,2.52937258031488,1.92862498310797,2.1190236381035,3.00431079348482,1.78995674393354,1.39346654025576,1.08052051190134,0.22306275811934,-1.53901202362749,1.40145991350664,4.42329497577839,2.29857527344529,1.93352317098515,1.48942202088801,0.392154058178221,-0.894891366598131,3.97521166667684,4.30880229237118,1.5606580664753,4.64665401148977,1.3439071967,3.06650130690696,0.826062533631557,0.773098172601749,5.43687927448855,2.78724150425978,3.55420895426732,-0.678769013553392,-2.15543328510057,-1.86236846700058,-1.62747963457514,-0.197285571156954,3.21616956749403,3.39666779012668,0.440834328287565,-0.269063490518874,0.946493646052204,2.31228603506997,0.0737413421916244,3.03983779149303,2.46435735665136,-2.56887195117361
,5,4.7147489693466,1.38180294930953,1.29437273863823,1.24428544160946,2.26765187553838,-0.893266478492933,5.5171298228438,3.68792209700223,4.5763136673977,2.97357293817458,-2.18589940185484,4.70468478159955,0.830672119477185,0.911255129063647,0.103728975963804,4.16350599595853,2.57413614132611,2.0610169038041,5.89598251059397,4.32789170978685,-0.637726369743177,-0.0698065343572125,2.40769680727863,2.48254174935664,5.72579154928462,0.684034110080574,2.83636000783599,5.00455739365816,-0.299969748983131,2.51797650043318,-1.69361293810471,0.555723412009229,0.851597433333154,6.31752726474178,-3.27045449381876,5.32639008907745,5.16776536670614,3.48728738290902,4.27320225853282,3.18643894702927,-0.14328741231202,4.55383046522047,2.89498187224126,1.13919129381293,4.43324201476935,3.28363189425681,3.84618974950172,2.99372236101999,3.00545924916923,3.20458017728788,4.07237359199144,2.79432193219327,4.56134661954093,0.694884854089651,2.70761061680196,5.65797431286092,-0.466895144599221,3.42727810126735,7.52475859315291,2.83286634939032,0.454079082536282,2.36703090685796,4.25921514008542,3.35454566619956,4.75846907809273,1.84059519085531,2.98115171582594,-0.903361188806684,1.04649045029919,2.48924837475124,4.40082101401595,1.90186087262055,2.28294301397182,2.1553159593509,2.8170809705598,3.36739738315146,2.88526634458822,2.65574057009553,2.78206014044827,4.40381386523813,6.18393847340712,7.32150872189777,-0.0282773968460788,0.207951389306345,-1.87400338105499,1.2443707948587,1.68399916953058,2.01256876729849,1.59191690217176,0.0521378027647188,-0.230449471474458,1.6585330875555,1.8338465150091,2.74433372631165
,6,-0.147610542555867,4.42111118351886,0.209312457674969,1.73983060767068,3.07253677143854,0.875549601405964,0.617269695934738,1.7303881676421,-0.137072952978087,2.015757550128,0.627493461554877,4.92837632655028,4.69631428345247,1.69020229919897,0.828599745612792,-2.64530716452282,1.9642235473334,-0.0866679979617402,3.19379133878738,2.62447215473821,1.03897907186547,3.77863936030553,1.25428201519708,3.15528299445532,2.16089705612831,3.3612643575143,-0.910821988093176,4.19405424425486,1.23275013290186,-0.50518195128052,2.90838939138212,-0.637433579245226,1.05181748207679,-2.10746212661115,2.33576735313363,1.9992833870815,0.494482186374626,1.48312168247639,0.482905588922677,3.35899349267038,2.10142127092877,2.23234916959564,-0.124231391606372,4.67549456887309,1.70400077549311,2.58349925030598,1.34799785631594,4.53196984366332,2.04734270633617,5.36199757962595,1.21850872935102,0.509660991399869,5.45138787706628,6.88554245004116,-3.49741514721973,2.90003492209553,4.39467854052145,2.62616104991412,5.16113675623046,7.15154132245743,6.12130092094776,-0.877855430470845,2.18403454316922,4.0434112580283,1.21146533795854,1.28006646044832,2.95230893608732,0.273609268346718,0.31825649557868,3.31998779805645,-1.98150838058791,2.00887278854862,2.43860425840512,5.89957050228259,5.6890494086897,-1.66894632246522,4.09011285759061,1.64714203565654,1.54435478304049,-0.786234172581771,4.08689070584296,1.70533140420321,1.35761485266312,-1.23942651708967,5.87583101080008,-1.20607839056674,0.0192899037951975,0.0517266155948164,1.82277877966999,3.32655460145179,1.65621722607648,2.92490066210485,0.385782997509523,1.00224792564859
,7,0.72403603034445,3.86664542831568,4.59881176562885,5.054639157152,2.75627268076551,2.99217166155131,-1.74723398893002,0.0157052353451945,1.1963107769725,-1.49639348129313,5.64770913190705,0.0143438720820086,6.24850914358922,2.62438491425928,-0.308933326520219,2.62219863640848,1.73721762623927,4.16036196327104,-0.64194048002264,0.352019834929251,5.33611050438276,2.64021353743146,1.82250067604991,-0.366410859183816,4.99885844206256,7.17850467538938,3.22232269463211,2.14945915758653,4.74170023129136,1.81482510183014,0.442918900066161,4.30686412461682,5.67340525427335,-0.501798637941192,2.56954093379272,0.708776749406752,2.8748825351995,4.06909696048615,5.67185352486058,3.50251579219503,0.717347316764062,1.94750005313199,0.214165414954095,2.32816659135324,3.77984174027233,2.53596411531589,2.59159052114683,0.381919844329332,3.91771599882122,2.4074663973156,3.39623087259633,3.94322757474674,3.36370645009538,-2.2703924131747,4.30967203192768,0.488018309930339,4.9499591312474,1.10416820466935,-1.60632491707429,2.52489154309342,2.84862215665817,0.384812964991852,1.41374238524668,-0.551937652396191,5.36475260411726,0.249492687250495,3.49435913081561,0.836833235600807,3.82244943348678,2.08958833090037,3.44835855093788,1.71802651834196,-0.0911564034277035,0.473616997184763,1.4818565006758,4.0855450315189,0.662573183408313,5.12365226199609,-0.0235910736514597,5.24616684696275,5.77550466898356,5.67137473693811,-0.598035999710191,0.948629287191125,2.36100649321133,-0.500039199119783,2.42824468103345,2.8053951528068,-0.262748584666497,2.41992626326692,5.38481393579377,4.12406736429512,2.28669731511718,5.64997155349511
,8,-1.60345882674392,-0.675553162043343,-0.606674810455388,-1.83585335344287,3.46414820681275,4.21574517217368,2.37489334577594,2.04015062617327,1.32782899329823,-1.25695926139815,4.57612384768436,3.5280416316873,-1.95645255977297,2.37479778202169,2.57272423705899,-1.63635775958846,-1.6554974110345,1.1765430895498,0.463285794153308,1.03580974895431,3.75989830674826,0.910099144341075,6.76133127527919,5.00230817837291,-0.990438074828944,1.38706102103606,1.28389555176591,4.9200204787453,3.87911040165136,0.423346734509778,3.28482277501553,4.63960063834656,3.04119417218635,1.76825757934375,-1.0780236944488,2.52288266110691,3.10933086182695,0.505111242567182,-1.3083847565681,6.28798690027679,4.49219452958414,4.00319216808339,2.47793714631507,4.46709191595119,-0.658860842143895,2.73192390308986,0.470196681639663,0.111083148408852,2.64864738807,1.72724426604282,-0.0376595174047907,2.93253933613369,-0.117056233007133,2.68235366341924,0.30730721636337,1.31908580662639,-0.680769598468942,-0.82693814480308,0.923849491528017,1.10250177005855,3.59318066562628,1.24982098116379,3.27787566174266,7.09869275046003,-0.591737018974982,6.74907069100436,1.37012768484601,3.58037450155234,0.367668775015773,2.77844125755291,1.25736506932844,0.692616629678014,-0.6359302883493,1.60397469023428,-1.28981961524369,0.88279964092726,3.66058147458853,2.53956536881242,-1.0607962268341,3.62005003294917,0.529639351059814,5.42871810805582,-1.34662156228023,-1.6937671161495,1.10292798415458,1.65158964481498,-1.68725123880313,2.67019345941753,1.72530659019776,1.35874418704498,-0.360809404291558,1.49356298330622,-1.49282434334737,4.39533676715018
,9,-0.740552907420351,-4.25287915933495,2.10814707680811,0.277001001187728,2.2785592286391,0.562490315457126,3.05222974611388,-0.544585075312625,-1.92663437894362,1.83452145677529,6.19904646491159,6.14232685218121,-0.546058591095061,-1.94189847381131,1.36879589413002,3.54374299633537,0.628737136955351,0.55432877846215,1.17355561484555,2.1784264337798,3.20793505551046,-0.529109672732375,-0.616359936988374,1.16086172622454,-2.51974956720369,0.302546176284523,1.16329580446882,0.586522336007874,1.45586924697318,4.50750350213093,1.01241677601183,2.4697840923568,1.08369232637187,-0.478590083550898,5.72094117328015,0.333662395129068,1.56587875522837,5.88144419438686,3.42160417855712,0.610430601688222,3.12262063697199,0.362198931547482,2.07232100216697,1.38904475680465,0.355399546685931,2.53566106585504,3.79265431465728,-1.86384067555264,1.21421697688902,2.29014150320882,-2.178606633041,1.4655517818901,1.65887133218212,1.70713007092263,2.51047382006527,-0.553141887889979,1.71332027658673,1.40773114706735,3.34664853089816,1.15211268419489,-0.722918054388629,-1.59794802321585,0.985516034593275,0.330370319405574,-2.74980212524633,1.46951916166017,2.67169763413813,3.61442961271587,-0.0697636438258087,0.538049542664339,1.08365779848828,-0.805057699690224,0.66311375510486,-1.13128514717937,-2.80945725865695,-3.10896496502301,0.633327336970979,0.801309308223153,2.3617128906767,0.0653865625636172,3.27478298581627,-0.329019591301858,0.21765591073472,-0.89815488152226,1.80063715934966,3.75234248648303,1.77367636174631,3.43754222348707,2.65866018902716,-1.18891378087301,1.58800712353332,0.532318456177563,0.2969263012601,1.65646980784777
,10,-2.59310188013478,-7.85778482742444,3.72172656349539,-0.0263557510870669,6.21945343490916,2.48989664175269,-0.390701605709182,0.875413624313751,-0.197932011740249,-0.540555876391409,7.86468901308444,4.86661101933259,-2.325440260498,-3.2406844285224,-0.847489816388588,0.320370001125411,2.98071364481575,0.67630372577878,-0.926589283783869,-3.25888566993945,1.2643025095249,3.92201213689168,2.04103489457248,-0.574112324119596,0.199708112646022,0.89294019216959,1.05816141873493,2.09251170336211,2.63636130487021,2.79450351037758,1.93711860107351,0.267072544582788,-0.527391962086767,-1.76558627697841,9.75527605317393,-0.804669623180416,0.585949287011317,3.07014816306037,0.935777784970924,0.609656519895452,1.12519868096297,-4.15103127759585,4.49804861898929,-0.994794889806599,0.745897595591032,-8.07248650721931,-1.67753853154181,1.83162780211023,2.74297145663695,3.1627222462771,3.84597869745812,-1.89862805385428,-1.29156459047863,3.96340712510164,1.52511632828964,0.404252208284106,-2.99337565927044,4.04194705270083,-0.538426754387729,-0.241118219924374,2.80169807013544,1.77433680946069,-2.55420045449137,0.463873703213267,1.96499591840393,0.528648769558913,-2.05577207409897,1.85329107739108,4.70001307942857,-0.872408938120316,2.76455140487269,1.22667599606348,4.45780020304346,0.110930335299599,-1.48365333037145,5.23683423371358,1.92629419237073,4.28996206422198,-1.8575510581345,1.02498927173338,2.31758691318646,-1.5619610280587,3.67778158393958,1.7844832208657,-0.751895823303585,0.37307359031638,0.571889089460001,3.30207867266381,2.05771501898062,1.10873227829643,2.85267028065618,-2.36770938584414,0.0647823843360129,-0.126928880451487
