,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,5372.96337532122,3030.41589951813
,A02,STD1,Allele 2,Auto,5534.09476421395,3128.03793434268
,A03,15.3_D,Allele 1,Auto,5154.61334040747,2164.2497941488
,A04,15.3_D,Allele 1,Auto,5458.53967682597,2279.2245121558
,A05,5.5_A,Allele 1,Auto,5327.88621957927,2262.21435606401
,A06,5.5_A,Allele 1,Auto,5330.67179019428,2293.10023556605
,A07,6.3_D,Allele 1,Auto,5314.75847630963,2244.67881840353
,A08,6.3_D,Allele 1,Auto,5251.67903796808,2140.10526082714
,A09,10.1_C,Allele 1,Auto,5525.60268540852,2434.24341906395
,A10,10.1_C,Allele 1,Auto,5609.68071056668,2612.19316645482
,A11,15.1_C,Allele 1,Auto,5438.77758501274,2309.13327515382
,A12,15.1_C,Allele 1,Auto,5485.17835306636,2300.79958520385
,B01,STD2,Allele 2,Auto,5403.69406812103,2952.31214243158
,B02,STD2,Allele 2,Auto,5706.05429327727,3129.16944858465
,B03,10.1_A,Undetermined,Auto,5267.98196103549,2578.56351311044
,B04,10.1_A,Undetermined,Auto,5813.9763323705,2835.40013903471
,B05,3.3_B,Allele 1,Auto,5735.22406715059,2420.5841814569
,B06,3.3_B,Allele 1,Auto,5635.97736877456,2366.15270856105
,B07,5.1_A,Allele 1,Auto,5940.10741183982,2567.12946284112
,B08,5.1_A,Allele 1,Auto,5745.60776874591,2424.07668166283
,B09,10.4_B,Undetermined,Auto,5635.58853526365,2680.20506542756
,B10,10.4_B,Allele 1,Auto,5659.87551395055,2675.3745987752
,B11,11.2_D,Allele 1,Auto,5526.79513512726,2268.864524164
,B12,11.2_D,Allele 1,Auto,5554.57172623986,2313.80492487655
,C01,STD3,Allele 2,Auto,5722.04454410766,3048.48159870068
,C02,STD3,Allele 2,Auto,5671.47836144725,3014.21482411004
,C03,7.1_A,Allele 1,Auto,5532.72855329904,2352.90942345096
,C04,7.1_A,Allele 1,Auto,5662.64802395837,2393.68120847635
,C05,14.5_C,Allele 1,Auto,5508.75558625028,2344.35779663357
,C06,14.5_C,Allele 1,Auto,5643.75647528312,2413.58721529055
,C07,7.5_D,Allele 1,Auto,5614.30796905963,2317.2623381393
,C08,7.5_D,Allele 1,Auto,5590.37106929461,2313.69221952152
,C09,10.5_D,Allele 1,Auto,5556.28230335558,2550.58255150777
,C10,10.5_D,Allele 1,Auto,5790.65675325467,2509.38208239844
,C11,5.3_A,Allele 1,Auto,5583.93664114637,2348.41675034898
,C12,5.3_A,Allele 1,Auto,5373.57006514361,2241.29725700303
,D01,STD4,Allele 2,Auto,4840.50753662574,2729.84319311544
,D02,STD4,Allele 2,Auto,5478.67048442452,2788.25283424002
,D03,13.3_D,Allele 1,Auto,5413.32907693624,2268.41203185134
,D04,13.3_D,Allele 1,Auto,5639.77581830914,2402.15697845943
,D05,12.2_D,Allele 1,Auto,5466.54740325328,2317.42364457118
,D06,12.2_D,Allele 1,Auto,5751.1907726005,2500.63271408801
,D07,3.4_C,Allele 1,Auto,5725.13466552939,2368.6495664513
