,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,0,Std-01,STD1,5351.93898877315,,Standard,Unassigned,False
,A02,FAM,0,Std-01,STD1,5508.72049061097,,Standard,Unassigned,False
,A03,FAM,0,Unkn-01,15.3_D,5128.14895667604,,Unknown,Unassigned,False
,A04,FAM,0,Unkn-01,15.3_D,5437.28314663626,,Unknown,Unassigned,False
,A05,FAM,0,Unkn-09,5.5_A,5311.63718992034,,Unknown,Unassigned,False
,A06,FAM,0,Unkn-09,5.5_A,5308.2537051183,,Unknown,Unassigned,False
,A07,FAM,0,Unkn-17,6.3_D,5288.06157624127,,Unknown,Unassigned,False
,A08,FAM,0,Unkn-17,6.3_D,5228.93279359981,,Unknown,Unassigned,False
,A09,FAM,0,Unkn-25,10.1_C,5503.2939290996,,Unknown,Unassigned,False
,A10,FAM,0,Unkn-25,10.1_C,5589.74619321743,,Unknown,Unassigned,False
,A11,FAM,0,Unkn-33,15.1_C,5410.7358065584,,Unknown,Unassigned,False
,A12,FAM,0,Unkn-33,15.1_C,5459.56906527967,,Unknown,Unassigned,False
,B01,FAM,0,Std-02,STD2,5371.83850681824,,Standard,Unassigned,False
,B02,FAM,0,Std-02,STD2,5669.7390518391,,Standard,Unassigned,False
,B03,FAM,0,Unkn-02,10.1_A,5247.7014453868,,Unknown,Unassigned,False
,B04,FAM,0,Unkn-02,10.1_A,5790.07120286848,,Unknown,Unassigned,False
,B05,FAM,0,Unkn-10,3.3_B,5718.7192406855,,Unknown,Unassigned,False
,B06,FAM,0,Unkn-10,3.3_B,5612.38935357994,,Unknown,Unassigned,False
,B07,FAM,0,Unkn-18,5.1_A,5915.42866846302,,Unknown,Unassigned,False
,B08,FAM,0,Unkn-18,5.1_A,5723.21841107937,,Unknown,Unassigned,False
,B09,FAM,0,Unkn-26,10.4_B,5619.64001113485,,Unknown,Unassigned,False
,B10,FAM,0,Unkn-26,10.4_B,5634.29984369782,,Unknown,Unassigned,False
,B11,FAM,0,Unkn-34,11.2_D,5496.79340829117,,Unknown,Unassigned,False
,B12,FAM,0,Unkn-34,11.2_D,5528.77813187436,,Unknown,Unassigned,False
,C01,FAM,0,Std-03,STD3,5657.97663852023,,Standard,Unassigned,False
,C02,FAM,0,Std-03,STD3,5615.60790021461,,Standard,Unassigned,False
,C03,FAM,0,Unkn-03,7.1_A,5519.67506172969,,Unknown,Unassigned,False
,C04,FAM,0,Unkn-03,7.1_A,5645.25940826483,,Unknown,Unassigned,False
