,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,15.3_D,15.3_D,5.5_A,5.5_A,6.3_D,6.3_D,10.1_C,10.1_C,15.1_C,15.1_C
A,Peak 1,,,,,,,,,,,,
A,Peak 2,,,,,,,,,,,,
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,10.1_A,10.1_A,3.3_B,3.3_B,5.1_A,5.1_A,10.4_B,10.4_B,11.2_D,11.2_D
B,Peak 1,,,,,,,,,,,,
B,Peak 2,,,,,,,,,,,,
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,7.1_A,7.1_A,14.5_C,14.5_C,7.5_D,7.5_D,10.5_D,10.5_D,5.3_A,5.3_A
C,Peak 1,,,,,,,,,,,,
C,Peak 2,,,,,,,,,,,,
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,13.3_D,13.3_D,12.2_D,12.2_D,3.4_C,3.4_C,10.4_C,10.4_C,15.1_B,15.1_B
D,Peak 1,,,,,,,,,,,,
D,Peak 2,,,,,,,,,,,,
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,8.1_C,8.1_C,3.1_A,3.1_A,13.2_C,13.2_C,11.3_B,11.3_B,15.3_B,15.3_B
E,Peak 1,,,,,,,,,,,,
E,Peak 2,,,,,,,,,,,,
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,5.3_D,5.3_D,6.4_C,6.4_C,15.4_A,15.4_A,17.5_B,17.5_B,5.4_B,5.4_B
F,Peak 1,,,,,,,,,,,,
F,Peak 2,,,,,,,,,,,,
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.6_D,9.6_D,9.4_C,9.4_C,5.5_B,5.5_B,6.4_A,6.4_A,2.2_B,2.2_B
G,Peak 1,,,,,,,,,,,,
G,Peak 2,,,,,,,,,,,,
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,2.2_D,2.2_D,12.5_B,12.5_B,9.5_A,9.5_A,17.2_A,17.2_A,17.2_C,17.2_C
H,Peak 1,,,,,,,,,,,,
H,Peak 2,,,,,,,,,,,,
