,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,15.3_D,15.3_D,5.5_A,5.5_A,6.3_D,6.3_D,10.1_C,10.1_C,15.1_C,15.1_C
A,Cq,16.7400454790733,16.7606560658034,22.6948217473825,22.3734135893005,22.7624576311425,22.8051251358513,23.1665886622511,23.3340912220485,23.123208285475,23.0607233431277,22.1969206701207,22.1451907264495
A,copy number,30000000,30000000,512537.040742447,640896.644026708,488989.744876762,474694.827782755,369194.610490801,328602.52370814,380501.072973576,397398.156208092,724581.887047972,751120.318645179
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,10.1_A,10.1_A,3.3_B,3.3_B,5.1_A,5.1_A,10.4_B,10.4_B,11.2_D,11.2_D
B,Cq,20.2503943845354,20.2301126565995,22.0022748957799,22.0843321709007,22.603402943194,22.5219783002601,22.3775870383043,22.3235773826512,23.1460272964461,23.1250320130859,23.2969798011633,23.2914972890077
B,copy number,3000000,3000000,829600.431243946,783588.973875437,546176.510216184,577993.056364081,639039.419424447,663495.742760787,374511.125426713,380018.845606121,337192.768660047,338480.713601813
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,7.1_A,7.1_A,14.5_C,14.5_C,7.5_D,7.5_D,10.5_D,10.5_D,5.3_A,5.3_A
C,Cq,23.3853535818311,23.3875932493698,22.1215210005329,21.9635019509899,22.5557280194331,22.5101284111668,23.0087819836808,23.0671965706177,22.9223519954867,22.3448748693765,22.643714134131,22.3827165145218
C,copy number,300000,300000,763585.339762119,852271.751591082,564586.475957425,582775.377805058,412013.769661435,395613.39140092,437535.109735011,653742.119648009,531079.276607395,636764.124436781
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,13.3_D,13.3_D,12.2_D,12.2_D,3.4_C,3.4_C,10.4_C,10.4_C,15.1_B,15.1_B
D,Cq,26.8586978660287,27.021374030788,23.366527395936,23.1283986462349,22.2321824042192,21.1513019834512,22.692817433547,22.7090271914724,22.8975589961038,22.7694762380047,21.9003147529615,21.8682369218343
D,copy number,30000,30000,321273.884754319,379130.250285474,707031.407930925,1499188.03605581,513251.874414324,507499.156166845,445143.667522727,486609.05591548,890553.739848815,910641.388327696
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,8.1_C,8.1_C,3.1_A,3.1_A,13.2_C,13.2_C,11.3_B,11.3_B,15.3_B,15.3_B
E,Cq,30.1821968239197,30.0380067473504,23.1568871473004,22.6654240897033,22.6173836114689,22.4025547225462,23.4412763152011,23.623358177689,23.3632333997599,23.3473744950352,22.3691581153441,22.4519720836819
E,copy number,3000,3000,371693.643343673,523122.161564932,540892.508195862,628040.43250576,305001.403573668,268729.005518281,322010.613019518,325581.298109679,642795.928396374,606825.676765121
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,5.3_D,5.3_D,6.4_C,6.4_C,15.4_A,15.4_A,17.5_B,17.5_B,5.4_B,5.4_B
F,Cq,33.4258815297819,33.1683981369339,23.1125496371962,23.0732679846398,22.7181377403448,22.6415898792846,22.5175219912356,22.537265008422,22.6072361483584,22.7301959422826,22.1137937901673,22.1242716801574
F,copy number,300,300,383331.681213765,393946.697916951,504294.242926994,531864.328035278,579786.890652098,571881.641743089,544722.632922543,500083.50283483,767699.28929402,762126.210866686
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.6_D,9.6_D,9.4_C,9.4_C,5.5_B,5.5_B,6.4_A,6.4_A,2.2_B,2.2_B
G,Cq,,,22.9306421850599,23.2213157053252,23.2783173630632,23.396818498404,22.7649899603378,23.1202245641599,23.4655551953578,23.5559287934301,21.5263583510664,21.6868731122558
G,copy number,,,435020.112413238,355408.831408891,341597.089783701,314577.567257084,488129.446825825,381291.344058916,299895.40166505,281629.205252935,1155026.71495877,1033041.64974155
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,2.2_D,2.2_D,12.5_B,12.5_B,9.5_A,9.5_A,17.2_A,17.2_A,17.2_C,17.2_C
H,Cq,NaN,NaN,23.6076852431121,23.8605555383182,22.6071595508652,22.5789003065603,23.4225796376314,23.3186197680413,21.8788549375091,22.3250913918181,21.7570249040033,21.6834040167503
H,copy number,NaN,NaN,271673.73163439,227867.7186145,544751.647275146,555562.114388972,308992.60642729,332156.803315623,903942.545375371,662797.591707816,983858.271603523,1035536.64287322
