,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,15.3_D,15.3_D,5.5_A,5.5_A,6.3_D,6.3_D,10.1_C,10.1_C,15.1_C,15.1_C
A,Cq,18.9709542259263,18.9449737584263,29.4606634578741,29.1140318578132,28.8485700619809,28.8391083424376,29.7244262880249,29.9295521300015,29.8614589058779,29.6560181616521,28.1749619505724,28.2040650195683
A,copy number,30000000,30000000,23268.7794643058,29559.6262608936,35504.9048655703,35737.5781656664,19395.1688230768,16834.2499251395,17644.4910990077,20333.0881330221,56525.7240949683,55401.3821028465
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,10.1_A,10.1_A,3.3_B,3.3_B,5.1_A,5.1_A,10.4_B,10.4_B,11.2_D,11.2_D
B,Cq,22.5297567938657,22.5069961401383,28.391141847494,28.3597221773762,28.9350604106607,28.9614201087999,28.777724653095,28.8426863615328,29.2875713466952,29.2334100633038,29.2461652193923,29.1656335430665
B,copy number,3000000,3000000,48689.1474131621,49756.7787647991,33447.006447132,32843.8622776838,37284.5465741586,35649.4122988377,26222.2048522441,27221.2189169969,26982.5743088285,28525.152974787
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,7.1_A,7.1_A,14.5_C,14.5_C,7.5_D,7.5_D,10.5_D,10.5_D,5.3_A,5.3_A
C,Cq,25.7013405974233,25.7396189753628,29.0178318105998,28.9017689303348,29.0326222560302,29.0027040483987,29.6768223624175,29.6612451410347,29.7591514403868,29.2365736910986,28.7057949579846,28.2938562395505
C,copy number,300000,300000,31589.3835457012,34224.6123191608,31268.4788562955,31921.0141093831,20043.1479707798,20259.8495769516,18935.7470915134,27161.8324134397,39182.7094448038,52071.4713312055
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,13.3_D,13.3_D,12.2_D,12.2_D,3.4_C,3.4_C,10.4_C,10.4_C,15.1_B,15.1_B
D,Cq,29.2828036526469,29.2274487288772,29.5168492574903,29.2709285176423,28.3684649869324,27.5970692445515,29.7170448992222,29.537644304961,29.65285214708,29.5467111570594,27.9539140370085,27.9813521438301
D,copy number,30000,30000,22383.5136504032,26525.2187879419,49457.3715285329,84237.7980725211,19494.2537542534,22064.4748202337,20377.577878289,21926.7980665112,65844.5150094508,64609.0341204793
E,Content,Std-5,Std-5,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,8.1_C,8.1_C,3.1_A,3.1_A,13.2_C,13.2_C,11.3_B,11.3_B,15.3_B,15.3_B
E,Cq,32.5685761287382,32.370179820307,30.0284460824156,29.8940474212957,28.3533092850476,28.1784342841135,29.2570854736671,29.3487791735306,30.1580232319248,30.1195111281802,28.2705302227977,28.3911878334994
E,copy number,3000,3000,15723.3066787276,17251.9667688595,49977.5471448216,56390.387228765,26779.9231440511,25137.2743109629,14377.8755081896,14765.2642327119,52916.7712748115,48687.6017319342
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,5.3_D,5.3_D,6.4_C,6.4_C,15.4_A,15.4_A,17.5_B,17.5_B,5.4_B,5.4_B
F,Cq,35.6650332502752,35.5913046249425,29.5845074919262,29.4955964463224,29.2098124346746,29.195584086586,29.1190192521599,29.1599663445216,29.2013759812969,29.2954687236418,28.001185933827,27.9477382762192
F,copy number,300,300,21362.0688680596,22714.3425694204,27668.3008957271,27941.4127959831,29458.0261492585,28636.9718742223,27829.9140374707,26079.6317148928,63730.4201810464,66125.8379585413
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.6_D,9.6_D,9.4_C,9.4_C,5.5_B,5.5_B,6.4_A,6.4_A,2.2_B,2.2_B
G,Cq,,,29.2973693824815,29.4109667131743,29.3985674332281,29.5480109854274,29.7851963109958,29.826367580612,29.2720908018943,29.4049907675412,27.8533219055969,27.9904312764558
G,copy number,,,26045.4345814458,24080.9397128673,24287.953341246,21907.1311914214,18598.3237291401,18077.1532943979,26503.9439590548,24180.4906118039,70579.5081918487,64205.3457292102
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,2.2_D,2.2_D,12.5_B,12.5_B,9.5_A,9.5_A,17.2_A,17.2_A,17.2_C,17.2_C
H,Cq,NaN,NaN,30.0646047602463,30.347005705208,29.1155443271624,29.2506151522702,30.3409088886487,30.1432075114188,28.374346150482,28.708511293159,27.8787905809183,27.7313154197352
H,copy number,NaN,NaN,15335.6777174875,12619.290802598,29528.7782062748,26899.8107979446,12672.5164958234,14525.6873902056,49256.9788144772,39109.3020761408,69349.4048313763,76781.7481919927
