,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,0,Std-01,STD1,16.5797572986014,30000000
,A02,FAM,0,Std-01,STD1,16.5624393495907,30000000
,A03,FAM,0,Unkn-01,7.2_D,21.49987685712,946397.854631192
,A04,FAM,0,Unkn-01,7.2_D,21.4475063226939,981154.970874318
,A05,FAM,0,Unkn-09,2.3_D,22.0099601677439,666054.000009322
,A06,FAM,0,Unkn-09,2.3_D,22.0004373544058,670436.552492412
,A07,FAM,0,Unkn-17,5.4_C,22.6753065851076,421217.523014664
,A08,FAM,0,Unkn-17,5.4_C,22.6909642519949,416699.780059363
,A09,FAM,0,Unkn-25,8.1_B,20.8516583972024,1478951.18631582
,A10,FAM,0,Unkn-25,8.1_B,20.8242263127172,1507157.6763444
,A11,FAM,0,Unkn-33,2.2_A,21.982202498298,678909.165806586
,A12,FAM,0,Unkn-33,2.2_A,21.3028913693008,1083905.65982943
,B01,FAM,0,Std-02,STD2,19.750915655808,3000000
,B02,FAM,0,Std-02,STD2,19.8407374772814,3000000
,B03,FAM,0,Unkn-02,10.2_A,21.0006344498279,1334736.61239111
,B04,FAM,0,Unkn-02,10.2_A,21.5572502596376,909732.151588381
,B05,FAM,0,Unkn-10,9.3_C,21.670992661784,841188.933736627
,B06,FAM,0,Unkn-10,9.3_C,21.6390809646922,859880.773489479
,B07,FAM,0,Unkn-18,10.2_D,21.1573847568886,1198152.37239404
,B08,FAM,0,Unkn-18,10.2_D,21.1424343540327,1210552.61517507
,B09,FAM,0,Unkn-26,13.4_C,21.6831834716061,834156.076857982
,B10,FAM,0,Unkn-26,13.4_C,21.6246892038403,868445.898938479
,B11,FAM,0,Unkn-34,10.5_B,21.6433741632458,857342.111717947
,B12,FAM,0,Unkn-34,10.5_B,21.6728089064083,840137.398530723
,C01,FAM,0,Std-03,STD3,23.1255342200332,300000
,C02,FAM,0,Std-03,STD3,23.1689577126561,300000
,C03,FAM,0,Unkn-03,7.5_A,21.4026392365171,1011945.7066519
,C04,FAM,0,Unkn-03,7.5_A,21.3153324005726,1074658.33377281
,C05,FAM,0,Unkn-11,10.2_B,21.0871347073772,1257545.24619246
,C06,FAM,0,Unkn-11,10.2_B,21.073045150651,1269807.13116631
,C07,FAM,0,Unkn-19,7.2_B,21.5885130554588,890354.463635923
,C08,FAM,0,Unkn-19,7.2_B,21.5250748450997,930115.985673059
,C09,FAM,0,Unkn-27,14.5_B,21.4016420798963,1012640.88659621
,C10,FAM,0,Unkn-27,14.5_B,21.4131933419077,1004616.97603927
,C11,FAM,0,Unkn-35,11.2_C,21.2050588846206,1159452.25900105
,C12,FAM,0,Unkn-35,11.2_C,21.2832518136745,1098665.81860854
,D01,FAM,0,Std-04,STD4,26.4409377490263,30000
,D02,FAM,0,Std-04,STD4,26.4754750836345,30000
,D03,FAM,0,Unkn-04,13.1_A,21.3469539385121,1051507.82479875
,D04,FAM,0,Unkn-04,13.1_A,21.2351036799724,1135707.69330674
,D05,FAM,0,Unkn-12,17.5_D,21.5854666344392,892224.439684488
,D06,FAM,0,Unkn-12,17.5_D,21.555138261881,911056.341862588
,D07,FAM,0,Unkn-20,6.2_A,22.0253267962959,659042.361473709
,D08,FAM,0,Unkn-20,6.2_A,21.9642478413459,687356.198099278
,D09,FAM,0,Unkn-28,5.5_D,21.2273358138865,1141799.66674261
,D10,FAM,0,Unkn-28,5.5_D,21.2359148248577,1135073.42762253
,D11,FAM,0,Unkn-36,11.2_A,21.4263481458475,995556.591909416
,D12,FAM,0,Unkn-36,11.2_A,21.5243754876481,930564.078942262
,E01,FAM,0,Std-05,STD5,29.538690820867,3000
,E02,FAM,0,Std-05,STD5,29.8416568520088,3000
,E03,FAM,0,Unkn-05,17.4_D,22.0271454162551,658217.443333766
,E04,FAM,0,Unkn-05,17.4_D,21.8495871285604,743834.829565799
,E05,FAM,0,Unkn-13,14.5_A,22.210692627615,580057.433096991
,E06,FAM,0,Unkn-13,14.5_A,22.174604333497,594654.748385581
