,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,VIC,,Std-01,STD1,5513.06432820841,,Standard,Unassigned,False
,A02,VIC,,Std-01,STD1,5639.85293739655,,Standard,Unassigned,False
,A03,VIC,,Unkn-01,7.1_B,3197.02626815075,,Unknown,Unassigned,False
,A04,VIC,,Unkn-01,7.1_B,3447.51257882409,,Unknown,Unassigned,False
,A05,VIC,,Unkn-09,15.5_B,3291.38286946315,,Unknown,Unassigned,False
,A06,VIC,,Unkn-09,15.5_B,3403.12795070704,,Unknown,Unassigned,False
,A07,VIC,,Unkn-17,17.2_D,3645.1036665219,,Unknown,Unassigned,False
,A08,VIC,,Unkn-17,17.2_D,3518.81231807368,,Unknown,Unassigned,False
,A09,VIC,,Unkn-25,8.2_A,3464.42462724048,,Unknown,Unassigned,False
,A10,VIC,,Unkn-25,8.2_A,3559.11172649748,,Unknown,Unassigned,False
,A11,VIC,,Unkn-33,15.3_C,3513.53641589854,,Unknown,Unassigned,False
,A12,VIC,,Unkn-33,15.3_C,3344.293536423,,Unknown,Unassigned,False
,B01,VIC,,Std-02,STD2,5442.72171485535,,Standard,Unassigned,False
,B02,VIC,,Std-02,STD2,5395.71488161657,,Standard,Unassigned,False
,B03,VIC,,Unkn-02,3.2_C,3254.94419994116,,Unknown,Unassigned,False
,B04,VIC,,Unkn-02,3.2_C,3728.89476903445,,Unknown,Unassigned,False
,B05,VIC,,Unkn-10,8.2_B,3667.46272505144,,Unknown,Unassigned,False
,B06,VIC,,Unkn-10,8.2_B,3603.66762674587,,Unknown,Unassigned,False
,B07,VIC,,Unkn-18,6.5_D,4215.10365840422,,Unknown,Unassigned,False
,B08,VIC,,Unkn-18,6.5_D,4301.36576631489,,Unknown,Unassigned,False
,B09,VIC,,Unkn-26,3.2_A,3724.9386217434,,Unknown,Unassigned,False
,B10,VIC,,Unkn-26,3.2_A,3698.43029994203,,Unknown,Unassigned,False
,B11,VIC,,Unkn-34,17.4_C,3954.63825794896,,Unknown,Unassigned,False
,B12,VIC,,Unkn-34,17.4_C,4006.4765868643,,Unknown,Unassigned,False
,C01,VIC,,Std-03,STD3,5015.40070679546,,Standard,Unassigned,False
,C02,VIC,,Std-03,STD3,4781.1173010637,,Standard,Unassigned,False
,C05,VIC,,Unkn-11,11.1_B,3608.43864637661,,Unknown,Unassigned,False
,C06,VIC,,Unkn-11,11.1_B,3632.90914242048,,Unknown,Unassigned,False
,C07,VIC,,Unkn-19,9.6_C,4152.33846958384,,Unknown,Unassigned,False
