,Well,Sample,Call,Type,RFU1,RFU2
,A01,STD1,Allele 2,Auto,5188.49110824752,5163.56493240554
,A02,STD1,Allele 2,Auto,5343.39195873058,5328.85489286809
,A03,12.4_B,Allele 1,Auto,4981.23851458124,3313.94806204115
,A04,12.4_B,Allele 1,Auto,5037.46923384534,3369.73483185838
,A05,5.1_B,Allele 1,Auto,5083.36630715782,3286.30514421669
,A06,5.1_B,Allele 1,Auto,5136.06715333568,3395.97258883919
,A07,7.4_C,Allele 1,Auto,5262.71474896129,3525.86689632536
,A08,7.4_C,Allele 1,Auto,5102.10175726081,3407.88889538628
,A09,9.1_B,Heterozygote,Auto,5261.17389764898,3982.07209781393
,A10,9.1_B,Heterozygote,Auto,5413.94443217075,4068.01183218033
,A11,11.4_A,Allele 1,Auto,5293.44404832177,3488.88713934802
,A12,11.4_A,Allele 1,Auto,4869.84620803935,2973.07330085076
,B01,STD2,Allele 2,Auto,5189.83659487965,5004.85259061663
,B02,STD2,Allele 2,Auto,5582.35115867401,5332.25701013577
,B03,11.1_D,Allele 1,Auto,5030.82440167265,3317.39126565646
,B04,11.1_D,Allele 1,Auto,5517.1775643599,3670.07436765731
,B05,9.1_A,Heterozygote,Auto,5475.34050928239,4072.84530276343
,B06,9.1_A,Heterozygote,Auto,5306.56668712019,3986.56880226601
,B07,11.1_C,Allele 1,Auto,5537.17469700946,3696.64065139787
,B08,11.1_C,Allele 1,Auto,5556.60744114703,3658.47262127482
,B09,17.4_B,Heterozygote,Auto,5575.16984418833,4186.70017783793
,B10,17.4_B,Heterozygote,Auto,5547.45832854922,4133.71321343115
,C01,STD3,Allele 2,Auto,5450.34680336092,4862.94586022993
,C02,STD3,Allele 2,Auto,5640.4209942852,4991.03621241737
,C03,10.6_C,Heterozygote,Auto,5350.02185370459,4018.2797726049
,C04,10.6_C,Heterozygote,Auto,5522.90833279474,4123.49488008826
,C09,6.5_A,Heterozygote,Auto,5383.6304435112,4024.41682066398
,C10,6.5_A,Heterozygote,Auto,5404.12523262538,4010.2810667103
,C11,13.3_C,Allele 1,Auto,5130.3769604762,3393.99878463131
,C12,13.3_C,Allele 1,Auto,5436.67134575846,3576.9139955034
,D01,STD4,Undetermined,Auto,5134.54795660723,4285.11956210858
,D02,STD4,Undetermined,Auto,5555.65124132115,4600.17874820795
,D03,7.3_C,Allele 1,Auto,5286.99958137552,3530.37410310808
,D04,7.3_C,Allele 1,Auto,5454.51996337786,3659.68249873151
,D05,11.2_B,Allele 1,Auto,5517.83987508922,3669.09944918499
,D06,11.2_B,Allele 1,Auto,5631.19692575962,3727.00140381947
,D07,11.4_D,Allele 1,Auto,5702.29473230884,3808.71738133318
,D08,11.4_D,Allele 1,Auto,5584.65690511568,3745.19272818254
,D09,3.3_A,Allele 1,Auto,5734.52385770772,3737.79294633094
,D10,3.3_A,Allele 1,Auto,5713.46997604832,3756.73461274872
,E01,STD5,Heterozygote,Auto,4853.62324791444,3810.19766867997
,E02,STD5,Heterozygote,Auto,4578.75818428572,3416.22199201969
,E05,6.3_B,Allele 1,Auto,5407.64942052019,3577.11154517927
,E06,6.3_B,Allele 1,Auto,5725.82243148971,3788.25274741223
,E07,7.3_D,Allele 1,Auto,5718.92902478542,3762.10639939751
,E08,7.3_D,Allele 1,Auto,5337.31997149619,3528.60983517425
,E09,17.4_A,Heterozygote,Auto,5582.33137657991,4148.1191433697
,E10,17.4_A,Heterozygote,Auto,5790.65124202403,4330.420015737
,E11,8.1_D,Allele 1,Auto,5534.88564390757,3631.62617677928
,E12,8.1_D,Allele 1,Auto,5403.80978480901,3495.82546491035
,F01,STD6,Heterozygote,Auto,3891.82348423529,2849.50836559843
,F02,STD6,Heterozygote,Auto,3766.43901386271,2801.79560274414
,F03,3.4_B,Allele 1,Auto,5497.75877793689,3649.01249080719
,F04,3.4_B,Allele 1,Auto,5725.11830304838,3793.42472406363
,F07,13.3_A,Allele 1,Auto,5441.51400450349,3527.46872687778
,F08,13.3_A,Allele 1,Auto,5318.26126850027,3455.87315250527
,F09,2.4_D,Allele 1,Auto,5768.4088871028,3770.15995708665
,F10,2.4_D,Allele 1,Auto,5221.24643873395,3460.31449404221
,F11,9.5_D,Allele 1,Auto,5556.73688865863,3481.00468191458
,F12,9.5_D,Allele 1,Auto,5436.91423706374,3510.22616218912
,G05,3.2_D,Allele 1,Auto,5210.50976299435,3448.16612614943
,G06,3.2_D,Allele 1,Auto,5351.29929327118,3513.6069868841
,G07,10.1_B,Heterozygote,Auto,5316.66208010168,4001.88552606995
,G08,10.1_B,Heterozygote,Auto,5671.7024737555,4239.80670323554
,G09,12.6_C,Allele 1,Auto,5454.53749874002,3527.14615770097
,G10,12.6_C,Allele 1,Auto,5441.42660802886,3497.85145187255
,G11,9.5_C,Allele 1,Auto,5516.45712752365,3608.63577191009
,G12,9.5_C,Allele 1,Auto,5281.38036509593,3402.69738400722
,H01,NEG,No Call,Auto,4.1200845115909,-1.91186374694962
,H02,NEG,No Call,Auto,3.56955512351988,83.8555542347149
,H03,5.5_C,Allele 1,Auto,4717.46861817073,3093.02355059306
,H04,5.5_C,Allele 1,Auto,4969.22501470963,3305.75608422732
,H05,2.2_C,Allele 1,Auto,5157.83619303515,3351.60028478183
,H06,2.2_C,Allele 1,Auto,4858.64545857195,3262.92642938501
,H07,12.5_A,Allele 1,Auto,5174.78190580019,3402.6710177757
,H08,12.5_A,Allele 1,Auto,5143.32948852834,3343.28284293474
,H09,8.2_D,Allele 1,Auto,4888.77655341077,3182.45650954941
,H10,8.2_D,Allele 1,Auto,5308.39164242976,3446.824407077
,H11,13.2_D,Allele 1,Auto,5384.87269612503,3458.81596278484
,H12,13.2_D,Allele 1,Auto,5452.54431844823,3511.14283081994
