,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,0,Std-01,STD1,5144.97099900837,,Standard,Unassigned,False
,A02,FAM,0,Std-01,STD1,5309.06171171079,,Standard,Unassigned,False
,A03,FAM,0,Unkn-01,12.4_B,4948.16891530204,,Unknown,Unassigned,False
,A04,FAM,0,Unkn-01,12.4_B,5008.68938125003,,Unknown,Unassigned,False
,A05,FAM,0,Unkn-09,5.1_B,5050.63662581902,,Unknown,Unassigned,False
,A06,FAM,0,Unkn-09,5.1_B,5106.45835096549,,Unknown,Unassigned,False
,A07,FAM,0,Unkn-17,7.4_C,5235.81086575581,,Unknown,Unassigned,False
,A08,FAM,0,Unkn-17,7.4_C,5071.19012841226,,Unknown,Unassigned,False
,A09,FAM,0,Unkn-25,9.1_B,5241.77910579228,,Unknown,Unassigned,False
,A10,FAM,0,Unkn-25,9.1_B,5387.64928486474,,Unknown,Unassigned,False
,A11,FAM,0,Unkn-33,11.4_A,5260.9172334663,,Unknown,Unassigned,False
,A12,FAM,0,Unkn-33,11.4_A,4833.88741434725,,Unknown,Unassigned,False
,B01,FAM,0,Std-02,STD2,5151.23104414163,,Standard,Unassigned,False
,B02,FAM,0,Std-02,STD2,5544.9642406373,,Standard,Unassigned,False
,B03,FAM,0,Unkn-02,11.1_D,5008.89758492593,,Unknown,Unassigned,False
,B04,FAM,0,Unkn-02,11.1_D,5489.20242259965,,Unknown,Unassigned,False
,B05,FAM,0,Unkn-10,9.1_A,5440.97616946853,,Unknown,Unassigned,False
,B06,FAM,0,Unkn-10,9.1_A,5284.50644178769,,Unknown,Unassigned,False
,B07,FAM,0,Unkn-18,11.1_C,5504.36894842053,,Unknown,Unassigned,False
,B08,FAM,0,Unkn-18,11.1_C,5523.62240734059,,Unknown,Unassigned,False
,B09,FAM,0,Unkn-26,17.4_B,5543.248371629,,Unknown,Unassigned,False
,B10,FAM,0,Unkn-26,17.4_B,5520.63117037302,,Unknown,Unassigned,False
,C01,FAM,0,Std-03,STD3,5356.05319141643,,Standard,Unassigned,False
,C02,FAM,0,Std-03,STD3,5572.39109708401,,Standard,Unassigned,False
,C03,FAM,0,Unkn-03,10.6_C,5319.8382618009,,Unknown,Unassigned,False
,C04,FAM,0,Unkn-03,10.6_C,5491.79519309296,,Unknown,Unassigned,False
,C09,FAM,0,Unkn-27,6.5_A,5356.20705192958,,Unknown,Unassigned,False
,C10,FAM,0,Unkn-27,6.5_A,5376.26090693645,,Unknown,Unassigned,False
,C11,FAM,0,Unkn-35,13.3_C,5101.06476155276,,Unknown,Unassigned,False
,C12,FAM,0,Unkn-35,13.3_C,5405.14184389884,,Unknown,Unassigned,False
,D01,FAM,0,Std-04,STD4,5034.24989016181,,Standard,Unassigned,False
,D02,FAM,0,Std-04,STD4,5418.09172643557,,Standard,Unassigned,False
,D03,FAM,0,Unkn-04,7.3_C,5261.40609045597,,Unknown,Unassigned,False
,D04,FAM,0,Unkn-04,7.3_C,5425.51545963376,,Unknown,Unassigned,False
