,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,12.4_B,12.4_B,5.1_B,5.1_B,7.4_C,7.4_C,9.1_B,9.1_B,11.4_A,11.4_A
A,Cq,16.649194716341,16.6029773026286,22.2240727564755,22.217864654974,21.7908699024158,21.885438347023,21.5546569654261,21.775296919672,21.3628082778361,21.3747239036839,23.1498129245437,23.2162002362613
A,copy number,30000000,30000000,660399.146750098,663248.829637619,891856.096274192,835235.826386914,1050621.43283853,901541.328052566,1200146.98594699,1190269.33154282,347502.042861844,331864.151524388
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,,
B,Sample,STD2,STD2,11.1_D,11.1_D,9.1_A,9.1_A,11.1_C,11.1_C,17.4_B,17.4_B,,
B,Cq,20.1488323948495,20.0670019180059,23.1474366859269,23.0927176986218,22.2066374619191,22.2388648076575,22.0671070167472,22.1013584164243,21.7490940678417,21.8875848008464,,
B,copy number,3000000,3000000,348075.236333035,361539.242194562,668433.672344953,653658.448460588,736355.155088269,719068.41115386,918075.499966289,833993.306575736,,
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,,,,,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,10.6_C,10.6_C,,,,,6.5_A,6.5_A,13.3_C,13.3_C
C,Cq,23.4627065174401,23.3738644246841,22.1223745515089,22.2873527549238,,,,,21.7946938143625,21.6895047428293,21.8091479556479,21.699629772381
C,copy number,300000,300000,708663.039785798,632041.303934355,,,,,889493.863050937,956814.494065265,880621.158053905,950118.795229512
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,,
D,Sample,STD4,STD4,7.3_C,7.3_C,11.2_B,11.2_B,11.4_D,11.4_D,3.3_A,3.3_A,,
D,Cq,26.6897452496267,26.7516781575543,21.1218707569031,21.1169987231813,21.2010632639064,21.1891329977361,22.0239136115018,22.122853972335,21.8335881482306,21.8607894911975,,
D,copy number,30000,30000,1418433.68746913,1423234.88078007,1342625.42766301,1353781.18180986,758748.667244586,708427.437029004,865819.378758071,849637.713201825,,
E,Content,Std-5,Std-5,,,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,,,6.3_B,6.3_B,7.3_D,7.3_D,17.4_A,17.4_A,8.1_D,8.1_D
E,Cq,29.8013573254652,30.1368778812869,,,21.6594085260422,21.7131503750363,21.3886382897695,21.443468518504,21.9924057860191,21.9598376580036,22.0501611843916,22.1509720820403
E,copy number,3000,3000,,,976997.050821985,941250.602526708,1178837.62038981,1134849.21747961,775512.227530845,793229.285922586,745060.797406727,694745.44179101
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,,,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,3.4_B,3.4_B,,,13.3_A,13.3_A,2.4_D,2.4_D,9.5_D,9.5_D
F,Cq,33.2795001260527,33.2963037419802,21.3377215111236,21.2889218866468,,,22.5377482098461,23.3028881489661,21.9006458186377,22.037183873144,23.0519049788461,23.0276126972209
F,copy number,300,300,1221211.85613414,1263252.92647405,,,531278.164491138,312498.851254811,826472.405788955,751797.203941886,371919.499646366,378238.915210283
G,Content,,,,,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,,,3.2_D,3.2_D,10.1_B,10.1_B,12.6_C,12.6_C,9.5_C,9.5_C
G,Cq,,,,,21.5277271492852,21.4751825652702,21.5343449783163,21.4324375997975,22.7324400106676,22.755601692333,22.1467452315863,22.2744550827824
G,copy number,,,,,1070429.30003504,1110159.38978214,1065527.30235117,1143565.03543663,464170.342924749,456773.273629476,696785.183784658,637720.627808198
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,5.5_C,5.5_C,2.2_C,2.2_C,12.5_A,12.5_A,8.2_D,8.2_D,13.2_D,13.2_D
H,Cq,NaN,NaN,22.3254294527172,22.359440445281,21.2065916274013,21.2054753723131,21.2785268291087,21.154310303762,21.7347130532195,21.5363176527367,22.038930451042,21.9938227482854
H,copy number,NaN,NaN,615568.081361494,601217.185686762,1337487.18043377,1338523.07868606,1272393.6301449,1386876.14401179,927278.544524626,1064070.4389966,750887.035999208,774750.447756838
