,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,12.4_B,12.4_B,5.1_B,5.1_B,7.4_C,7.4_C,9.1_B,9.1_B,11.4_A,11.4_A
A,Cq,18.208445824665,18.1501521336388,27.5786987212471,27.684342076359,28.1044806973504,28.0532888627763,27.0888275419767,27.3161216241653,27.4923580145128,27.3965554098419,28.4249633287667,29.1378362590523
A,copy number,30000000,30000000,49544.7644171947,46089.2954265735,34572.6689991484,35805.3036054614,69277.1113506651,59297.5715196714,52560.3960559195,56121.8024527823,27764.1238513378,17045.6987169396
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,,
B,Sample,STD2,STD2,11.1_D,11.1_D,9.1_A,9.1_A,11.1_C,11.1_C,17.4_B,17.4_B,,
B,Cq,21.665114628602,21.478966725393,28.7036685325745,28.6369888168353,28.0654915461634,28.1262909176433,27.2030904705347,27.3183280588021,27.2365609958809,27.2526331952999,,
B,copy number,3000000,3000000,22943.0675885109,24014.2488936487,35507.5466340269,34060.4835196572,64066.3960944646,59208.1027522906,62615.6218429457,61930.6966304312,,
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,,,,,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,10.6_C,10.6_C,,,,,6.5_A,6.5_A,13.3_C,13.3_C
C,Cq,25.0448989570811,24.9283224942799,27.923918605577,27.9702354714618,,,,,27.4483765109058,27.3669161719952,27.5962963545793,27.5121652949284
C,copy number,300000,300000,39119.8161784893,37899.3024317565,,,,,54166.4205653412,57271.7601575223,48951.687628761,51852.7522398172
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,,
D,Sample,STD4,STD4,7.3_C,7.3_C,11.2_B,11.2_B,11.4_D,11.4_D,3.3_A,3.3_A,,
D,Cq,28.3684596222455,28.3068181102779,27.0211138632805,26.9930603441021,27.2970128939518,27.3861319071298,27.2132913874013,27.2221818426074,27.3644010116414,27.3517132050528,,
D,copy number,30000,30000,72562.8935022651,73969.4226915542,60078.0892139023,56523.5622647891,63620.7133450993,63234.8145878644,57370.4224816689,57870.7250355131,,
E,Content,Std-5,Std-5,,,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,STD5,STD5,,,6.3_B,6.3_B,7.3_D,7.3_D,17.4_A,17.4_A,8.1_D,8.1_D
E,Cq,31.5837789727185,31.8959873164865,,,27.4871094774753,27.4124009019234,27.0878588176697,27.0640701033456,27.6121818146079,27.4376324643448,27.7395913856335,28.0455985347091
E,copy number,3000,3000,,,52749.5208175843,55516.5227478893,69323.052859077,70460.8368670786,48422.4139372575,54566.150716603,44379.2252473915,35994.2361830635
F,Content,Std-6,Std-6,Unkn-6,Unkn-6,,,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,STD6,STD6,3.4_B,3.4_B,,,13.3_A,13.3_A,2.4_D,2.4_D,9.5_D,9.5_D
F,Cq,34.9812770636911,34.9410839662044,27.0299952452664,26.88195787351,,,28.4318883977351,29.0139565080341,27.3086519374771,27.4555011834968,28.2153689570694,28.2258233083535
F,copy number,300,300,72123.2027453965,79812.7734292939,,,27632.8583138695,18553.7819666699,59601.4648015863,53902.9645881405,32046.1897171945,31817.7391746676
G,Content,,,,,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,,,3.2_D,3.2_D,10.1_B,10.1_B,12.6_C,12.6_C,9.5_C,9.5_C
G,Cq,,,,,27.1880309660079,27.1341380166906,27.4453980980975,27.3301091814225,28.4854829217782,28.4114900811968,27.5560009322033,27.7980710936808
G,copy number,,,,,64730.0659581399,67161.9482624481,54276.9375488498,58732.6694325146,26637.7333549112,28021.3003489579,50320.3504037298,42638.2403955361
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,5.5_C,5.5_C,2.2_C,2.2_C,12.5_A,12.5_A,8.2_D,8.2_D,13.2_D,13.2_D
H,Cq,NaN,NaN,27.7776252443513,27.7543960148216,26.8019882189683,26.8597229693923,27.5146670116801,27.5816733942419,27.6076288502987,27.4093768136269,27.7271475285996,27.8563454569593
H,copy number,NaN,NaN,43239.0233379272,43931.8721740152,84302.3647981774,81036.5082898157,51764.0551110112,49444.0094768525,48573.5223900051,55631.5332522714,44758.7643686387,40971.3110097174
