,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,,Std-01,STD1,17.0618547884332,30000000
,A02,FAM,,Std-01,STD1,16.929926005603,30000000
,A07,FAM,,Unkn-17,9.2_B,21.5736008514471,1274008.10278605
,A08,FAM,,Unkn-17,9.2_B,21.5918856768742,1257999.87793893
,A09,FAM,,Unkn-25,10.3_C,22.4225652010809,708268.031829459
,A10,FAM,,Unkn-25,10.3_C,22.4944737590681,673908.465559713
,A11,FAM,,Unkn-33,11.4_B,21.9866104085994,957481.860731763
,A12,FAM,,Unkn-33,11.4_B,22.0045284613577,945690.701726579
,B01,FAM,,Std-02,STD2,20.3370721008711,3000000
,B02,FAM,,Std-02,STD2,20.2571798761607,3000000
,B03,FAM,,Unkn-02,15.1_A,20.0345865721709,3693121.28433818
,B04,FAM,,Unkn-02,15.1_A,20.2874860142867,3100550.18787168
,B05,FAM,,Unkn-10,10.5_C,21.4660982015734,1372331.73083072
,B06,FAM,,Unkn-10,10.5_C,21.477481039829,1361571.42728972
,B07,FAM,,Unkn-18,7.5_B,21.3586167871116,1478221.93495231
,B08,FAM,,Unkn-18,7.5_B,21.3080585518589,1530819.90310203
,B09,FAM,,Unkn-26,11.3_C,21.6824453597948,1181632.06283339
,B10,FAM,,Unkn-26,11.3_C,21.8085673849211,1082937.22696222
,B11,FAM,,Unkn-34,10.4_A,21.7013900723401,1166252.23150323
,B12,FAM,,Unkn-34,10.4_A,21.6663386718276,1194867.3246119
,C01,FAM,,Std-03,STD3,23.7694834204439,300000
,C02,FAM,,Std-03,STD3,23.8189788892601,300000
,C05,FAM,,Unkn-11,15.5_C,22.3300452865423,755065.627211548
,C06,FAM,,Unkn-11,15.5_C,22.3085070180408,766396.332134562
,C07,FAM,,Unkn-19,6.5_B,21.5773768297205,1270685.65749298
,C08,FAM,,Unkn-19,6.5_B,21.5702990172345,1276920.47210366
,C11,FAM,,Unkn-35,7.2_A,21.2562017927422,1586713.62605615
,C12,FAM,,Unkn-35,7.2_A,21.5878896265326,1261481.12492267
,D01,FAM,,Std-04,STD4,26.964120026971,30000
