,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,0,Std-01,STD1,,16.6679095533975,16.6609957701496,0.00977756603653493,30000000,7.47712125471966,30000000,0,62,
,A02,FAM,0,Std-01,STD1,,16.6540819869017,16.6609957701496,0.00977756603653493,30000000,7.47712125471966,30000000,0,62,
,A03,FAM,0,Unkn-01,11.3_A,,22.4967423015977,22.5072000634734,0.0147895086766745,564962.864482651,5.75201990219059,560953.843667165,5669.61160909623,62,
,A04,FAM,0,Unkn-01,11.3_A,,22.5176578253491,22.5072000634734,0.0147895086766745,556944.822851679,5.74581217126344,560953.843667165,5669.61160909623,62,
,A05,FAM,0,Unkn-09,9.1_D,,23.0523747809622,23.0540891009991,0.00242441464640661,386463.150451718,5.58710808992723,386010.908227301,639.567087249432,62,
,A06,FAM,0,Unkn-09,9.1_D,,23.055803421036,23.0540891009991,0.00242441464640661,385558.666002883,5.58609046898324,386010.908227301,639.567087249432,62,
,A07,FAM,0,Unkn-17,5.1_C,,22.9212692638441,23.142862762213,0.313380530726961,422688.302404859,5.6260202292075,367461.892468879,78101.9379326388,62,
,A08,FAM,0,Unkn-17,5.1_C,,23.3644562605819,23.142862762213,0.313380530726961,312235.482532899,5.49448225488469,367461.892468879,78101.9379326388,62,
,A09,FAM,0,Unkn-25,7.5_C,,22.6932753486735,22.7486244239821,0.0782754129663046,493956.677920348,5.6936888611399,475961.547238275,25448.9578672629,62,
,A10,FAM,0,Unkn-25,7.5_C,,22.8039734992908,22.7486244239821,0.0782754129663046,457966.416556203,5.66083363163032,475961.547238275,25448.9578672629,62,
,A11,FAM,0,Unkn-33,9.3_A,,22.1437094151879,22.187675178455,0.0621769786923991,719117.937094456,5.85680012157767,698147.336636388,29656.9075789071,62,
,A12,FAM,0,Unkn-33,9.3_A,,22.231640941722,22.187675178455,0.0621769786923991,677176.73617832,5.83070202988148,698147.336636388,29656.9075789071,62,
,B01,FAM,0,Std-02,STD2,,20.1106162608936,20.0899583347163,0.0292147193703948,3000000,6.47712125471966,3000000,0,62,
,B02,FAM,0,Std-02,STD2,,20.0693004085391,20.0899583347163,0.0292147193703948,3000000,6.47712125471966,3000000,0,62,
,B03,FAM,0,Unkn-02,3.1_B,,21.3048582885978,21.2756469664406,0.0413110479695803,1275766.7393655,6.1057712754298,1301750.44514379,36746.5091123584,62,
,B04,FAM,0,Unkn-02,3.1_B,,21.2464356442834,21.2756469664406,0.0413110479695803,1327734.15092207,6.12311112597657,1301750.44514379,36746.5091123584,62,
,B05,FAM,0,Unkn-10,5.3_B,,22.3554675990223,22.3932525123102,0.0534359368247199,622229.013118951,5.79395025740544,606569.35735585,22146.0975622713,62,
,B06,FAM,0,Unkn-10,5.3_B,,22.431037425598,22.3932525123102,0.0534359368247199,590909.701592749,5.77152112031239,606569.35735585,22146.0975622713,62,
,B07,FAM,0,Unkn-18,15.3_A,,23.4188955773922,23.3439589748343,0.105976359655627,300832.433348379,5.47832465660346,317055.371071536,22942.6985496233,62,
,B08,FAM,0,Unkn-18,15.3_A,,23.2690223722763,23.3439589748343,0.105976359655627,333278.308794694,5.52280704880207,317055.371071536,22942.6985496233,62,
,B09,FAM,0,Unkn-26,13.2_B,,22.6951783572524,22.7432871046966,0.0680360431043243,493314.689699317,5.69312404787724,477617.298507715,22199.4635170391,62,
,B10,FAM,0,Unkn-26,13.2_B,,22.7913958521408,22.7432871046966,0.0680360431043243,461919.907316113,5.66456667939579,477617.298507715,22199.4635170391,62,
,B11,FAM,0,Unkn-34,17.5_C,,22.8771747903352,22.8588497627549,0.0259155025348958,435619.664571401,5.63910747627677,441144.027029429,7812.62831160692,62,
,B12,FAM,0,Unkn-34,17.5_C,,22.8405247351746,22.8588497627549,0.0259155025348958,446668.389487456,5.64998521874243,441144.027029429,7812.62831160692,62,
,C01,FAM,0,Std-03,STD3,,23.4838468390367,23.4760499945263,0.0110264032503121,300000,5.47712125471966,300000,0,62,
,C02,FAM,0,Std-03,STD3,,23.4682531500159,23.4760499945263,0.0110264032503121,300000,5.47712125471966,300000,0,62,
,C03,FAM,0,Unkn-03,9.1_C,,22.3291298831967,22.2410717419576,0.124533017617601,633530.161451776,5.80176729584181,674045.028382628,57296.6742913508,62,
,C04,FAM,0,Unkn-03,9.1_C,,22.1530136007186,22.2410717419576,0.124533017617601,714559.895313479,5.85403863776508,674045.028382628,57296.6742913508,62,
,C05,FAM,0,Unkn-11,15.2_C,,22.7938188915169,22.7814571646981,0.0174821217214544,461155.636193934,5.66384752090606,465084.623448152,5556.42706130607,62,
,C06,FAM,0,Unkn-11,15.2_C,,22.7690954378794,22.7814571646981,0.0174821217214544,469013.61070237,5.67118544605658,465084.623448152,5556.42706130607,62,
,C07,FAM,0,Unkn-19,3.3_C,,24.468279025192,24.267963328515,0.283289174996801,146847.810239994,5.16686747480994,169972.274499173,32702.9309779438,62,
,C08,FAM,0,Unkn-19,3.3_C,,24.067647631838,24.267963328515,0.283289174996801,193096.738758353,5.2857749389725,169972.274499173,32702.9309779438,62,
,C09,FAM,0,Unkn-27,10.6_A,,23.3240192675776,23.2646033646912,0.0840267756826974,320984.425971809,5.50648396113201,334561.946792057,19201.5140873973,62,
