,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,609.255337147121,65.5,95,
,A02,SYBR,,Std-01,STD1,78,607.979218955614,66.5,94,
,A03,SYBR,,Unkn-01,11.3_A,75,392.015726402291,66,94,
,A04,SYBR,,Unkn-01,11.3_A,75,427.017469647096,66,95,
,A05,SYBR,,Unkn-09,9.1_D,75,419.37503943546,66,95,
,A06,SYBR,,Unkn-09,9.1_D,75,420.542127881947,66,95,
,A07,SYBR,,Unkn-17,5.1_C,77,417.712634559018,66,95,
,A08,SYBR,,Unkn-17,5.1_C,77,413.40357738712,66,93,
,A09,SYBR,,Unkn-25,7.5_C,75,433.501081327839,66,95,
,A10,SYBR,,Unkn-25,7.5_C,75,457.769337594734,66,95,
,A11,SYBR,,Unkn-33,9.3_A,75.5,441.401755029008,66,93.5,
,A12,SYBR,,Unkn-33,9.3_A,75.5,421.705170602865,65,93.5,
,B01,SYBR,,Std-02,STD2,78,602.756449476052,65.5,93.5,
,B02,SYBR,,Std-02,STD2,78,639.795108471052,66,83.5,
,B03,SYBR,,Unkn-02,3.1_B,77,410.36681281066,65.5,94,
,B04,SYBR,,Unkn-02,3.1_B,77,460.902222505289,66,95,
,B05,SYBR,,Unkn-10,5.3_B,75,441.103399522336,66,95,
,B06,SYBR,,Unkn-10,5.3_B,75,432.341582226449,66,95,
,B07,SYBR,,Unkn-18,15.3_A,75,447.822778073588,66,95,
,B08,SYBR,,Unkn-18,15.3_A,75,457.387521471974,65.5,95,
,B09,SYBR,,Unkn-26,13.2_B,77,445.395789356545,65.5,93.5,
,B10,SYBR,,Unkn-26,13.2_B,77,467.206450023644,65.5,93.5,
,B11,SYBR,,Unkn-34,17.5_C,77,435.470592189824,65.5,95,
,B12,SYBR,,Unkn-34,17.5_C,77,435.653942012156,65,95,
,C01,SYBR,,Std-03,STD3,78,626.647440377365,66,84.5,
,C02,SYBR,,Std-03,STD3,78,641.670964877108,66,82.5,
,C03,SYBR,,Unkn-03,9.1_C,75,426.547551270809,65.5,94,
,C04,SYBR,,Unkn-03,9.1_C,75,433.921427038309,66,94,
,C05,SYBR,,Unkn-11,15.2_C,75,438.233591400692,65.5,95,
,C06,SYBR,,Unkn-11,15.2_C,75,453.864910473925,65.5,94,
,C07,SYBR,,Unkn-19,3.3_C,75,427.882618265746,65.5,95,
,C08,SYBR,,Unkn-19,3.3_C,75.5,423.667445655124,65.5,95,
,C09,SYBR,,Unkn-27,10.6_A,75,438.674315140025,65,91.5,
,C10,SYBR,,Unkn-27,10.6_A,77,439.965449917448,65.5,95,
,C11,SYBR,,Unkn-35,9.4_D,75,448.027539820826,65,95,
,C12,SYBR,,Unkn-35,9.4_D,75.5,453.57973950237,65.5,95,
,D01,SYBR,,Std-04,STD4,78,512.863908087647,66,82.5,
,D02,SYBR,,Std-04,STD4,78,541.169726240435,66.5,82.5,
,D03,SYBR,,Unkn-04,8.1_A,75,425.910289590016,66,95,
,D04,SYBR,,Unkn-04,8.1_A,75,443.341160298651,65.5,95,
,D07,SYBR,,Unkn-20,9.4_B,75.5,437.328756627151,66,92.5,
,D08,SYBR,,Unkn-20,9.4_B,75.5,429.642006423072,65.5,95,
,D09,SYBR,,Unkn-28,5.4_D,75,451.559051631521,65.5,94,
,D10,SYBR,,Unkn-28,5.4_D,75,450.815985919897,65.5,95,
,D11,SYBR,,Unkn-36,9.5_B,75,435.976009100194,65.5,93,
,D12,SYBR,,Unkn-36,9.5_B,75,439.648374053643,65,94,
,E01,SYBR,,Unkn,STD5,78,467.507327427552,73.5,84,
,E02,SYBR,,Unkn,STD5,78,454.189319383351,73.5,95,
,E03,SYBR,,Unkn-05,12.2_A,75,444.903822557387,65.5,95,
,E04,SYBR,,Unkn-05,12.2_A,75,457.086901011872,65.5,94,
,E05,SYBR,,Unkn-13,9.2_C,75,449.975723243004,66,95,
,E06,SYBR,,Unkn-13,9.2_C,75,466.291597911256,65.5,93.5,
,E07,SYBR,,Unkn-21,13.3_B,77,445.954729488564,65.5,94,
,E08,SYBR,,Unkn-21,13.3_B,75,428.939994948947,65.5,94,
,E09,SYBR,,Unkn-29,2.3_C,75,466.596231927209,65.5,95,
,E10,SYBR,,Unkn-29,2.3_C,75,479.459522332534,65.5,95,
,E11,SYBR,,Unkn-37,10.4_D,75,459.271718177803,66,94,
,E12,SYBR,,Unkn-37,10.4_D,75,436.249522346048,65,95,
,F01,SYBR,,Unkn,STD6,78,454.396201257458,73.5,82.5,
,F02,SYBR,,Unkn,STD6,78,438.385964476418,73.5,83.5,
,F03,SYBR,,Unkn-06,15.5_A,75,439.848509674782,66,95,
,F04,SYBR,,Unkn-06,15.5_A,75,457.16438787276,66,95,
,F05,SYBR,,Unkn-14,14.5_D,75,436.757269171694,66,93.5,
,F06,SYBR,,Unkn-14,14.5_D,75,453.455789923204,66,95,
,F07,SYBR,,Unkn-22,15.2_A,75,395.991254340478,65.5,95,
,F08,SYBR,,Unkn-22,15.2_A,75,440.64700462374,66,95,
,F09,SYBR,,Unkn-30,17.3_D,75,457.142515164895,65.5,95,
,F10,SYBR,,Unkn-30,17.3_D,75,431.929669925485,66,95,
,F11,SYBR,,Unkn-38,5.2_C,75,441.892962931031,63,94,
,F12,SYBR,,Unkn-38,5.2_C,75.5,462.750880774541,65.5,95,
,G01,SYBR,,Unkn,STD7,78,410.078150811294,73.5,82.5,
,G02,SYBR,,Unkn,STD7,78,432.209912316803,73.5,82,
,G03,SYBR,,Unkn-07,3.1_C,77,414.509506021788,66,94,
,G04,SYBR,,Unkn-07,3.1_C,77,439.817414960364,66,93,
,G05,SYBR,,Unkn-15,17.3_A,77,414.46465101814,66,93.5,
,G06,SYBR,,Unkn-15,17.3_A,77,422.664979033847,66,95,
,G07,SYBR,,Unkn-23,10.6_B,75,415.339267106877,65.5,93,
,G08,SYBR,,Unkn-23,10.6_B,75,437.853866754764,65.5,93.5,
,G09,SYBR,,Unkn-31,2.4_B,75,442.535906334854,66,93.5,
,G10,SYBR,,Unkn-31,2.4_B,75,448.818974627697,66,95,
,G11,SYBR,,Unkn-39,12.4_A,75,439.388581695277,66,93.5,
,G12,SYBR,,Unkn-39,12.4_A,75,412.622312760688,65.5,95,
,H01,SYBR,,NTC-01,NEG,78,397.892921487134,73.5,82,
,H02,SYBR,,NTC-01,NEG,78,416.449459213129,73.5,83,
,H03,SYBR,,Unkn-08,7.1_D,75,387.311778687016,66,94,
,H04,SYBR,,Unkn-08,7.1_D,75,405.268374505379,65.5,95,
,H05,SYBR,,Unkn-16,13.4_D,75,415.037515011469,66,93.5,
,H06,SYBR,,Unkn-16,13.4_D,75,396.212644098205,66,94,
,H07,SYBR,,Unkn-24,17.2_B,75,413.652616278992,65.5,95,
,H08,SYBR,,Unkn-24,17.2_B,75,405.82747737615,65.5,95,
,H09,SYBR,,Unkn-32,3.2_B,75,404.880621562337,66.5,94,
,H10,SYBR,,Unkn-32,3.2_B,75,419.593727845227,66,94.5,
,H11,SYBR,,Unkn-40,7.4_D,75,434.291775131561,65.5,87.5,
,H12,SYBR,,Unkn-40,7.4_D,75,411.131997153729,65,93.5,
