,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7054.47847081927,7193.89044803228,6925.12275662109,7266.49876489784,7171.81177874333,7159.94021305486,7316.02948508471,7195.49122148972,7309.5596664279,7604.00931661763,7320.17372221383,7206.14556552936,6975.21519850162,7352.97503532021,7089.5066280476,7655.52683299715,7473.58665036987,7355.971378707,7544.22493562719,7660.49130096419,7545.90020913279,7703.6366065591,7248.97186708951,7376.19739633262,7064.15267579747,7163.04631570506,7349.6997129638,7433.93987449606,7368.10268629865,7579.39799567202,7395.17237015558,7318.65254427365,7511.70580635443,7384.76577402571,7254.40631006606,7392.55634546679,5991.49853952791,6163.81429521919,7192.7041306426,7369.73170290134,7512.62908807077,7365.36375267582,7631.41820497423,7572.18357167609,7218.32068137379,7439.86629845255,5681.90214189824,5511.53119482977,7434.47567596732,7529.80346126571,7523.29013746029,7785.77399327844,7622.42377948902,7377.88611740697,7650.92334935398,7739.5836995387,7726.39742783422,7471.56467178796,5580.78327572465,5460.70309217362,7479.35472810727,7683.84239776126,7291.38104446714,7462.69377377797,6965.24983286427,7497.05095875952,7690.99481350206,7236.01330647783,7318.03267687473,7565.3734060974,5223.58708204212,5436.79813001284,7103.22659524034,7386.28194736855,7202.75922069862,7276.04498126708,7264.83468813547,7511.88952359712,7330.75314169663,7426.98248637721,7400.49017150691,7039.2286895968,5212.98524641979,5313.65272584153,6769.15000846697,6995.88259131429,7198.69818044728,6938.42773638883,7245.24118422883,7162.5528894427,7836.16076115669,7238.15636059074,7315.05599181636,7003.9530569893
,60.5,7017.36262870328,7150.22219033258,6884.95049534535,7223.56425992248,7128.2501549039,7116.93147357289,7267.70886859151,7151.02411409748,7266.44330704399,7555.05733562542,7278.11578132684,7170.56965743599,6937.50496991877,7307.48342538988,7048.58523962083,7607.93861062598,7429.85114808707,7314.02947891106,7498.5470858506,7612.83782831446,7500.58050508488,7656.18358294896,7209.70159371805,7338.9201778791,7020.3107171623,7117.39856271221,7306.27468481609,7389.46978737711,7325.53264788772,7533.95438122306,7349.21513418165,7278.01708593977,7470.50594753288,7345.07409053976,7217.79863669972,7353.40833131418,5943.26783461433,6110.8633672411,7151.8037722624,7327.90586299252,7468.52150442575,7326.38262959762,7585.8953753058,7528.6133667031,7183.73445061001,7401.34827529157,5627.32067108146,5462.61900787426,7390.56554396247,7485.50312044888,7478.22287182071,7737.24576223492,7575.68410870037,7337.76272198334,7605.93053191405,7695.58247556972,7679.71382020052,7434.02323347968,5525.01915290141,5407.61329383096,7433.67310307314,7636.80821052682,7244.8503182142,7419.07038479866,6925.65397485882,7447.90198476101,7643.90569734075,7198.44351292205,7295.37809393611,7525.18086872803,5175.60304286324,5383.72213691179,7060.3821964081,7341.55289090405,7159.27188790487,7233.17500767392,7222.36509810863,7466.51421342745,7289.58477082987,7382.26611969174,7356.35583262029,7004.85170001593,5166.59800879006,5261.47833476082,6729.86510545735,6954.59592693856,7155.21443685053,6899.66011983005,7200.96875942668,7119.59303427284,7808.13692080947,7194.69900469517,7273.46136748991,6973.2106620313
,61,6980.2467865873,7106.55393263287,6844.77823406961,7180.62975494712,7084.68853106447,7073.92273409091,7219.38825209831,7106.55700670523,7223.32694766008,7506.1053546332,7236.05784043985,7134.99374934261,6899.79474133593,7261.99181545956,7007.66385119406,7560.35038825481,7386.11564580427,7272.08757911512,7452.86923607402,7565.18435566473,7455.26080103698,7608.73055933882,7170.43132034658,7301.64295942558,6976.46875852712,7071.75080971937,7262.84965666837,7344.99970025816,7282.96260947679,7488.5107667741,7303.25789820771,7237.38162760589,7429.30608871134,7305.3824070538,7181.19096333338,7314.26031716157,5895.03712970074,6057.91243926301,7110.90341388219,7286.0800230837,7424.41392078073,7287.40150651942,7540.37254563738,7485.04316173011,7149.14821984623,7362.83025213058,5572.73920026468,5413.70682091875,7346.65541195762,7441.20277963204,7433.15560618113,7688.71753119141,7528.94443791172,7297.63932655971,7560.93771447413,7651.58125160075,7633.03021256682,7396.48179517139,5469.25503007817,5354.5234954883,7387.991478039,7589.77402329237,7198.31959196126,7375.44699581935,6886.05811685336,7398.7530107625,7596.81658117943,7160.87371936627,7272.72351099749,7484.98833135866,5127.61900368435,5330.64614381073,7017.53779757586,7296.82383443956,7115.78455511112,7190.30503408077,7179.89550808179,7421.13890325779,7248.41639996312,7337.54975300628,7312.22149373367,6970.47471043507,5120.21077116033,5209.30394368011,6690.58020244774,6913.30926256284,7111.73069325378,6860.89250327127,7156.69633462452,7076.63317910298,7780.11308046224,7151.2416487996,7231.86674316347,6942.4682670733
,61.5,6943.13094447132,7062.88567493317,6804.60597279388,7137.69524997176,7041.12690722504,7030.91399460893,7171.06763560511,7062.08989931299,7180.21058827617,7457.15337364099,7193.99989955286,7099.41784124924,6862.08451275309,7216.50020552923,6966.7424627673,7512.76216588365,7342.38014352147,7230.14567931918,7407.19138629743,7517.53088301499,7409.94109698908,7561.27753572867,7131.16104697512,7264.36574097206,6932.62679989194,7026.10305672652,7219.42462852066,7300.52961313921,7240.39257106586,7443.06715232514,7257.30066223378,7196.74616927201,7388.10622988979,7265.69072356785,7144.58328996704,7275.11230300896,5846.80642478716,6004.96151128492,7070.00305550198,7244.25418317488,7380.30633713571,7248.42038344122,7494.84971596895,7441.47295675712,7114.56198908245,7324.31222896959,5518.1577294479,5364.79463396324,7302.74527995277,7396.90243881521,7388.08834054155,7640.18930014789,7482.20476712308,7257.51593113609,7515.94489703421,7607.58002763178,7586.34660493312,7358.94035686311,5413.49090725494,5301.43369714564,7342.30985300486,7542.73983605792,7151.78886570832,7331.82360684004,6846.46225884791,7349.60403676399,7549.72746501811,7123.30392581049,7250.06892805887,7444.79579398928,5079.63496450547,5277.57015070968,6974.69339874362,7252.09477797507,7072.29722231737,7147.43506048762,7137.42591805494,7375.76359308813,7207.24802909636,7292.83338632081,7268.08715484705,6936.0977208542,5073.82353353059,5157.12955259939,6651.29529943813,6872.02259818711,7068.24694965703,6822.12488671249,7112.42390982237,7033.67332393312,7752.08924011502,7107.78429290403,7190.27211883702,6911.7258721153
,62,6906.01510235534,7019.21741723346,6764.43371151814,7094.7607449964,6997.56528338562,6987.90525512695,7122.7470191119,7017.62279192074,7137.09422889226,7408.20139264877,7151.94195866587,7063.84193315587,6824.37428417025,7171.00859559891,6925.82107434053,7465.17394351248,7298.64464123867,7188.20377952324,7361.51353652085,7469.87741036526,7364.62139294117,7513.82451211853,7091.89077360366,7227.08852251853,6888.78484125676,6980.45530373367,7175.99960037295,7256.05952602027,7197.82253265493,7397.62353787618,7211.34342625984,7156.11071093813,7346.90637106824,7225.99904008189,7107.97561660071,7235.96428885635,5798.57571987357,5952.01058330682,7029.10269712177,7202.42834326606,7336.19875349069,7209.43926036302,7449.32688630052,7397.90275178413,7079.97575831868,7285.7942058086,5463.57625863112,5315.88244700773,7258.83514794793,7352.60209799838,7343.02107490197,7591.66106910438,7435.46509633443,7217.39253571246,7470.95207959429,7563.5788036628,7539.66299729942,7321.39891855482,5357.7267844317,5248.34389880299,7296.62822797072,7495.70564882347,7105.25813945539,7288.20021786074,6806.86640084246,7300.45506276548,7502.63834885679,7085.7341322547,7227.41434512026,7404.60325661991,5031.65092532658,5224.49415760863,6931.84899991138,7207.36572151058,7028.80988952363,7104.56508689446,7094.9563280281,7330.38828291847,7166.0796582296,7248.11701963534,7223.95281596043,6901.72073127334,5027.43629590086,5104.95516151868,6612.01039642851,6830.73593381138,7024.76320606027,6783.35727015371,7068.15148502021,6990.71346876326,7724.06539976779,7064.32693700845,7148.67749451058,6880.9834771573
,62.5,6868.89926023933,6975.54915953383,6724.2614502424,7051.82624002111,6954.00365954617,6944.89651564492,7074.42640261865,6973.15568452851,7093.97786950838,7359.24941165651,7109.88401777889,7028.26602506243,6786.66405558736,7125.51698566859,6884.89968591375,7417.58572114139,7254.90913895591,7146.26187972733,7315.8356867443,7422.22393771555,7319.30168889318,7466.37148850844,7052.62050023224,7189.81130406494,6844.94288262149,6934.80755074081,7132.57457222525,7211.58943890142,7155.25249424399,7352.17992342731,7165.38619028586,7115.47525260431,7305.70651224663,7186.30735659588,7071.36794323442,7196.8162747037,5750.34501496001,5899.05965532874,6988.20233874152,7160.60250335724,7292.09116984564,7170.45813728481,7403.80405663205,7354.33254681122,7045.3895275549,7247.27618264757,5408.99478781431,5266.97026005218,7214.92501594312,7308.30175718148,7297.95380926239,7543.13283806085,7388.72542554576,7177.2691402888,7425.95926215436,7519.57757969386,7492.97938966572,7283.85748024653,5301.9626616085,5195.25410046036,7250.94660293664,7448.671461589,7058.7274132024,7244.57682888136,6767.27054283692,7251.3060887669,7455.54923269542,7048.16433869889,7204.75976218165,7364.41071925046,4983.66688614773,5171.41816450759,6889.00460107916,7162.63666504613,6985.32255672978,7061.69511330129,7052.48673800122,7285.01297274882,7124.9112873628,7203.40065294995,7179.81847707375,6867.34374169243,4981.04905827108,5052.78077043803,6572.72549341882,6789.44926943556,6981.2794624635,6744.58965359502,7023.879060218,6947.75361359345,7696.04155942061,7020.86958111287,7107.08287018412,6850.24108219926
,63,6831.78341812334,6931.88090183412,6684.08918896666,7008.89173504575,6910.44203570674,6901.88777616294,7026.10578612545,6928.68857713627,7050.86151012447,7310.29743066429,7067.8260768919,6992.69011696906,6748.95382700452,7080.02537573827,6843.97829748698,7369.99749877022,7211.17363667311,7104.31997993139,7270.15783696771,7374.57046506582,7273.98198484528,7418.9184648983,7013.35022686078,7152.53408561142,6801.10092398632,6889.15979774797,7089.14954407754,7167.11935178247,7112.68245583306,7306.73630897835,7119.42895431193,7074.83979427043,7264.50665342509,7146.61567310992,7034.76026986808,7157.66826055109,5702.11431004642,5846.10872735065,6947.30198036131,7118.77666344842,7247.98358620062,7131.47701420661,7358.28122696362,7310.76234183823,7010.80329679112,7208.75815948659,5354.41331699753,5218.05807309667,7171.01488393827,7264.00141636465,7252.88654362281,7494.60460701733,7341.98575475712,7137.14574486517,7380.96644471444,7475.57635572488,7446.29578203202,7246.31604193824,5246.19853878526,5142.16430211771,7205.26497790251,7401.63727435455,7012.19668694946,7200.95343990205,6727.67468483147,7202.15711476839,7408.46011653411,7010.59454514311,7182.10517924303,7324.21818188108,4935.68284696884,5118.34217140653,6846.16020224692,7117.90760858164,6941.83522393603,7018.82513970813,7010.01714797438,7239.63766257915,7083.74291649604,7158.68428626448,7135.68413818713,6832.96675211156,4934.66182064135,5000.60637935732,6533.4405904092,6748.16260505983,6937.79571886675,6705.82203703624,6979.60663541584,6904.79375842359,7668.01771907339,6977.4122252173,7065.48824585768,6819.49868724126
,63.5,6795.7259968713,6889.06702854871,6644.68750254677,6966.41937414098,6867.97580339329,6859.70090922284,6978.40219615013,6885.0666434897,7008.00639565797,7261.62407397557,7026.73692062085,6958.21311389549,6712.76061015966,7035.55562439116,6804.36419578624,7323.90782554878,7168.61176342946,7062.99598730164,7225.4225243496,7328.53118923004,7229.90218476531,7372.47609896218,6974.32892142741,7115.9601995484,6759.07527939332,6845.91302592236,7047.38322454118,7124.04794310845,7071.51901770884,7262.80188730694,7074.90252152841,7035.35405837785,7224.36781718539,7108.04824160806,6998.88855384353,7119.66887853953,5658.81580438989,5798.67418521981,6907.33591708854,7077.97859809043,7204.64125386482,7093.36954158748,7313.61003558811,7268.32821053913,6977.03809776678,7171.2493712167,5306.73390762495,5176.25599294434,7128.22107712147,7221.16331362822,7208.91253796654,7447.61625808202,7296.31666265501,7097.54571057781,7336.91730625022,7432.6131933009,7400.41396439021,7209.6596888392,5197.47511239782,5095.958531232,7160.743412415,7355.73100303534,6965.88830444812,7158.11048686583,6688.88286956381,7153.65673863015,7362.75981863282,6974.31712450355,7161.27707309396,7285.23624973764,4894.32563886731,5072.27453892693,6804.63125602985,7074.06674228278,6899.53349931617,6977.25961340532,6968.02084869535,7194.94042208131,7043.15024337094,7115.04056946787,7092.22988023671,6799.8262169988,4894.95296090767,4955.56098539018,6495.18930423004,6708.33339822954,6895.42030991108,6668.73202532935,6937.05928996735,6862.88283971752,7640.875464818,6935.05312287821,7024.68855266124,6790.40095796775
,64,6761.12730115882,6847.26262625342,6605.95109644918,6925.66478437131,6826.60883841275,6818.86556096724,6931.51252220529,6842.62109350845,6965.85415536311,7213.79085646396,6987.13180777377,6925.18458232038,6677.92650486195,6992.01771964644,6765.94033419572,7278.9307363047,7127.21681204525,7022.54930300078,7182.22970930888,7284.22396054087,7186.24198938876,7327.3548711068,6936.27417340595,7080.49417925192,6719.05303304703,6804.8536456265,7007.23606706084,7082.55496706842,7032.17898147797,7220.82097082473,7032.14258345819,6997.86680127411,7185.71994545253,7070.46516347421,6964.27920802927,7083.06356791529,5620.45570358084,5756.73467525384,6868.75018102942,7038.57977534574,7162.76289430057,7056.98620336057,7270.31849609036,7227.20677959504,6944.38817951334,7135.66931262459,5265.58412807663,5140.32237267109,7087.19731853118,7180.26395293304,7166.68705717723,7402.50372810805,7252.53448258621,7058.71132304856,7294.77198837561,7391.33946372957,7356.11170622447,7174.11267605426,5154.6093864004,5055.87086267004,7117.45188560671,7311.15857557717,6920.21402968382,7116.45882705196,6651.57267779786,7106.50353080542,7318.72820015633,6939.50069242658,7137.3673835002,7247.67502130623,4858.63333339515,5032.07055684101,6764.27762104492,7031.42895346336,6858.12037209013,6936.77210880719,6926.871639757,7151.52445213534,7003.14181176727,7072.08653369767,7049.56527318035,6767.92496630849,4860.83614429267,4916.40581245786,6457.51382676312,6669.41561900468,6854.28025925658,6632.36905073616,6895.82038774166,6822.18876856173,7615.03761792212,6893.2692581537,6984.56736774697,6762.51229097073
,64.5,6727.38533823292,6806.45586733726,6567.69597963809,6885.26722738789,6786.21483143811,6779.04377058828,6885.89420129724,6800.976257984,6924.79543501182,7166.94953133357,6948.86023064213,6893.87219382264,6644.37801619842,6949.34339317498,6728.18902322397,7235.2054641103,7086.61600530494,6982.15982148904,7139.8977449428,7240.63164414861,7143.39348259665,7283.66521048489,6899.42340503255,7046.22879758296,6680.16171744619,6765.5422704405,6968.54099541753,7042.38285215773,6994.10709416659,7179.75536519282,6990.39511386782,6961.52441694912,7148.21208800665,7033.88551280071,6930.76234289902,7048.03526919619,5586.11959128714,5719.19451360845,6831.12996158216,6999.82155591639,7121.60702883451,7021.99954183032,7227.91388226181,7187.12503711772,6912.9499603182,7101.40565602407,5229.25308046863,5109.53567082434,7047.047954876,7140.42539447049,7126.17492161352,7358.61110632111,7209.70201449793,7020.63099800959,7253.80137022048,7351.45534780288,7312.80228801813,7139.75973605394,5117.06640442818,5020.86824999959,7075.37332851724,7267.63555322138,6875.81750413551,7076.027251734,6615.27483043521,7060.72953106927,7276.02498946365,6905.91678382538,7110.5440104549,7211.3976358541,4828.18839691058,4997.08820935268,6725.08588101111,6990.40660147552,6818.3516372021,6897.94128483418,6887.18006064331,7109.39921499466,6964.51653053692,7030.08863309519,7007.64675477182,6737.6691117942,4831.07792467448,4882.38218410145,6420.96461794779,6631.1589598387,6814.87894773776,6597.33749893551,6855.85533424478,6782.21684009778,7590.96676964182,6852.39375415209,6944.86211832856,6735.90514056683
