,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,STD1,3422.28068521676,,Standard,Unassigned,False
,A02,SYBR,,Std-01,STD1,3531.55278124002,,Standard,Unassigned,False
,A03,SYBR,,Unkn-01,15.3_D,3302.06691788038,,Unknown,Unassigned,False
,A04,SYBR,,Unkn-01,15.3_D,3383.40640252424,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-09,5.5_A,3477.50515023878,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-09,5.5_A,3452.11141837815,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-17,6.3_D,3474.11381299013,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-17,6.3_D,3452.11989084703,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-25,10.1_C,3592.9322971766,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-25,10.1_C,3687.26448766655,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-33,15.1_C,3566.85341545515,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-33,15.1_C,3498.84737245969,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,STD2,3478.4932818084,,Standard,Unassigned,False
,B02,SYBR,,Std-02,STD2,3451.84102757968,,Standard,Unassigned,False
,B03,SYBR,,Unkn-02,10.1_A,3405.4548990897,,Unknown,Unassigned,False
,B04,SYBR,,Unkn-02,10.1_A,3727.68223696327,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-10,3.3_B,3748.80367200904,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-10,3.3_B,3653.98534550805,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-18,5.1_A,3531.02479195582,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-18,5.1_A,3730.48811368249,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-26,10.4_B,3726.58181879924,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-26,10.4_B,3739.94706298767,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-34,11.2_D,3485.41449135989,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-34,11.2_D,3565.09311475535,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,STD3,3126.05705246507,,Standard,Unassigned,False
,C02,SYBR,,Std-03,STD3,2861.61178018192,,Standard,Unassigned,False
,C03,SYBR,,Unkn-03,7.1_A,3436.05348071974,,Unknown,Unassigned,False
,C04,SYBR,,Unkn-03,7.1_A,3583.41982291892,,Unknown,Unassigned,False
,C05,SYBR,,Unkn-11,14.5_C,3330.63773142062,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-11,14.5_C,3730.96984915257,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-19,7.5_D,3588.15769335132,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-19,7.5_D,3438.19735988626,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-27,10.5_D,3537.72391696988,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-27,10.5_D,3674.14248796384,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-35,5.3_A,3218.42692294731,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-35,5.3_A,3551.33661460022,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,STD4,1891.99766723321,,Standard,Unassigned,False
,D02,SYBR,,Std-04,STD4,1876.61935450747,,Standard,Unassigned,False
,D03,SYBR,,Unkn-04,13.3_D,3418.46591578944,,Unknown,Unassigned,False
,D04,SYBR,,Unkn-04,13.3_D,3602.61971606404,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-12,12.2_D,3456.77959763918,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-12,12.2_D,3748.46741721897,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-20,3.4_C,3705.67138296708,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-20,3.4_C,3442.26789036857,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-28,10.4_C,3800.88322122113,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-28,10.4_C,3775.94143538632,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-36,15.1_B,3436.96292740335,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-36,15.1_B,3604.74498939006,,Unknown,Unassigned,False
,E03,SYBR,,Unkn-05,8.1_C,3643.13636099969,,Unknown,Unassigned,False
,E04,SYBR,,Unkn-05,8.1_C,3658.11282259309,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-13,3.1_A,3697.39527969682,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-13,3.1_A,3841.84077731419,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-21,13.2_C,3611.8356901605,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-21,13.2_C,3599.91277832628,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-29,11.3_B,3792.55342682269,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-29,11.3_B,3786.45311625974,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-37,15.3_B,3681.79019497172,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-37,15.3_B,3990.37812408025,,Unknown,Unassigned,False
,F03,SYBR,,Unkn-06,5.3_D,3690.01027844015,,Unknown,Unassigned,False
,F04,SYBR,,Unkn-06,5.3_D,3854.35172389573,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-14,6.4_C,3589.50547742738,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-14,6.4_C,3689.62939614024,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-30,17.5_B,3809.20052898328,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-30,17.5_B,3694.47306465561,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-38,5.4_B,3738.3707087181,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-38,5.4_B,3757.55393046159,,Unknown,Unassigned,False
,G03,SYBR,,Unkn-07,9.6_D,3268.32810805725,,Unknown,Unassigned,False
,G04,SYBR,,Unkn-07,9.6_D,3729.99522225864,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-15,9.4_C,3618.11215612997,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-15,9.4_C,3460.46596897236,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-23,5.5_B,3591.54767287188,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-23,5.5_B,3675.27243168069,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-31,6.4_A,3402.34276672217,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-31,6.4_A,3690.65267798181,,Unknown,Unassigned,False
,G11,SYBR,,Unkn-39,2.2_B,3701.52971916095,,Unknown,Unassigned,False
,G12,SYBR,,Unkn-39,2.2_B,3304.06655097604,,Unknown,Unassigned,False
,H01,SYBR,,NTC-01,NEG,1477.62692575347,,NTC,Unassigned,False
,H02,SYBR,,NTC-01,NEG,1563.37817480635,,NTC,Unassigned,False
,H03,SYBR,,Unkn-08,2.2_D,2980.64795724987,,Unknown,Unassigned,False
,H04,SYBR,,Unkn-08,2.2_D,3384.30431510603,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-16,12.5_B,3566.13730940169,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-16,12.5_B,3158.61910423109,,Unknown,Unassigned,False
,H07,SYBR,,Unkn-24,9.5_A,3587.40624591059,,Unknown,Unassigned,False
,H08,SYBR,,Unkn-24,9.5_A,3535.0156765398,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-32,17.2_A,3136.70190329499,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-32,17.2_A,3566.22077880609,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-40,17.2_C,3732.09914140283,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-40,17.2_C,3278.28956362151,,Unknown,Unassigned,False
