,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,603.722969062707,72,95,
,A02,SYBR,,Std-01,STD1,78,602.728720121639,66,94,
,A03,SYBR,,Unkn-01,15.3_D,75,379.235086503038,66,95,
,A04,SYBR,,Unkn-01,15.3_D,75.5,393.927838671583,66,93.5,
,A05,SYBR,,Unkn-09,5.5_A,77,396.735134107113,76,91.5,
,A05,SYBR,,Unkn-09,5.5_A,75.5,395.213144533345,66,76,
,A06,SYBR,,Unkn-09,5.5_A,77,398.218097961275,66,95,
,A07,SYBR,,Unkn-17,6.3_D,75,407.77999083938,66,93,
,A08,SYBR,,Unkn-17,6.3_D,75,405.240396788544,66,93,
,A09,SYBR,,Unkn-25,10.1_C,77,408.679574659145,66,95,
,A10,SYBR,,Unkn-25,10.1_C,77,419.75546061679,66,95,
,A11,SYBR,,Unkn-33,15.1_C,77.5,448.797993536291,65.5,92.5,
,A12,SYBR,,Unkn-33,15.1_C,77.5,424.834479529497,65,95,
,B01,SYBR,,Std-02,STD2,78,603.064605284678,65.5,84,
,B02,SYBR,,Std-02,STD2,78,599.604747708493,65.5,95,
,B03,SYBR,,Unkn-02,10.1_A,77,386.63229929109,65.5,95,
,B04,SYBR,,Unkn-02,10.1_A,77,425.437427870771,65.5,95,
,B05,SYBR,,Unkn-10,3.3_B,75,430.795610951028,65.5,94,
,B06,SYBR,,Unkn-10,3.3_B,75,420.72703166254,65.5,95,
,B07,SYBR,,Unkn-18,5.1_A,75,420.696691916966,65.5,95,
,B08,SYBR,,Unkn-18,5.1_A,77,431.85312908173,65.5,95,
,B09,SYBR,,Unkn-26,10.4_B,77,427.53254741837,65.5,93,
,B10,SYBR,,Unkn-26,10.4_B,77,433.115229683716,65,94,
,B11,SYBR,,Unkn-34,11.2_D,75.5,413.204713453793,65,94,
,B12,SYBR,,Unkn-34,11.2_D,75,406.520298697866,65,95,
,C01,SYBR,,Std-03,STD3,78,634.016121815087,66,83.5,
,C02,SYBR,,Std-03,STD3,78,593.266073747363,66,85,
,C03,SYBR,,Unkn-03,7.1_A,75,400.301585804856,65.5,94,
,C04,SYBR,,Unkn-03,7.1_A,75,418.381216137807,65.5,93.5,
,C05,SYBR,,Unkn-11,14.5_C,75,398.43167462817,65,95,
,C06,SYBR,,Unkn-11,14.5_C,75,438.027613144518,65.5,95,
,C07,SYBR,,Unkn-19,7.5_D,75,422.095567856832,62.5,93.5,
,C08,SYBR,,Unkn-19,7.5_D,75,404.902098126596,65.5,94,
,C09,SYBR,,Unkn-27,10.5_D,75,408.1191938635,65,95,
,C10,SYBR,,Unkn-27,10.5_D,75,422.785162076527,65,95,
,C11,SYBR,,Unkn-35,5.3_A,77,386.177154365329,65.5,94,
,C12,SYBR,,Unkn-35,5.3_A,77,422.474037903266,65,94,
,D01,SYBR,,Std-04,STD4,78,572.946550920733,66.5,83,
,D02,SYBR,,Std-04,STD4,78,560.268671584843,66,82.5,
,D03,SYBR,,Unkn-04,13.3_D,75,394.531054500722,65.5,95,
,D04,SYBR,,Unkn-04,13.3_D,75,418.287337078048,65.5,95,
,D05,SYBR,,Unkn-12,12.2_D,75,413.596163319631,65.5,95,
,D06,SYBR,,Unkn-12,12.2_D,75,441.617275931506,65.5,93.5,
,D07,SYBR,,Unkn-20,3.4_C,77,424.014093919876,65.5,95,
,D08,SYBR,,Unkn-20,3.4_C,77,401.066817687671,65,94,
,D09,SYBR,,Unkn-28,10.4_C,77,432.493225813892,65.5,95,
,D10,SYBR,,Unkn-28,10.4_C,77,429.273333354375,65.5,95,
,D11,SYBR,,Unkn-36,15.1_B,77,405.393458001084,65.5,91.5,
