,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7225.36568397373,7394.9738527617,7087.28448622371,7222.54357075041,7311.023029979,7298.31622700928,7321.43752949235,7302.14104892389,7475.85301040863,7594.49865003326,7389.04566560368,7258.76138699112,7312.0092531432,7291.39161828194,7212.91277602025,7674.53171816936,7712.0348382018,7585.45652971006,7622.34590114047,7678.87301581406,7674.2401606592,7719.70219091883,7327.36433163008,7420.4731030439,7322.01795647333,6974.74933883578,7271.74189411647,7472.31661756549,7115.55083249312,7685.7066252436,7456.66922977478,7287.13633315533,7404.38825771679,7586.94259496368,6967.43693566447,7370.71017610721,6458.58506885711,6328.21258415124,7213.94742912996,7479.11119256771,7286.26481801024,7706.0277108734,7611.70745975723,7262.29349801895,7755.95572817992,7707.20231141502,7229.48432924311,7534.69573308551,7511.28100483556,7551.00683724338,7573.14746115697,7798.55192532816,7488.72164461347,7448.48442238661,7722.4556362625,7773.68441564965,7611.97854365834,7931.55928961481,7525.75046791393,7772.67566450282,7418.08696250912,7546.98286848305,7682.51542551294,7557.42680047499,7609.05282072693,7628.60021836497,6953.7664094141,7570.20510390322,7412.08464167074,7205.50100733663,7416.09417426589,7524.94183723261,7147.54153983096,7517.45250442442,7518.98119255988,6940.7082678224,5796.41981991502,5972.85946547561,6535.8297342228,7070.00961939861,7381.90032580276,6806.68739406449,7383.99457556785,7289.1117468336,7750.38792643084,7341.33258023371,7520.98105525037,6896.64924919476
,60.5,7185.94133117213,7348.21273752728,7042.10946670548,7178.76538807419,7264.67906553044,7251.36883653891,7274.0273997261,7254.09374200448,7428.21394886484,7543.67266145782,7343.59628508171,7218.29303421438,7267.26496896538,7245.43465038097,7167.77163589206,7626.0398126647,7662.65139701236,7537.26005155336,7574.30252917423,7628.6221176031,7623.66462985726,7672.61182744669,7282.39763223705,7377.16903753905,7273.35441859622,6930.37516959907,7225.93612457232,7426.11221935251,7079.98828294827,7636.83570952968,7426.65326791636,7244.10482805581,7364.71851613722,7540.42477354599,6929.19774146009,7328.72308666352,6406.89316840882,6283.54920337775,7168.1821209782,7432.55826665011,7246.02445964855,7657.45084244031,7563.71628409314,7224.82970568884,7707.16542648436,7657.48276094773,7189.33928775736,7492.81795364493,7462.15617366597,7502.87916689998,7528.96492126411,7750.82257061434,7446.26101715127,7416.18424766198,7675.71562593294,7730.95769875126,7575.5084261285,7880.7591783416,7476.91929319601,7721.10338201103,7372.59824330075,7499.8025391197,7637.49629664385,7508.76254913431,7562.40951649649,7584.20836454565,6911.90388982711,7520.46021952733,7364.46453375722,7164.21085839848,7369.72857208388,7477.16684080492,7104.83468638104,7468.22515214236,7472.74493827355,6903.22403613337,5749.9037605995,5921.60605848152,6498.86203482208,7025.6168365909,7335.8705398241,6769.65740669721,7335.78495252086,7242.68843947911,7722.98481159601,7294.1654288511,7471.7642251996,6863.05152421383
,61,7146.51697837053,7301.45162229286,6996.93444718724,7134.98720539797,7218.33510108188,7204.42144606854,7226.61726995986,7206.04643508507,7380.57488732106,7492.84667288237,7298.14690455973,7177.82468143763,7222.52068478756,7199.47768248001,7122.63049576387,7577.54790716004,7613.26795582292,7489.06357339666,7526.259157208,7578.37121939214,7573.08909905532,7625.52146397455,7237.43093284403,7333.86497203419,7224.69088071912,6886.00100036236,7180.13035502816,7379.90782113953,7044.42573340343,7587.96479381575,7396.63730605795,7201.07332295629,7325.04877455764,7493.9069521283,6890.95854725571,7286.73599721982,6355.20126796053,6238.88582260426,7122.41681282644,7386.0053407325,7205.78410128686,7608.87397400722,7515.72510842905,7187.36591335873,7658.37512478879,7607.76321048043,7149.19424627161,7450.94017420434,7413.03134249639,7454.75149655658,7484.78238137125,7703.09321590053,7403.80038968906,7383.88407293734,7628.97561560339,7688.23098185286,7539.03830859866,7829.95906706839,7428.08811847809,7669.53109951924,7327.10952409238,7452.62220975635,7592.47716777475,7460.09829779363,7515.76621226604,7539.81651072633,6870.04137024012,7470.71533515144,7316.84442584369,7122.92070946032,7323.36296990188,7429.39184437723,7062.12783293112,7418.9977998603,7426.50868398722,6865.73980444435,5703.38770128398,5870.35265148742,6461.89433542136,6981.2240537832,7289.84075384543,6732.62741932992,7287.57532947386,7196.26513212462,7695.58169676118,7246.99827746849,7422.54739514884,6829.4537992329
,61.5,7107.09262556894,7254.69050705845,6951.75942766901,7091.20902272175,7171.99113663332,7157.47405559817,7179.20714019362,7157.99912816565,7332.93582577727,7442.02068430692,7252.69752403776,7137.35632866089,7177.77640060975,7153.52071457904,7077.48935563568,7529.05600165538,7563.88451463348,7440.86709523997,7478.21578524177,7528.12032118118,7522.51356825338,7578.43110050241,7192.464233451,7290.56090652934,7176.02734284202,6841.62683112566,7134.324585484,7333.70342292655,7008.86318385859,7539.09387810182,7366.62134419953,7158.04181785677,7285.37903297807,7447.38913071061,6852.71935305133,7244.74890777613,6303.50936751223,6194.22244183076,7076.65150467469,7339.4524148149,7165.54374292518,7560.29710557413,7467.73393276496,7149.90212102862,7609.58482309323,7558.04366001313,7109.04920478585,7409.06239476376,7363.90651132681,7406.62382621318,7440.59984147839,7655.36386118672,7361.33976222686,7351.5838982127,7582.23560527384,7645.50426495447,7502.56819106882,7779.15895579517,7379.25694376017,7617.95881702745,7281.62080488401,7405.441880393,7547.45803890565,7411.43404645295,7469.1229080356,7495.42465690701,6828.17885065313,7420.97045077556,7269.22431793017,7081.63056052217,7276.99736771987,7381.61684794954,7019.4209794812,7369.77044757824,7380.27242970089,6828.25557275533,5656.87164196847,5819.09924449333,6424.92663602064,6936.83127097549,7243.81096786677,6695.59743196264,7239.36570642687,7149.84182477013,7668.17858192635,7199.83112608588,7373.33056509807,6795.85607425197
,62,7067.66827276734,7207.92939182403,6906.58440815077,7047.43084004553,7125.64717218476,7110.5266651278,7131.79701042738,7109.95182124624,7285.29676423349,7391.19469573147,7207.24814351579,7096.88797588415,7133.03211643193,7107.56374667808,7032.34821550749,7480.56409615072,7514.50107344404,7392.67061708327,7430.17241327554,7477.86942297022,7471.93803745144,7531.34073703027,7147.49753405797,7247.25684102449,7127.36380496492,6797.25266188895,7088.51881593984,7287.49902471357,6973.30063431374,7490.22296238789,7336.60538234112,7115.01031275724,7245.70929139849,7400.87130929292,6814.48015884695,7202.76181833243,6251.81746706394,6149.55906105727,7030.88619652293,7292.8994888973,7125.30338456349,7511.72023714103,7419.74275710087,7112.43832869851,7560.79452139766,7508.32410954583,7068.9041633001,7367.18461532317,7314.78168015722,7358.49615586979,7396.41730158553,7607.63450647291,7318.87913476465,7319.28372348806,7535.49559494428,7602.77754805607,7466.09807353897,7728.35884452196,7330.42576904225,7566.38653453566,7236.13208567564,7358.26155102965,7502.43891003656,7362.76979511227,7422.47960380516,7451.03280308769,6786.31633106614,7371.22556639967,7221.60421001665,7040.34041158402,7230.63176553787,7333.84185152185,6976.71412603128,7320.54309529617,7334.03617541456,6790.7713410663,5610.35558265295,5767.84583749924,6387.95893661992,6892.43848816778,7197.78118188811,6658.56744459535,7191.15608337987,7103.41851741564,7640.77546709152,7152.66397470327,7324.1137350473,6762.25834927104
,62.5,7028.24391996575,7161.16827658964,6861.4093886326,7003.65265736927,7079.30320773626,7063.57927465746,7084.38688066117,7061.90451432672,7237.65770268964,7340.368707156,7161.79876299387,7056.41962310745,7088.28783225413,7061.60677877704,6987.20707537925,7432.07219064616,7465.11763225451,7344.47413892655,7382.12904130925,7427.6185247592,7421.36250664949,7484.25037355817,7102.53083466497,7203.95277551967,7078.70026708786,6752.87849265228,7042.71304639577,7241.29462650059,6937.7380847689,7441.35204667393,7306.58942048264,7071.97880765774,7206.03954981886,7354.35348787528,6776.24096464249,7160.77472888875,6200.12556661568,6104.89568028382,6985.12088837117,7246.34656297971,7085.06302620173,7463.14336870801,7371.75158143668,7074.97453636839,7512.00421970203,7458.60455907851,7028.75912181433,7325.30683588264,7265.65684898762,7310.36848552637,7352.23476169267,7559.90515175914,7276.41850730247,7286.98354876343,7488.75558461465,7560.05083115774,7429.62795600912,7677.55873324874,7281.59459432439,7514.8142520439,7190.64336646726,7311.08122166639,7457.41978116747,7314.10554377158,7375.83629957479,7406.64094926838,6744.45381147917,7321.4806820238,7173.98410210319,6999.05026264577,7184.26616335589,7286.06685509421,6934.00727258135,7271.31574301411,7287.79992112828,6753.28710937717,5563.83952333737,5716.59243050514,6350.99123721928,6848.04570536002,7151.75139590948,6621.5374572281,7142.94646033285,7056.99521006104,7613.37235225669,7105.49682332066,7274.89690499648,6728.66062429001
,63,6988.81956716415,7114.40716135522,6816.23436911437,6959.87447469305,7032.9592432877,7016.63188418709,7036.97675089493,7013.85720740731,7190.01864114585,7289.54271858055,7116.3493824719,7015.95127033071,7043.54354807632,7015.64981087608,6942.06593525106,7383.5802851415,7415.73419106506,7296.27766076985,7334.08566934301,7377.36762654824,7370.78697584756,7437.16001008603,7057.56413527194,7160.64871001481,7030.03672921076,6708.50432341557,6996.90727685161,7195.09022828761,6902.17553522406,7392.48113096,7276.57345862422,7028.94730255822,7166.36980823928,7307.83566645758,6738.00177043811,7118.78763944506,6148.43366616739,6060.23229951032,6939.35558021941,7199.79363706211,7044.82266784004,7414.56650027491,7323.76040577259,7037.51074403828,7463.21391800647,7408.88500861121,6988.61408032857,7283.42905644206,7216.53201781804,7262.24081518297,7308.0522217998,7512.17579704533,7233.95787984026,7254.68337403879,7442.0155742851,7517.32411425935,7393.15783847927,7626.75862197553,7232.76341960647,7463.24196955211,7145.15464725889,7263.90089230304,7412.40065229838,7265.4412924309,7329.19299534434,7362.24909544906,6702.59129189218,7271.73579764791,7126.36399418967,6957.76011370762,7137.90056117389,7238.29185866652,6891.30041913143,7222.08839073205,7241.56366684195,6715.80287768814,5517.32346402186,5665.33902351105,6314.02353781856,6803.65292255231,7105.72160993082,6584.50746986081,7094.73683728586,7010.57190270655,7585.96923742186,7058.32967193805,7225.68007494571,6695.06289930908
,63.5,6950.63593637121,7068.08983900065,6771.91278651003,6917.32565317557,6987.64088196891,6971.00003351764,6990.81198541035,6967.21871778602,7143.2454025026,7239.91333160409,7072.10657987556,6977.59081175368,7000.28202988101,6970.88687731187,6897.945934769,7336.67414902693,7368.28916172075,7249.45922624514,7287.90290374695,7329.21353106445,7322.19101644447,7391.1678707817,7014.72879176865,7119.11865137654,6983.38872574046,6666.38563780532,6952.75670893619,7150.16050250174,6868.57329773566,7344.80427064945,7245.59436551184,6987.67514482498,7128.37265886382,7263.26238320978,6701.65916356413,7078.85960914143,6101.86983919513,6019.85825884977,6895.12477825657,7154.95714600961,7005.48141299026,7367.90284367525,7276.78478797864,7001.50672397921,7415.99791436429,7360.46907663889,6949.98919403868,7243.4480064946,7168.33687373421,7215.67160180411,7266.31616405676,7466.43893206321,7193.37858547448,7220.81698664918,7396.71991418192,7474.8282543889,7354.27310551308,7577.67062762244,7185.53955822328,7413.6718874152,7101.10073672531,7218.31406281091,7368.62832458857,7217.86420606527,7284.1600557586,7320.23691588478,6662.0011512979,7223.50275315591,7080.33875883847,6918.21906183417,7093.06695376792,7192.19378745223,6850.22275983899,7174.28889646405,7196.81466444726,6679.57526091498,5477.33321715126,5620.28969184408,6278.43755383157,6760.3189486397,7061.29854121307,6548.43238424241,7048.15834836032,6965.53170178245,7560.68011528031,7012.15539306862,7177.4378690225,6663.09813833513
,64,6913.87264914263,7023.19926394451,6729.17522869889,6875.58806023194,6943.41508296407,6926.72569106045,6945.80448084794,6921.93993390165,7097.26207014609,7191.55084716064,7029.37001475812,6940.67362664875,6958.47496588739,6927.49833573248,6855.07578847268,7291.5182758513,7321.96277980585,7203.5691148106,7243.06145023851,7282.25338573409,7274.91894444515,7346.72304953928,6973.48973238897,7079.22125082096,6937.99910453734,6626.66791852922,6909.39791831825,7106.13242422691,6835.94774194789,7298.99836575339,7213.29275795509,6948.29758739882,7091.13608747661,7220.07969664219,6666.84373331332,7040.65242246204,6059.96465628299,5983.71670906096,6852.61819757827,7111.25391042141,6967.06035677551,7322.97611318506,7230.88215475273,6967.04966372513,7369.95132262667,7313.26966145075,6912.13791251821,7204.69195975095,7121.89390556483,7170.43335805544,7226.73516053962,7422.43591371399,7154.12435295191,7185.649591664,7352.37896819519,7431.77052598801,7313.22465863745,7530.16689240326,7140.10176092715,7365.6260417801,7058.3071955906,7173.43838556757,7326.77960439633,7171.66620197637,7240.4866554998,7279.61640054465,6622.9534226619,7177.16006760348,7035.68758042866,6879.84266683633,7050.01607045721,7147.52801985021,6810.57322023176,7127.81656173235,7153.56482947503,6644.32066681647,5442.5929157999,5580.2804398017,6243.40906289489,6718.42767210209,7018.22661303662,6513.34476334179,7003.51516141519,6921.84895596907,7537.74582492733,6967.03825036606,7130.51993398555,6632.55000715712
,64.5,6878.84347887033,6978.6674057851,6687.41966168865,6834.71410910243,6900.30501437217,6883.54250054915,6902.03902247262,6877.21893916564,7051.78323969215,7144.18790094824,6987.99314053443,6905.26709198412,6918.35781124359,6885.15202291246,6813.21552104831,7247.95458038066,7276.66238994237,7158.77819718378,7199.33806570694,7236.74825283585,7228.80722665637,7303.45904907934,6933.54981778452,7040.90319926242,6894.66224327784,6588.89183449159,6867.20212390631,7063.60345862824,6804.63309882158,7254.62357103492,7179.15403763918,6910.12930068801,7055.48873091287,7178.26572716795,6633.25105053767,7004.14351022038,6021.9062940134,5951.17953800731,6811.12341917112,7069.02073303271,6929.79908135927,7279.99566327765,7186.52044677479,6934.00885817759,7325.11544563797,7267.57806078624,6875.2095011976,7167.49555345998,7076.66701647205,7126.55142736047,7188.77067491191,7380.10305085985,7116.72416270116,7149.20716402785,7309.24384444201,7389.84224533251,7273.88808826149,7484.19396887739,7095.81087630141,7318.6809709767,7016.03473083378,7129.60239952419,7286.75377479103,7126.9569079719,7197.96855372465,7240.23680850481,6584.96082493823,7132.44010659585,6992.6227780422,6842.65479480982,7008.70888787979,7104.17436970844,6772.17121532131,7082.51217913462,7111.49693720097,6610.13467833281,5412.7768290973,5545.07649448703,6209.69099560318,6677.49395871144,6976.63793524455,6479.21984614731,6960.17666507909,6879.06851156009,7517.86343262469,6923.32884366403,7084.81869221153,6603.52285891293
