,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A03,SYBR,,Unkn-01,15.3_D,75
,A04,SYBR,,Unkn-01,15.3_D,75.5
,A05,SYBR,,Unkn-09,5.5_A,77
,A05,SYBR,,Unkn-09,5.5_A,75.5
,A06,SYBR,,Unkn-09,5.5_A,77
,A07,SYBR,,Unkn-17,6.3_D,75
,A08,SYBR,,Unkn-17,6.3_D,75
,A09,SYBR,,Unkn-25,10.1_C,77
,A10,SYBR,,Unkn-25,10.1_C,77
,A11,SYBR,,Unkn-33,15.1_C,77.5
,A12,SYBR,,Unkn-33,15.1_C,77.5
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B03,SYBR,,Unkn-02,10.1_A,77
,B04,SYBR,,Unkn-02,10.1_A,77
,B05,SYBR,,Unkn-10,3.3_B,75
,B06,SYBR,,Unkn-10,3.3_B,75
,B07,SYBR,,Unkn-18,5.1_A,75
,B08,SYBR,,Unkn-18,5.1_A,77
,B09,SYBR,,Unkn-26,10.4_B,77
,B10,SYBR,,Unkn-26,10.4_B,77
,B11,SYBR,,Unkn-34,11.2_D,75.5
,B12,SYBR,,Unkn-34,11.2_D,75
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C03,SYBR,,Unkn-03,7.1_A,75
,C04,SYBR,,Unkn-03,7.1_A,75
,C05,SYBR,,Unkn-11,14.5_C,75
,C06,SYBR,,Unkn-11,14.5_C,75
,C07,SYBR,,Unkn-19,7.5_D,75
,C08,SYBR,,Unkn-19,7.5_D,75
,C09,SYBR,,Unkn-27,10.5_D,75
,C10,SYBR,,Unkn-27,10.5_D,75
,C11,SYBR,,Unkn-35,5.3_A,77
,C12,SYBR,,Unkn-35,5.3_A,77
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D03,SYBR,,Unkn-04,13.3_D,75
,D04,SYBR,,Unkn-04,13.3_D,75
,D05,SYBR,,Unkn-12,12.2_D,75
,D06,SYBR,,Unkn-12,12.2_D,75
,D07,SYBR,,Unkn-20,3.4_C,77
,D08,SYBR,,Unkn-20,3.4_C,77
,D09,SYBR,,Unkn-28,10.4_C,77
,D10,SYBR,,Unkn-28,10.4_C,77
,D11,SYBR,,Unkn-36,15.1_B,77
,D12,SYBR,,Unkn-36,15.1_B,77
,E03,SYBR,,Unkn-05,8.1_C,77
,E04,SYBR,,Unkn-05,8.1_C,77
,E05,SYBR,,Unkn-13,3.1_A,77
,E06,SYBR,,Unkn-13,3.1_A,77
,E07,SYBR,,Unkn-21,13.2_C,75.5
,E08,SYBR,,Unkn-21,13.2_C,75.5
,E09,SYBR,,Unkn-29,11.3_B,75
,E10,SYBR,,Unkn-29,11.3_B,75
,E10,SYBR,,Unkn-29,11.3_B,77
,E11,SYBR,,Unkn-37,15.3_B,77
,E12,SYBR,,Unkn-37,15.3_B,77
,F03,SYBR,,Unkn-06,5.3_D,76.5
,F04,SYBR,,Unkn-06,5.3_D,75
,F05,SYBR,,Unkn-14,6.4_C,75
,F06,SYBR,,Unkn-14,6.4_C,75
,F09,SYBR,,Unkn-30,17.5_B,77
,F10,SYBR,,Unkn-30,17.5_B,77
,F11,SYBR,,Unkn-38,5.4_B,77
,F12,SYBR,,Unkn-38,5.4_B,77
,G03,SYBR,,Unkn-07,9.6_D,75
,G04,SYBR,,Unkn-07,9.6_D,75
,G05,SYBR,,Unkn-15,9.4_C,77
,G06,SYBR,,Unkn-15,9.4_C,77
,G07,SYBR,,Unkn-23,5.5_B,75
,G08,SYBR,,Unkn-23,5.5_B,75
,G09,SYBR,,Unkn-31,6.4_A,75
,G10,SYBR,,Unkn-31,6.4_A,75
,G11,SYBR,,Unkn-39,2.2_B,75
,G12,SYBR,,Unkn-39,2.2_B,75
,H01,SYBR,,NTC-01,NEG,78
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,2.2_D,75
,H04,SYBR,,Unkn-08,2.2_D,75
,H05,SYBR,,Unkn-16,12.5_B,75
,H06,SYBR,,Unkn-16,12.5_B,75
,H07,SYBR,,Unkn-24,9.5_A,77
,H08,SYBR,,Unkn-24,9.5_A,77
,H09,SYBR,,Unkn-32,17.2_A,77
,H10,SYBR,,Unkn-32,17.2_A,77
,H11,SYBR,,Unkn-40,17.2_C,77
,H12,SYBR,,Unkn-40,17.2_C,77
