,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,Unkn-33,Unkn-33
A,Sample,STD1,STD1,15.3_D,15.3_D,5.5_A,5.5_A,6.3_D,6.3_D,10.1_C,10.1_C,15.1_C,15.1_C
A,Cq,17.2441084142223,17.2122864072087,18.3952107872161,18.4231211780022,18.3491704488855,18.3889594570043,18.6591617343929,18.9524071123247,18.2438204124473,18.3285515602862,18.2357296959512,18.3712346956144
A,copy number,300000000000,300000000000,164378125757.314,161398096317.932,169414637250.995,165053094958.261,138261623550.493,114082663248.758,181527448934.838,171719960215.844,182492741155.05,166981982226.614
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,10.1_A,10.1_A,3.3_B,3.3_B,5.1_A,5.1_A,10.4_B,10.4_B,11.2_D,11.2_D
B,Cq,21.2343352515116,21.1877335667665,18.3287714603024,18.4056015610251,18.352229292563,18.3767374695,18.0704030780683,18.3439407299478,18.1199170234,18.6191489735736,18.9734213938129,19.1371093318971
B,copy number,30000000000,30000000000,171695209252.664,163262313622.909,169075285378.938,166380745355.643,203381425746.11,169996407170.532,196886303113.61,141936015334.464,112521947585.626,101073673908.415
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,7.1_A,7.1_A,14.5_C,14.5_C,7.5_D,7.5_D,10.5_D,10.5_D,5.3_A,5.3_A
C,Cq,24.6102519734559,25.0069853903643,18.0766808357343,18.197972027294,17.9654187090115,18.0521552622425,18.4370379080877,18.3544793018254,18.077073454124,18.2931885745931,18.591987274259,19.2507028425275
C,copy number,3000000000,3000000000,202546207603.944,187065872759.447,217870566366.455,205828795294.209,159932435245.713,168826100566.689,202494086184.698,175747041671.279,144485772874.441,93820965985.4563
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,13.3_D,13.3_D,12.2_D,12.2_D,3.4_C,3.4_C,10.4_C,10.4_C,15.1_B,15.1_B
D,Cq,27.8547559159147,27.6211018578427,18.708788995552,18.527129070361,17.6864411999808,17.8671293938908,18.3554076829376,18.3240522052639,18.1788550937899,18.3275709294974,17.8885936163266,18.1563795320014
D,copy number,300000000,300000000,133836203971.027,150761038184.246,261588557176.428,232369898664.705,168723390949.799,172227171618.473,189424797761.82,171830379076.048,229123358915.187,192236231720.316
E,Content,,,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,,,8.1_C,8.1_C,3.1_A,3.1_A,13.2_C,13.2_C,11.3_B,11.3_B,15.3_B,15.3_B
E,Cq,,,18.4099044065796,18.3888822543459,18.7569517871952,18.6273773495063,18.2272822753642,18.4809630890327,18.3250709969902,18.378502675291,18.7286388878204,18.6449599072334
E,copy number,,,162802473630.945,165061447992.868,129676857521.862,141172507698.646,183506069171.369,155393122584.795,172112192378.237,166188336731.007,132106042137.302,139554765848.514
F,Content,,,Unkn-6,Unkn-6,Unkn-14,Unkn-14,,,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,,,5.3_D,5.3_D,6.4_C,6.4_C,,,17.5_B,17.5_B,5.4_B,5.4_B
F,Cq,,,18.1778434269899,18.2103484764703,18.1557792106888,18.1229786217857,,,18.1949991222558,18.1853651743337,18.3327967432686,18.3424743678111
F,copy number,,,189550457370.913,185554375029.111,192311894418.435,196491568356.129,,,187430774724.527,188618168017.217,171242771206.896,170159888095.349
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.6_D,9.6_D,9.4_C,9.4_C,5.5_B,5.5_B,6.4_A,6.4_A,2.2_B,2.2_B
G,Cq,,,18.2841595143123,18.278470837838,18.839021048258,18.6368291930192,18.4659453959759,18.5098505646434,18.5876741604436,18.802029465726,18.1240741803295,17.8878215355634
G,copy number,,,176790304620.931,177450780604.247,122884963999.788,140300542161.26,156930398336.048,152478291782.705,144894852121.481,125901129031.759,196350509311.201,229239348599.687
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,2.2_D,2.2_D,12.5_B,12.5_B,9.5_A,9.5_A,17.2_A,17.2_A,17.2_C,17.2_C
H,Cq,28.6802363216103,28.5263053754325,19.3922409365085,19.2632449581043,18.353086750868,18.3248115679151,18.592613237653,19.0180078489995,18.9604646487045,18.4501298208137,18.3456799956392,18.2016617893859
H,copy number,NaN,NaN,85507930939.8166,93052784170.9773,168980279942.358,172141463851.144,144426499140.208,109280891829.94,113481693138.053,158565793050.977,169802704552.426,186613969792.584
