,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,STD1,17.2441084142223,300000000000
,A02,SYBR,,Std-01,STD1,17.2122864072087,300000000000
,A03,SYBR,,Unkn-01,15.3_D,18.3952107872161,164378125757.314
,A04,SYBR,,Unkn-01,15.3_D,18.4231211780022,161398096317.932
,A05,SYBR,,Unkn-09,5.5_A,18.3491704488855,169414637250.995
,A06,SYBR,,Unkn-09,5.5_A,18.3889594570043,165053094958.261
,A07,SYBR,,Unkn-17,6.3_D,18.6591617343929,138261623550.493
,A08,SYBR,,Unkn-17,6.3_D,18.9524071123247,114082663248.758
,A09,SYBR,,Unkn-25,10.1_C,18.2438204124473,181527448934.838
,A10,SYBR,,Unkn-25,10.1_C,18.3285515602862,171719960215.844
,A11,SYBR,,Unkn-33,15.1_C,18.2357296959512,182492741155.05
,A12,SYBR,,Unkn-33,15.1_C,18.3712346956144,166981982226.614
,B01,SYBR,,Std-02,STD2,21.2343352515116,30000000000
,B02,SYBR,,Std-02,STD2,21.1877335667665,30000000000
,B03,SYBR,,Unkn-02,10.1_A,18.3287714603024,171695209252.664
,B04,SYBR,,Unkn-02,10.1_A,18.4056015610251,163262313622.909
,B05,SYBR,,Unkn-10,3.3_B,18.352229292563,169075285378.938
,B06,SYBR,,Unkn-10,3.3_B,18.3767374695,166380745355.643
,B07,SYBR,,Unkn-18,5.1_A,18.0704030780683,203381425746.11
,B08,SYBR,,Unkn-18,5.1_A,18.3439407299478,169996407170.532
,B09,SYBR,,Unkn-26,10.4_B,18.1199170234,196886303113.61
,B10,SYBR,,Unkn-26,10.4_B,18.6191489735736,141936015334.464
,B11,SYBR,,Unkn-34,11.2_D,18.9734213938129,112521947585.626
,B12,SYBR,,Unkn-34,11.2_D,19.1371093318971,101073673908.415
,C01,SYBR,,Std-03,STD3,24.6102519734559,3000000000
,C02,SYBR,,Std-03,STD3,25.0069853903643,3000000000
,C03,SYBR,,Unkn-03,7.1_A,18.0766808357343,202546207603.944
,C04,SYBR,,Unkn-03,7.1_A,18.197972027294,187065872759.447
,C05,SYBR,,Unkn-11,14.5_C,17.9654187090115,217870566366.455
,C06,SYBR,,Unkn-11,14.5_C,18.0521552622425,205828795294.209
,C07,SYBR,,Unkn-19,7.5_D,18.4370379080877,159932435245.713
,C08,SYBR,,Unkn-19,7.5_D,18.3544793018254,168826100566.689
,C09,SYBR,,Unkn-27,10.5_D,18.077073454124,202494086184.698
,C10,SYBR,,Unkn-27,10.5_D,18.2931885745931,175747041671.279
,C11,SYBR,,Unkn-35,5.3_A,18.591987274259,144485772874.441
,C12,SYBR,,Unkn-35,5.3_A,19.2507028425275,93820965985.4563
,D01,SYBR,,Std-04,STD4,27.8547559159147,300000000
,D02,SYBR,,Std-04,STD4,27.6211018578427,300000000
,D03,SYBR,,Unkn-04,13.3_D,18.708788995552,133836203971.027
,D04,SYBR,,Unkn-04,13.3_D,18.527129070361,150761038184.246
,D05,SYBR,,Unkn-12,12.2_D,17.6864411999808,261588557176.428
,D06,SYBR,,Unkn-12,12.2_D,17.8671293938908,232369898664.705
,D07,SYBR,,Unkn-20,3.4_C,18.3554076829376,168723390949.799
,D08,SYBR,,Unkn-20,3.4_C,18.3240522052639,172227171618.473
,D09,SYBR,,Unkn-28,10.4_C,18.1788550937899,189424797761.82
,D10,SYBR,,Unkn-28,10.4_C,18.3275709294974,171830379076.048
,D11,SYBR,,Unkn-36,15.1_B,17.8885936163266,229123358915.187
,D12,SYBR,,Unkn-36,15.1_B,18.1563795320014,192236231720.316
,E03,SYBR,,Unkn-05,8.1_C,18.4099044065796,162802473630.945
,E04,SYBR,,Unkn-05,8.1_C,18.3888822543459,165061447992.868
,E05,SYBR,,Unkn-13,3.1_A,18.7569517871952,129676857521.862
,E06,SYBR,,Unkn-13,3.1_A,18.6273773495063,141172507698.646
,E07,SYBR,,Unkn-21,13.2_C,18.2272822753642,183506069171.369
