,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7226.27114091256,7543.89574428944,7010.61879205931,7338.98539121926,7306.99568090759,7374.45670173443,7497.13606410895,7197.2141455056,7467.50700538175,7645.61133413995,7393.56494762332,7554.59962010261,7054.20413179078,7694.20789004414,7787.45504024935,7639.42654778771,7728.95848235234,7783.49779582412,7766.72176051479,7650.66145231709,7419.05380843439,7481.33034548998,7294.11888113166,7218.61724392491,7392.19087377277,7563.33857775586,7553.65959144614,7695.37620710037,7551.32754737381,7882.74097699826,7761.21331926005,7764.07647344251,7168.08202901673,7479.51710833852,6811.60653752697,6754.53356119284,7267.60572016666,7556.32137016151,7794.25431771124,7776.34990767816,7714.60701488902,7992.99973389228,7774.13945834245,7785.02971220231,7509.56583397819,7466.30143333497,7509.54314706222,7648.63116286799,7354.68396041056,7982.12417040208,7779.68786258508,7323.95213259367,7798.27600977221,7884.53848636859,7486.00808311923,7881.22091995461,7611.70960182918,7843.18460260105,7476.85259743681,7333.98329939073,7736.68613976892,7560.11646635969,7614.65891313944,7624.5722453497,7377.61166024725,7523.36252144508,7437.18782376708,7580.58347336966,7478.23049977301,7718.6672842583,7356.4730491578,7634.86698178265,7496.21362812034,7116.43822731055,5584.87772308683,6124.28912689777,7080.93276270015,7097.12423008544,7366.3648549223,7161.2182646207,7431.77705080107,7285.40437216496,8028.21368183854,7388.68917829842,7454.59438866077,7119.75230713969
,60.5,7187.46201176591,7496.50942395006,6966.83305039148,7292.63467120467,7260.98757848765,7324.74335760742,7449.0100570146,7151.76280920783,7420.67012747976,7595.08298223873,7347.29454656568,7505.80913368241,7010.19442667457,7644.21963847746,7736.67516676468,7591.33844350977,7678.01282206157,7733.12103265902,7716.79570809972,7603.28345945728,7375.90133766213,7439.22668418433,7246.4080139504,7170.14722878381,7344.66177828201,7515.4374599822,7509.36268265418,7649.34849039679,7508.0216379298,7829.93046115135,7713.33913274279,7715.36630217049,7129.94693551639,7437.40704198953,6758.38909832887,6703.99554947254,7220.86948163271,7506.97545598296,7744.0674788967,7726.22962223848,7665.37963435565,7944.95912397551,7725.38916975066,7734.1347514081,7464.37270171013,7424.79670911848,7460.12736461875,7599.05482518984,7315.78913071314,7931.61677940297,7729.23577786834,7284.29571207962,7746.56732244712,7835.54810457995,7442.91224696513,7831.69781824653,7562.8966518803,7790.87060742296,7432.38982573438,7296.21982463172,7688.0119630768,7510.86283752223,7573.14520974957,7579.18798783016,7327.5335449643,7473.01391765235,7390.10347643452,7534.48175274691,7432.75215415097,7668.82464177015,7311.48407867906,7585.59787437752,7448.88789843718,7077.09834222816,5543.52504871692,6071.80756043995,7034.65617939055,7053.10748260966,7320.78420592529,7119.59102706551,7383.75153887396,7239.42568518929,7994.80060806533,7342.33155498927,7407.96386931448,7082.9072413854
,61,7148.65288261925,7449.12310361067,6923.04730872365,7246.28395119008,7214.97947606772,7275.03001348042,7400.88404992025,7106.31147291005,7373.83324957777,7544.5546303375,7301.02414550804,7457.01864726221,6966.18472155836,7594.23138691077,7685.89529328002,7543.25033923182,7627.0671617708,7682.74426949392,7666.86965568465,7555.90546659747,7332.74886688986,7397.12302287867,7198.69714676915,7121.6772136427,7297.13268279126,7467.53634220853,7465.06577386223,7603.32077369321,7464.7157284858,7777.11994530444,7665.46494622553,7666.65613089845,7091.81184201605,7395.29697564052,6705.17165913078,6653.45753775224,7174.13324309875,7457.6295418044,7693.88064008217,7676.10933679881,7616.15225382229,7896.91851405874,7676.63888115887,7683.2397906139,7419.17956944206,7383.291984902,7410.71158217529,7549.47848751169,7276.89430101571,7881.10938840385,7678.7836931516,7244.63929156557,7694.85863512203,7786.55772279131,7399.81641081103,7782.17471653846,7514.08370193142,7738.55661224487,7387.92705403195,7258.45634987271,7639.33778638467,7461.60920868477,7531.6315063597,7533.80373031061,7277.45542968136,7422.66531385963,7343.01912910196,7488.38003212415,7387.27380852894,7618.98199928201,7266.49510820033,7536.3287669724,7401.56216875401,7037.75845714576,5502.17237434701,6019.32599398212,6988.37959608095,7009.09073513389,7275.20355692828,7077.96378951031,7335.72602694685,7193.44699821362,7961.38753429213,7295.97393168012,7361.33334996819,7046.0621756311
,61.5,7109.8437534726,7401.73678327128,6879.26156705581,7199.93323117549,7168.97137364778,7225.31666935341,7352.7580428259,7060.86013661228,7326.99637167578,7494.02627843628,7254.7537444504,7408.22816084201,6922.17501644215,7544.24313534409,7635.11541979536,7495.16223495388,7576.12150148003,7632.36750632882,7616.94360326958,7508.52747373766,7289.5963961176,7355.01936157302,7150.98627958789,7073.20719850159,7249.6035873005,7419.63522443487,7420.76886507028,7557.29305698963,7421.4098190418,7724.30942945753,7617.59075970828,7617.94595962643,7053.6767485157,7353.18690929152,6651.95421993269,6602.91952603194,7127.3970045648,7408.28362762585,7643.69380126764,7625.98905135914,7566.92487328893,7848.87790414197,7627.88859256709,7632.34482981969,7373.986437174,7341.78726068551,7361.29579973182,7499.90214983355,7237.99947131829,7830.60199740474,7628.33160843486,7204.98287105152,7643.14994779694,7737.56734100266,7356.72057465693,7732.65161483038,7465.27075198254,7686.24261706677,7343.46428232953,7220.6928751137,7590.66360969254,7412.35557984731,7490.11780296984,7488.41947279106,7227.37731439842,7372.31671006691,7295.9347817694,7442.27831150139,7341.7954629069,7569.13935679387,7221.5061377216,7487.05965956727,7354.23643907085,6998.41857206336,5460.8196999771,5966.8444275243,6942.10301277135,6965.07398765811,7229.62290793127,7036.33655195511,7287.70051501974,7147.46831123795,7927.97446051892,7249.61630837097,7314.7028306219,7009.21710987681
,62,7071.03462432595,7354.3504629319,6835.47582538798,7153.58251116089,7122.96327122784,7175.60332522641,7304.63203573155,7015.40880031451,7280.15949377379,7443.49792653505,7208.48334339277,7359.43767442181,6878.16531132594,7494.2548837774,7584.3355463107,7447.07413067594,7525.17584118926,7581.99074316373,7567.01755085451,7461.14948087785,7246.44392534533,7312.91570026736,7103.27541240663,7024.73718336048,7202.07449180975,7371.7341066612,7376.47195627832,7511.26534028605,7378.1039095978,7671.49891361062,7569.71657319102,7569.2357883544,7015.54165501536,7311.07684294252,6598.73678073459,6552.38151431163,7080.66076603084,7358.9377134473,7593.5069624531,7575.86876591947,7517.69749275557,7800.8372942252,7579.1383039753,7581.44986902549,7328.79330490593,7300.28253646903,7311.88001728836,7450.3258121554,7199.10464162086,7780.09460640562,7577.87952371812,7165.32645053748,7591.44126047185,7688.57695921402,7313.62473850283,7683.1285131223,7416.45780203366,7633.92862188868,7299.0015106271,7182.92940035469,7541.98943300041,7363.10195100984,7448.60409957997,7443.03521527152,7177.29919911547,7321.96810627419,7248.85043443683,7396.17659087863,7296.31711728486,7519.29671430573,7176.51716724286,7437.79055216215,7306.91070938769,6959.07868698096,5419.46702560719,5914.36286106647,6895.82642946174,6921.05724018234,7184.04225893427,6994.70931439992,7239.67500309263,7101.48962426228,7894.56138674571,7203.25868506183,7268.07231127561,6972.37204412251
,62.5,7032.22549517935,7306.96414259245,6791.69008372017,7107.23179114628,7076.95516880788,7125.88998109941,7256.50602863712,6969.95746401668,7233.32261587187,7392.96957463382,7162.21294233512,7310.6471880016,6834.15560620966,7444.26663221074,7533.55567282596,7398.98602639798,7474.23018089855,7531.61397999858,7517.09149843938,7413.77148801798,7203.29145457305,7270.81203896171,7055.5645452253,6976.26716821937,7154.54539631898,7323.83298888753,7332.17504748637,7465.23762358246,7334.7980001538,7618.68839776371,7521.84238667382,7520.52561708236,6977.4065615149,7268.96677659361,6545.51934153651,6501.84350259125,7033.92452749686,7309.59179926878,7543.32012363851,7525.74848047983,7468.47011222223,7752.79668430842,7530.3880153835,7530.55490823133,7283.60017263779,7258.7778122526,7262.46423484492,7400.74947447723,7160.20981192347,7729.58721540646,7527.42743900136,7125.67003002346,7539.73257314666,7639.58657742535,7270.52890234872,7633.60541141423,7367.64485208485,7581.61462671058,7254.5387389246,7145.16592559565,7493.31525630824,7313.84832217244,7407.09039619005,7397.65095775199,7127.22108383253,7271.61950248143,7201.76608710422,7350.07487025591,7250.83877166279,7469.45407181761,7131.5281967642,7388.52144475702,7259.58497970461,6919.73880189857,5378.11435123732,5861.88129460858,6849.54984615212,6877.0404927066,7138.46160993725,6953.08207684474,7191.64949116543,7055.51093728662,7861.14831297251,7156.90106175272,7221.44179192929,6935.52697836825
,63,6993.4163660327,7259.57782225306,6747.90434205233,7060.88107113169,7030.94706638794,7076.17663697241,7208.38002154277,6924.50612771891,7186.48573796989,7342.4412227326,7115.94254127748,7261.8567015814,6790.14590109345,7394.27838064406,7482.7757993413,7350.89792212004,7423.28452060778,7481.23721683348,7467.16544602431,7366.39349515817,7160.13898380079,7228.70837765605,7007.85367804404,6927.79715307826,7107.01630082823,7275.93187111387,7287.87813869442,7419.20990687888,7291.4920907098,7565.8778819168,7473.96820015656,7471.81544581033,6939.27146801456,7226.85671024461,6492.30190233842,6451.30549087094,6987.18828896291,7260.24588509023,7493.13328482397,7475.62819504016,7419.24273168887,7704.75607439165,7481.63772679172,7479.65994743712,7238.40704036973,7217.27308803611,7213.04845240145,7351.17313679908,7121.31498222605,7679.07982440734,7476.97535428462,7086.01360950941,7488.02388582157,7590.59619563671,7227.43306619462,7584.08230970615,7318.83190213596,7529.30063153249,7210.07596722218,7107.40245083664,7444.64107961612,7264.59469333498,7365.57669280018,7352.26670023245,7077.14296854959,7221.27089868871,7154.68173977166,7303.97314963315,7205.36042604076,7419.61142932947,7086.53922628546,7339.25233735189,7212.25925002145,6880.39891681617,5336.7616768674,5809.39972815076,6803.27326284252,6833.02374523083,7092.88096094024,6911.45483928955,7143.62397923832,7009.53225031095,7827.7352391993,7110.54343844357,7174.811272583,6898.68191261396
,63.5,6955.97020971154,7213.18354812517,6705.3942106443,7015.26258471724,6985.56078783895,7027.57039354036,7161.32697829194,6880.6332365915,7140.28392351347,7293.08011456064,7070.61769880815,7214.98636501386,6747.31033973582,7345.63651919247,7433.81614679225,7304.21215585309,7373.43323425994,7432.3080433639,7418.38524671652,7320.52296941325,7118.28233182491,7188.05575496995,6962.75451437684,6881.86307861041,7060.94173896314,7229.74406143872,7245.73120158194,7374.69474072516,7249.49594728191,7514.86680678974,7427.63774810586,7424.3421997705,6902.69761700823,7186.00586046282,6443.74866975469,6405.48258609517,6942.28056874223,7213.02123340688,7445.26897094877,7427.53876689676,7371.94541368431,7658.33127413023,7433.91819755817,7430.22728341361,7194.49355847015,7177.23239870855,7165.14373423005,7303.60685693341,7084.36796583126,7629.88535919821,7427.99097292437,7047.01608066334,7437.65147802207,7543.09219750388,7185.77277619445,7535.86507145211,7271.54938772324,7478.82237532088,7167.59399490076,7073.97175986858,7397.69243050168,7216.95583852405,7323.24513983545,7308.73546855322,7029.08006833842,7172.61358155423,7109.1593240684,7259.50054017425,7160.88425574349,7371.18015518326,7043.27072493252,7290.82580383628,7166.37011136023,6842.91165823172,5301.99598931713,5762.41925878231,6758.48089079371,6790.6101172429,7048.70372928298,6871.06700428527,7096.77242296328,6964.84676384355,7795.83646592975,7064.55107944732,7128.97289890729,6863.54002865681
,64,6920.12403860961,7167.23404552654,6663.89979801891,6970.53540316257,6941.46837781265,6979.83723301411,7114.81818909252,6837.62936172752,7095.02272529571,7245.08298715629,7026.41920943729,7169.38893976129,6705.54174489345,7298.59926334944,7386.40853455728,7258.63598292221,7324.28825496317,7384.72136354264,7370.55227027453,7275.96618745892,7077.40186009903,7148.72147932773,6919.88356977172,6838.25063645342,7016.06578203359,7184.9336080362,7204.48650836776,7331.77948479976,7209.29763709382,7466.15825366393,7382.62957027062,7378.29620434258,6867.61282931926,7146.67462430863,6398.93919649645,6363.33108140382,6898.34207010602,7167.32515307605,7398.98104037294,7380.84082890582,7325.57725412613,7613.17868434684,7387.79789243061,7382.27097519858,7151.67737395266,7138.38273264735,7118.3067039375,7257.38994825679,7048.74541932238,7582.15348465894,7380.91552986339,7008.96878316747,7389.53047350219,7497.73341538705,7145.83722195135,7489.82856555322,7225.91240851259,7429.97761804733,7126.92911324306,7044.78740658249,7352.96344132079,7171.23083445256,7281.11474373393,7267.25949226414,6982.04146779124,7125.76617936422,7065.41964083364,7216.94803864424,7117.81939160959,7324.56536380834,7001.85074985776,7244.20714822028,7122.40650963049,6807.25459569036,5272.86073011337,5720.79953751054,6714.93099686924,6749.18067372189,7005.87409440713,6832.08176905774,7051.73574254895,6921.51372816136,7766.33785070979,7019.55061388814,7083.98703167502,6829.77336026506
,64.5,6885.7718951207,7122.36515083512,6622.77872017913,6926.83727068537,6898.49583121326,6933.03443679181,7068.95643587487,6795.8448384599,7050.84160340439,7198.55382029674,6982.85788571968,7124.38642900743,6664.56014174995,7252.87570727372,7339.9505193444,7214.08987060217,7275.5494706971,7338.76094890387,7323.8768288179,7232.78753143893,7037.96041000884,7110.55708191711,6878.71937212692,6796.44900016713,6972.24035627683,7141.1246520265,7164.14258207255,7290.36103055028,7170.77990292327,7419.07901618286,7338.73938489368,7332.7474177959,6833.96950860937,7108.74802322378,6357.4860516372,6325.0748078632,6855.46771842229,7122.76392194817,7353.8440230258,7335.39251843805,7280.48567761238,7568.83608823472,7343.02306503671,7335.85625531731,7110.55555093875,7100.08778548042,7072.16017111372,7212.01425392979,7013.95960746018,7535.43221910351,7335.03088753149,6972.35897438835,7342.72021216751,7453.10791672763,7106.85237552046,7444.56295537609,7180.36063771807,7381.62905511938,7086.95776622002,7018.56818363643,7309.27878084208,7126.27158847378,7240.04447565873,7226.88368243349,6935.37631082568,7078.9935058813,7021.44405923011,7174.74619786252,7075.20882233238,7278.43878139753,6961.13458071364,7198.18960913979,7078.83529802808,6772.07613378291,5248.52191940107,5683.06507894562,6671.42523161668,6707.49231916465,6962.64085499196,6792.74606374736,7006.84257764897,6878.49222337207,7737.13401928525,6974.0925051731,7038.73592473369,6795.99356878878
