,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A03,SYBR,,Unkn-01,7.2_D,77
,A04,SYBR,,Unkn-01,7.2_D,77
,A05,SYBR,,Unkn-09,2.3_D,77.5
,A06,SYBR,,Unkn-09,2.3_D,77.5
,A07,SYBR,,Unkn-17,5.4_C,75
,A08,SYBR,,Unkn-17,5.4_C,75
,A09,SYBR,,Unkn-25,8.1_B,77
,A10,SYBR,,Unkn-25,8.1_B,77
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B03,SYBR,,Unkn-02,10.2_A,77
,B04,SYBR,,Unkn-02,10.2_A,77
,B05,SYBR,,Unkn-10,9.3_C,77
,B06,SYBR,,Unkn-10,9.3_C,77
,B07,SYBR,,Unkn-18,10.2_D,77
,B08,SYBR,,Unkn-18,10.2_D,77
,B09,SYBR,,Unkn-26,13.4_C,77
,B10,SYBR,,Unkn-26,13.4_C,77
,B11,SYBR,,Unkn-34,10.5_B,77
,B12,SYBR,,Unkn-34,10.5_B,77
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C03,SYBR,,Unkn-03,7.5_A,77
,C04,SYBR,,Unkn-03,7.5_A,77
,C05,SYBR,,Unkn-11,10.2_B,77
,C06,SYBR,,Unkn-11,10.2_B,75.5
,C07,SYBR,,Unkn-19,7.2_B,77
,C08,SYBR,,Unkn-19,7.2_B,77
,C09,SYBR,,Unkn-27,14.5_B,77
,C10,SYBR,,Unkn-27,14.5_B,77
,C11,SYBR,,Unkn-35,11.2_C,77.5
,C12,SYBR,,Unkn-35,11.2_C,77.5
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D03,SYBR,,Unkn-04,13.1_A,77
,D04,SYBR,,Unkn-04,13.1_A,77
,D05,SYBR,,Unkn-12,17.5_D,77
,D06,SYBR,,Unkn-12,17.5_D,77
,D07,SYBR,,Unkn-20,6.2_A,77.5
,D08,SYBR,,Unkn-20,6.2_A,77.5
,D09,SYBR,,Unkn-28,5.5_D,75
,D10,SYBR,,Unkn-28,5.5_D,75
,D11,SYBR,,Unkn-36,11.2_A,77
,D12,SYBR,,Unkn-36,11.2_A,77
,E03,SYBR,,Unkn-05,17.4_D,77
,E04,SYBR,,Unkn-05,17.4_D,77
,E05,SYBR,,Unkn-13,14.5_A,77
,E06,SYBR,,Unkn-13,14.5_A,77
,E07,SYBR,,Unkn-21,15.1_D,77
,E08,SYBR,,Unkn-21,15.1_D,76.5
,E09,SYBR,,Unkn-29,5.1_D,77
,E10,SYBR,,Unkn-29,5.1_D,77
,E11,SYBR,,Unkn-37,17.3_B,77
,E12,SYBR,,Unkn-37,17.3_B,77
,F03,SYBR,,Unkn-06,7.4_A,77
,F04,SYBR,,Unkn-06,7.4_A,77
,F07,SYBR,,Unkn-22,7.3_B,77
,F08,SYBR,,Unkn-22,7.3_B,77
,F09,SYBR,,Unkn-30,5.3_C,77
,F10,SYBR,,Unkn-30,5.3_C,77
,F11,SYBR,,Unkn-38,17.5_A,77.5
,F12,SYBR,,Unkn-38,17.5_A,77.5
,G03,SYBR,,Unkn-07,3.1_D,77
,G03,SYBR,,Unkn-07,3.1_D,70
,G04,SYBR,,Unkn-07,3.1_D,77
,G05,SYBR,,Unkn-15,13.4_A,77
,G06,SYBR,,Unkn-15,13.4_A,77
,G07,SYBR,,Unkn-23,12.2_B,77
,G08,SYBR,,Unkn-23,12.2_B,77
,G09,SYBR,,Unkn-31,13.1_C,77
,G10,SYBR,,Unkn-31,13.1_C,77
,G11,SYBR,,Unkn-39,8.2_C,77
,G12,SYBR,,Unkn-39,8.2_C,77
,H01,SYBR,,NTC-01,NEG,78
,H01,SYBR,,NTC-01,NEG,70
,H02,SYBR,,NTC-01,NEG,70
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,17.3_C,77
,H04,SYBR,,Unkn-08,17.3_C,77
,H05,SYBR,,Unkn-16,15.2_D,77
,H06,SYBR,,Unkn-16,15.2_D,77
,H07,SYBR,,Unkn-24,6.2_C,77
,H08,SYBR,,Unkn-24,6.2_C,77
,H09,SYBR,,Unkn-32,5.2_B,77
,H10,SYBR,,Unkn-32,5.2_B,77
,H11,SYBR,,Unkn-40,15.2_B,72.5
,H11,SYBR,,Unkn-40,15.2_B,76.5
,H12,SYBR,,Unkn-40,15.2_B,77
