,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,,
A,Sample,STD1,STD1,7.2_D,7.2_D,2.3_D,2.3_D,5.4_C,5.4_C,8.1_B,8.1_B,,
A,Cq,17.1737571131858,17.0111215931445,17.8478237527198,17.9532777535568,17.6005043553681,17.5582341603611,17.7540564521961,18.1724992471811,17.3873815669445,17.3093303651004,,
A,copy number,300000000000,300000000000,203652496305.416,189265089844.417,241832572805.873,249040062969.262,217361522490.82,162526279510.884,280428094827.242,296054962427.429,,
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,10.2_A,10.2_A,9.3_C,9.3_C,10.2_D,10.2_D,13.4_C,13.4_C,10.5_B,10.5_B
B,Cq,20.6886831199136,20.6464391516684,17.6848862532234,17.5605375362633,17.3743865560619,17.3180946890018,16.8588483359876,16.9224339246911,17.1355802269658,17.0989022137674,17.3694406067869,17.4108662955328
B,copy number,30000000000,30000000000,228062445300.466,248641837740.386,282971422786.243,294257700501.193,404854336179.674,387358206720.16,334040358684.95,342662045006.388,283945471837.06,275889608948.457
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,7.5_A,7.5_A,10.2_B,10.2_B,7.2_B,7.2_B,14.5_B,14.5_B,11.2_C,11.2_C
C,Cq,24.4905359460078,24.2811955730049,17.997887633564,17.7980574928546,17.551033358975,17.3394175248143,17.3851585565761,17.4762599769926,17.2336912002708,17.0743409122107,17.1106731268062,17.3452929174486
C,copy number,3000000000,3000000000,183489039735.123,210817174563.769,250289110786.004,289930549655.713,280861546443.373,263635411408.607,312029296024.32,348559577619.09,339871148671.633,288749448864.651
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,13.1_A,13.1_A,17.5_D,17.5_D,6.2_A,6.2_A,5.5_D,5.5_D,11.2_A,11.2_A
D,Cq,26.9438556934162,26.8565545056268,18.3154561089775,18.2374718329504,17.973958860044,17.8556544393501,17.5872718368393,17.9165091809955,17.4658694024536,17.1638212746968,17.7158094508847,17.9709611777355
D,copy number,300000000,300000000,147159540856.336,155352788787.583,186565050439.96,202547525222.225,244066131606.69,194162297052.29,265545502351.471,327550006829.867,223214882943.62,186954015346.483
E,Content,,,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,,,17.4_D,17.4_D,14.5_A,14.5_A,15.1_D,15.1_D,5.1_D,5.1_D,17.3_B,17.3_B
E,Cq,,,18.03785325565,18.1940593482809,17.9299456202449,17.6246570962443,17.6275398528848,17.4894976219887,17.1254946106351,16.9657074734492,18.152373874011,18.1077812893323
E,copy number,,,178464187152.267,160109884583.343,192358175734.104,237808325737.703,237332506072.591,261221834936.141,336389266973.759,375885517242.049,164814772240.165,170000932427.049
F,Content,,,Unkn-6,Unkn-6,,,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,,,7.4_A,7.4_A,,,7.3_B,7.3_B,5.3_C,5.3_C,17.5_A,17.5_A
F,Cq,,,17.8276156629032,18.2290958018594,,,17.9191990873537,18.0133909280183,18.3284273549777,18.1786168798122,18.2421200563785,18.0328556951088
F,copy number,,,206531946102.678,156259489200.646,,,193799771603.593,181523239112.549,145839288839.862,161836950504.447,154851893248.834,179084921138.201
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,3.1_D,3.1_D,13.4_A,13.4_A,12.2_B,12.2_B,13.1_C,13.1_C,8.2_C,8.2_C
G,Cq,,,18.5065436287457,18.978252234815,18.0170006935896,17.8264938037224,17.6824172449876,17.691357401686,17.6717776457559,17.4642100386314,17.7013982265492,17.7170065717093
G,copy number,,,128863678136.901,92853709807.1985,181068555878.406,206692987318.245,228453998750.67,227039384578.902,230149009232.085,265851820782.467,225461050878.981,223029306549.357
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,17.3_C,17.3_C,15.2_D,15.2_D,6.2_C,6.2_C,5.2_B,5.2_B,15.2_B,15.2_B
H,Cq,28.9232755920805,28.1626103390958,18.0456986465266,18.0541328041396,17.6147147938401,17.4364321545929,18.1932926697437,18.4555452415722,17.9103549479838,17.6357385028504,17.5965780691001,17.5417898175772
H,copy number,NaN,NaN,177494068671.023,176457027665.616,239456704662.722,271032402401.533,160195192495.915,133511461630.906,194994271208.808,235984457819.202,242493161954.122,251901678045.204
