,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,STD1,17.1737571131858,300000000000
,A02,SYBR,,Std-01,STD1,17.0111215931445,300000000000
,A03,SYBR,,Unkn-01,7.2_D,17.8478237527198,203652496305.416
,A04,SYBR,,Unkn-01,7.2_D,17.9532777535568,189265089844.417
,A05,SYBR,,Unkn-09,2.3_D,17.6005043553681,241832572805.873
,A06,SYBR,,Unkn-09,2.3_D,17.5582341603611,249040062969.262
,A07,SYBR,,Unkn-17,5.4_C,17.7540564521961,217361522490.82
,A08,SYBR,,Unkn-17,5.4_C,18.1724992471811,162526279510.884
,A09,SYBR,,Unkn-25,8.1_B,17.3873815669445,280428094827.242
,A10,SYBR,,Unkn-25,8.1_B,17.3093303651004,296054962427.429
,B01,SYBR,,Std-02,STD2,20.6886831199136,30000000000
,B02,SYBR,,Std-02,STD2,20.6464391516684,30000000000
,B03,SYBR,,Unkn-02,10.2_A,17.6848862532234,228062445300.466
,B04,SYBR,,Unkn-02,10.2_A,17.5605375362633,248641837740.386
,B05,SYBR,,Unkn-10,9.3_C,17.3743865560619,282971422786.243
,B06,SYBR,,Unkn-10,9.3_C,17.3180946890018,294257700501.193
,B07,SYBR,,Unkn-18,10.2_D,16.8588483359876,404854336179.674
,B08,SYBR,,Unkn-18,10.2_D,16.9224339246911,387358206720.16
,B09,SYBR,,Unkn-26,13.4_C,17.1355802269658,334040358684.95
,B10,SYBR,,Unkn-26,13.4_C,17.0989022137674,342662045006.388
,B11,SYBR,,Unkn-34,10.5_B,17.3694406067869,283945471837.06
,B12,SYBR,,Unkn-34,10.5_B,17.4108662955328,275889608948.457
,C01,SYBR,,Std-03,STD3,24.4905359460078,3000000000
,C02,SYBR,,Std-03,STD3,24.2811955730049,3000000000
,C03,SYBR,,Unkn-03,7.5_A,17.997887633564,183489039735.123
,C04,SYBR,,Unkn-03,7.5_A,17.7980574928546,210817174563.769
,C05,SYBR,,Unkn-11,10.2_B,17.551033358975,250289110786.004
,C06,SYBR,,Unkn-11,10.2_B,17.3394175248143,289930549655.713
,C07,SYBR,,Unkn-19,7.2_B,17.3851585565761,280861546443.373
,C08,SYBR,,Unkn-19,7.2_B,17.4762599769926,263635411408.607
,C09,SYBR,,Unkn-27,14.5_B,17.2336912002708,312029296024.32
,C10,SYBR,,Unkn-27,14.5_B,17.0743409122107,348559577619.09
,C11,SYBR,,Unkn-35,11.2_C,17.1106731268062,339871148671.633
,C12,SYBR,,Unkn-35,11.2_C,17.3452929174486,288749448864.651
,D01,SYBR,,Std-04,STD4,26.9438556934162,300000000
,D02,SYBR,,Std-04,STD4,26.8565545056268,300000000
,D03,SYBR,,Unkn-04,13.1_A,18.3154561089775,147159540856.336
,D04,SYBR,,Unkn-04,13.1_A,18.2374718329504,155352788787.583
,D05,SYBR,,Unkn-12,17.5_D,17.973958860044,186565050439.96
,D06,SYBR,,Unkn-12,17.5_D,17.8556544393501,202547525222.225
,D07,SYBR,,Unkn-20,6.2_A,17.5872718368393,244066131606.69
,D08,SYBR,,Unkn-20,6.2_A,17.9165091809955,194162297052.29
,D09,SYBR,,Unkn-28,5.5_D,17.4658694024536,265545502351.471
,D10,SYBR,,Unkn-28,5.5_D,17.1638212746968,327550006829.867
,D11,SYBR,,Unkn-36,11.2_A,17.7158094508847,223214882943.62
,D12,SYBR,,Unkn-36,11.2_A,17.9709611777355,186954015346.483
,E03,SYBR,,Unkn-05,17.4_D,18.03785325565,178464187152.267
,E04,SYBR,,Unkn-05,17.4_D,18.1940593482809,160109884583.343
,E05,SYBR,,Unkn-13,14.5_A,17.9299456202449,192358175734.104
,E06,SYBR,,Unkn-13,14.5_A,17.6246570962443,237808325737.703
,E07,SYBR,,Unkn-21,15.1_D,17.6275398528848,237332506072.591
,E08,SYBR,,Unkn-21,15.1_D,17.4894976219887,261221834936.141
,E09,SYBR,,Unkn-29,5.1_D,17.1254946106351,336389266973.759
,E10,SYBR,,Unkn-29,5.1_D,16.9657074734492,375885517242.049
,E11,SYBR,,Unkn-37,17.3_B,18.152373874011,164814772240.165
,E12,SYBR,,Unkn-37,17.3_B,18.1077812893323,170000932427.049
,F03,SYBR,,Unkn-06,7.4_A,17.8276156629032,206531946102.678
,F04,SYBR,,Unkn-06,7.4_A,18.2290958018594,156259489200.646
,F07,SYBR,,Unkn-22,7.3_B,17.9191990873537,193799771603.593
,F08,SYBR,,Unkn-22,7.3_B,18.0133909280183,181523239112.549
,F09,SYBR,,Unkn-30,5.3_C,18.3284273549777,145839288839.862
,F10,SYBR,,Unkn-30,5.3_C,18.1786168798122,161836950504.447
,F11,SYBR,,Unkn-38,17.5_A,18.2421200563785,154851893248.834
,F12,SYBR,,Unkn-38,17.5_A,18.0328556951088,179084921138.201
,G03,SYBR,,Unkn-07,3.1_D,18.5065436287457,128863678136.901
,G04,SYBR,,Unkn-07,3.1_D,18.978252234815,92853709807.1985
,G05,SYBR,,Unkn-15,13.4_A,18.0170006935896,181068555878.406
,G06,SYBR,,Unkn-15,13.4_A,17.8264938037224,206692987318.245
,G07,SYBR,,Unkn-23,12.2_B,17.6824172449876,228453998750.67
,G08,SYBR,,Unkn-23,12.2_B,17.691357401686,227039384578.902
,G09,SYBR,,Unkn-31,13.1_C,17.6717776457559,230149009232.085
,G10,SYBR,,Unkn-31,13.1_C,17.4642100386314,265851820782.467
,G11,SYBR,,Unkn-39,8.2_C,17.7013982265492,225461050878.981
,G12,SYBR,,Unkn-39,8.2_C,17.7170065717093,223029306549.357
,H01,SYBR,,NTC-01,NEG,28.9232755920805,NaN
,H02,SYBR,,NTC-01,NEG,28.1626103390958,NaN
,H03,SYBR,,Unkn-08,17.3_C,18.0456986465266,177494068671.023
,H04,SYBR,,Unkn-08,17.3_C,18.0541328041396,176457027665.616
,H05,SYBR,,Unkn-16,15.2_D,17.6147147938401,239456704662.722
,H06,SYBR,,Unkn-16,15.2_D,17.4364321545929,271032402401.533
,H07,SYBR,,Unkn-24,6.2_C,18.1932926697437,160195192495.915
,H08,SYBR,,Unkn-24,6.2_C,18.4555452415722,133511461630.906
,H09,SYBR,,Unkn-32,5.2_B,17.9103549479838,194994271208.808
,H10,SYBR,,Unkn-32,5.2_B,17.6357385028504,235984457819.202
,H11,SYBR,,Unkn-40,15.2_B,17.5965780691001,242493161954.122
,H12,SYBR,,Unkn-40,15.2_B,17.5417898175772,251901678045.204
