,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,STD1,3660.16127443162,,Standard,Unassigned,False
,A02,SYBR,,Std-01,STD1,3816.08715219474,,Standard,Unassigned,False
,A03,SYBR,,Unkn-01,7.1_B,3539.5518153701,,Unknown,Unassigned,False
,A04,SYBR,,Unkn-01,7.1_B,3680.19759069131,,Unknown,Unassigned,False
,A05,SYBR,,Unkn-09,15.5_B,3642.66827163865,,Unknown,Unassigned,False
,A06,SYBR,,Unkn-09,15.5_B,3514.7808841766,,Unknown,Unassigned,False
,A07,SYBR,,Unkn-17,17.2_D,3760.50101910539,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-17,17.2_D,3692.77525377543,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-33,15.3_C,3866.8769450047,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-33,15.3_C,3725.80381700673,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,STD2,3542.72265848574,,Standard,Unassigned,False
,B02,SYBR,,Std-02,STD2,3842.43809691214,,Standard,Unassigned,False
,B03,SYBR,,Unkn-02,3.2_C,3592.097391371,,Unknown,Unassigned,False
,B04,SYBR,,Unkn-02,3.2_C,3925.07577577364,,Unknown,Unassigned,False
,B05,SYBR,,Unkn-10,8.2_B,3940.89212796665,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-10,8.2_B,3751.09033430785,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-18,6.5_D,3884.05454851065,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-18,6.5_D,4005.65016167572,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-26,3.2_A,3891.49033346751,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-26,3.2_A,3835.24949095686,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-34,17.4_C,3985.31879685108,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-34,17.4_C,3824.50531072464,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,STD3,3185.52995406643,,Standard,Unassigned,False
,C02,SYBR,,Std-03,STD3,3285.15913690665,,Standard,Unassigned,False
,C05,SYBR,,Unkn-11,11.1_B,3875.16090124685,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-11,11.1_B,4029.29156904312,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-19,9.6_C,4036.97289766045,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-19,9.6_C,3976.97996903911,,Unknown,Unassigned,False
,C09,SYBR,,Unkn-27,6.4_B,3887.15054997175,,Unknown,Unassigned,False
,C10,SYBR,,Unkn-27,6.4_B,3878.53692682118,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-35,12.6_D,3831.1124619421,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-35,12.6_D,3798.82570320105,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,STD4,1967.90200344663,,Standard,Unassigned,False
,D02,SYBR,,Std-04,STD4,2131.01795965866,,Standard,Unassigned,False
,D05,SYBR,,Unkn-12,10.3_B,3848.21622083913,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-12,10.3_B,3992.17326556428,,Unknown,Unassigned,False
,D07,SYBR,,Unkn-20,2.4_C,4051.97412653435,,Unknown,Unassigned,False
,D08,SYBR,,Unkn-20,2.4_C,4009.70523867361,,Unknown,Unassigned,False
,D09,SYBR,,Unkn-28,10.1_D,4071.065642236,,Unknown,Unassigned,False
,D10,SYBR,,Unkn-28,10.1_D,4115.00538136696,,Unknown,Unassigned,False
,E03,SYBR,,Unkn-05,2.3_A,3943.1428631579,,Unknown,Unassigned,False
,E04,SYBR,,Unkn-05,2.3_A,3952.74281856966,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-13,9.4_A,3911.43599395411,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-13,9.4_A,4111.34852031991,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-21,6.2_B,4121.06694779823,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-21,6.2_B,3885.00689834655,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-29,10.3_D,3986.08438167343,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-29,10.3_D,4160.03820802065,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-37,3.3_D,4025.97746794861,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-37,3.3_D,3920.76439357827,,Unknown,Unassigned,False
,F03,SYBR,,Unkn-06,11.4_C,3984.76126647367,,Unknown,Unassigned,False
,F04,SYBR,,Unkn-06,11.4_C,4088.41228711272,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-14,2.4_A,3812.74476758785,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-14,2.4_A,3972.66030753097,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-22,3.4_A,3905.11031564419,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-22,3.4_A,3888.89652178161,,Unknown,Unassigned,False
