,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Std-01,STD1,78,646.902261090802,65,93.5,
,A02,SYBR,,Std-01,STD1,78,676.895029440618,64.5,86,
,A03,SYBR,,Unkn-01,7.1_B,77.5,441.232579337657,64.5,93.5,
,A04,SYBR,,Unkn-01,7.1_B,77.5,459.772435548797,64.5,93.5,
,A05,SYBR,,Unkn-09,15.5_B,77.5,438.98901667503,65.5,95,
,A06,SYBR,,Unkn-09,15.5_B,77.5,428.221516698935,66,95,
,A07,SYBR,,Unkn-17,17.2_D,78,478.034358689774,66,91.5,
,A08,SYBR,,Unkn-17,17.2_D,78,471.986810261748,66,93.5,
,A11,SYBR,,Unkn-33,15.3_C,77.5,511.276883185272,65.5,93.5,
,A12,SYBR,,Unkn-33,15.3_C,77.5,476.170129908292,65,94,
,B01,SYBR,,Std-02,STD2,78,667.139942900945,65.5,86,
,B02,SYBR,,Std-02,STD2,78,708.551389924034,66,85,
,B03,SYBR,,Unkn-02,3.2_C,77.5,460.42848685269,66,93,
,B04,SYBR,,Unkn-02,3.2_C,77.5,505.709464273442,66,91,
,B05,SYBR,,Unkn-10,8.2_B,77.5,506.162923291722,65.5,94,
,B06,SYBR,,Unkn-10,8.2_B,78,485.894287097237,66,95,
,B07,SYBR,,Unkn-18,6.5_D,77.5,482.530596382334,66,95,
,B08,SYBR,,Unkn-18,6.5_D,77.5,499.078714038779,65.5,95,
,B09,SYBR,,Unkn-26,3.2_A,77.5,489.671726450523,65.5,93.5,
,B10,SYBR,,Unkn-26,3.2_A,77.5,494.47956503231,65,91.5,
,B11,SYBR,,Unkn-34,17.4_C,77.5,514.574587031922,65.5,86.5,
,B12,SYBR,,Unkn-34,17.4_C,77.5,489.575942520829,64.5,91,
,C01,SYBR,,Std-03,STD3,78,701.103435609272,66,83,
,C02,SYBR,,Std-03,STD3,78,732.708033149006,66,83,
,C05,SYBR,,Unkn-11,11.1_B,78,505.331565618516,64.5,95,
,C06,SYBR,,Unkn-11,11.1_B,78,521.100304841035,65.5,95,
,C07,SYBR,,Unkn-19,9.6_C,77.5,495.558793367102,66,94,
,C08,SYBR,,Unkn-19,9.6_C,77.5,492.082824880237,65,95,
,C09,SYBR,,Unkn-27,6.4_B,77.5,491.426102178298,64.5,91.5,
,C10,SYBR,,Unkn-27,6.4_B,77.5,496.240884166995,65,93,
,C11,SYBR,,Unkn-35,12.6_D,77.5,482.738623175412,65.5,95,
,C12,SYBR,,Unkn-35,12.6_D,77.5,464.502113696825,65,94,
,D01,SYBR,,Std-04,STD4,78,622.805023039049,73,86,
,D02,SYBR,,Std-04,STD4,78,675.804426002714,73.5,82.5,
,D05,SYBR,,Unkn-12,10.3_B,77.5,477.17872389448,65.5,94,
,D06,SYBR,,Unkn-12,10.3_B,77.5,499.903470196714,65,91.5,
,D07,SYBR,,Unkn-20,2.4_C,77.5,485.977937304796,65.5,95,
,D08,SYBR,,Unkn-20,2.4_C,77.5,481.970394352085,63.5,94,
,D09,SYBR,,Unkn-28,10.1_D,77.5,510.060554973578,65,94,
,D10,SYBR,,Unkn-28,10.1_D,77.5,511.532107917721,66,93.5,
,E03,SYBR,,Unkn-05,2.3_A,77.5,485.709439709099,65.5,95,
,E04,SYBR,,Unkn-05,2.3_A,77.5,486.993124659189,66,94,
,E05,SYBR,,Unkn-13,9.4_A,77.5,484.463331588066,65,95,
,E06,SYBR,,Unkn-13,9.4_A,77.5,507.019985750559,65.5,95,
,E07,SYBR,,Unkn-21,6.2_B,77.5,501.593182061164,64.5,95,
,E08,SYBR,,Unkn-21,6.2_B,77.5,479.035964640118,65.5,95,
,E09,SYBR,,Unkn-29,10.3_D,77.5,501.337217573479,65.5,95,
,E10,SYBR,,Unkn-29,10.3_D,77.5,514.991370675549,65.5,94,
,E11,SYBR,,Unkn-37,3.3_D,77.5,496.405727590316,66,95,
,E12,SYBR,,Unkn-37,3.3_D,77.5,476.745721009225,65.5,94,
,F03,SYBR,,Unkn-06,11.4_C,77.5,503.69764875108,65.5,94,
,F04,SYBR,,Unkn-06,11.4_C,77.5,517.783392889143,65.5,95,
,F05,SYBR,,Unkn-14,2.4_A,77.5,466.348163555783,66,94,
,F06,SYBR,,Unkn-14,2.4_A,77.5,490.333497639113,65,95,
,F07,SYBR,,Unkn-22,3.4_A,77.5,495.827545092511,65,95,
,F08,SYBR,,Unkn-22,3.4_A,77.5,498.488580644934,65,92.5,
,F09,SYBR,,Unkn-30,12.4_D,77.5,515.340639800482,65.5,94,
,F10,SYBR,,Unkn-30,12.4_D,77.5,477.743860605034,65,95,
,F11,SYBR,,Unkn-38,7.1_C,77.5,479.876853508385,66.5,95,
,F12,SYBR,,Unkn-38,7.1_C,77.5,517.288903012838,65.5,94,
,G03,SYBR,,Unkn-07,9.2_A,77.5,472.601233209932,66,94,
,G04,SYBR,,Unkn-07,9.2_A,77.5,488.1042328874,65,94,
,G05,SYBR,,Unkn-15,11.3_D,77.5,449.521665570543,64.5,95,
,G06,SYBR,,Unkn-15,11.3_D,77.5,483.427194124054,65.5,95,
,G07,SYBR,,Unkn-23,12.5_C,77.5,454.059221438842,65.5,91.5,
,G08,SYBR,,Unkn-23,12.5_C,77.5,479.200048945669,65.5,95,
,G09,SYBR,,Unkn-31,12.6_B,77.5,484.470572827762,65.5,94,
,G10,SYBR,,Unkn-31,12.6_B,77.5,477.300785052607,65.5,95,
,G11,SYBR,,Unkn-39,6.4_D,77.5,483.085116437074,65.5,94,
,G12,SYBR,,Unkn-39,6.4_D,77.5,449.990897006517,65.5,95,
,H01,SYBR,,NTC-01,NEG,78,504.176427621125,73.5,83.5,
,H02,SYBR,,NTC-01,NEG,78,522.960843981373,73.5,82,
,H03,SYBR,,Unkn-08,13.4_B,77.5,436.087033727797,66,90.5,
,H04,SYBR,,Unkn-08,13.4_B,77.5,453.093282311155,65.5,94,
,H05,SYBR,,Unkn-16,13.1_D,77.5,482.652709898025,65.5,95,
,H06,SYBR,,Unkn-16,13.1_D,77.5,482.120822741758,66,91.5,
,H07,SYBR,,Unkn-24,11.1_A,77.5,460.911760405901,65.5,91,
,H08,SYBR,,Unkn-24,11.1_A,77.5,460.533871605224,65.5,93,
,H09,SYBR,,Unkn-32,12.6_A,77.5,450.296273899377,67,95,
,H10,SYBR,,Unkn-32,12.6_A,77.5,461.73028995722,66,93,
,H11,SYBR,,Unkn-40,7.2_C,77.5,497.28002216371,64.5,94,
,H12,SYBR,,Unkn-40,7.2_C,77.5,464.603515453568,65,93.5,
