,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7332.39963951743,7564.65729158618,7229.16519059265,7459.32748762713,7378.38940512723,7213.83267397859,7503.38419322158,7412.60018415399,7614.87178944678,7410.88958628888,7268.27837467744,7661.36821253253,7304.93346609198,7733.4853555451,7781.52013875112,7506.98261051874,7691.36274818427,7843.98274575831,7711.62887372548,7610.24278168283,7782.83245609375,7564.08748689799,7374.79588838068,7596.35037583292,7650.61390462595,7870.23143373598,7909.95905945928,7814.42383893872,7688.02447540532,7668.5957079993,7608.97466591746,7558.46622597301,6462.07381832532,6805.92949907025,7604.83768653654,7819.92695668249,7933.04324648433,7850.73198486833,7909.57267516725,7975.82719632415,7745.94817482752,7745.55344688666,7703.95109191355,7950.80336081282,7963.9899790281,7637.70063919416,7835.82406745367,8012.50686684465,7822.14494728993,7698.60894154269,7757.54621457992,7897.52303909166,7546.4450057144,7737.68226540707,7647.36463485942,7625.36781592034,8028.99952760838,7590.35180840711,7405.33595333713,7774.55211674912,7391.98100777176,7636.32468657865,7397.04768738436,7775.33889414654,7547.5460014431,7840.57641854793,7681.85536112527,7654.56168251808,7704.57865866946,7327.47421202786,5573.08640720172,5696.98314487746,6966.9961948876,7229.96303356702,7436.50418860132,7439.48867026573,7463.21621694138,7453.52119566094,8200.16950378809,7501.62656470028,7657.17547884511,7248.48246717786
,60.5,7292.97931811354,7519.1931774652,7182.92994507267,7411.80146972972,7329.78979586151,7168.14046599876,7455.6772857494,7365.00546861079,7568.4840136928,7370.2830083834,7225.76338740152,7611.59060954435,7256.70955279682,7682.9990991532,7731.66068158364,7460.14182556338,7637.1544049139,7791.49157967472,7663.11092672543,7564.2071965253,7732.82620489596,7524.09736815011,7325.82232085239,7542.37619696485,7602.5644131604,7820.5437675979,7857.83427834035,7766.6043545632,7646.10353138436,7624.90879072791,7564.65433025031,7515.63798189392,6409.87940842765,6745.48953358922,7556.99653491226,7777.21660512015,7881.50350398092,7813.09991543205,7859.207984582,7923.56478508493,7694.4388168659,7695.6498230464,7651.14175414814,7897.88983456368,7912.37841779934,7590.35943784967,7790.19974723858,7962.20476610144,7774.15848568945,7654.10335883737,7705.23493713716,7845.59344491155,7494.26991329305,7688.18089704792,7599.99268755553,7577.79352567288,7975.97383678336,7545.79584199003,7365.45740021102,7729.37304635206,7344.64770897832,7585.93825982397,7349.98495800221,7725.01049442944,7501.2008943178,7789.12191495657,7633.30746010708,7605.21737831413,7654.60839420075,7287.56946007212,5521.60500991323,5639.6250451073,6923.56859612642,7183.47131829832,7388.56836138427,7392.13319805468,7415.89783753118,7405.62262553057,8165.95545339863,7451.5963148616,7607.80886991659,7211.82807121424
,61,7253.55899670966,7473.72906334421,7136.69469955268,7364.27545183232,7281.19018659579,7122.44825801893,7407.97037827723,7317.41075306758,7522.09623793882,7329.67643047792,7183.2484001256,7561.81300655617,7208.48563950166,7632.5128427613,7681.80122441615,7413.30104060802,7582.94606164354,7739.00041359112,7614.59297972539,7518.17161136776,7682.81995369818,7484.10724940223,7276.8487533241,7488.40201809678,7554.51492169485,7770.85610145981,7805.70949722141,7718.78487018769,7604.1825873634,7581.22187345653,7520.33399458315,7472.80973781483,6357.68499852999,6685.04956810819,7509.15538328798,7734.50625355781,7829.96376147752,7775.46784599577,7808.84329399675,7871.30237384571,7642.92945890429,7645.74619920613,7598.33241638272,7844.97630831454,7860.76685657058,7543.01823650518,7744.57542702348,7911.90266535823,7726.17202408896,7609.59777613204,7652.9236596944,7793.66385073144,7442.09482087171,7638.67952868877,7552.62074025163,7530.21923542541,7922.94814595833,7501.23987557295,7325.5788470849,7684.19397595501,7297.31441018487,7535.5518330693,7302.92222862006,7674.68209471235,7454.85578719249,7737.66741136521,7584.75955908889,7555.87307411018,7604.63812973204,7247.66470811637,5470.12361262475,5582.26694533715,6880.14099736525,7136.97960302962,7340.63253416722,7344.77772584363,7368.57945812097,7357.7240554002,8131.74140300918,7401.56606502292,7558.44226098808,7175.17367525061
,61.5,7214.13867530578,7428.26494922323,7090.4594540327,7316.74943393492,7232.59057733007,7076.75605003911,7360.26347080505,7269.81603752438,7475.70846218484,7289.06985257244,7140.73341284968,7512.035403568,7160.2617262065,7582.0265863694,7631.94176724867,7366.46025565265,7528.73771837318,7686.50924750753,7566.07503272534,7472.13602621023,7632.8137025004,7444.11713065434,7227.87518579581,7434.42783922871,7506.46543022931,7721.16843532173,7753.58471610248,7670.96538581217,7562.26164334244,7537.53495618514,7476.013658916,7429.98149373574,6305.49058863232,6624.60960262716,7461.3142316637,7691.79590199546,7778.42401897411,7737.83577655949,7758.47860341151,7819.03996260649,7591.42010094267,7595.84257536587,7545.52307861731,7792.0627820654,7809.15529534182,7495.67703516069,7698.95110680838,7861.60056461502,7678.18556248848,7565.09219342672,7600.61238225164,7741.73425655133,7389.91972845036,7589.17816032962,7505.24879294774,7482.64494517795,7869.92245513331,7456.68390915587,7285.70029395878,7639.01490555795,7249.98111139143,7485.16540631462,7255.85949923792,7624.35369499525,7408.51068006718,7686.21290777384,7536.2116580707,7506.52876990623,7554.66786526333,7207.75995616063,5418.64221533627,5524.90884556699,6836.71339860407,7090.48788776092,7292.69670695017,7297.42225363259,7321.26107871077,7309.82548526982,8097.52735261973,7351.53581518423,7509.07565205956,7138.51927928699
,62,7174.7183539019,7382.80083510225,7044.22420851272,7269.22341603751,7183.99096806435,7031.06384205928,7312.55656333287,7222.22132198118,7429.32068643086,7248.46327466697,7098.21842557376,7462.25780057982,7112.03781291134,7531.5403299775,7582.08231008119,7319.61947069729,7474.52937510281,7634.01808142394,7517.5570857253,7426.1004410527,7582.80745130261,7404.12701190646,7178.90161826752,7380.45366036064,7458.41593876376,7671.48076918365,7701.45993498354,7623.14590143666,7520.34069932148,7493.84803891376,7431.69332324885,7387.15324965665,6253.29617873466,6564.16963714612,7413.47308003942,7649.08555043312,7726.8842764707,7700.20370712322,7708.11391282626,7766.77755136727,7539.91074298105,7545.9389515256,7492.71374085189,7739.14925581626,7757.54373411306,7448.3358338162,7653.32678659329,7811.29846387181,7630.199100888,7520.5866107214,7548.30110480887,7689.80466237122,7337.74463602901,7539.67679197047,7457.87684564384,7435.07065493049,7816.89676430829,7412.12794273879,7245.82174083266,7593.83583516089,7202.64781259798,7434.77897955994,7208.79676985577,7574.02529527816,7362.16557294187,7634.75840418248,7487.66375705251,7457.18446570228,7504.69760079462,7167.85520420488,5367.16081804778,5467.55074579683,6793.28579984289,7043.99617249222,7244.76087973312,7250.06678142154,7273.94269930056,7261.92691513945,8063.31330223028,7301.50556534555,7459.70904313105,7101.86488332337
,62.5,7135.29803249804,7337.33672098124,6997.98896299282,7221.69739814009,7135.39135879859,6985.37163407945,7264.84965586076,7174.626606438,7382.93291067688,7207.85669676144,7055.70343829783,7412.48019759154,7063.81389961614,7481.0540735855,7532.22285291375,7272.77868574184,7420.32103183252,7581.52691534024,7469.03913872521,7380.06485589521,7532.80120010481,7364.1368931586,7129.92805073918,7326.47948149249,7410.36644729824,7621.79310304569,7649.3351538646,7575.32641706115,7478.4197553006,7450.16112164237,7387.3729875816,7344.32500557751,6201.101768837,6503.7296716651,7365.63192841516,7606.37519887068,7675.34453396728,7662.57163768695,7657.74922224101,7714.51514012808,7488.40138501945,7496.03532768525,7439.9044030864,7686.23572956721,7705.93217288423,7400.99463247172,7607.70246637822,7760.99636312855,7582.21263928751,7476.0810280161,7495.98982736609,7637.87506819122,7285.5695436077,7490.17542361133,7410.50489833995,7387.49636468296,7763.87107348326,7367.5719763217,7205.94318770656,7548.65676476382,7155.31451380464,7384.39255280527,7161.7340404736,7523.69689556101,7315.82046581652,7583.30390059114,7439.11585603433,7407.84016149833,7454.72733632587,7127.95045224904,5315.67942075931,5410.19264602665,6749.85820108176,6997.5044572235,7196.82505251601,7202.7113092105,7226.62431989036,7214.02834500917,8029.09925184084,7251.47531550688,7410.34243420253,7065.21048735977
,63,7095.87771109416,7291.87260686025,6951.75371747284,7174.17138024268,7086.79174953287,6939.67942609962,7217.14274838859,7127.0318908948,7336.5451349229,7167.25011885596,7013.18845102191,7362.70259460337,7015.58998632098,7430.5678171936,7482.36339574626,7225.93790078647,7366.11268856216,7529.03574925664,7420.52119172517,7334.02927073767,7482.79494890703,7324.14677441072,7080.95448321089,7272.50530262442,7362.31695583269,7572.1054369076,7597.21037274566,7527.50693268564,7436.49881127965,7406.47420437099,7343.05265191445,7301.49676149842,6148.90735893934,6443.28970618407,7317.79077679087,7563.66484730834,7623.80479146388,7624.93956825067,7607.38453165576,7662.25272888886,7436.89202705783,7446.13170384498,7387.09506532099,7633.32220331807,7654.32061165547,7353.65343112723,7562.07814616313,7710.69426238534,7534.22617768703,7431.57544531077,7443.67854992333,7585.94547401111,7233.39445118636,7440.67405525218,7363.13295103606,7339.9220744355,7710.84538265824,7323.01600990462,7166.06463458044,7503.47769436676,7107.9812150112,7334.00612605059,7114.67131109145,7473.36849584392,7269.47535869122,7531.84939699978,7390.56795501614,7358.49585729438,7404.75707185715,7088.04570029329,5264.19802347082,5352.83454625649,6706.43060232059,6951.0127419548,7148.88922529896,7155.35583699946,7179.30594048015,7166.12977487879,7994.88520145139,7201.4450656682,7360.97582527401,7028.55609139615
,63.5,7058.1620300362,7247.39324897673,6906.17631551253,7127.51807517006,7039.40820565764,6894.91279715798,7170.15168622289,7079.9752209243,7291.01954224959,7128.02638633991,6972.75355466887,7314.61562791434,6969.06814551535,7381.20574111358,7434.33586549161,7180.07570633907,7313.59310202624,7478.22226591935,7373.45999383845,7289.03678915638,7433.81505332799,7285.89340962521,7034.64236935712,7221.90335778331,7315.52350604392,7523.65494705188,7546.5164655754,7481.34424606119,7397.63542970199,7367.88199769283,7300.65151657499,7260.1270398121,6102.62982607424,6389.81685480845,7272.20962049452,7524.063448682,7573.95764302676,7588.60138961153,7558.1637773367,7610.88979785219,7387.56779942122,7398.132404597,7336.07262432649,7582.30865610952,7603.97110915717,7307.36632330853,7517.492394325,7661.21986275904,7487.11925821067,7388.57277556746,7393.29295827476,7535.88458650362,7182.91701140056,7392.94064630964,7317.01219598094,7294.02719073168,7658.95006123624,7280.22250704626,7127.71607530448,7459.73420523811,7062.12461252739,7285.03197936244,7069.18695299977,7424.54179704272,7224.08421035328,7481.6027818608,7343.24059697075,7310.313963827,7356.17996302547,7049.57027074517,5221.20402843871,5303.87361746567,6664.15150400792,6905.87821247368,7102.42898228558,7109.31731333061,7133.06774940707,7119.37703873537,7961.74663385907,7152.3815836342,7312.72805250265,6993.18568633252
,64,7022.01384088571,7203.85704812641,6861.39457705169,7082.50877797157,6993.40176224232,6851.89648469726,7124.65699661018,7033.95259684811,7247.13326934893,7089.81929306032,6934.67169667088,7268.35839529808,6924.35552815054,7333.70948648188,7388.27891524006,7135.71427264725,7262.54787020472,7428.97411237366,7328.57631141178,7245.77860493141,7386.78692669697,7249.33273494679,6991.20890990451,7174.55983320541,7270.61043462868,7477.46052989078,7497.19361718628,7436.75008346763,7362.77533813171,7334.54071856475,7260.31969262053,7220.53364724076,6061.4969836097,6342.62928450486,7228.93571568503,7487.40211355011,7526.09587962118,7551.99571907857,7510.70602558862,7560.75151304376,7340.06135249243,7351.25326488021,7286.81185686127,7533.11677143248,7555.19087021413,7262.39838850768,7474.29367862849,7613.0836435945,7440.97648223204,7347.47456105308,7344.68100277651,7487.70120766793,7133.45021562546,7346.87735954175,7272.40910458303,7249.35310219849,7608.25274613444,7238.65842714044,7090.36561397606,7416.95375841414,7017.61418150994,7237.42023174266,7025.40503009091,7378.30474776832,7180.09452083355,7433.10571828099,7297.52283417384,7263.64030215072,7309.17916338009,7012.73678859807,5185.80695986105,5262.40684770433,6623.25562638457,6862.61525438659,7057.35323173053,7064.55919598343,7088.13947387038,7073.86755516705,7930.1575028314,7104.25644973321,7265.80727311512,6959.00763717218
,64.5,6987.43870859029,7161.03157529069,6817.56484118216,7038.61740738041,6949.21366094009,6809.90067387754,7080.35176466428,6989.33833660226,7204.91788401006,7052.94505673858,6898.59975407588,7223.51958812415,6881.12327752678,7287.47700111745,7343.51427321956,7092.70049088256,7212.86992409475,7381.01884770747,7284.88028925694,7204.05389823976,7341.19926847722,7214.01079674301,6950.44772933301,7130.07329363887,7227.37761828096,7433.09754804465,7449.35345622303,7394.35315347778,7330.72694019172,7305.73397076028,7221.75699282422,7182.39022917184,6025.12087633095,6300.81388047896,7187.46229626531,7453.29533431678,7479.24819683408,7514.97486858888,7464.64907927386,7512.45057359397,7294.5747601273,7305.74826328193,7239.15293096528,7485.32407213546,7507.37503531857,7218.60747829138,7432.8731230036,7566.62783701074,7396.69683803478,7308.60428355666,7297.29503535905,7440.77395264713,7084.88561163641,7302.1325438107,7229.0397265307,7205.63700664846,7559.4175707306,7199.06448961452,7054.26401362766,7375.60383210123,6974.06868306487,7190.7808921367,6982.65186804793,7333.49352567274,7137.34533498341,7385.80162496198,7252.81375797257,7218.10929068353,7263.45079682599,6977.02734628124,5156.48625142736,5227.21189575912,6583.49646583283,6820.02764435919,7012.89629595395,7020.81467669666,7044.43317401341,7029.43194820817,7900.00790455856,7057.14666580667,7219.96685127726,6926.05162660558
