,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,STD1,78
,A02,SYBR,,Std-01,STD1,78
,A03,SYBR,,Unkn-01,7.1_B,77.5
,A04,SYBR,,Unkn-01,7.1_B,77.5
,A05,SYBR,,Unkn-09,15.5_B,77.5
,A06,SYBR,,Unkn-09,15.5_B,77.5
,A07,SYBR,,Unkn-17,17.2_D,78
,A08,SYBR,,Unkn-17,17.2_D,78
,A11,SYBR,,Unkn-33,15.3_C,77.5
,A12,SYBR,,Unkn-33,15.3_C,77.5
,B01,SYBR,,Std-02,STD2,78
,B02,SYBR,,Std-02,STD2,78
,B03,SYBR,,Unkn-02,3.2_C,77.5
,B04,SYBR,,Unkn-02,3.2_C,77.5
,B05,SYBR,,Unkn-10,8.2_B,77.5
,B06,SYBR,,Unkn-10,8.2_B,78
,B07,SYBR,,Unkn-18,6.5_D,77.5
,B08,SYBR,,Unkn-18,6.5_D,77.5
,B09,SYBR,,Unkn-26,3.2_A,77.5
,B10,SYBR,,Unkn-26,3.2_A,77.5
,B11,SYBR,,Unkn-34,17.4_C,77.5
,B12,SYBR,,Unkn-34,17.4_C,77.5
,C01,SYBR,,Std-03,STD3,78
,C02,SYBR,,Std-03,STD3,78
,C05,SYBR,,Unkn-11,11.1_B,78
,C06,SYBR,,Unkn-11,11.1_B,78
,C07,SYBR,,Unkn-19,9.6_C,77.5
,C08,SYBR,,Unkn-19,9.6_C,77.5
,C09,SYBR,,Unkn-27,6.4_B,77.5
,C10,SYBR,,Unkn-27,6.4_B,77.5
,C11,SYBR,,Unkn-35,12.6_D,77.5
,C12,SYBR,,Unkn-35,12.6_D,77.5
,D01,SYBR,,Std-04,STD4,78
,D02,SYBR,,Std-04,STD4,78
,D05,SYBR,,Unkn-12,10.3_B,77.5
,D06,SYBR,,Unkn-12,10.3_B,77.5
,D07,SYBR,,Unkn-20,2.4_C,77.5
,D08,SYBR,,Unkn-20,2.4_C,77.5
,D09,SYBR,,Unkn-28,10.1_D,77.5
,D10,SYBR,,Unkn-28,10.1_D,77.5
,E03,SYBR,,Unkn-05,2.3_A,77.5
,E04,SYBR,,Unkn-05,2.3_A,77.5
,E05,SYBR,,Unkn-13,9.4_A,77.5
,E06,SYBR,,Unkn-13,9.4_A,77.5
,E07,SYBR,,Unkn-21,6.2_B,77.5
,E08,SYBR,,Unkn-21,6.2_B,77.5
,E09,SYBR,,Unkn-29,10.3_D,77.5
,E10,SYBR,,Unkn-29,10.3_D,77.5
,E11,SYBR,,Unkn-37,3.3_D,77.5
,E12,SYBR,,Unkn-37,3.3_D,77.5
,F03,SYBR,,Unkn-06,11.4_C,77.5
,F04,SYBR,,Unkn-06,11.4_C,77.5
,F05,SYBR,,Unkn-14,2.4_A,77.5
,F06,SYBR,,Unkn-14,2.4_A,77.5
,F07,SYBR,,Unkn-22,3.4_A,77.5
,F08,SYBR,,Unkn-22,3.4_A,77.5
,F09,SYBR,,Unkn-30,12.4_D,77.5
,F10,SYBR,,Unkn-30,12.4_D,77.5
,F11,SYBR,,Unkn-38,7.1_C,77.5
,F12,SYBR,,Unkn-38,7.1_C,77.5
,G03,SYBR,,Unkn-07,9.2_A,77.5
,G04,SYBR,,Unkn-07,9.2_A,77.5
,G05,SYBR,,Unkn-15,11.3_D,77.5
,G06,SYBR,,Unkn-15,11.3_D,77.5
,G07,SYBR,,Unkn-23,12.5_C,77.5
,G08,SYBR,,Unkn-23,12.5_C,77.5
,G09,SYBR,,Unkn-31,12.6_B,77.5
,G10,SYBR,,Unkn-31,12.6_B,77.5
,G11,SYBR,,Unkn-39,6.4_D,77.5
,G12,SYBR,,Unkn-39,6.4_D,77.5
,H01,SYBR,,NTC-01,NEG,78
,H02,SYBR,,NTC-01,NEG,78
,H03,SYBR,,Unkn-08,13.4_B,77.5
,H04,SYBR,,Unkn-08,13.4_B,77.5
,H05,SYBR,,Unkn-16,13.1_D,77.5
,H06,SYBR,,Unkn-16,13.1_D,77.5
,H07,SYBR,,Unkn-24,11.1_A,77.5
,H08,SYBR,,Unkn-24,11.1_A,77.5
,H09,SYBR,,Unkn-32,12.6_A,77.5
,H10,SYBR,,Unkn-32,12.6_A,77.5
,H11,SYBR,,Unkn-40,7.2_C,77.5
,H12,SYBR,,Unkn-40,7.2_C,77.5
