,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,,,Unkn-33,Unkn-33
A,Sample,STD1,STD1,7.1_B,7.1_B,15.5_B,15.5_B,17.2_D,17.2_D,,,15.3_C,15.3_C
A,Cq,17.412345056318,17.4309178408386,18.2582724936157,18.2389877754334,18.3927862532238,18.4236224038253,18.0628687233939,18.1615589130397,,,17.948738500485,18.1763808972499
A,copy number,300000000000,300000000000,205971678628.582,208619081909.908,188416833930.242,184608140083.697,234427215270.857,219595542387.184,,,252832721915.235,217450562604.425
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,Unkn-10,Unkn-10,Unkn-18,Unkn-18,Unkn-26,Unkn-26,Unkn-34,Unkn-34
B,Sample,STD2,STD2,3.2_C,3.2_C,8.2_B,8.2_B,6.5_D,6.5_D,3.2_A,3.2_A,17.4_C,17.4_C
B,Cq,21.4385074683381,21.3034368175935,18.4809011110231,18.3647185939929,18.0791048247912,18.3413739231386,18.1478682181273,18.0774157427222,18.3225551850972,18.3086324473191,17.8987532637694,18.0348107660231
B,copy number,30000000000,30000000000,177736567348.198,191951851169.685,231920066470.827,194942494195.664,221595599473.185,232179636823.303,197387214397.062,199215611231.782,261342262838.427,238823930313.936
C,Content,Std-3,Std-3,,,Unkn-11,Unkn-11,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,,,11.1_B,11.1_B,9.6_C,9.6_C,6.4_B,6.4_B,12.6_D,12.6_D
C,Cq,25.0152539224017,25.0716514611618,,,18.0692130001508,18.1032518580187,17.8907515623866,17.9535729954779,17.9763584697049,17.9969892565073,18.3576931191876,18.2568921312583
C,copy number,3000000000,3000000000,,,233444333664.674,228240833163.881,262730828030.3,252024533844.232,248250103570.346,244881384002.392,192847013439.826,206160053175.67
D,Content,Std-4,Std-4,,,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,,
D,Sample,STD4,STD4,,,10.3_B,10.3_B,2.4_C,2.4_C,10.1_D,10.1_D,,
D,Cq,27.879664313134,27.6946330710546,,,18.6826408717855,18.4324284154161,17.8336911783333,17.8002030874683,18.0172176572322,17.8949153704031,,
D,copy number,300000000,300000000,,,155508438137.393,183534676188.34,272848958681.559,278967677112.962,241622756756.206,262007348624.015,,
E,Content,,,Unkn-5,Unkn-5,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,,,2.3_A,2.3_A,9.4_A,9.4_A,6.2_B,6.2_B,10.3_D,10.3_D,3.3_D,3.3_D
E,Cq,,,18.2427310084453,18.1635099359572,18.5755270107141,18.4310294488321,17.9821028000644,17.9646307347616,17.9843642076822,17.9124231693895,18.3648346133148,18.3102317576522
E,copy number,,,208102563519.551,219311993179.879,166940311420.887,183704793986.06,247307506416.1,250185697616.592,246937410688.935,258987029633.533,191937103308.913,199004724514.442
F,Content,,,Unkn-6,Unkn-6,Unkn-14,Unkn-14,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,,,11.4_C,11.4_C,2.4_A,2.4_A,3.4_A,3.4_A,12.4_D,12.4_D,7.1_C,7.1_C
F,Cq,,,18.479816367476,18.323666829172,18.0805361151654,18.0622670107144,18.1304421632538,18.066955573924,18.0845195651657,18.1722345725049,18.256581327923,18.2104534740521
F,copy number,,,177864294418.619,197241953738.181,231700339508.97,234520649672.825,224167722148.341,233793590296.091,231089908752.472,218048482958.975,206202491474.819,212598817588.407
G,Content,,,Unkn-7,Unkn-7,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,9.2_A,9.2_A,11.3_D,11.3_D,12.5_C,12.5_C,12.6_B,12.6_B,6.4_D,6.4_D
G,Cq,,,18.1323806589769,17.9742377719192,18.6229672797787,18.5709614173657,18.228725326117,18.1658814750562,18.4637314171732,18.6278778256181,18.3668313763873,18.3515241540957
G,copy number,,,223880126524.276,248598999828.541,161777014408.978,167445831321.978,210041753894.93,218967821794.992,179769082875.533,161251767269.352,191683461148.919,193636483660.371
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,13.4_B,13.4_B,13.1_D,13.1_D,11.1_A,11.1_A,12.6_A,12.6_A,7.2_C,7.2_C
H,Cq,29.1277082180022,29.0679691356646,18.4515638803023,18.4301471782242,18.8938647204994,18.9632021965583,18.376180443114,18.4847352450509,18.3779703736038,18.3935166219073,18.4298448268685,18.5566541268059
H,copy number,NaN,NaN,181223509113.312,183812161344.627,135208311946.96,129140089317.733,190500331798.654,177285837925.638,190274649440.931,188325721023.188,183848970235.221,169039925307.544
