,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Std-01,STD1,17.412345056318,300000000000
,A02,SYBR,,Std-01,STD1,17.4309178408386,300000000000
,A03,SYBR,,Unkn-01,7.1_B,18.2582724936157,205971678628.582
,A04,SYBR,,Unkn-01,7.1_B,18.2389877754334,208619081909.908
,A05,SYBR,,Unkn-09,15.5_B,18.3927862532238,188416833930.242
,A06,SYBR,,Unkn-09,15.5_B,18.4236224038253,184608140083.697
,A07,SYBR,,Unkn-17,17.2_D,18.0628687233939,234427215270.857
,A08,SYBR,,Unkn-17,17.2_D,18.1615589130397,219595542387.184
,A11,SYBR,,Unkn-33,15.3_C,17.948738500485,252832721915.235
,A12,SYBR,,Unkn-33,15.3_C,18.1763808972499,217450562604.425
,B01,SYBR,,Std-02,STD2,21.4385074683381,30000000000
,B02,SYBR,,Std-02,STD2,21.3034368175935,30000000000
,B03,SYBR,,Unkn-02,3.2_C,18.4809011110231,177736567348.198
,B04,SYBR,,Unkn-02,3.2_C,18.3647185939929,191951851169.685
,B05,SYBR,,Unkn-10,8.2_B,18.0791048247912,231920066470.827
,B06,SYBR,,Unkn-10,8.2_B,18.3413739231386,194942494195.664
,B07,SYBR,,Unkn-18,6.5_D,18.1478682181273,221595599473.185
,B08,SYBR,,Unkn-18,6.5_D,18.0774157427222,232179636823.303
,B09,SYBR,,Unkn-26,3.2_A,18.3225551850972,197387214397.062
,B10,SYBR,,Unkn-26,3.2_A,18.3086324473191,199215611231.782
,B11,SYBR,,Unkn-34,17.4_C,17.8987532637694,261342262838.427
,B12,SYBR,,Unkn-34,17.4_C,18.0348107660231,238823930313.936
,C01,SYBR,,Std-03,STD3,25.0152539224017,3000000000
,C02,SYBR,,Std-03,STD3,25.0716514611618,3000000000
,C05,SYBR,,Unkn-11,11.1_B,18.0692130001508,233444333664.674
,C06,SYBR,,Unkn-11,11.1_B,18.1032518580187,228240833163.881
,C07,SYBR,,Unkn-19,9.6_C,17.8907515623866,262730828030.3
,C08,SYBR,,Unkn-19,9.6_C,17.9535729954779,252024533844.232
,C09,SYBR,,Unkn-27,6.4_B,17.9763584697049,248250103570.346
,C10,SYBR,,Unkn-27,6.4_B,17.9969892565073,244881384002.392
,C11,SYBR,,Unkn-35,12.6_D,18.3576931191876,192847013439.826
,C12,SYBR,,Unkn-35,12.6_D,18.2568921312583,206160053175.67
,D01,SYBR,,Std-04,STD4,27.879664313134,300000000
,D02,SYBR,,Std-04,STD4,27.6946330710546,300000000
,D05,SYBR,,Unkn-12,10.3_B,18.6826408717855,155508438137.393
,D06,SYBR,,Unkn-12,10.3_B,18.4324284154161,183534676188.34
,D07,SYBR,,Unkn-20,2.4_C,17.8336911783333,272848958681.559
,D08,SYBR,,Unkn-20,2.4_C,17.8002030874683,278967677112.962
