,,1,2,3,4,5,6,7,8,9,10,11,12
A,Content,Std-1,Std-1,Unkn-1,Unkn-1,Unkn-9,Unkn-9,Unkn-17,Unkn-17,Unkn-25,Unkn-25,,
A,Sample,STD1,STD1,12.4_B,12.4_B,5.1_B,5.1_B,7.4_C,7.4_C,9.1_B,9.1_B,,
A,Peak 1,78,78,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,,
A,Peak 2,None,None,None,None,None,None,None,None,None,None,,
B,Content,Std-2,Std-2,Unkn-2,Unkn-2,,,Unkn-18,Unkn-18,Unkn-26,Unkn-26,,
B,Sample,STD2,STD2,11.1_D,11.1_D,,,11.1_C,11.1_C,17.4_B,17.4_B,,
B,Peak 1,78,78,77.5,77.5,,,77.5,77.5,77.5,77.5,,
B,Peak 2,None,None,None,None,,,None,None,None,None,,
C,Content,Std-3,Std-3,Unkn-3,Unkn-3,,,Unkn-19,Unkn-19,Unkn-27,Unkn-27,Unkn-35,Unkn-35
C,Sample,STD3,STD3,10.6_C,10.6_C,,,9.6_B,9.6_B,6.5_A,6.5_A,13.3_C,13.3_C
C,Peak 1,78,78,77.5,77.5,,,77.5,77.5,77,77,77.5,77.5
C,Peak 2,None,None,None,None,,,None,None,None,None,None,None
D,Content,Std-4,Std-4,Unkn-4,Unkn-4,Unkn-12,Unkn-12,Unkn-20,Unkn-20,Unkn-28,Unkn-28,Unkn-36,Unkn-36
D,Sample,STD4,STD4,7.3_C,7.3_C,11.2_B,11.2_B,11.4_D,11.4_D,3.3_A,3.3_A,9.6_A,9.6_A
D,Peak 1,78,78,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,78,78
D,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
E,Content,,,,,Unkn-13,Unkn-13,Unkn-21,Unkn-21,Unkn-29,Unkn-29,Unkn-37,Unkn-37
E,Sample,,,,,6.3_B,6.3_B,7.3_D,7.3_D,17.4_A,17.4_A,8.1_D,8.1_D
E,Peak 1,,,,,77,77.5,77.5,77.5,77.5,77.5,77.5,77.5
E,Peak 2,,,,,None,None,None,None,None,None,None,None
F,Content,,,Unkn-6,Unkn-6,,,Unkn-22,Unkn-22,Unkn-30,Unkn-30,Unkn-38,Unkn-38
F,Sample,,,3.4_B,3.4_B,,,13.3_A,13.3_A,2.4_D,2.4_D,9.5_D,9.5_D
F,Peak 1,,,77.5,77.5,,,77.5,77.5,77,77,77.5,77.5
F,Peak 2,,,None,None,,,None,None,None,None,None,None
G,Content,,,,,Unkn-15,Unkn-15,Unkn-23,Unkn-23,Unkn-31,Unkn-31,Unkn-39,Unkn-39
G,Sample,,,,,3.2_D,3.2_D,10.1_B,10.1_B,12.6_C,12.6_C,9.5_C,9.5_C
G,Peak 1,,,,,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5
G,Peak 2,,,,,None,None,None,None,None,None,None,None
H,Content,NTC-1,NTC-1,Unkn-8,Unkn-8,Unkn-16,Unkn-16,Unkn-24,Unkn-24,Unkn-32,Unkn-32,Unkn-40,Unkn-40
H,Sample,NEG,NEG,5.5_C,5.5_C,2.2_C,2.2_C,12.5_A,12.5_A,8.2_D,8.2_D,13.2_D,13.2_D
H,Peak 1,78,78,77.5,77.5,77,77,77,77,77.5,77.5,77,77
H,Peak 2,None,None,None,None,None,None,None,None,None,None,None,None
