,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B7,B8,B9,B10,C1,C2,C3,C4,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F7,F8,F9,F10,F11,F12,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,60,7662.94263108543,7875.07450795922,7479.50056947558,7684.74067715129,7726.48745198405,7553.41992792474,7864.60956071044,7719.00127968975,7914.58754340289,8043.72248588721,7633.28971944086,8116.97323617712,7678.71164204902,8114.64263127088,7932.16293388335,8180.76854719753,8127.84347555553,8173.01933957631,7595.62785697922,7823.10328484345,7990.19998520849,8057.60353336891,8133.89107823748,8225.84915322783,8099.53273011752,8231.19783529203,8056.45627109005,8120.34887350789,6204.34052530764,6631.05397108389,7844.34535501635,8071.99434353257,7947.49619805293,8122.62684206504,8130.10517193121,8240.21046580544,8202.87314798872,8130.32161565091,7942.75676632728,8073.65463200228,8099.98062393459,8338.71802110831,8284.59187724037,7866.19254276052,8010.87942823323,8336.62860390894,8275.05626530328,8066.17230089036,8146.33138818405,8375.15599084269,7880.54966884519,7897.1215194147,8376.34443305365,8042.97010596363,8093.20287376339,8169.75178613754,7774.93352150792,8106.07423606328,7842.74194959077,8160.78321009515,7998.33391407405,7996.93249429993,8231.27810460977,7867.00104920649,5300.61383112111,5420.04198880712,7320.26843951464,7524.72095078753,7784.093563823,7613.41189720698,7823.51632832659,7789.47577345353,8542.40757006526,7910.39838731696,7436.53287962808,7974.46567735421
,60.5,7626.7278204863,7829.56781113984,7438.70997864912,7642.69727160299,7682.11358950413,7512.5225554217,7819.81414519882,7676.57515799245,7869.53862614043,7994.92131828162,7597.48070368255,8068.40166561035,7635.44455129236,8067.50871459889,7881.622452091,8134.0851877994,8085.70090187184,8126.30705510115,7551.49701116794,7773.82815400606,7943.81876656022,8010.46438713651,8088.55858695508,8179.16393515401,8058.98022097473,8184.6672021143,8014.91814657256,8079.99843113733,6154.96737612947,6575.55633280618,7800.94867043585,8027.21010130202,7905.66883754831,8085.65150649473,8081.61399657698,8202.80042887094,8157.91683353967,8085.4639035016,7905.3288257794,8034.88358901446,8066.83562063807,8290.41365386388,8237.52918620308,7824.96305219901,7975.1472878077,8291.04342622972,8232.19223966158,8027.71879014131,8098.12245813929,8325.26148878153,7847.57005500245,7851.73043523611,8328.12602808202,8000.00497940659,8051.00331553271,8128.53217733999,7730.01650341829,8058.90322649373,7798.47468278733,8112.69145536702,7951.70593515771,7951.58939290688,8181.04534763917,7827.8770790826,5251.8959491511,5365.95503198704,7279.11369147979,7481.30225710592,7739.78391253796,7572.5160303012,7778.71234879578,7744.83572883816,8512.37838036399,7863.68865737234,7393.63233704632,7935.56851626999
,61,7590.51300988716,7784.06111432045,7397.91938782266,7600.65386605468,7637.73972702421,7471.62518291865,7775.0187296872,7634.14903629516,7824.48970887798,7946.12015067602,7561.67168792423,8019.83009504359,7592.17746053571,8020.3747979269,7831.08197029866,8087.40182840126,8043.55832818815,8079.59477062599,7507.36616535666,7724.55302316867,7897.43754791196,7963.3252409041,8043.22609567268,8132.47871708019,8018.42771183194,8138.13656893658,7973.38002205508,8039.64798876676,6105.5942269513,6520.05869452847,7757.55198585536,7982.42585907148,7863.84147704368,8048.67617092442,8033.12282122274,8165.39039193644,8112.96051909062,8040.60619135229,7867.90088523152,7996.11254602664,8033.69061734154,8242.10928661945,8190.46649516578,7783.73356163751,7939.41514738218,8245.4582485505,8189.32821401989,7989.26527939226,8049.91352809454,8275.36698672037,7814.59044115972,7806.33935105752,8279.90762311039,7957.03985284956,8008.80375730203,8087.31256854244,7685.09948532865,8011.73221692417,7754.2074159839,8064.5997006389,7905.07795624137,7906.24629151384,8130.81259066857,7788.75310895871,5203.17806718108,5311.86807516696,7237.95894344493,7437.88356342432,7695.47426125292,7531.62016339542,7733.90836926496,7700.19568422278,8482.34919066273,7816.97892742771,7350.73179446456,7896.67135518578
,61.5,7554.29819928803,7738.55441750107,7357.1287969962,7558.61046050638,7593.36586454429,7430.72781041561,7730.22331417559,7591.72291459787,7779.44079161552,7897.31898307043,7525.86267216591,7971.25852447683,7548.91036977905,7973.24088125492,7780.54148850631,8040.71846900313,8001.41575450446,8032.88248615083,7463.23531954538,7675.27789233128,7851.05632926369,7916.1860946717,7997.89360439028,8085.79349900636,7977.87520268915,8091.60593575885,7931.8418975376,7999.2975463962,6056.22107777313,6464.56105625076,7714.15530127486,7937.64161684093,7822.01411653905,8011.70083535411,7984.63164586851,8127.98035500194,8068.00420464157,7995.74847920298,7830.47294468364,7957.34150303882,8000.54561404502,8193.80491937502,8143.40380412849,7742.504071076,7903.68300695665,8199.87307087128,8146.4641883782,7950.81176864321,8001.70459804978,8225.47248465921,7781.61082731699,7760.94826687893,8231.68921813877,7914.07472629252,7966.60419907135,8046.09295974489,7640.18246723903,7964.56120735462,7709.94014918047,8016.50794591078,7858.44997732503,7860.9031901208,8080.57983369797,7749.62913883481,5154.46018521107,5257.78111834688,7196.80419541007,7394.46486974271,7651.16460996789,7490.72429648965,7689.10438973415,7655.55563960741,8452.32000096147,7770.26919748308,7307.83125188279,7857.77419410156
,62,7518.08338868889,7693.04772068168,7316.33820616974,7516.56705495807,7548.99200206437,7389.83043791256,7685.42789866396,7549.29679290058,7734.39187435306,7848.51781546483,7490.0536564076,7922.68695391007,7505.64327902239,7926.10696458293,7730.00100671396,7994.035109605,7959.27318082077,7986.17020167567,7419.1044737341,7626.0027614939,7804.67511061542,7869.04694843929,7952.56111310787,8039.10828093254,7937.32269354637,8045.07530258112,7890.30377302011,7958.94710402564,6006.84792859496,6409.06341797304,7670.75861669436,7892.85737461039,7780.18675603443,7974.7254997838,7936.14047051427,8090.57031806745,8023.04789019252,7950.89076705367,7793.04500413576,7918.570460051,7967.4006107485,8145.5005521306,8096.34111309119,7701.27458051449,7867.95086653113,8154.28789319206,8103.60016273651,7912.35825789416,7953.49566800502,8175.57798259805,7748.63121347425,7715.55718270033,8183.47081316714,7871.10959973549,7924.40464084068,8004.87335094734,7595.2654491494,7917.39019778507,7665.67288237703,7968.41619118265,7811.8219984087,7815.56008872775,8030.34707672737,7710.50516871092,5105.74230324105,5203.6941615268,7155.64944737521,7351.04617606111,7606.85495868285,7449.82842958387,7644.30041020333,7610.91559499204,8422.29081126021,7723.55946753846,7264.93070930103,7818.87703301734
,62.5,7481.86857808975,7647.54102386226,7275.54761534332,7474.5236494098,7504.61813958443,7348.93306540954,7640.63248315228,7506.8706712033,7689.34295709057,7799.7166478593,7454.24464064928,7874.11538334331,7462.37618826576,7878.97304791104,7679.46052492168,7947.35175020685,7917.13060713705,7939.45791720055,7374.97362792277,7576.72763065651,7758.29389196714,7821.90780220686,7907.2286218255,7992.42306285879,7896.77018440357,7998.54466940331,7848.76564850264,7918.59666165515,5957.47477941684,6353.56577969528,7627.36193211378,7848.07313237988,7738.35939552977,7937.75016421342,7887.64929516007,8053.16028113292,7978.09157574346,7906.03305490441,7755.61706358784,7879.79941706315,7934.25560745204,8097.19618488619,8049.27842205393,7660.04508995295,7832.21872610563,8108.70271551282,8060.73613709489,7873.90474714517,7905.28673796022,8125.6834805368,7715.6515996315,7670.16609852173,8135.25240819556,7828.14447317845,7882.20508260991,7963.65374214972,7550.34843105983,7870.21918821555,7621.40561557356,7920.32443645446,7765.19401949237,7770.2169873348,7980.11431975679,7671.38119858705,5057.02442127105,5149.60720470669,7114.49469934037,7307.62748237944,7562.54530739783,7408.93256267815,7599.49643067253,7566.27555037677,8392.2616215589,7676.84973759387,7222.03016671931,7779.97987193302
,63,7445.65376749062,7602.03432704288,7234.75702451686,7432.48024386149,7460.24427710451,7308.03569290649,7595.83706764066,7464.44454950601,7644.29403982811,7750.9154802537,7418.43562489097,7825.54381277654,7419.1090975091,7831.83913123905,7628.92004312934,7900.66839080871,7874.98803345336,7892.74563272539,7330.84278211149,7527.45249981912,7711.91267331888,7774.76865597446,7861.8961305431,7945.73784478497,7856.21767526078,7952.01403622558,7807.22752398516,7878.24621928459,5908.10163023867,6298.06814141757,7583.96524753328,7803.28889014933,7696.53203502514,7900.77482864311,7839.15811980583,8015.75024419842,7933.13526129441,7861.1753427551,7718.18912303996,7841.02837407532,7901.11060415552,8048.89181764177,8002.21573101664,7618.81559939144,7796.48658568011,8063.1175378336,8017.8721114532,7835.45123639612,7857.07780791547,8075.78897847564,7682.67198578877,7624.77501434314,8087.03400322393,7785.17934662141,7840.00552437923,7922.43413335217,7505.4314129702,7823.048178646,7577.13834877013,7872.23268172634,7718.56604057603,7724.87388594175,7929.88156278619,7632.25722846316,5008.30653930103,5095.52024788661,7073.33995130551,7264.20878869784,7518.23565611279,7368.03669577237,7554.69245114172,7521.6355057614,8362.23243185764,7630.14000764924,7179.12962413755,7741.0827108488
,63.5,7409.05403187005,7557.00895808723,7194.7883296686,7390.99138015075,7417.09211116647,7267.86472470544,7551.79058967539,7422.58720519597,7600.31903975288,7703.19416640534,7381.87644890482,7777.59874649146,7376.83197255133,7786.18222413849,7578.95668560142,7854.99865552793,7834.34090212979,7847.32968300258,7289.26527892676,7480.68936961474,7667.00622242433,7729.21105822584,7818.79573137031,7900.58190661679,7816.71911213562,7907.77870742539,7767.24307228659,7838.57640399104,5864.73666781964,6248.70037500442,7541.34549919671,7759.36037433098,7656.47979613836,7864.70935006257,7792.29677831169,7978.76389211621,7889.29621290339,7817.67881400555,7682.12350859371,7803.38023277356,7867.37390106177,8001.71522490094,7956.78065535842,7579.06508430187,7764.17045424976,8019.31276820655,7976.82427384245,7798.26056876943,7809.82059121298,8027.19132267864,7648.29097089398,7580.60872739995,8039.61705577707,7743.80006495727,7799.3214298232,7881.93467068068,7461.88696259509,7778.04555653099,7535.02267865397,7826.02283523524,7673.72430666454,7681.63845019833,7881.49672805215,7594.30571555963,4967.67915068669,5049.76475815994,7033.47167045665,7222.33410539897,7475.10965864438,7328.65295520486,7511.62598735947,7478.62129550663,8334.26689424711,7585.27002284165,7137.94948579078,7703.68788390439
,64,7372.57832208234,7512.61738208172,7155.82740806066,7350.86055962231,7375.52782106655,7228.89107620613,7508.39469242977,7381.70436716748,7558.08811906149,7657.29628234572,7346.70365286516,7730.68473261641,7336.352273454,7742.59941162495,7530.30045135006,7811.47774381703,7795.4363136603,7804.24837788122,7250.65640128218,7436.24296570094,7624.26608857256,7684.98306131661,7777.26956819358,7856.00131648335,7778.32606734864,7865.21195570678,7728.54417685945,7800.59861311524,5827.13369050797,6205.2159153348,7500.03061400238,7717.22340578059,7617.77163307718,7829.95053453157,7746.70127167406,7943.5335282527,7846.1308930003,7775.22377587237,7648.043093966,7767.21239632391,7833.85780093474,7956.01222793768,7913.23090443878,7540.68731351379,7736.15763069174,7976.91537545794,7937.73969378724,7763.12525957779,7764.49010629941,7980.05674213521,7613.27424490675,7538.05378044539,7993.39207825468,7703.52549126859,7760.04011731226,7843.55529296564,7420.60575058326,7734.92399140236,7494.97671145008,7781.51089842663,7630.95312484362,7640.3862204265,7834.53042428205,7558.38262608303,4933.92844496761,5010.67808963382,6995.26937138475,7182.10308225718,7433.56396181438,7289.94189158152,7470.34850879218,7436.67396376716,8308.61899731653,7541.73929651583,7097.87852521249,7667.84926445848
,64.5,7337.8509481023,7469.33883640954,7117.6838991542,7312.2256204121,7335.2669310585,7191.02474663228,7465.75415674296,7342.1305271036,7516.81234986905,7612.46388979702,7313.56532644912,7684.94159331414,7297.50490163375,7700.22484307966,7483.00727194212,7768.84835117174,7757.99147160175,7762.7646739765,7214.56705206427,7394.52444690465,7583.50318572789,7642.75014174663,7737.56746166161,7812.4941822053,7741.39983557399,7824.39032653755,7691.68182920718,7764.39394775458,5794.27527238833,6166.8424129975,7460.37476715241,7676.71617152921,7580.29456495779,7797.05784623705,7702.85817050687,7909.90223109259,7804.09118315909,7734.43858103037,7615.99427843389,7732.6148752693,7800.75898958452,7912.13014495696,7871.89457900526,7503.94011329049,7711.36567738627,7936.18704371286,7900.10005318793,7729.80101910568,7720.77326918192,7934.96824511383,7578.15742497894,7497.02378308111,7948.9809095333,7665.36902829018,7722.42051605166,7807.41615551995,7381.46819988533,7693.36391179402,7457.0977825395,7737.90051545173,7589.44832605369,7601.1891804144,7789.73604831109,7524.30928943714,4905.68595866519,4977.39802406345,6958.09477121072,7143.39255617097,7392.98034709804,7252.75459985033,7430.45541824943,7396.25367954804,8285.11358448693,7500.04983683466,7059.73984445947,7633.35869955333
