,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,SYBR,,Std-01,STD1,3641.03501587019,,Standard,Unassigned,False
,A02,SYBR,,Std-01,STD1,3807.1311453155,,Standard,Unassigned,False
,A07,SYBR,,Unkn-17,9.2_B,3853.15428288393,,Unknown,Unassigned,False
,A08,SYBR,,Unkn-17,9.2_B,3802.97495741412,,Unknown,Unassigned,False
,A09,SYBR,,Unkn-25,10.3_C,3916.69323238589,,Unknown,Unassigned,False
,A10,SYBR,,Unkn-25,10.3_C,3956.36027381019,,Unknown,Unassigned,False
,A11,SYBR,,Unkn-33,11.4_B,3978.52486698101,,Unknown,Unassigned,False
,A12,SYBR,,Unkn-33,11.4_B,3779.45905058516,,Unknown,Unassigned,False
,B01,SYBR,,Std-02,STD2,3744.98711313096,,Standard,Unassigned,False
,B02,SYBR,,Std-02,STD2,3850.50643605542,,Standard,Unassigned,False
,B05,SYBR,,Unkn-10,10.5_C,4053.72577602046,,Unknown,Unassigned,False
,B06,SYBR,,Unkn-10,10.5_C,3957.00922840113,,Unknown,Unassigned,False
,B07,SYBR,,Unkn-18,7.5_B,4048.19386793956,,Unknown,Unassigned,False
,B08,SYBR,,Unkn-18,7.5_B,4103.01508062163,,Unknown,Unassigned,False
,B09,SYBR,,Unkn-26,11.3_C,4096.8917923036,,Unknown,Unassigned,False
,B10,SYBR,,Unkn-26,11.3_C,4159.60072947782,,Unknown,Unassigned,False
,B11,SYBR,,Unkn-34,10.4_A,3798.69359494228,,Unknown,Unassigned,False
,B12,SYBR,,Unkn-34,10.4_A,3939.64158433741,,Unknown,Unassigned,False
,C01,SYBR,,Std-03,STD3,3145.24481124826,,Standard,Unassigned,False
,C02,SYBR,,Std-03,STD3,3189.75400480806,,Standard,Unassigned,False
,C05,SYBR,,Unkn-11,15.5_C,4041.1323510338,,Unknown,Unassigned,False
,C06,SYBR,,Unkn-11,15.5_C,3961.98653103831,,Unknown,Unassigned,False
,C07,SYBR,,Unkn-19,6.5_B,4133.65873484242,,Unknown,Unassigned,False
,C08,SYBR,,Unkn-19,6.5_B,3996.0389916519,,Unknown,Unassigned,False
,C11,SYBR,,Unkn-35,7.2_A,3922.34176485382,,Unknown,Unassigned,False
,C12,SYBR,,Unkn-35,7.2_A,4003.48811614334,,Unknown,Unassigned,False
,D01,SYBR,,Std-04,STD4,1906.93891252963,,Standard,Unassigned,False
,D02,SYBR,,Std-04,STD4,1961.40316949959,,Standard,Unassigned,False
,D03,SYBR,,Unkn-04,9.3_D,3835.65325410143,,Unknown,Unassigned,False
,D04,SYBR,,Unkn-04,9.3_D,4052.45139437462,,Unknown,Unassigned,False
,D05,SYBR,,Unkn-12,10.2_C,4102.51042300071,,Unknown,Unassigned,False
,D06,SYBR,,Unkn-12,10.2_C,4152.20125885202,,Unknown,Unassigned,False
,D11,SYBR,,Unkn-36,5.6_B,4053.92207417127,,Unknown,Unassigned,False
,D12,SYBR,,Unkn-36,5.6_B,4023.80843781289,,Unknown,Unassigned,False
,E03,SYBR,,Unkn-05,12.5_D,3999.10373814675,,Unknown,Unassigned,False
,E04,SYBR,,Unkn-05,12.5_D,4088.67599509473,,Unknown,Unassigned,False
,E05,SYBR,,Unkn-13,6.5_C,4184.38026199961,,Unknown,Unassigned,False
,E06,SYBR,,Unkn-13,6.5_C,4162.75102306314,,Unknown,Unassigned,False
,E07,SYBR,,Unkn-21,3.4_D,4150.74765980684,,Unknown,Unassigned,False
,E08,SYBR,,Unkn-21,3.4_D,3930.80465371593,,Unknown,Unassigned,False
,E09,SYBR,,Unkn-29,10.5_A,4134.01399248038,,Unknown,Unassigned,False
,E10,SYBR,,Unkn-29,10.5_A,4192.49330388267,,Unknown,Unassigned,False
,E11,SYBR,,Unkn-37,9.2_D,3970.52250221494,,Unknown,Unassigned,False
,E12,SYBR,,Unkn-37,9.2_D,4115.63064723716,,Unknown,Unassigned,False
,F03,SYBR,,Unkn-06,5.2_A,4011.28941368991,,Unknown,Unassigned,False
,F04,SYBR,,Unkn-06,5.2_A,4209.37533682933,,Unknown,Unassigned,False
,F05,SYBR,,Unkn-14,5.4_A,3889.74117508172,,Unknown,Unassigned,False
,F06,SYBR,,Unkn-14,5.4_A,4050.84098692837,,Unknown,Unassigned,False
,F07,SYBR,,Unkn-22,13.1_B,3978.9962964063,,Unknown,Unassigned,False
,F08,SYBR,,Unkn-22,13.1_B,4068.55711004679,,Unknown,Unassigned,False
,F09,SYBR,,Unkn-30,6.2_D,4196.46757614564,,Unknown,Unassigned,False
,F10,SYBR,,Unkn-30,6.2_D,3930.98786541793,,Unknown,Unassigned,False
,F11,SYBR,,Unkn-38,13.2_A,3906.29194813233,,Unknown,Unassigned,False
,F12,SYBR,,Unkn-38,13.2_A,4101.1654506037,,Unknown,Unassigned,False
,G03,SYBR,,Unkn-07,6.3_A,3804.56471405284,,Unknown,Unassigned,False
,G04,SYBR,,Unkn-07,6.3_A,4032.56335678368,,Unknown,Unassigned,False
,G05,SYBR,,Unkn-15,2.3_B,3761.32029689731,,Unknown,Unassigned,False
,G06,SYBR,,Unkn-15,2.3_B,4024.92486780205,,Unknown,Unassigned,False
,G07,SYBR,,Unkn-23,12.4_C,3818.5472363276,,Unknown,Unassigned,False
,G08,SYBR,,Unkn-23,12.4_C,4141.22969229403,,Unknown,Unassigned,False
,G09,SYBR,,Unkn-31,5.2_D,4152.1953102339,,Unknown,Unassigned,False
,G10,SYBR,,Unkn-31,5.2_D,4069.32387889253,,Unknown,Unassigned,False
,H01,SYBR,,NTC-01,NEG,967.494642503884,,NTC,Unassigned,False
,H02,SYBR,,NTC-01,NEG,1033.61344772117,,NTC,Unassigned,False
,H03,SYBR,,Unkn-08,9.3_B,3599.15451724534,,Unknown,Unassigned,False
,H04,SYBR,,Unkn-08,9.3_B,3765.64477089487,,Unknown,Unassigned,False
,H05,SYBR,,Unkn-16,7.4_B,3789.11291265051,,Unknown,Unassigned,False
,H06,SYBR,,Unkn-16,7.4_B,3703.04381729393,,Unknown,Unassigned,False
,H09,SYBR,,Unkn-32,6.3_C,3798.30748396965,,Unknown,Unassigned,False
,H10,SYBR,,Unkn-32,6.3_C,3999.91937280936,,Unknown,Unassigned,False
,H11,SYBR,,Unkn-40,15.5_D,4022.78474906298,,Unknown,Unassigned,False
,H12,SYBR,,Unkn-40,15.5_D,3552.45118524471,,Unknown,Unassigned,False
