,Temperature,A1,A2,A7,A8,A9,A10,A11,A12,B1,B2,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C5,C6,C7,C8,C11,C12,D1,D2,D3,D4,D5,D6,D11,D12,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H9,H10,H11,H12
,60,7444.76610970231,7666.63622610542,7775.67930660549,7683.50956158276,7829.13907864794,7886.54073083401,7890.53345775356,7612.18308725372,7675.22862435646,7843.3737374979,8057.91016506111,7926.92468355277,8032.32060100163,8107.59826392558,8106.93055073722,8181.82862078202,7670.13001404576,7823.35689361101,7620.11554173145,7679.88136701818,7982.09324685128,7960.34490049061,8120.70932599772,7931.30303867025,7837.09995995927,7904.31639554979,6510.60535801103,6661.34219539416,7717.51364030525,7985.49015963266,8066.10977318846,8134.10088372998,8016.19201188306,7950.43940403008,7897.43582528579,8021.99546254988,8169.46694010855,8163.71224558294,8138.85582199744,7806.33395081973,8089.53723198954,8166.04626385473,7873.83460492955,8051.67291657637,7902.45019933581,8185.71511155287,7766.79696944255,7961.52814099927,7886.49014767076,7994.05704324082,8194.57952790021,7797.06093934824,7817.37369928892,8009.61048921598,7712.43071897378,7904.61270451121,7551.61341497728,7922.62460413251,7641.42005214144,8066.97567326712,8088.27074404618,7955.32159053789,4999.9520819173,5164.46687140788,7276.54234471605,7502.09208970403,7573.67781938899,7460.30409775728,8575.70608660769,7845.69312209591,7855.75324734013,7222.98337086804
,60.5,7410.26173479923,7624.71262236679,7734.16523957101,7642.98556240565,7786.81293228901,7843.83651123274,7849.68463143811,7579.51081936281,7635.06045447403,7799.17881381698,8015.58199865999,7886.61678518469,7990.86904845411,8064.26056723375,8066.74169837901,8138.80726295898,7634.20790225882,7789.79566225345,7578.54044943908,7634.23123498671,7941.40513703059,7928.40655143427,8077.28929834548,7893.8742783423,7802.73457415857,7868.32632176128,6465.27768128704,6612.2967030048,7677.73300104896,7944.85927058069,8027.42000972261,8097.64591902429,7978.11832279472,7913.46023827412,7858.55020899082,7981.346200318,8127.92233769033,8125.87495623902,8097.32949895664,7772.53459944182,8051.27479324811,8129.09819609515,7840.34030006596,8014.3316765161,7861.54750225775,8143.42629017093,7727.89277039961,7919.89061340659,7848.61101099143,7951.214540012,8156.59389133403,7763.83395782853,7782.14465274868,7971.25156745862,7672.5683139938,7863.29580329639,7514.69065942727,7882.45499541652,7600.32864996901,8025.77650019871,8045.9928438391,7913.21539722377,4949.75442343298,5109.56087382448,7239.35667099683,7462.76239905637,7536.07146771203,7424.43778115109,8547.20194888262,7805.07968940703,7814.98671894757,7196.50348285113
,61,7375.75735989614,7582.78901862817,7692.65117253653,7602.46156322854,7744.48678593009,7801.13229163147,7808.83580512267,7546.8385514719,7594.89228459159,7754.98389013606,7973.25383225887,7846.30888681662,7949.41749590658,8020.92287054192,8026.55284602079,8095.78590513593,7598.28579047187,7756.23443089589,7536.96535714671,7588.58110295523,7900.71702720989,7896.46820237792,8033.86927069324,7856.44551801435,7768.36918835788,7832.33624797277,6419.95000456305,6563.25121061545,7637.95236179268,7904.22838152872,7988.73024625677,8061.1909543186,7940.04463370638,7876.48107251816,7819.66459269586,7940.69693808611,8086.3777352721,8088.03766689511,8055.80317591584,7738.73524806391,8013.01235450667,8092.15012833557,7806.84599520238,7976.99043645582,7820.64480517969,8101.137468789,7688.98857135667,7878.25308581391,7810.7318743121,7908.37203678317,8118.60825476785,7730.60697630882,7746.91560620844,7932.89264570126,7632.70590901382,7821.97890208158,7477.76790387725,7842.28538670053,7559.23724779659,7984.57732713029,8003.71494363202,7871.10920390965,4899.55676494867,5054.65487624108,7202.1709972776,7423.43270840871,7498.46511603508,7388.5714645449,8518.69781115754,7764.46625671814,7774.22019055501,7170.02359483422
,61.5,7341.25298499306,7540.86541488954,7651.13710550205,7561.93756405143,7702.16063957117,7758.4280720302,7767.98697880722,7514.16628358099,7554.72411470916,7710.78896645515,7930.92566585774,7806.00098844854,7907.96594335906,7977.58517385009,7986.36399366258,8052.76454731289,7562.36367868493,7722.67319953832,7495.39026485435,7542.93097092375,7860.0289173892,7864.52985332158,7990.44924304101,7819.0167576864,7734.00380255718,7796.34617418426,6374.62232783906,6514.20571822609,7598.17172253639,7863.59749247675,7950.04048279093,8024.7359896129,7901.97094461804,7839.5019067622,7780.77897640089,7900.04767585422,8044.83313285388,8050.20037755119,8014.27685287504,7704.93589668601,7974.74991576524,8055.20206057599,7773.3516903388,7939.64919639555,7779.74210810162,8058.84864740707,7650.08437231373,7836.61555822124,7772.85273763278,7865.52953355435,8080.62261820167,7697.37999478911,7711.6865596682,7894.5337239439,7592.84350403384,7780.66200086676,7440.84514832724,7802.11577798454,7518.14584562416,7943.37815406188,7961.43704342494,7829.00301059552,4849.35910646435,4999.74887865768,7164.98532355837,7384.10301776106,7460.85876435813,7352.70514793871,8490.19367343247,7723.85282402926,7733.45366216245,7143.54370681732
,62,7306.74861008997,7498.94181115091,7609.62303846757,7521.41356487432,7659.83449321224,7715.72385242893,7727.13815249177,7481.49401569008,7514.55594482672,7666.59404277423,7888.59749945662,7765.69309008046,7866.51439081153,7934.24747715826,7946.17514130436,8009.74318948985,7526.44156689799,7689.11196818076,7453.81517256198,7497.28083889228,7819.34080756851,7832.59150426524,7947.02921538877,7781.58799735845,7699.63841675649,7760.35610039575,6329.29465111507,6465.16022583673,7558.39108328011,7822.96660342478,7911.35071932508,7988.28102490721,7863.8972555297,7802.52274100624,7741.89336010592,7859.39841362233,8003.28853043566,8012.36308820728,7972.75052983423,7671.1365453081,7936.48747702381,8018.25399281641,7739.85738547521,7902.30795633527,7738.83941102356,8016.55982602513,7611.18017327079,7794.97803062856,7734.97360095345,7822.68703032553,8042.63698163549,7664.15301326941,7676.45751312796,7856.17480218654,7552.98109905385,7739.34509965195,7403.92239277722,7761.94616926855,7477.05444345173,7902.17898099347,7919.15914321786,7786.8968172814,4799.16144798004,4944.84288107428,7127.79964983915,7344.7733271134,7423.25241268118,7316.83883133251,8461.6895357074,7683.23939134038,7692.68713376989,7117.06381880041
,62.5,7272.24423518683,7457.01820741229,7568.10897143302,7480.88956569721,7617.50834685336,7673.0196328276,7686.28932617634,7448.82174779912,7474.3877749443,7622.39911909335,7846.26933305556,7725.38519171239,7825.06283826394,7890.90978046644,7905.98628894607,7966.7218316668,7490.51945511106,7655.5507368232,7412.24008026957,7451.63070686074,7778.65269774783,7800.65315520894,7903.60918773661,7744.1592370305,7665.27303095589,7724.36602660724,6283.9669743911,6416.1147334474,7518.61044402382,7782.33571437276,7872.66095585918,7951.82606020152,7825.82356644134,7765.54357525027,7703.00774381095,7818.74915139036,7961.74392801746,7974.52579886327,7931.22420679349,7637.33719393019,7898.2250382823,7981.30592505675,7706.36308061161,7864.96671627502,7697.93671394546,7974.27100464317,7572.27597422786,7753.34050303587,7697.09446427413,7779.84452709671,8004.6513450693,7630.92603174968,7641.22846658766,7817.81588042922,7513.1186940738,7698.0281984371,7366.99963722716,7721.77656055253,7435.96304127932,7860.97980792514,7876.88124301074,7744.79062396723,4748.96378949578,4889.93688349089,7090.61397611995,7305.4436364657,7385.64606100427,7280.97251472628,8433.18539798232,7642.62595865156,7651.92060537725,7090.58393078345
,63,7237.73986028374,7415.09460367366,7526.59490439854,7440.3655665201,7575.18220049444,7630.31541322633,7645.44049986089,7416.14947990821,7434.21960506186,7578.20419541243,7803.94116665443,7685.07729334431,7783.61128571641,7847.5720837746,7865.79743658786,7923.70047384376,7454.59734332412,7621.98950546564,7370.6649879772,7405.98057482927,7737.96458792713,7768.71480615259,7860.18916008437,7706.73047670255,7630.90764515519,7688.37595281873,6238.63929766711,6367.06924105804,7478.82980476754,7741.70482532079,7833.97119239333,7915.37109549583,7787.749877353,7728.56440949431,7664.12212751598,7778.09988915847,7920.19932559924,7936.68850951936,7889.69788375269,7603.53784255228,7859.96259954087,7944.35785729717,7672.86877574802,7827.62547621474,7657.0340168674,7931.98218326123,7533.37177518492,7711.70297544319,7659.2153275948,7737.00202386788,7966.66570850312,7597.69905022998,7605.99942004742,7779.45695867186,7473.25628909382,7656.71129722229,7330.07688167715,7681.60695183654,7394.87163910689,7819.78063485673,7834.60334280365,7702.6844306531,4698.76613101146,4835.03088590748,7053.42830240072,7266.11394581804,7348.03970932732,7245.10619812008,8404.68126025724,7602.01252596268,7611.1540769847,7064.10404276654
,63.5,7204.8630302756,7375.17545728578,7487.37225224515,7401.83207755156,7534.96556904167,7589.42044581747,7606.53375800408,7384.802278306,7394.74569750741,7534.99465755587,7763.19018260364,7646.11690545471,7743.55383402398,7806.06788206713,7827.09279727254,7882.45545418275,7420.04960456836,7590.40256076391,7330.49825985418,7363.25149089683,7698.73230255882,7735.31874180181,7818.43995817312,7671.12232060199,7597.66188209322,7653.81933547427,6198.17388332572,6324.42056078451,7440.51598526115,7702.18627206628,7796.73085696716,7879.76986772333,7751.26060288686,7693.12997754133,7626.96010218466,7739.54618704544,7879.89097193292,7900.86365038032,7849.78053636929,7570.52720720423,7822.64306075893,7908.67751839451,7640.88235355108,7792.22729034002,7616.99894549933,7891.39387971976,7495.73194617623,7671.62962931509,7622.50652753906,7696.01195274824,7930.35052256419,7565.85827632706,7572.57865679941,7742.55556024295,7434.69572882503,7616.83834577977,7295.19829811788,7643.39108407304,7355.34010977757,7780.66720814414,7794.26045384255,7662.28875745138,4657.50094559261,4789.21630133923,7017.14804141131,7228.01240053663,7311.95054640026,7210.73001801633,8378.14682642404,7562.24884311959,7572.06509576768,7039.2053625912
,64,7173.24379759926,7336.31326119996,7449.3287437975,7364.01941336955,7495.91910872616,7549.382834861,7569.11346103308,7354.47702347051,7356.64217338803,7493.02073316422,7723.71631715892,7608.58197668173,7704.60032970162,7765.99618698053,7789.73272373935,7842.89836003316,7386.96063615525,7560.6562861927,7292.03451412619,7322.43604596392,7660.70253957418,7701.90674671799,7777.23008857235,7636.12736464208,7565.09461155043,7620.45230732988,6162.1806446267,6286.62553249692,7403.08642300171,7663.41354990813,7760.06472552468,7845.20171040778,7716.02214438179,7658.86114715091,7590.11215296796,7701.85604488073,7840.17741748597,7865.40117871743,7810.18728069777,7537.75040602655,7785.76634453658,7873.20572935265,7610.00675679234,7758.27871413703,7577.16372369745,7851.68037302023,7458.52272088684,7631.72908509086,7585.74879431905,7655.79231160036,7894.62501620262,7534.33587938553,7539.60601408807,7707.32790170275,7397.17894545822,7577.50662715738,7260.79984620729,7605.8466072788,7316.39845792952,7742.07214350167,7754.03367990866,7621.95760231399,4623.78524046548,4750.70826046086,6981.48151534947,7190.46265546814,7276.74343542308,7176.60481723285,8353.01037382143,7522.43171497363,7533.19512667222,7014.95512663413
,64.5,7143.00521630734,7297.69830573838,7411.61507365283,7325.99204246423,7456.70077911669,7509.07708285069,7533.30919137961,7324.79700275711,7318.99622509178,7451.65394791188,7685.26536730491,7571.52456666708,7666.05924888759,7726.40192701539,7752.20611760083,7804.28906944477,7355.22938323851,7531.92144831507,7254.40138306742,7283.21897883365,7623.21164298241,7669.4701122628,7736.61672365891,7601.68119424319,7533.78600288149,7588.14083179975,6129.7833174223,6252.60290983592,7366.48079868089,7625.05520183894,7723.57201569363,7811.31721509776,7682.29285323095,7626.13337633672,7553.98886206542,7664.47870301909,7800.80117180648,7830.69892041397,7771.1884338812,7505.80458869398,7749.18128746995,7838.65627236793,7580.47438507613,7725.7216176251,7537.88896288919,7812.03495108411,7422.1259969009,7592.56234452685,7549.73242686822,7616.02615950341,7859.39472881,7503.60376619073,7507.21687036434,7674.02042661657,7360.34181586621,7538.63844476472,7227.24243937123,7568.89564770927,7277.91736059726,7703.93045503069,7714.38692202845,7581.9911006822,4596.55800879618,4718.60380221528,6946.46965710205,7154.10335518564,7242.32687989001,7143.69609783316,8329.88382881963,7482.83417734996,7494.31521443049,6991.69113832173
