,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,STD1,,17.2441084142223,17.2281974107155,0.0225015569502689,300000000000,11.4771212547197,300000000000,0,60,
,A02,SYBR,,Std-01,STD1,,17.2122864072087,17.2281974107155,0.0225015569502689,300000000000,11.4771212547197,300000000000,0,60,
,A03,SYBR,,Unkn-01,15.3_D,,18.3952107872161,18.4091659826091,0.0197356265904309,164378125757.314,11.2158440243053,162888111037.623,2107199024.72223,60,
,A04,SYBR,,Unkn-01,15.3_D,,18.4231211780022,18.4091659826091,0.0197356265904309,161398096317.932,11.2078984079357,162888111037.623,2107199024.72223,60,
,A05,SYBR,,Unkn-09,5.5_A,,18.3491704488855,18.3690649529449,0.0281350774574842,169414637250.995,11.2289509302138,167233866104.628,3084076131.62407,60,
,A06,SYBR,,Unkn-09,5.5_A,,18.3889594570043,18.3690649529449,0.0281350774574842,165053094958.261,11.217623672324,167233866104.628,3084076131.62407,60,
,A07,SYBR,,Unkn-17,6.3_D,,18.6591617343929,18.8057844233588,0.207355795287195,138261623550.493,11.1407016523213,126172143399.625,17097106791.3971,60,
,A08,SYBR,,Unkn-17,6.3_D,,18.9524071123247,18.8057844233588,0.207355795287195,114082663248.758,11.0572196511889,126172143399.625,17097106791.3971,60,
,A09,SYBR,,Unkn-25,10.1_C,,18.2438204124473,18.2861859863668,0.0599139692145721,181527448934.838,11.2589423044113,176623704575.341,6934941779.61139,60,
,A10,SYBR,,Unkn-25,10.1_C,,18.3285515602862,18.2861859863668,0.0599139692145721,171719960215.844,11.2348207791899,176623704575.341,6934941779.61139,60,
,A11,SYBR,,Unkn-33,15.1_C,,18.2357296959512,18.3034821957828,0.0958165041465605,182492741155.05,11.2612455946062,174737361690.832,10967762819.6466,60,
,A12,SYBR,,Unkn-33,15.1_C,,18.3712346956144,18.3034821957828,0.0958165041465605,166981982226.614,11.2226696122152,174737361690.832,10967762819.6466,60,
,B01,SYBR,,Std-02,STD2,,21.2343352515116,21.211034409139,0.0329523672979268,30000000000,10.4771212547197,30000000000,0,60,
,B02,SYBR,,Std-02,STD2,,21.1877335667665,21.211034409139,0.0329523672979268,30000000000,10.4771212547197,30000000000,0,60,
,B03,SYBR,,Unkn-02,10.1_A,,18.3287714603024,18.3671865106637,0.054327085220213,171695209252.664,11.2347581773732,167478761437.787,5962957684.83752,60,
