,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Std-01,STD1,,17.1050431254882,17.0590898452794,0.0649877521068375,300000000000,11.4771212547197,300000000000,0,60,
,A02,SYBR,,Std-01,STD1,,17.0131365650706,17.0590898452794,0.0649877521068375,300000000000,11.4771212547197,300000000000,0,60,
,A07,SYBR,,Unkn-17,9.2_B,,17.3199808711481,17.3409008841839,0.0295853661602758,351690757446.619,11.5461609550594,347047878789.399,6566021965.49294,60,
,A08,SYBR,,Unkn-17,9.2_B,,17.3618208972197,17.3409008841839,0.0295853661602758,342405000132.179,11.5345400980435,347047878789.399,6566021965.49294,60,
,A09,SYBR,,Unkn-25,10.3_C,,18.0664428888154,18.0542869943665,0.0171910307924789,218190019073.876,11.3388348802565,219899500213.254,2417571411.92811,60,
,A10,SYBR,,Unkn-25,10.3_C,,18.0421310999175,18.0542869943665,0.0171910307924789,221608981352.631,11.3455873574682,219899500213.254,2417571411.92811,60,
,A11,SYBR,,Unkn-33,11.4_B,,17.533035689624,17.7000681084651,0.236219512081169,306892340777.357,11.4869860497233,277374679168.993,41744277376.088,60,
,A12,SYBR,,Unkn-33,11.4_B,,17.8671005273063,17.7000681084651,0.236219512081169,247857017560.629,11.3942012195684,277374679168.993,41744277376.088,60,
,B01,SYBR,,Std-02,STD2,,21.5987622730116,21.6177446718827,0.0268451659298388,30000000000,10.4771212547197,30000000000,0,60,
,B02,SYBR,,Std-02,STD2,,21.6367270707537,21.6177446718827,0.0268451659298388,30000000000,10.4771212547197,30000000000,0,60,
,B05,SYBR,,Unkn-10,10.5_C,,17.0643675181144,17.1319523266422,0.0955793528303827,414148678136.652,11.6171562795332,396999980535.378,24251920724.7564,60,
,B06,SYBR,,Unkn-10,10.5_C,,17.1995371351699,17.1319523266422,0.0955793528303827,379851282934.104,11.5796135975568,396999980535.378,24251920724.7564,60,
,B07,SYBR,,Unkn-18,7.5_B,,17.2535874732906,17.3112191920354,0.0815035582717621,366945349248.381,11.5646013877202,353907190543.275,18438740869.134,60,
,B08,SYBR,,Unkn-18,7.5_B,,17.3688509107802,17.3112191920354,0.0815035582717621,340869031838.169,11.5325875470995,353907190543.275,18438740869.134,60,
,B09,SYBR,,Unkn-26,11.3_C,,17.3617454311313,17.3500437825834,0.016548630078672,342421526001.639,11.5345610583704,345003335154.964,3651229520.0905,60,
,B10,SYBR,,Unkn-26,11.3_C,,17.3383421340354,17.3500437825834,0.016548630078672,347585144308.288,11.5410612065488,345003335154.964,3651229520.0905,60,
,B11,SYBR,,Unkn-34,10.4_A,,17.3463443963371,17.4943338520201,0.209288695315045,345810852411.894,11.5388386184019,315993015633.368,42168789172.8191,60,
,B12,SYBR,,Unkn-34,10.4_A,,17.642323307703,17.4943338520201,0.209288695315045,286175178854.842,11.4566319629184,315993015633.368,42168789172.8191,60,
,C01,SYBR,,Std-03,STD3,,25.4326724206472,25.400260666694,0.045837142020958,3000000000,9.47712125471966,3000000000,0,60,
,C02,SYBR,,Std-03,STD3,,25.3678489127408,25.400260666694,0.045837142020958,3000000000,9.47712125471966,3000000000,0,60,
,C05,SYBR,,Unkn-11,15.5_C,,17.8289826444871,17.8256081846268,0.0047722069001501,253973421633.178,11.4047882699979,254522699390.307,776796053.640992,60,
,C06,SYBR,,Unkn-11,15.5_C,,17.8222337247665,17.8256081846268,0.0047722069001501,255071977147.435,11.4066627485403,254522699390.307,776796053.640992,60,
,C07,SYBR,,Unkn-19,6.5_B,,17.5041824066409,17.5080342466905,0.00544732443824958,312607867681.769,11.4949999040983,311839691816.303,1086364727.2295,60,
,C08,SYBR,,Unkn-19,6.5_B,,17.5118860867401,17.5080342466905,0.00544732443824958,311071515950.837,11.492860245658,311839691816.303,1086364727.2295,60,
,C11,SYBR,,Unkn-35,7.2_A,,17.0189628581298,16.9587723938635,0.0851221708909303,426350911406.649,11.6297671957079,443411013905.997,24126628330.0544,60,
,C12,SYBR,,Unkn-35,7.2_A,,16.8985819295973,16.9587723938635,0.0851221708909303,460471116405.346,11.6632023937529,443411013905.997,24126628330.0544,60,
,D01,SYBR,,Std-04,STD4,,27.7948536021345,27.7996684064367,0.00680916154434552,300000000,8.47712125471966,300000000,0,60,
,D02,SYBR,,Std-04,STD4,,27.8044832107389,27.7996684064367,0.00680916154434552,300000000,8.47712125471966,300000000,0,60,
,D03,SYBR,,Unkn-04,9.3_D,,17.7481120171461,17.6548721438177,0.131861093415036,267454358962.856,11.4272496804067,284392568546.403,23954245715.3704,60,
,D04,SYBR,,Unkn-04,9.3_D,,17.5616322704892,17.6548721438177,0.131861093415036,301330778129.95,11.4790434930717,284392568546.403,23954245715.3704,60,
,D05,SYBR,,Unkn-12,10.2_C,,17.6566606714209,17.6023182332698,0.076851813045706,283563176154.694,11.4526498321839,293768613301.13,14432667622.4358,60,
,D06,SYBR,,Unkn-12,10.2_C,,17.5479757951187,17.6023182332698,0.076851813045706,303974050447.566,11.4828365104888,293768613301.13,14432667622.4358,60,
,D11,SYBR,,Unkn-36,5.6_B,,17.5170867907148,17.6014842512931,0.119356033379693,310038606513.815,11.49141577626,294175912942.184,22433236384.7682,60,
,D12,SYBR,,Unkn-36,5.6_B,,17.6858817118714,17.6014842512931,0.119356033379693,278313219370.554,11.4445338350201,294175912942.184,22433236384.7682,60,
,E03,SYBR,,Unkn-05,12.5_D,,17.6362325922572,17.6447930313156,0.0121062890162369,287292063396.648,11.4583236285306,285727813558.341,2212183336.27274,60,
,E04,SYBR,,Unkn-05,12.5_D,,17.653353470374,17.6447930313156,0.0121062890162369,284163563720.035,11.4535683906576,285727813558.341,2212183336.27274,60,
,E05,SYBR,,Unkn-13,6.5_C,,17.8068097255899,17.8795233810645,0.102832637741916,257600491199.899,11.4109466868136,246161565795.484,16177083445.8974,60,
,E06,SYBR,,Unkn-13,6.5_C,,17.9522370365391,17.8795233810645,0.102832637741916,234722640391.07,11.3705549818981,246161565795.484,16177083445.8974,60,
,E07,SYBR,,Unkn-21,3.4_D,,17.5683445032255,17.6304585277692,0.087842495923283,300040032722.517,11.4771792041549,288582446674.95,16203473580.5258,60,
,E08,SYBR,,Unkn-21,3.4_D,,17.6925725523129,17.6304585277692,0.087842495923283,277124860627.383,11.4426754877057,288582446674.95,16203473580.5258,60,
,E09,SYBR,,Unkn-29,10.5_A,,17.3787674550351,17.3387280708973,0.056624240076611,338714100713.396,11.5298332767584,347613296520.164,12585363404.1452,60,
,E10,SYBR,,Unkn-29,10.5_A,,17.2986886867596,17.3387280708973,0.056624240076611,356512492326.933,11.5520747522905,347613296520.164,12585363404.1452,60,
,E11,SYBR,,Unkn-37,9.2_D,,17.1130657905821,17.6232795458554,0.721551212416713,401449183584.261,11.6036305790402,305240396682.527,136059771255.896,60,
,E12,SYBR,,Unkn-37,9.2_D,,18.1334933011286,17.6232795458554,0.721551212416713,209031609780.792,11.3202119651319,305240396682.527,136059771255.896,60,
,F03,SYBR,,Unkn-06,5.2_A,,16.9273280814196,16.9684500942226,0.0581553082180815,452083123107.841,11.6552182945195,440501133086.474,16379407367.4871,60,
,F04,SYBR,,Unkn-06,5.2_A,,17.0095721070256,16.9684500942226,0.0581553082180815,428919143065.107,11.6323754296432,440501133086.474,16379407367.4871,60,
