,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,,Std-01,STD1,,17.0618547884332,16.9958903970181,0.0932877369728898,30000000,7.47712125471966,30000000,0,62,
,A02,FAM,,Std-01,STD1,,16.929926005603,16.9958903970181,0.0932877369728898,30000000,7.47712125471966,30000000,0,62,
,A07,FAM,,Unkn-17,9.2_B,,21.5736008514471,21.5827432641606,0.0129293240522634,1274008.10278605,6.10517219015324,1266003.99036249,11319.5243441562,62,
,A08,FAM,,Unkn-17,9.2_B,,21.5918856768742,21.5827432641606,0.0129293240522634,1257999.87793893,6.09968059897058,1266003.99036249,11319.5243441562,62,
,A09,FAM,,Unkn-25,10.3_C,,22.4225652010809,22.4585194800745,0.0508470289780752,708268.031829459,5.85019764005706,691088.248694586,24295.8823079656,62,
,A10,FAM,,Unkn-25,10.3_C,,22.4944737590681,22.4585194800745,0.0508470289780752,673908.465559713,5.82860091196271,691088.248694586,24295.8823079656,62,
,A11,FAM,,Unkn-33,11.4_B,,21.9866104085994,21.9955694349786,0.0126699766110553,957481.860731763,5.98113055511197,951586.281229171,8337.60849061473,62,
,A12,FAM,,Unkn-33,11.4_B,,22.0045284613577,21.9955694349786,0.0126699766110553,945690.701726579,5.9757491189626,951586.281229171,8337.60849061473,62,
,B01,FAM,,Std-02,STD2,,20.3370721008711,20.2971259885159,0.0564923338568025,3000000,6.47712125471966,3000000,0,62,
,B02,FAM,,Std-02,STD2,,20.2571798761607,20.2971259885159,0.0564923338568025,3000000,6.47712125471966,3000000,0,62,
,B03,FAM,,Unkn-02,15.1_A,,20.0345865721709,20.1610362932288,0.178826910478335,3693121.28433818,6.56739357037881,3396835.73610493,419011.040646608,62,
,B04,FAM,,Unkn-02,15.1_A,,20.2874860142867,20.1610362932288,0.178826910478335,3100550.18787168,6.4914387655618,3396835.73610493,419011.040646608,62,
,B05,FAM,,Unkn-10,10.5_C,,21.4660982015734,21.4717896207012,0.00804888211969905,1372331.73083072,6.13745910514269,1366951.57906022,7608.68360146935,62,
,B06,FAM,,Unkn-10,10.5_C,,21.477481039829,21.4717896207012,0.00804888211969905,1361571.42728972,6.13404042912373,1366951.57906022,7608.68360146935,62,
,B07,FAM,,Unkn-18,7.5_B,,21.3586167871116,21.3333376694853,0.0357500709919924,1478221.93495231,6.16973964237363,1504520.91902717,37192.3799553075,62,
,B08,FAM,,Unkn-18,7.5_B,,21.3080585518589,21.3333376694853,0.0357500709919924,1530819.90310203,6.1849241001106,1504520.91902717,37192.3799553075,62,
,B09,FAM,,Unkn-26,11.3_C,,21.6824453597948,21.745506372358,0.0891817392237691,1181632.06283339,6.07248226676792,1132284.64489781,69787.7877125968,62,
,B10,FAM,,Unkn-26,11.3_C,,21.8085673849211,21.745506372358,0.0891817392237691,1082937.22696222,6.0346032832421,1132284.64489781,69787.7877125968,62,
,B11,FAM,,Unkn-34,10.4_A,,21.7013900723401,21.6838643720839,0.0247850829924774,1166252.23150323,6.066792487733,1180559.77805756,20233.9263814265,62,
,B12,FAM,,Unkn-34,10.4_A,,21.6663386718276,21.6838643720839,0.0247850829924774,1194867.3246119,6.07731968487593,1180559.77805756,20233.9263814265,62,
,C01,FAM,,Std-03,STD3,,23.7694834204439,23.794231154852,0.0349985816379752,300000,5.47712125471966,300000,0,62,
,C02,FAM,,Std-03,STD3,,23.8189788892601,23.794231154852,0.0349985816379752,300000,5.47712125471966,300000,0,62,
,C05,FAM,,Unkn-11,15.5_C,,22.3300452865423,22.3192761522916,0.0152298557124208,755065.627211548,5.87798470036718,760730.979673055,8012.01828668703,62,
