Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,FAM,0,Std-01,STD1,,16.66790955,16.66099577,0.009777566,30000000,7.477121255,30000000,0,62,
A02,FAM,0,Std-01,STD1,,16.65408199,16.66099577,0.009777566,30000000,7.477121255,30000000,0,62,
A03,FAM,0,Unkn-01,11.3_A,,22.4967423,22.50720006,0.014789509,564962.8645,5.752019902,560953.8437,5669.611609,62,
A04,FAM,0,Unkn-01,11.3_A,,22.51765783,22.50720006,0.014789509,556944.8229,5.745812171,560953.8437,5669.611609,62,
A05,FAM,0,Unkn-09,9.1_D,,23.05237478,23.0540891,0.002424415,386463.1505,5.58710809,386010.9082,639.5670872,62,
A06,FAM,0,Unkn-09,9.1_D,,23.05580342,23.0540891,0.002424415,385558.666,5.586090469,386010.9082,639.5670872,62,
A07,FAM,0,Unkn-17,5.1_C,,22.92126926,23.14286276,0.313380531,422688.3024,5.626020229,367461.8925,78101.93793,62,
A08,FAM,0,Unkn-17,5.1_C,,23.36445626,23.14286276,0.313380531,312235.4825,5.494482255,367461.8925,78101.93793,62,
A09,FAM,0,Unkn-25,7.5_C,,22.69327535,22.74862442,0.078275413,493956.6779,5.693688861,475961.5472,25448.95787,62,
A10,FAM,0,Unkn-25,7.5_C,,22.8039735,22.74862442,0.078275413,457966.4166,5.660833632,475961.5472,25448.95787,62,
A11,FAM,0,Unkn-33,9.3_A,,22.14370942,22.18767518,0.062176979,719117.9371,5.856800122,698147.3366,29656.90758,62,
A12,FAM,0,Unkn-33,9.3_A,,22.23164094,22.18767518,0.062176979,677176.7362,5.83070203,698147.3366,29656.90758,62,
B01,FAM,0,Std-02,STD2,,20.11061626,20.08995833,0.029214719,3000000,6.477121255,3000000,0,62,
B02,FAM,0,Std-02,STD2,,20.06930041,20.08995833,0.029214719,3000000,6.477121255,3000000,0,62,
