Well,,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,,SYBR,,Std-01,STD1,,17.24410841,17.22819741,0.022501557,3.00E+11,11.47712125,3.00E+11,0,60,
A02,,SYBR,,Std-01,STD1,,17.21228641,17.22819741,0.022501557,3.00E+11,11.47712125,3.00E+11,0,60,
A03,,SYBR,,Unkn-01,15.3_D,,18.39521079,18.40916598,0.019735627,1.64E+11,11.21584402,1.63E+11,2107199025,60,
A04,,SYBR,,Unkn-01,15.3_D,,18.42312118,18.40916598,0.019735627,1.61E+11,11.20789841,1.63E+11,2107199025,60,
A05,,SYBR,,Unkn-09,5.5_A,,18.34917045,18.36906495,0.028135077,1.69E+11,11.22895093,1.67E+11,3084076132,60,
A06,,SYBR,,Unkn-09,5.5_A,,18.38895946,18.36906495,0.028135077,1.65E+11,11.21762367,1.67E+11,3084076132,60,
A07,,SYBR,,Unkn-17,6.3_D,,18.65916173,18.80578442,0.207355795,1.38E+11,11.14070165,1.26E+11,17097106791,60,
A08,,SYBR,,Unkn-17,6.3_D,,18.95240711,18.80578442,0.207355795,1.14E+11,11.05721965,1.26E+11,17097106791,60,
A09,,SYBR,,Unkn-25,10.1_C,,18.24382041,18.28618599,0.059913969,1.82E+11,11.2589423,1.77E+11,6934941780,60,
A10,,SYBR,,Unkn-25,10.1_C,,18.32855156,18.28618599,0.059913969,1.72E+11,11.23482078,1.77E+11,6934941780,60,
A11,,SYBR,,Unkn-33,15.1_C,,18.2357297,18.3034822,0.095816504,1.82E+11,11.26124559,1.75E+11,10967762820,60,
A12,,SYBR,,Unkn-33,15.1_C,,18.3712347,18.3034822,0.095816504,1.67E+11,11.22266961,1.75E+11,10967762820,60,
B01,,SYBR,,Std-02,STD2,,21.23433525,21.21103441,0.032952367,30000000000,10.47712125,30000000000,0,60,
B02,,SYBR,,Std-02,STD2,,21.18773357,21.21103441,0.032952367,30000000000,10.47712125,30000000000,0,60,
B03,,SYBR,,Unkn-02,10.1_A,,18.32877146,18.36718651,0.054327085,1.72E+11,11.23475818,1.67E+11,5962957685,60,
B04,,SYBR,,Unkn-02,10.1_A,,18.40560156,18.36718651,0.054327085,1.63E+11,11.21288595,1.67E+11,5962957685,60,
