,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,FAM,0,Std-01,STD1,,16.5797572986014,16.571098324096,0.0122456391817487,30000000,7.47712125471966,30000000,0,62,
,A02,FAM,0,Std-01,STD1,,16.5624393495907,16.571098324096,0.0122456391817487,30000000,7.47712125471966,30000000,0,62,
,A03,FAM,0,Unkn-01,7.2_D,,21.49987685712,21.4736915899069,0.0370315600270586,946397.854631192,5.97607374712823,963776.412752755,24576.9925900037,62,
,A04,FAM,0,Unkn-01,7.2_D,,21.4475063226939,21.4736915899069,0.0370315600270586,981154.970874318,5.99173760848099,963776.412752755,24576.9925900037,62,
,A05,FAM,0,Unkn-09,2.3_D,,22.0099601677439,22.0051987610748,0.00673364588729743,666054.000009322,5.823509440815,668245.276250867,3098.93257969869,62,
,A06,FAM,0,Unkn-09,2.3_D,,22.0004373544058,22.0051987610748,0.00673364588729743,670436.552492412,5.82635768419174,668245.276250867,3098.93257969869,62,
,A07,FAM,0,Unkn-17,5.4_C,,22.6753065851076,22.6831354185513,0.0110716424336076,421217.523014664,5.62450642991677,418958.651537014,3194.52667935139,62,
,A08,FAM,0,Unkn-17,5.4_C,,22.6909642519949,22.6831354185513,0.0110716424336076,416699.780059363,5.61982327122994,418958.651537014,3194.52667935139,62,
,A09,FAM,0,Unkn-25,8.1_B,,20.8516583972024,20.8379423549598,0.0193974129615963,1478951.18631582,6.1699538400797,1493054.43133011,19945.0003726778,62,
,A10,FAM,0,Unkn-25,8.1_B,,20.8242263127172,20.8379423549598,0.0193974129615963,1507157.6763444,6.17815868986218,1493054.43133011,19945.0003726778,62,
,A11,FAM,0,Unkn-33,2.2_A,,21.982202498298,21.6425469337994,0.480345505849411,678909.165806586,5.83181167203034,881407.412818007,286375.767280329,62,
,A12,FAM,0,Unkn-33,2.2_A,,21.3028913693008,21.6425469337994,0.480345505849411,1083905.65982943,6.0349914840488,881407.412818007,286375.767280329,62,
,B01,FAM,0,Std-02,STD2,,19.750915655808,19.7958265665447,0.0635136190623436,3000000,6.47712125471966,3000000,0,62,
,B02,FAM,0,Std-02,STD2,,19.8407374772814,19.7958265665447,0.0635136190623436,3000000,6.47712125471966,3000000,0,62,
,B03,FAM,0,Unkn-02,10.2_A,,21.0006344498279,21.2789423547327,0.393586813632103,1334736.61239111,6.12539557351284,1122234.38198974,300523.536268139,62,
,B04,FAM,0,Unkn-02,10.2_A,,21.5572502596376,21.2789423547327,0.393586813632103,909732.151588381,5.95891354373866,1122234.38198974,300523.536268139,62,
,B05,FAM,0,Unkn-10,9.3_C,,21.670992661784,21.6550368132381,0.0225649774128006,841188.933736627,5.92489355068959,850534.853613053,13217.1266420938,62,
,B06,FAM,0,Unkn-10,9.3_C,,21.6390809646922,21.6550368132381,0.0225649774128006,859880.773489479,5.93443823844685,850534.853613053,13217.1266420938,62,
,B07,FAM,0,Unkn-18,10.2_D,,21.1573847568886,21.1499095554606,0.0105715312408691,1198152.37239404,6.07851205201151,1204352.49378455,8768.29575883096,62,
,B08,FAM,0,Unkn-18,10.2_D,,21.1424343540327,21.1499095554606,0.0105715312408691,1210552.61517507,6.08298367026153,1204352.49378455,8768.29575883096,62,
,B09,FAM,0,Unkn-26,13.4_C,,21.6831834716061,21.6539363377232,0.0413616933977353,834156.076857982,5.92124731799553,851300.987898231,24246.5657187993,62,
,B10,FAM,0,Unkn-26,13.4_C,,21.6246892038403,21.6539363377232,0.0413616933977353,868445.898938479,5.93874276863882,851300.987898231,24246.5657187993,62,
,B11,FAM,0,Unkn-34,10.5_B,,21.6433741632458,21.6580915348271,0.0208135064926961,857342.111717947,5.93315415632624,848739.755124335,12165.5693630562,62,
,B12,FAM,0,Unkn-34,10.5_B,,21.6728089064083,21.6580915348271,0.0208135064926961,840137.398530723,5.92435031766192,848739.755124335,12165.5693630562,62,
,C01,FAM,0,Std-03,STD3,,23.1255342200332,23.1472459663447,0.0307050460964488,300000,5.47712125471966,300000,0,62,
,C02,FAM,0,Std-03,STD3,,23.1689577126561,23.1472459663447,0.0307050460964488,300000,5.47712125471966,300000,0,62,
,C03,FAM,0,Unkn-03,7.5_A,,21.4026392365171,21.3589858185449,0.0617352557403144,1011945.7066519,6.00515721217373,1043302.02021236,44344.5239032158,62,
,C04,FAM,0,Unkn-03,7.5_A,,21.3153324005726,21.3589858185449,0.0617352557403144,1074658.33377281,6.03127041090981,1043302.02021236,44344.5239032158,62,
,C05,FAM,0,Unkn-11,10.2_B,,21.0871347073772,21.0800899290141,0.00996282110495426,1257545.24619246,6.09952361982594,1263676.18867938,8670.46201513571,62,
,C06,FAM,0,Unkn-11,10.2_B,,21.073045150651,21.0800899290141,0.00996282110495426,1269807.13116631,6.10373776171887,1263676.18867938,8670.46201513571,62,
,C07,FAM,0,Unkn-19,7.2_B,,21.5885130554588,21.5567939502793,0.0448575887312674,890354.463635923,5.94956294030087,910235.224654491,28115.6418627572,62,
,C08,FAM,0,Unkn-19,7.2_B,,21.5250748450997,21.5567939502793,0.0448575887312674,930115.985673059,5.96853710855067,910235.224654491,28115.6418627572,62,
,C09,FAM,0,Unkn-27,14.5_B,,21.4016420798963,21.407417710902,0.00816797569950214,1012640.88659621,6.00545545856794,1008628.93131774,5673.76156644439,62,
,C10,FAM,0,Unkn-27,14.5_B,,21.4131933419077,21.407417710902,0.00816797569950214,1004616.97603927,6.00200051260303,1008628.93131774,5673.76156644439,62,
,C11,FAM,0,Unkn-35,11.2_C,,21.2050588846206,21.2441553491475,0.0552907503748426,1159452.25900105,6.06425287106003,1129059.03880479,42982.5042057319,62,
,C12,FAM,0,Unkn-35,11.2_C,,21.2832518136745,21.2441553491475,0.0552907503748426,1098665.81860854,6.04086561307443,1129059.03880479,42982.5042057319,62,
,D01,FAM,0,Std-04,STD4,,26.4409377490263,26.4582064163304,0.0244215835055941,30000,4.47712125471966,30000,0,62,
,D02,FAM,0,Std-04,STD4,,26.4754750836345,26.4582064163304,0.0244215835055941,30000,4.47712125471966,30000,0,62,
,D03,FAM,0,Unkn-04,13.1_A,,21.3469539385121,21.2910288092422,0.0790900762909107,1051507.82479875,6.0218125088381,1093607.75905275,59538.2979970151,62,
,D04,FAM,0,Unkn-04,13.1_A,,21.2351036799724,21.2910288092422,0.0790900762909107,1135707.69330674,6.0552665677137,1093607.75905275,59538.2979970151,62,
,D05,FAM,0,Unkn-12,17.5_D,,21.5854666344392,21.5703024481601,0.0214453978982541,892224.439684488,5.95047411520098,901640.390773538,13316.1657327759,62,
,D06,FAM,0,Unkn-12,17.5_D,,21.555138261881,21.5703024481601,0.0214453978982541,911056.341862588,5.95954523559363,901640.390773538,13316.1657327759,62,
,D07,FAM,0,Unkn-20,6.2_A,,22.0253267962959,21.9947873188209,0.0431893432328737,659042.361473709,5.81891333077458,673199.279786494,20020.9058793478,62,
,D08,FAM,0,Unkn-20,6.2_A,,21.9642478413459,21.9947873188209,0.0431893432328737,687356.198099278,5.83718185318688,673199.279786494,20020.9058793478,62,
,D09,FAM,0,Unkn-28,5.5_D,,21.2273358138865,21.2316253193721,0.00606627683359428,1141799.66674261,6.05758991191303,1138436.54718257,4756.1692936909,62,
,D10,FAM,0,Unkn-28,5.5_D,,21.2359148248577,21.2316253193721,0.00606627683359428,1135073.42762253,6.05502395684175,1138436.54718257,4756.1692936909,62,
,D11,FAM,0,Unkn-36,11.2_A,,21.4263481458475,21.4753618167478,0.0693157981289475,995556.591909416,5.99806595231463,963060.335425839,45956.6466454288,62,
,D12,FAM,0,Unkn-36,11.2_A,,21.5243754876481,21.4753618167478,0.0693157981289475,930564.078942262,5.96874628415442,963060.335425839,45956.6466454288,62,
,E01,FAM,0,Std-05,STD5,,29.538690820867,29.6901738364379,0.214229335089494,3000,3.47712125471966,3000,0,62,
,E02,FAM,0,Std-05,STD5,,29.8416568520088,29.6901738364379,0.214229335089494,3000,3.47712125471966,3000,0,62,
,E03,FAM,0,Unkn-05,17.4_D,,22.0271454162551,21.9383662724077,0.125552669284823,658217.443333766,5.81836938729172,701026.136449782,60540.6343921379,62,
,E04,FAM,0,Unkn-05,17.4_D,,21.8495871285604,21.9383662724077,0.125552669284823,743834.829565799,5.8714765100462,701026.136449782,60540.6343921379,62,
,E05,FAM,0,Unkn-13,14.5_A,,22.210692627615,22.192648480556,0.0255182774922689,580057.433096991,5.76347099639437,587356.090741286,10321.86062768,62,
,E06,FAM,0,Unkn-13,14.5_A,,22.174604333497,22.192648480556,0.0255182774922689,594654.748385581,5.77426489112384,587356.090741286,10321.86062768,62,
,E07,FAM,0,Unkn-21,15.1_D,,21.4800546112085,21.4390418200964,0.0580008454215601,959406.194581925,5.98200251824085,987284.983195476,39426.5609598157,62,
,E08,FAM,0,Unkn-21,15.1_D,,21.3980290289842,21.4390418200964,0.0580008454215601,1015163.77180903,6.00653611067828,987284.983195476,39426.5609598157,62,
,E09,FAM,0,Unkn-29,5.1_D,,21.3472616105327,21.3585900710505,0.0160208625051093,1051285.04181573,6.02172048510901,1043146.71749636,11509.3286274501,62,
,E10,FAM,0,Unkn-29,5.1_D,,21.3699185315683,21.3585900710505,0.0160208625051093,1035008.39317698,6.0149438716245,1043146.71749636,11509.3286274501,62,
,E11,FAM,0,Unkn-37,17.3_B,,21.6028973713632,21.6147693455008,0.0167895068374865,881577.783112286,5.94526063686919,874428.457770439,10110.6728602575,62,
,E12,FAM,0,Unkn-37,17.3_B,,21.6266413196383,21.6147693455008,0.0167895068374865,867279.132428592,5.93815889697242,874428.457770439,10110.6728602575,62,
,F01,FAM,0,Std-06,STD6,,33.6041638318163,33.376089103884,0.322546373476501,300,2.47712125471966,300,0,62,
,F02,FAM,0,Std-06,STD6,,33.1480143759516,33.376089103884,0.322546373476501,300,2.47712125471966,300,0,62,
,F03,FAM,0,Unkn-06,7.4_A,,21.7941070648992,21.8252019354623,0.043974787670625,772805.887042135,5.88807042176688,756605.719545515,22910.4965864344,62,
,F04,FAM,0,Unkn-06,7.4_A,,21.8562968060254,21.8252019354623,0.043974787670625,740405.552048896,5.86946966671938,756605.719545515,22910.4965864344,62,
,F07,FAM,0,Unkn-22,7.3_B,,21.8751809268493,21.913912022873,0.054774041282283,730838.614902021,5.86382148585595,711855.130206667,26846.7015172708,62,
,F08,FAM,0,Unkn-22,7.3_B,,21.9526431188967,21.913912022873,0.054774041282283,692871.645511314,5.84065278899983,711855.130206667,26846.7015172708,62,
,F09,FAM,0,Unkn-30,5.3_C,,23.1366860072074,23.1732037727099,0.0516439192413271,306555.634411143,5.48650930275384,299036.558931472,10633.5785198588,62,
,F10,FAM,0,Unkn-30,5.3_C,,23.2097215382125,23.1732037727099,0.0516439192413271,291517.4834518,5.46466460622693,299036.558931472,10633.5785198588,62,
,G03,FAM,0,Unkn-07,3.1_D,,23.4125352332571,23.3609436622538,0.0729614994170138,253515.005916387,5.40400367094274,262850.389935764,13202.2266901638,62,
,G04,FAM,0,Unkn-07,3.1_D,,23.3093520912505,23.3609436622538,0.0729614994170138,272185.773955141,5.4348654226519,262850.389935764,13202.2266901638,62,
,G05,FAM,0,Unkn-15,13.4_A,,21.603801192799,21.5381650368937,0.0928235418633765,881029.208595382,5.94499030673387,922710.4280782,58946.145888851,62,
,G06,FAM,0,Unkn-15,13.4_A,,21.4725288809883,21.5381650368937,0.0928235418633765,964391.647561018,5.98425344036793,922710.4280782,58946.145888851,62,
,G07,FAM,0,Unkn-23,12.2_B,,21.7453954082451,21.6893246311084,0.07929605347946,799171.383382919,5.9026399243403,831254.942124671,45373.0039017791,62,
,G08,FAM,0,Unkn-23,12.2_B,,21.6332538539718,21.6893246311084,0.07929605347946,863338.500866422,5.9361811088493,831254.942124671,45373.0039017791,62,
,G09,FAM,0,Unkn-31,13.1_C,,21.2178787315239,21.2274859359961,0.0135866388610616,1149260.53988808,6.06041849536274,1141706.61387467,10682.8646173204,62,
,G10,FAM,0,Unkn-31,13.1_C,,21.2370931404683,21.2274859359961,0.0135866388610616,1134152.68786127,6.05467152636618,1141706.61387467,10682.8646173204,62,
,G11,FAM,0,Unkn-39,8.2_C,,21.2349665161805,21.2798120080466,0.0634211028083238,1135814.98202981,6.0553075929704,1101796.90228816,48108.8297365312,62,
,G12,FAM,0,Unkn-39,8.2_C,,21.3246574999127,21.2798120080466,0.0634211028083238,1067778.82254651,6.02848130316508,1101796.90228816,48108.8297365312,62,
,H01,FAM,0,NTC-01,NEG,,NaN,0,0,NaN,NaN,0,0,62,
,H02,FAM,0,NTC-01,NEG,,NaN,0,0,NaN,NaN,0,0,62,
,H03,FAM,0,Unkn-08,17.3_C,,22.2667862504239,22.2331246505535,0.0476046910679953,558076.289054464,5.74669357107147,571318.57055741,18727.4140982285,62,
,H04,FAM,0,Unkn-08,17.3_C,,22.199463050683,22.2331246505535,0.0476046910679953,584560.852060356,5.76682972736857,571318.57055741,18727.4140982285,62,
,H05,FAM,0,Unkn-16,15.2_D,,21.8831331775033,21.9150767043744,0.045174968931121,726846.984186093,5.86144299281492,711203.474572315,22123.2634589199,62,
,H06,FAM,0,Unkn-16,15.2_D,,21.9470202312455,21.9150767043744,0.045174968931121,695559.964958536,5.84233457692762,711203.474572315,22123.2634589199,62,
,H07,FAM,0,Unkn-24,6.2_C,,22.4106478431713,22.4075038827448,0.00444623147475169,505434.663606854,5.70366502329214,506531.420305011,1551.04819715667,62,
,H08,FAM,0,Unkn-24,6.2_C,,22.4043599223183,22.4075038827448,0.00444623147475169,507628.177003168,5.70554572054907,506531.420305011,1551.04819715667,62,
,H09,FAM,0,Unkn-32,5.2_B,,21.6945277291902,21.6973853620699,0.00404130317485469,827664.420841656,5.91785428640067,826038.745549032,2299.05204684237,62,
,H10,FAM,0,Unkn-32,5.2_B,,21.7002429949497,21.6973853620699,0.00404130317485469,824413.070256409,5.91614486847258,826038.745549032,2299.05204684237,62,
,H11,FAM,0,Unkn-40,15.2_B,,21.4277102949046,21.4297968060769,0.00295077239778572,994623.091724283,5.9976585378361,993195.898266753,2018.35634376915,62,
,H12,FAM,0,Unkn-40,15.2_B,,21.4318833172491,21.4297968060769,0.00295077239778572,991768.704809223,5.99641040003989,993195.898266753,2018.35634376915,62,
,A01,VIC,,Std-01,STD1,,17.9360232439659,17.9595229164601,0.0332335555527041,30000000,7.47712125471966,30000000,0,62,
,A02,VIC,,Std-01,STD1,,17.9830225889544,17.9595229164601,0.0332335555527041,30000000,7.47712125471966,30000000,0,62,
,A03,VIC,,Unkn-01,7.2_D,,27.2516406347736,27.2166174902009,0.0495302060516526,47146.5046876492,4.67344950086688,48314.229136549,1651.41175274876,62,
,A04,VIC,,Unkn-01,7.2_D,,27.1815943456282,27.2166174902009,0.0495302060516526,49481.9535854488,4.69444683757454,48314.229136549,1651.41175274876,62,
